,Player,Squad,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
1214,Rico Lewis,Manchester City,1.9,95,91,4,0,0,0,0,4,0,0,0,0,84,0,2
1215,Keane Lewis-Potter,Brentford,2.5,66,66,0,0,0,1,8,0,0,0,0,0,49,0,0
1216,Philipp Lienhart,Freiburg,10.7,745,687,56,27,1,6,4,15,0,0,0,0,617,2,5
1217,Matthijs de Ligt,Bayern Munich,2.8,196,193,3,3,0,1,0,0,0,0,0,0,181,0,1
1218,Victor Lindelof,Manchester Utd,8.5,617,576,41,5,2,2,1,31,0,0,0,0,561,0,3
1219,Jesper Lindstrom,Napoli,1.8,76,74,2,1,1,0,1,1,0,0,0,0,66,0,3
1220,Jesper Lindstrom,Eint Frankfurt,0.9,32,31,1,0,0,0,1,0,0,0,0,0,24,0,0
1222,Karol Linetty,Torino,5.4,235,222,12,8,0,3,4,1,3,0,3,0,202,1,2
1223,Samuel Lino,Atlético Madrid,4.5,178,167,10,1,1,3,8,9,0,0,0,0,137,1,6
1224,Pol Lirola,Frosinone,2.5,144,118,26,1,1,1,10,25,0,0,0,0,113,0,5
1225,Valentino Livramento,Newcastle Utd,1.5,58,49,9,1,0,0,2,8,0,0,0,0,50,0,1
1226,Dejan Ljubicic,Köln,8.9,370,366,3,0,3,2,13,2,0,0,0,0,299,1,10
1227,Javier Llabres,Mallorca,0.9,28,25,3,0,0,0,7,0,3,1,2,0,17,0,0
1228,Diego Llorente,Roma,8.0,514,504,10,6,0,0,3,3,0,0,0,0,462,0,3
1229,Marcos Llorente,Atlético Madrid,7.8,314,300,12,0,0,0,14,12,0,0,0,0,242,2,20
1230,Gautier Lloris,Le Havre,12.0,608,593,14,8,1,1,0,5,0,0,0,0,536,1,2
1231,Abou Lo,Metz,0.8,37,36,1,1,0,0,0,0,0,0,0,0,36,0,0
1232,Giovani Lo Celso,Tottenham,0.5,57,55,1,1,0,0,0,0,0,0,0,0,50,1,2
1233,Stanislav Lobotka,Napoli,11.4,764,747,15,15,2,7,2,0,0,0,0,0,707,2,4
1234,Manuel Locatelli,Juventus,11.8,709,654,51,46,2,10,4,5,0,0,0,0,600,4,7
1235,Bradley Locko,Brest,11.0,548,446,101,10,1,5,29,91,0,0,0,0,445,1,10
1236,Tom Lockyer,Luton Town,10.5,350,331,18,15,0,4,1,2,0,0,0,0,249,1,6
1237,Renan Lodi,Marseille,9.0,491,397,92,19,0,1,39,66,7,0,7,0,385,2,9
1238,Ruben Loftus-Cheek,Milan,5.0,191,189,2,0,0,0,1,1,0,0,0,0,159,0,4
1239,Andy Logbo,Le Havre,2.3,33,31,2,0,0,0,1,0,0,0,0,0,26,0,0
1240,Enzo Loiodice,Las Palmas,9.1,461,444,14,5,2,3,8,0,6,3,2,0,370,3,11
1241,Sean Longstaff,Newcastle Utd,9.0,384,364,19,6,1,5,8,1,0,0,0,0,308,1,9
1242,Ademola Lookman,Atalanta,7.3,294,277,17,0,2,1,22,1,15,5,5,0,219,0,9
1243,Noah Loosli,Bochum,1.3,50,48,1,0,0,0,0,1,0,0,0,0,34,1,1
1244,Anthony Lopes,Lyon,8.0,221,151,70,17,0,0,0,0,0,0,0,0,173,0,0
1245,David Lopez,Girona,10.1,708,673,35,17,0,2,0,0,0,0,0,0,643,0,2
1246,Diego Lopez,Valencia,10.2,314,293,21,2,3,1,18,14,0,0,0,0,211,0,13
1248,Fermin Lopez,Barcelona,4.6,173,167,4,0,0,1,4,1,0,0,0,0,140,2,8
1249,Javi Lopez,Alavés,5.7,264,205,58,6,0,2,30,52,0,0,0,0,180,1,11
1250,Maxime Lopez,Fiorentina,1.2,55,52,3,3,0,1,0,0,0,0,0,0,45,0,0
1251,Maxime Lopez,Sassuolo,1.6,136,134,2,2,1,1,0,0,0,0,0,0,124,0,1
1252,Pau Lopez,Marseille,10.7,369,292,77,24,0,0,0,0,0,0,0,0,293,0,0
1253,Unai Lopez,Rayo Vallecano,7.0,396,369,24,10,0,9,13,4,8,4,0,1,326,3,8
1254,Dion Lopy,Almería,9.3,402,389,13,12,0,6,1,1,0,0,0,0,341,0,4
1255,Anthony Losilla,Bochum,8.8,293,289,3,2,1,0,3,1,0,0,0,0,210,1,5
1256,Jordan Lotomba,Nice,4.5,227,180,47,11,0,1,1,36,0,0,0,0,193,0,5
1257,Tom Louchet,Nice,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1258,Matteo Lovato,Salernitana,7.6,273,249,21,20,0,1,1,0,0,0,0,0,217,3,0
1259,Dejan Lovren,Lyon,2.0,138,136,2,2,0,2,2,0,0,0,0,0,115,0,0
1260,Sandi Lovric,Udinese,6.5,246,220,26,10,1,3,26,4,11,4,4,0,196,0,3
1261,Max Lowe,Sheffield Utd,1.4,24,23,1,0,0,0,0,1,0,0,0,0,14,0,4
1262,Anthony Lozano,Getafe,0.9,13,13,0,0,0,0,0,0,0,0,0,0,7,0,1
1263,Lucas,Cádiz,4.1,146,114,31,2,0,1,17,27,2,2,0,0,102,1,3
1264,Lorenzo Lucca,Udinese,7.2,108,98,9,0,0,1,4,1,0,0,0,0,61,1,3
1265,Jhon Lucumi,Bologna,4.9,341,323,18,13,0,4,0,0,0,0,0,0,314,0,1
1266,Jose Luis Gaya,Valencia,9.9,513,412,97,11,0,7,38,86,0,0,0,0,383,4,11
1267,Jose Luis Morales,Villarreal,3.3,60,59,0,0,0,1,2,0,0,0,0,0,43,1,3
1268,Jose Luis Palomino,Atalanta,0.0,11,11,0,0,0,0,0,0,0,0,0,0,8,0,0
1269,Douglas Luiz,Aston Villa,11.4,783,703,80,41,4,8,39,3,36,23,1,2,666,0,7
1270,Romelu Lukaku,Roma,9.1,184,173,8,0,0,0,7,0,0,0,0,0,127,3,8
1271,Castello Lukeba,RB Leipzig,8.4,635,620,15,13,0,5,1,2,0,0,0,0,577,0,3
1272,Dodi Lukebakio,Sevilla,6.1,191,186,3,1,1,2,18,1,0,0,0,0,147,2,12
1274,Sasa Lukic,Fulham,3.9,189,180,7,6,1,0,1,0,0,0,0,0,169,2,2
1275,Andriy Lunin,Real Madrid,3.0,97,75,22,1,0,0,0,0,0,0,0,0,90,0,0
1276,Sebastiano Luperto,Empoli,12.0,494,473,21,13,1,5,1,0,0,0,0,0,422,0,2
1277,Charalambos Lykogiannis,Bologna,5.9,299,243,55,4,0,5,30,49,2,1,1,0,219,1,9
1278,Senne Lynen,Werder Bremen,4.1,159,150,8,6,1,1,1,0,0,0,0,0,128,1,3
1279,Ian Maatsen,Chelsea,1.3,79,74,5,0,1,0,7,4,1,0,1,0,53,0,1
1280,Alexis Mac Allister,Liverpool,9.8,713,706,7,7,7,4,1,0,0,0,0,0,625,0,11
1281,Deiver Machado,Lens,6.5,273,219,53,3,0,0,15,50,0,0,0,0,211,1,9
1282,Darwin Machis,Cádiz,5.7,169,147,22,7,0,4,35,2,13,7,1,0,110,0,8
1283,James Maddison,Tottenham,9.8,553,474,77,31,8,4,58,4,41,19,12,0,433,2,4
1284,Noni Madueke,Chelsea,1.3,85,82,3,0,0,0,8,2,1,1,0,0,71,0,0
1285,Pablo Maffeo,Mallorca,6.7,244,193,50,1,1,1,28,48,1,0,0,0,151,1,6
1286,Soungoutou Magassa,Monaco,9.4,598,589,9,8,0,12,1,1,0,0,0,0,517,0,8
1287,Giulio Maggiore,Salernitana,6.0,225,218,3,3,1,0,2,0,0,0,0,0,168,4,7
1288,Matej Maglica,Darmstadt 98,5.8,315,304,11,10,0,3,3,1,0,0,0,0,241,0,2
1289,Giangiacomo Magnani,Hellas Verona,12.0,423,401,21,20,0,11,8,1,0,0,0,0,344,1,4
1290,Hugo Magnetti,Brest,7.8,294,277,17,5,0,1,8,5,1,0,0,0,254,0,5
1291,Yohann Magnin,Clermont Foot,5.8,282,275,7,6,0,1,5,0,1,1,0,0,236,0,3
1292,Frank Magri,Toulouse,6.5,130,124,5,0,1,1,6,2,0,0,0,0,88,1,7
1293,Harry Maguire,Manchester Utd,5.3,386,375,11,11,0,9,3,0,0,0,0,0,328,0,0
1294,Arne Maier,Augsburg,0.6,47,35,11,4,0,0,9,5,2,0,2,0,35,1,0
1295,Habib Maiga,Metz,0.9,42,41,0,0,0,0,1,0,0,0,0,0,34,1,0
1296,Mike Maignan,Milan,9.0,423,348,71,16,0,1,0,0,0,0,0,0,352,4,1
1297,Linton Maina,Köln,6.7,205,195,9,0,0,0,28,8,1,0,0,0,140,1,15
1298,Patrick Mainka,Heidenheim,11.0,552,540,11,7,0,2,0,4,0,0,0,0,475,1,3
1300,Ainsley Maitland-Niles,Lyon,3.0,136,132,4,2,0,0,3,2,0,0,0,0,110,0,3
1301,Lovro Majer,Rennes,0.2,16,15,1,0,0,0,1,0,1,0,1,0,14,0,1
1302,Lovro Majer,Wolfsburg,8.5,322,307,14,6,0,0,16,0,7,3,2,0,235,1,17
1303,Jean-Victor Makengo,Lorient,3.5,161,155,6,4,0,2,2,1,1,0,0,0,139,0,6
1304,Jordy Makengo,Freiburg,0.5,36,31,5,0,0,0,3,5,0,0,0,0,33,0,1
1305,Antoine Makoumbou,Cagliari,11.9,518,498,17,13,2,9,3,3,0,0,0,0,464,3,4
1306,Nemanja Maksimovic,Getafe,12.9,346,317,27,9,1,0,3,1,0,0,0,0,274,2,5
1307,Daniel Maldini,Empoli,0.3,16,15,0,0,0,0,0,0,0,0,0,0,11,1,0
1308,Youssef Maleh,Empoli,8.8,294,283,8,4,1,2,14,2,2,2,0,0,222,3,6
1309,Donyell Malen,Dortmund,8.2,242,234,5,1,3,2,23,3,0,0,0,0,173,3,10
1310,Ruslan Malinovskyi,Genoa,5.6,221,210,9,8,2,3,6,0,0,0,0,0,172,2,3
1311,Lennard Maloney,Heidenheim,10.5,427,415,11,10,0,4,1,1,0,0,0,0,333,1,4
1312,Aaron Malouda,Lille,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,Giorgi Mamardashvili,Valencia,13.0,342,225,117,41,0,0,0,0,0,0,0,0,194,0,0
1314,Wilson Manafa,Granada,1.1,64,46,18,0,0,0,2,18,0,0,0,0,49,0,2
1315,Hianga Mananga Mbock,Brest,0.1,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
1316,Gianluca Mancini,Roma,11.2,680,656,22,20,0,1,12,1,0,0,0,0,565,2,2
1317,Marco Mancosu,Cagliari,1.7,54,48,5,1,1,0,2,0,0,0,0,0,35,1,2
1318,Steve Mandanda,Rennes,12.0,483,384,99,23,0,0,0,0,0,0,0,0,374,0,0
1319,Aissa Mandi,Villarreal,5.2,310,284,25,18,2,1,0,3,0,0,0,0,282,1,1
