Player,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
Ismael Aaneba,0,FRA,DF,Strasbourg,fr Ligue 1,19.0,1999.0,3.0,3.0,204.0,2.3,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.17,0.17,0.0,0.17
Patrick van Aanholt,1,NLD,DF,Crystal Palace,eng Premier League,27.0,1990.0,36.0,36.0,3195.0,35.5,3.0,2.0,3.0,0.0,0.0,3.0,0.0,0.08,0.06,0.14,0.08,0.14,2.6,2.6,4.4,7.0,0.07,0.12,0.2,0.07,0.2
Ignazio Abate,2,ITA,DF,Milan,it Serie A,31.0,1986.0,19.0,15.0,1302.0,14.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.4,0.01,0.02,0.03,0.01,0.03
Issah Abbas,3,GHA,FW,Mainz 05,de Bundesliga,19.0,1998.0,1.0,0.0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.29,0.29,0.29
Yunis Abdelhamid,4,MAR,DF,Reims,fr Ligue 1,30.0,1987.0,38.0,38.0,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,0.1,1.8,0.04,0.0,0.05,0.04,0.05
Mehdi Abeid,5,DZA,MF,Dijon,fr Ligue 1,25.0,1992.0,26.0,23.0,2023.0,22.5,3.0,0.0,2.0,1.0,1.0,6.0,0.0,0.13,0.0,0.13,0.09,0.09,2.9,2.1,1.6,3.8,0.13,0.07,0.2,0.1,0.17
Charles Abi,6,FRA,"DF,FW",Saint-Étienne,fr Ligue 1,18.0,2000.0,3.0,0.0,32.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.17,0.12,0.29,0.17,0.29
David Abraham,7,ARG,DF,Eint Frankfurt,de Bundesliga,32.0,1986.0,17.0,17.0,1420.0,15.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.4,1.1,0.05,0.03,0.07,0.05,0.07
Amir Abrashi,8,ALB,MF,Freiburg,de Bundesliga,28.0,1990.0,10.0,9.0,790.0,8.8,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.03,0.01,0.04,0.03,0.04
Francesco Acerbi,9,ITA,DF,Lazio,it Serie A,30.0,1988.0,37.0,37.0,3309.0,36.8,3.0,1.0,3.0,0.0,0.0,4.0,1.0,0.08,0.03,0.11,0.08,0.11,3.4,3.4,1.0,4.3,0.09,0.03,0.12,0.09,0.12
Afriyie Acquah,10,GHA,MF,Empoli,it Serie A,26.0,1992.0,28.0,19.0,1510.0,16.8,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.12,0.0,0.12,0.12,0.12,1.4,1.4,0.8,2.2,0.09,0.05,0.13,0.09,0.13
Tyler Adams,11,USA,MF,RB Leipzig,de Bundesliga,19.0,1999.0,10.0,8.0,721.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.1,0.1,1.0,1.1,0.01,0.13,0.13,0.01,0.13
Antonio Adán,12,ESP,GK,Atlético Madrid,es La Liga,31.0,1987.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aday,13,ESP,"DF,MF",Girona,es La Liga,30.0,1987.0,10.0,8.0,645.0,7.2,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.28,0.28,0.0,0.28,0.3,0.3,1.5,1.8,0.04,0.21,0.25,0.04,0.25
Khaled Adénon,14,BEN,DF,Amiens,fr Ligue 1,33.0,1985.0,23.0,22.0,1994.0,22.2,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.1,0.9,0.03,0.01,0.04,0.03,0.04
Claud Adjapong,15,ITA,"MF,FW",Sassuolo,it Serie A,20.0,1998.0,5.0,3.0,270.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.33,0.0,0.33,0.33,0.33,0.7,0.7,0.1,0.8,0.24,0.02,0.26,0.24,0.26
Yacine Adli,16,FRA,MF,Bordeaux,fr Ligue 1,18.0,2000.0,7.0,2.0,216.0,2.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.01,0.34,0.34,0.01,0.34
Ali Adnan Kadhim,17,IRQ,DF,Atalanta,it Serie A,24.0,1993.0,3.0,2.0,166.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.4,0.13,0.06,0.2,0.13,0.2
Aritz Aduriz,18,ESP,FW,Athletic Club,es La Liga,37.0,1981.0,20.0,10.0,943.0,10.5,2.0,0.0,0.0,2.0,2.0,5.0,0.0,0.19,0.0,0.19,0.0,0.0,3.3,1.8,0.7,2.5,0.32,0.07,0.38,0.17,0.23
Luis Advíncula,19,PER,DF,Rayo Vallecano,es La Liga,28.0,1990.0,28.0,27.0,2389.0,26.5,1.0,3.0,1.0,0.0,0.0,6.0,2.0,0.04,0.11,0.15,0.04,0.15,1.1,1.1,2.4,3.5,0.04,0.09,0.13,0.04,0.13
Martin Agirregabiria,20,ESP,DF,Alavés,es La Liga,22.0,1996.0,27.0,23.0,2032.0,22.6,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.02,0.02,0.0,0.02
Nayef Aguerd,21,MAR,DF,Dijon,fr Ligue 1,22.0,1996.0,13.0,12.0,1050.0,11.7,3.0,0.0,3.0,0.0,0.0,4.0,1.0,0.26,0.0,0.26,0.26,0.26,1.5,1.5,0.1,1.6,0.13,0.01,0.14,0.13,0.14
Sergio Agüero,22,ARG,FW,Manchester City,eng Premier League,30.0,1988.0,33.0,31.0,2459.0,27.3,21.0,8.0,19.0,2.0,2.0,4.0,0.0,0.77,0.29,1.06,0.7,0.99,18.1,16.5,5.0,21.5,0.66,0.18,0.85,0.6,0.79
Ruben Aguilar,23,FRA,DF,Montpellier,fr Ligue 1,25.0,1993.0,29.0,29.0,2528.0,28.1,1.0,4.0,1.0,0.0,0.0,8.0,0.0,0.04,0.14,0.18,0.04,0.18,0.9,0.9,2.5,3.4,0.03,0.09,0.12,0.03,0.12
Juan Aguilera,24,ESP,MF,Huesca,es La Liga,32.0,1985.0,6.0,4.0,344.0,3.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.14,0.0,0.14,0.14,0.14
Emmanuel Agyemang-Badu,26,GHA,MF,Udinese,it Serie A,27.0,1990.0,4.0,2.0,161.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.05,0.01,0.06,0.05,0.06
Jean-Eudes Aholou,27,CIV,MF,Monaco,fr Ligue 1,24.0,1994.0,17.0,12.0,1075.0,11.9,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.08,0.08,0.0,0.08,0.8,0.8,0.6,1.5,0.07,0.05,0.12,0.07,0.12
Antonis Aidonis,28,DEU,DF,Stuttgart,de Bundesliga,17.0,2001.0,2.0,1.0,80.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ola Aina,29,NGA,DF,Torino,it Serie A,21.0,1996.0,30.0,22.0,2160.0,24.0,1.0,3.0,1.0,0.0,0.0,5.0,1.0,0.04,0.12,0.17,0.04,0.17,1.4,1.4,2.5,4.0,0.06,0.11,0.17,0.06,0.17
Youssef Aït Bennasser,30,MAR,MF,Saint-Étienne,fr Ligue 1,22.0,1996.0,13.0,11.0,936.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.7,0.02,0.04,0.07,0.02,0.07
Rayan Aït Nouri,32,FRA,"DF,MF",Angers,fr Ligue 1,17.0,2001.0,3.0,0.0,57.0,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ludovic Ajorque,33,REU,FW,Strasbourg,fr Ligue 1,24.0,1994.0,25.0,18.0,1531.0,17.0,9.0,1.0,9.0,0.0,0.0,5.0,0.0,0.53,0.06,0.59,0.53,0.59,5.7,5.7,1.0,6.7,0.34,0.06,0.4,0.34,0.4
Manuel Akanji,34,CHE,DF,Dortmund,de Bundesliga,23.0,1995.0,25.0,25.0,2205.0,24.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.04,0.0,0.04,0.04,0.04,0.5,0.5,0.6,1.1,0.02,0.02,0.04,0.02,0.04
Carlos Akapo,35,GNQ,DF,Huesca,es La Liga,25.0,1993.0,13.0,12.0,1023.0,11.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.02,0.02,0.04,0.02,0.04
Nathan Aké,36,NLD,DF,Bournemouth,eng Premier League,23.0,1995.0,38.0,38.0,3411.0,37.9,4.0,0.0,4.0,0.0,0.0,3.0,0.0,0.11,0.0,0.11,0.11,0.11,3.4,3.4,1.0,4.4,0.09,0.03,0.11,0.09,0.11
Sergio Akieme,37,ESP,DF,Rayo Vallecano,es La Liga,20.0,1997.0,2.0,2.0,180.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.1,0.1,0.0,0.03,0.03,0.0,0.03
Chadrac Akolo,38,COD,"MF,FW",Stuttgart,de Bundesliga,23.0,1995.0,16.0,5.0,525.0,5.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,0.9,0.9,0.5,1.4,0.16,0.08,0.24,0.16,0.24
Kevin Akpoguma,39,NGA,DF,Hoffenheim,de Bundesliga,23.0,1995.0,8.0,5.0,499.0,5.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Alaba,41,AUT,DF,Bayern Munich,de Bundesliga,26.0,1992.0,31.0,29.0,2530.0,28.1,3.0,3.0,3.0,0.0,0.0,4.0,0.0,0.11,0.11,0.21,0.11,0.21,3.2,3.2,4.4,7.6,0.11,0.16,0.27,0.11,0.27
Sofiane Alakouch,42,MAR,DF,Nîmes,fr Ligue 1,20.0,1998.0,25.0,23.0,1895.0,21.1,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.05,0.0,0.05,0.05,0.05,0.5,0.5,1.5,2.0,0.02,0.07,0.1,0.02,0.1
Lucas Alario,43,ARG,FW,Leverkusen,de Bundesliga,25.0,1992.0,27.0,11.0,1265.0,14.1,9.0,3.0,9.0,0.0,0.0,1.0,0.0,0.64,0.21,0.85,0.64,0.85,6.7,6.7,1.4,8.1,0.47,0.1,0.57,0.47,0.57
Jordi Alba,44,ESP,DF,Barcelona,es La Liga,29.0,1989.0,36.0,32.0,2991.0,33.2,2.0,8.0,2.0,0.0,0.0,6.0,0.0,0.06,0.24,0.3,0.06,0.3,1.8,1.8,6.7,8.5,0.05,0.2,0.25,0.05,0.25
Luis Alberto,45,ESP,"MF,FW",Lazio,it Serie A,25.0,1992.0,27.0,25.0,1990.0,22.1,4.0,5.0,3.0,1.0,1.0,5.0,1.0,0.18,0.23,0.41,0.14,0.36,4.2,3.4,5.9,9.4,0.19,0.27,0.46,0.16,0.42
Raúl Albiol,46,ESP,DF,Napoli,it Serie A,32.0,1985.0,20.0,19.0,1713.0,19.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.05,0.0,0.05,0.05,0.05,0.3,0.3,0.4,0.7,0.01,0.02,0.04,0.01,0.04
Miiko Albornoz,47,CHL,"DF,MF",Hannover 96,de Bundesliga,27.0,1990.0,22.0,19.0,1660.0,18.4,1.0,3.0,1.0,0.0,0.0,3.0,1.0,0.05,0.16,0.22,0.05,0.22,0.3,0.3,1.5,1.8,0.02,0.08,0.1,0.02,0.1
Marc Albrighton,48,GBR,"FW,MF",Leicester City,eng Premier League,28.0,1989.0,27.0,18.0,1625.0,18.1,2.0,2.0,2.0,0.0,0.0,3.0,0.0,0.11,0.11,0.22,0.11,0.22,1.2,1.2,2.9,4.1,0.07,0.16,0.23,0.07,0.23
Paco Alcácer,49,ESP,FW,Dortmund,de Bundesliga,24.0,1993.0,26.0,11.0,1211.0,13.5,18.0,0.0,17.0,1.0,1.0,0.0,0.0,1.34,0.0,1.34,1.26,1.26,9.5,8.8,1.6,10.4,0.71,0.12,0.83,0.65,0.77
Pedro Alcalá,50,ESP,DF,Girona,es La Liga,29.0,1989.0,25.0,20.0,1868.0,20.8,1.0,1.0,1.0,0.0,0.0,9.0,0.0,0.05,0.05,0.1,0.05,0.1,1.0,1.0,0.6,1.6,0.05,0.03,0.08,0.05,0.08
Thiago Alcántara,52,ESP,MF,Bayern Munich,de Bundesliga,27.0,1991.0,30.0,26.0,2408.0,26.8,2.0,6.0,2.0,0.0,0.0,5.0,0.0,0.07,0.22,0.3,0.07,0.3,1.9,1.9,3.5,5.4,0.07,0.13,0.2,0.07,0.2
Rubén Alcaraz,53,ESP,MF,Valladolid,es La Liga,27.0,1991.0,34.0,34.0,2976.0,33.1,3.0,2.0,3.0,0.0,1.0,13.0,0.0,0.09,0.06,0.15,0.09,0.15,3.5,2.7,0.9,3.6,0.1,0.03,0.13,0.08,0.11
Toby Alderweireld,54,BEL,DF,Tottenham,eng Premier League,29.0,1989.0,34.0,33.0,2922.0,32.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.6,1.8,0.03,0.02,0.05,0.03,0.05
