,# Pl,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
0,30,38.0,499,292,263,181,55,197,565,34.9,368,341,90,251,427,926,766,8
1,31,38.0,626,376,302,256,68,314,754,41.6,440,330,78,252,443,1069,654,1
2,26,34.0,552,328,268,229,55,214,536,39.9,322,393,122,271,418,970,739,9
3,29,38.0,456,252,206,184,66,212,547,38.8,335,368,113,255,351,807,643,16
4,24,38.0,530,282,262,202,66,250,571,43.8,321,438,159,279,387,917,783,17
5,30,38.0,606,343,252,256,98,265,591,44.8,326,421,92,329,516,1122,484,11
6,27,38.0,462,269,194,200,68,168,516,32.6,348,341,74,267,344,806,684,9
7,25,38.0,622,367,291,253,78,296,631,46.9,335,361,83,278,386,1008,671,7
8,25,34.0,509,308,251,211,47,201,503,40.0,302,395,116,279,454,963,852,8
9,25,38.0,499,293,223,195,81,224,522,42.9,298,325,70,255,361,860,429,16
10,29,34.0,510,316,174,231,105,224,541,41.4,317,388,75,313,399,909,398,10
11,29,38.0,511,288,278,179,54,243,646,37.6,403,382,123,259,383,894,746,13
12,25,38.0,556,315,274,221,61,211,556,37.9,345,362,74,288,453,1009,687,11
13,37,38.0,542,313,273,186,83,209,538,38.8,329,452,147,305,424,966,740,21
14,28,38.0,567,329,294,212,61,253,623,40.6,370,383,123,260,503,1070,677,9
15,26,38.0,610,355,321,236,53,284,633,44.9,349,358,109,249,463,1073,685,12
16,27,38.0,628,334,297,251,80,252,603,41.8,351,417,97,320,425,1053,604,8
17,25,38.0,507,293,241,203,63,229,564,40.6,335,440,180,260,416,923,824,11
18,34,38.0,573,317,305,216,52,247,607,40.7,360,368,99,269,437,1010,788,8
19,32,38.0,589,336,296,229,64,269,647,41.6,378,421,130,291,388,977,777,6
20,30,38.0,662,368,332,259,71,238,694,34.3,456,399,89,310,405,1067,751,12
21,27,38.0,612,341,257,282,73,231,570,40.5,339,420,83,337,382,994,661,16
22,31,38.0,540,311,288,196,56,225,556,40.5,331,406,137,269,380,920,748,12
23,24,38.0,636,366,329,234,73,283,620,45.6,337,447,138,309,396,1032,774,13
24,33,38.0,601,367,329,225,47,278,661,42.1,383,351,112,239,471,1072,729,16
25,26,34.0,516,319,221,210,85,219,487,45.0,268,379,95,284,411,927,472,12
26,30,38.0,514,309,228,204,82,203,518,39.2,315,360,63,297,434,948,593,11
27,25,34.0,594,352,273,245,76,263,596,44.1,333,371,77,294,428,1022,594,10
28,30,38.0,551,336,324,189,38,210,577,36.4,367,357,97,260,386,937,689,10
29,29,38.0,640,381,325,242,73,266,664,40.1,398,458,157,301,392,1032,847,19
30,30,38.0,496,263,228,198,70,229,544,42.1,315,362,127,235,388,884,619,8
31,24,34.0,431,247,188,186,57,168,448,37.5,280,365,118,247,452,883,631,8
32,28,38.0,601,329,282,231,88,254,581,43.7,327,356,95,261,437,1038,794,13
33,34,38.0,555,309,293,197,65,255,640,39.8,385,437,123,314,520,1075,785,12
34,31,38.0,579,352,232,276,71,241,619,38.9,378,361,53,308,393,972,615,4
35,34,38.0,499,279,226,213,60,185,468,39.5,283,388,128,260,392,891,764,7
36,32,38.0,465,269,224,183,58,173,413,41.9,240,374,144,230,492,957,756,12
37,32,34.0,485,270,242,201,42,205,493,41.6,288,377,89,288,417,902,687,8
38,30,34.0,508,296,229,204,75,229,539,42.5,310,370,90,280,431,939,619,8
39,27,38.0,556,321,309,191,56,239,579,41.3,340,342,83,259,437,993,616,7
40,25,38.0,506,286,214,206,86,213,527,40.4,314,383,102,281,371,877,582,8
41,30,38.0,566,323,244,242,80,243,612,39.7,369,390,114,276,458,1024,581,14
42,28,34.0,586,328,299,234,53,248,546,45.4,298,382,101,281,429,1015,670,8
43,30,38.0,595,346,284,244,67,254,678,37.5,424,404,92,312,445,1040,649,7
44,23,38.0,740,417,378,279,83,310,769,40.3,459,406,149,257,397,1137,646,26
45,27,38.0,681,403,319,263,99,295,676,43.6,381,386,90,296,438,1119,685,9
46,27,38.0,601,358,264,253,84,237,533,44.5,296,375,92,283,508,1109,690,12
47,29,38.0,511,282,268,188,55,208,543,38.3,335,335,93,242,435,946,681,15
48,30,34.0,500,282,209,238,53,213,498,42.8,285,368,87,281,322,822,481,10
49,21,38.0,653,370,273,288,92,305,707,43.1,402,339,90,249,424,1077,590,6
50,28,38.0,526,303,195,231,100,220,543,40.5,323,338,58,280,347,873,563,20
51,27,38.0,722,424,353,303,66,333,812,41.0,479,422,114,308,527,1249,670,11
52,29,38.0,584,346,251,249,84,264,639,41.3,375,366,115,251,408,992,594,14
53,23,34.0,503,307,221,221,61,215,531,40.5,316,424,116,308,436,939,616,6
54,31,34.0,593,364,266,239,88,258,574,44.9,316,419,109,310,500,1093,662,6
55,24,38.0,498,271,198,212,88,234,576,40.6,342,310,82,228,319,817,453,11
56,29,38.0,551,311,252,239,60,231,572,40.4,341,418,116,302,386,937,634,20
57,31,38.0,655,391,266,302,87,313,667,46.9,354,365,105,260,442,1097,710,12
58,27,38.0,685,417,368,252,65,305,675,45.2,370,394,116,278,572,1257,745,9
59,29,38.0,627,357,299,257,71,276,605,45.6,329,435,133,302,382,1009,732,13
60,30,38.0,733,432,296,346,91,332,696,47.7,364,356,66,290,436,1169,513,15
61,25,38.0,529,334,301,183,45,284,707,40.2,423,372,150,222,420,949,705,14
62,25,38.0,697,385,357,270,70,369,778,47.4,409,391,107,284,464,1161,707,6
63,25,38.0,574,345,280,213,81,257,635,40.5,378,381,98,283,369,943,532,17
64,27,38.0,512,268,257,213,42,207,547,37.8,340,423,160,263,362,874,908,10
65,31,38.0,599,364,281,243,75,256,628,40.8,372,355,123,232,435,1034,644,15
66,33,38.0,625,372,301,244,80,310,709,43.7,399,407,122,285,501,1126,710,17
67,28,38.0,524,281,223,217,84,224,552,40.6,328,349,100,249,392,916,774,7
68,33,38.0,609,385,217,278,114,293,700,41.9,407,327,81,246,373,982,448,22
69,42,38.0,585,317,317,215,53,269,695,38.7,426,412,116,296,463,1048,806,14
70,25,34.0,460,305,167,229,64,190,460,41.3,270,336,63,273,353,813,504,5
71,30,38.0,531,318,266,188,77,192,532,36.1,340,344,83,261,401,932,544,12
72,30,38.0,547,322,240,227,80,200,480,41.7,280,353,96,257,315,862,563,5
73,29,38.0,656,372,336,242,78,276,645,42.8,369,335,121,214,487,1143,762,18
74,32,38.0,587,337,242,254,91,234,564,41.5,330,347,74,273,361,948,510,12
75,31,38.0,478,273,192,218,68,206,582,35.4,376,360,83,277,489,967,521,26
76,40,38.0,716,428,394,253,69,326,700,46.6,374,374,88,286,471,1187,665,10
77,27,38.0,576,326,275,235,66,251,634,39.6,383,470,154,316,453,1029,745,6
78,28,38.0,528,310,276,164,88,241,543,44.4,302,383,141,242,426,954,629,11
