,Player,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
456,Bryan Cristante,7.0,380,457,83.2,6650,2223,158,179,88.3,178,197,90.4,31,51,60.8,2,1.1,0.5,+0.9,9,37,6,0,41
457,Juan Cruz Armada,6.0,218,304,71.7,4012,1798,104,118,88.1,80,112,71.4,32,63,50.8,1,0.3,0.3,+0.7,3,26,4,1,24
460,Juan Cuadrado,0.7,36,43,83.7,632,114,16,16,100.0,12,14,85.7,5,9,55.6,1,0.2,0.1,+0.8,3,1,1,1,1
461,Marc Cucurella,1.0,52,58,89.7,768,260,28,31,90.3,21,23,91.3,2,2,100.0,0,0.0,0.0,0.0,0,4,0,0,2
462,Jorge Cuenca,4.1,202,217,93.1,3607,1463,73,73,100.0,117,122,95.9,9,17,52.9,0,0.0,0.1,0.0,0,9,0,0,12
463,Josh Cullen,7.0,347,411,84.4,5459,1204,196,212,92.5,129,143,90.2,17,39,43.6,1,0.6,0.8,+0.4,5,18,6,0,32
464,Matheus Cunha,6.2,122,148,82.4,1443,332,82,92,89.1,30,37,81.1,2,7,28.6,1,1.0,0.8,0.0,6,12,3,0,11
465,Marvin Cuni,1.9,22,36,61.1,234,8,13,20,65.0,5,8,62.5,1,1,100.0,0,0.0,0.0,0.0,1,0,0,0,1
466,Eric Curbelo,1.0,51,53,96.2,785,302,27,27,100.0,22,24,91.7,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,4
469,Danilo D'Ambrosio,1.7,106,122,86.9,1786,563,42,43,97.7,52,59,88.1,7,13,53.8,0,0.1,0.2,-0.1,2,9,1,0,7
470,Finn Dahmen,6.0,252,305,82.6,6193,3463,47,47,100.0,152,153,99.3,53,105,50.5,0,0.0,0.1,0.0,0,9,1,0,1
471,Mahmoud Dahoud,2.7,148,167,88.6,2178,538,86,88,97.7,46,55,83.6,9,13,69.2,1,0.4,0.2,+0.6,5,11,1,1,7
472,Ameen Al-Dakhil,7.0,361,428,84.3,6681,2052,134,140,95.7,191,216,88.4,31,59,52.5,0,0.1,0.5,-0.1,1,12,2,0,27
473,Thijs Dallinga,5.5,76,120,63.3,1076,236,40,59,67.8,25,42,59.5,4,6,66.7,1,0.5,0.7,+0.5,5,3,5,2,5
474,Diogo Dalot,5.3,245,293,83.6,4129,997,115,127,90.6,100,120,83.3,22,28,78.6,0,0.3,0.4,-0.3,4,20,5,2,22
475,Mikkel Damsgaard,0.6,12,16,75.0,234,112,6,8,75.0,4,5,80.0,2,3,66.7,0,0.0,0.0,0.0,0,3,0,0,4
476,Flavius Daniliuc,1.5,79,92,85.9,1273,499,35,40,87.5,35,37,94.6,5,6,83.3,0,0.2,0.0,-0.2,4,9,0,0,11
477,Danilo,3.1,77,103,74.8,1378,254,37,47,78.7,32,35,91.4,7,13,53.8,0,0.1,0.1,-0.1,2,5,2,0,7
478,Danilo,7.0,387,459,84.3,7213,2588,151,161,93.8,193,214,90.2,39,75,52.0,0,0.3,0.3,-0.3,6,33,5,1,40
479,Arnaut Danjuma,4.0,63,85,74.1,864,192,34,39,87.2,24,32,75.0,1,5,20.0,0,0.3,0.2,-0.3,3,2,0,0,4
480,Kevin Danso,7.0,350,396,88.4,6151,2276,143,153,93.5,172,192,89.6,25,37,67.6,0,0.2,0.3,-0.2,2,35,2,0,31
481,Dante,7.0,499,554,90.1,8373,3585,254,262,96.9,204,216,94.4,31,60,51.7,1,0.1,0.1,+0.9,2,31,2,0,39
482,Mohammed Daramy,3.5,70,93,75.3,1057,357,37,47,78.7,26,31,83.9,4,4,100.0,1,0.3,0.4,+0.7,6,5,7,0,16
483,Sergi Darder,6.2,149,225,66.2,2715,1066,69,78,88.5,47,71,66.2,26,58,44.8,3,2.0,1.2,+1.0,14,21,6,2,27
484,Achraf Dari,0.3,17,17,100.0,375,94,3,3,100.0,12,12,100.0,2,2,100.0,0,0.0,0.0,0.0,0,1,0,0,2
485,Matteo Darmian,6.0,301,346,87.0,5300,1897,126,138,91.3,145,148,98.0,21,36,58.3,0,0.2,0.2,-0.2,3,19,1,1,18
488,David Datro Fofana,3.6,48,75,64.0,668,122,32,45,71.1,11,19,57.9,3,3,100.0,0,0.2,0.2,-0.2,1,2,2,1,4
489,Jonathan David,6.9,122,148,82.4,1582,360,77,91,84.6,36,40,90.0,2,3,66.7,0,0.5,0.7,-0.5,6,8,10,1,16
490,Alphonso Davies,5.7,363,410,88.5,5100,1323,222,249,89.2,128,135,94.8,5,8,62.5,3,1.2,1.0,+1.8,15,28,9,1,36
491,Ben Davies,0.4,33,35,94.3,486,268,20,20,100.0,11,13,84.6,1,1,100.0,0,0.0,0.0,0.0,0,3,0,0,6
492,Tom Davies,0.7,36,45,80.0,514,145,22,24,91.7,12,15,80.0,1,2,50.0,0,0.1,0.0,-0.1,1,4,0,0,4
494,Pawel Dawidowicz,6.5,284,350,81.1,5923,2217,77,93,82.8,161,180,89.4,44,71,62.0,0,0.0,0.1,0.0,1,18,2,0,27
495,Craig Dawson,6.8,274,321,85.4,5862,2267,81,87,93.1,151,161,93.8,40,66,60.6,0,0.1,0.1,-0.1,2,17,0,0,17
496,Kevin De Bruyne,0.2,6,10,60.0,142,74,1,2,50.0,4,5,80.0,1,2,50.0,0,0.2,0.2,-0.2,1,0,3,2,1
497,Charles De Ketelaere,4.7,127,176,72.2,1773,449,71,92,77.2,39,51,76.5,6,11,54.5,2,1.3,0.8,+0.7,7,6,8,1,23
498,Rodrigo De Paul,2.8,147,182,80.8,2510,801,72,80,90.0,53,61,86.9,18,26,69.2,2,0.9,0.7,+1.1,4,14,10,1,24
499,Lorenzo De Silvestri,2.5,151,178,84.8,2299,850,79,85,92.9,63,76,82.9,6,10,60.0,0,0.0,0.0,0.0,0,15,1,1,18
500,Thibault De Smet,4.0,138,179,77.1,2235,832,69,82,84.1,62,72,86.1,6,17,35.3,0,0.0,0.1,0.0,0,13,2,1,11
501,Koni De Winter,3.0,63,88,71.6,978,418,32,40,80.0,27,36,75.0,2,6,33.3,1,0.7,0.0,+0.3,2,5,1,0,5
502,Gregoire Defrel,1.1,19,24,79.2,296,69,9,10,90.0,8,11,72.7,2,2,100.0,0,0.0,0.0,0.0,1,4,0,0,3
503,Alessandro Deiola,2.5,46,70,65.7,846,318,23,28,82.1,17,24,70.8,6,12,50.0,0,0.1,0.1,-0.1,2,8,1,1,10
504,Romain Del Castillo,6.8,202,320,63.1,3698,1501,98,123,79.7,62,95,65.3,34,72,47.2,2,2.6,2.4,-0.6,23,21,25,5,40
505,Thomas Delaine,6.7,211,293,72.0,3658,1229,84,102,82.4,103,131,78.6,18,43,41.9,0,0.9,1.0,-0.9,8,12,4,2,22
507,Hannes Delcroix,1.6,115,121,95.0,1804,687,62,64,96.9,42,45,93.3,8,9,88.9,0,0.1,0.0,-0.1,2,9,0,0,6
508,Olivier Deman,2.4,89,118,75.4,1643,604,34,37,91.9,42,51,82.4,12,26,46.2,1,0.2,0.4,+0.8,1,7,3,1,11
