,Player,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
558,Ritsu Doan,3.9,77,113,68.1,1098,335,50,60,83.3,19,28,67.9,5,15,33.3,0,0.5,0.6,-0.5,6,9,2,0,10
559,Lewis Dobbin,1.3,21,32,65.6,216,5,17,19,89.5,3,9,33.3,0,1,0.0,0,0.0,0.0,0.0,1,0,0,0,0
560,Dodo,3.0,152,186,81.7,2804,957,59,67,88.1,73,87,83.9,18,26,69.2,0,0.7,0.4,-0.7,6,14,6,2,26
561,Danilho Doekhi,6.0,232,277,83.8,4553,1855,73,79,92.4,130,149,87.2,24,40,60.0,0,0.1,0.3,-0.1,1,27,3,1,24
562,Matt Doherty,1.0,23,33,69.7,296,123,13,16,81.3,6,9,66.7,1,3,33.3,0,0.1,0.1,-0.1,1,1,0,0,1
563,Josh Doig,3.3,88,116,75.9,1625,562,34,40,85.0,45,53,84.9,7,15,46.7,0,0.2,0.2,-0.2,1,8,1,1,5
564,Jeremy Doku,3.4,109,145,75.2,1484,234,72,81,88.9,31,42,73.8,3,5,60.0,0,1.1,1.2,-1.1,8,2,8,2,8
565,Jeremy Doku,1.2,43,49,87.8,623,133,25,29,86.2,15,16,93.8,2,2,100.0,0,0.2,0.6,-0.2,3,0,3,1,5
566,Carlos Dominguez,3.0,93,119,78.2,1806,725,34,40,85.0,50,55,90.9,8,20,40.0,0,0.0,0.0,0.0,1,16,0,0,11
567,Mario Dominguez,0.3,4,5,80.0,56,22,2,2,100.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1
568,Nicolas Dominguez,1.9,76,89,85.4,1246,321,42,46,91.3,28,34,82.4,6,7,85.7,0,0.0,0.1,0.0,0,7,2,0,12
569,Nicolas Dominguez,1.1,83,92,90.2,1276,370,45,49,91.8,36,40,90.0,2,2,100.0,0,0.0,0.1,0.0,1,5,1,0,9
570,Gianluigi Donnarumma,7.0,191,211,90.5,4046,2295,57,57,100.0,95,98,96.9,38,55,69.1,0,0.0,0.0,0.0,0,1,0,0,0
572,Patrick Dorgu,3.2,161,200,80.5,2485,680,83,89,93.3,62,75,82.7,10,23,43.5,0,0.2,0.2,-0.2,1,7,1,0,13
573,Niklas Dorsch,3.5,136,158,86.1,2405,739,65,69,94.2,58,65,89.2,12,22,54.5,0,0.0,0.1,0.0,0,9,1,1,10
574,Gabriel Dos Santos,4.3,247,280,88.2,4320,1465,104,113,92.0,122,130,93.8,17,25,68.0,0,0.0,0.0,0.0,0,20,0,0,12
575,Alberto Dossena,7.0,189,232,81.5,3806,1323,60,66,90.9,105,120,87.5,22,38,57.9,0,0.0,0.0,0.0,0,10,0,0,17
576,Carlos Dotor,1.3,42,52,80.8,614,193,25,27,92.6,15,19,78.9,1,2,50.0,0,0.1,0.1,-0.1,1,6,0,0,2
577,Abdoulaye Doucoure,6.5,190,236,80.5,2637,618,103,121,85.1,63,75,84.0,9,14,64.3,0,1.3,0.5,-1.3,13,18,3,1,19
578,Cheick Doucoure,7.0,254,292,87.0,3933,1366,132,148,89.2,108,122,88.5,11,14,78.6,0,0.4,0.5,-0.4,4,28,5,0,35
579,Ckene Doucoure,2.3,29,41,70.7,403,119,16,21,76.2,6,10,60.0,3,5,60.0,2,0.4,0.2,+1.6,4,1,0,0,3
580,Desire Doue,2.7,80,98,81.6,1320,382,37,45,82.2,32,35,91.4,8,9,88.9,0,0.2,0.3,-0.2,5,10,7,0,20
581,Guela Doue,0.2,22,26,84.6,402,132,10,10,100.0,8,10,80.0,3,4,75.0,0,0.1,0.2,-0.1,1,1,2,1,1
582,Alfie Doughty,4.3,134,206,65.0,2657,1240,57,62,91.9,46,64,71.9,28,67,41.8,1,1.4,1.0,-0.4,19,11,5,2,20
583,Douglas,5.7,232,272,85.3,3816,1010,105,113,92.9,98,113,86.7,18,32,56.3,0,0.3,0.6,-0.3,7,19,3,0,24
584,Ismael Doukoure,6.9,222,262,84.7,4284,1284,79,96,82.3,117,126,92.9,24,33,72.7,0,0.1,0.2,-0.1,3,22,2,0,27
585,Kamory Doumbia,0.3,18,20,90.0,294,70,10,11,90.9,6,6,100.0,2,3,66.7,0,0.0,0.0,0.0,0,2,0,0,3
586,Anastasios Douvikas,1.6,15,23,65.2,233,27,8,11,72.7,5,7,71.4,1,1,100.0,0,0.0,0.1,0.0,1,1,1,0,3
587,Artem Dovbyk,4.0,40,59,67.8,515,24,27,36,75.0,9,11,81.8,2,2,100.0,2,1.1,0.6,+0.9,4,0,1,0,1
588,Nikola Dovedan,1.4,21,38,55.3,375,104,6,8,75.0,13,19,68.4,0,4,0.0,0,0.0,0.2,0.0,1,0,1,0,5
590,Tommy Doyle,0.2,17,20,85.0,328,67,8,9,88.9,8,9,88.9,1,2,50.0,0,0.0,0.0,0.0,0,2,0,0,3
591,Radu Dragusin,7.0,175,211,82.9,3150,1055,72,78,92.3,84,92,91.3,16,34,47.1,1,0.7,0.5,+0.3,2,3,0,0,2
593,Domingos Duarte,5.7,128,164,78.0,3039,1229,25,32,78.1,77,90,85.6,26,39,66.7,0,0.0,0.0,0.0,1,19,1,1,21
594,Ruben Duarte,6.0,174,281,61.9,3150,1488,80,93,86.0,69,114,60.5,22,62,35.5,0,0.5,0.5,-0.5,9,18,8,5,25
595,Marvin Ducksch,4.6,87,163,53.4,1499,575,42,57,73.7,31,51,60.8,11,39,28.2,2,2.2,1.7,-0.2,12,3,9,0,17
596,Ondrej Duda,5.9,182,229,79.5,3256,998,79,89,88.8,74,82,90.2,25,44,56.8,1,0.8,0.8,+0.2,15,22,5,0,23
598,Denzel Dumfries,5.1,145,205,70.7,2327,806,62,80,77.5,63,90,70.0,9,16,56.3,2,1.9,1.5,+0.1,14,11,12,3,24
599,Alfred Duncan,4.2,138,177,78.0,3043,906,43,51,84.3,68,77,88.3,26,38,68.4,3,0.9,0.8,+2.1,13,18,7,3,28
600,Lewis Dunk,7.0,615,684,89.9,11730,3959,215,226,95.1,316,339,93.2,73,100,73.0,0,0.1,0.9,-0.1,2,55,2,0,46
602,Hugo Duro,7.2,71,94,75.5,809,116,50,58,86.2,15,20,75.0,0,2,0.0,1,0.7,0.1,+0.3,3,1,1,0,3
603,Jean-Kevin Duverne,2.2,72,96,75.0,1310,616,33,40,82.5,28,37,75.7,9,15,60.0,0,0.1,0.1,-0.1,1,7,2,2,8
604,Paulo Dybala,4.4,159,199,79.9,2543,603,94,106,88.7,36,48,75.0,20,28,71.4,2,0.5,0.6,+1.5,11,12,6,0,25
605,Aron Donnum,1.9,52,67,77.6,760,222,32,34,94.1,14,17,82.4,4,11,36.4,1,0.8,1.1,+0.2,6,2,4,0,6
606,Festy Ebosele,4.6,103,137,75.2,1660,521,49,62,79.0,36,46,78.3,12,14,85.7,0,1.0,0.6,-1.0,6,7,6,3,12
607,Enzo Ebosse,0.1,12,15,80.0,222,57,4,4,100.0,7,9,77.8,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,1
608,Tyronne Ebuehi,4.8,139,194,71.6,2257,709,71,85,83.5,51,71,71.8,12,22,54.5,0,0.2,0.1,-0.2,2,8,1,0,13
609,Ederson,7.0,239,290,82.4,6137,4357,62,62,100.0,120,123,97.6,57,105,54.3,0,0.1,0.0,-0.1,1,9,1,0,1
610,Ederson,6.2,257,318,80.8,4595,1601,103,120,85.8,126,139,90.6,24,38,63.2,1,0.5,0.7,+0.5,5,37,10,2,49
611,Odsonne Edouard,5.7,69,103,67.0,812,206,44,54,81.5,16,21,76.2,1,3,33.3,0,0.3,0.3,-0.3,5,5,2,0,13
612,John Egan,5.4,128,185,69.2,2449,988,38,49,77.6,79,92,85.9,9,38,23.7,0,0.0,0.0,0.0,0,5,1,0,5
613,Maximilian Eggestein,5.8,238,279,85.3,3942,1100,115,128,89.8,106,119,89.1,14,16,87.5,0,0.1,0.1,-0.1,2,19,1,0,30
614,Lilian Egloff,1.0,28,33,84.8,382,118,15,15,100.0,9,11,81.8,1,3,33.3,0,0.0,0.0,0.0,0,2,0,0,2
617,Caleb Ekuban,0.9,10,17,58.8,196,79,3,8,37.5,5,5,100.0,2,2,100.0,0,0.1,0.1,-0.1,2,2,1,0,3
618,Anthony Elanga,3.0,81,107,75.7,1086,311,57,70,81.4,18,23,78.3,4,7,57.1,1,0.8,0.9,+0.2,4,3,6,1,9
619,Simon Elisor,2.9,33,48,68.8,453,106,10,16,62.5,18,24,75.0,0,1,0.0,0,0.5,0.1,-0.5,3,6,0,0,4
620,Harvey Elliott,1.4,71,83,85.5,1052,271,42,46,91.3,23,25,92.0,4,6,66.7,0,0.1,0.2,-0.1,2,5,4,0,12
621,Elif Elmas,1.0,50,53,94.3,660,115,36,37,97.3,12,12,100.0,1,1,100.0,0,0.1,0.2,-0.1,3,1,0,0,3
622,Aritz Elustondo,1.0,82,85,96.5,1767,326,16,17,94.1,57,58,98.3,9,10,90.0,0,0.0,0.0,0.0,0,4,0,0,4
624,Nico Elvedi,2.3,127,161,78.9,2126,648,62,68,91.2,53,64,82.8,11,21,52.4,0,0.0,0.1,0.0,1,10,1,1,11
625,Adri Embarba,5.0,158,220,71.8,2585,753,86,98,87.8,47,66,71.2,17,37,45.9,0,2.1,1.7,-2.1,17,8,5,5,12
626,Emanuel Emegha,4.7,50,63,79.4,744,83,19,29,65.5,25,28,89.3,1,1,100.0,0,0.0,0.1,0.0,1,1,1,0,5
627,Emerson,1.1,138,151,91.4,1788,316,88,93,94.6,40,42,95.2,2,3,66.7,0,0.0,0.1,0.0,0,11,0,0,9
628,Youssef En-Nesyri,4.4,25,39,64.1,342,51,19,25,76.0,6,9,66.7,0,1,0.0,0,0.0,0.1,0.0,0,2,0,0,1
629,Wataru Endo,1.2,57,68,83.8,838,292,30,33,90.9,25,29,86.2,1,2,50.0,0,0.0,0.0,0.0,0,6,0,0,5
630,Arne Engels,4.0,114,183,62.3,2145,879,44,51,86.3,53,76,69.7,14,40,35.0,0,0.3,0.5,-0.3,5,6,3,1,9
631,Christian Eriksen,3.7,191,232,82.3,3087,627,102,112,91.1,75,89,84.3,10,20,50.0,1,0.4,0.3,+0.6,5,15,3,0,19
632,Martin Erlic,6.9,218,261,83.5,4274,1874,82,88,93.2,103,121,85.1,30,49,61.2,0,0.0,0.2,0.0,0,12,0,0,17
633,Gonzalo Escalante,5.6,126,166,75.9,2171,489,57,67,85.1,46,61,75.4,15,24,62.5,2,1.4,1.0,+0.6,7,15,3,0,14
634,Alfonso Espino,7.6,292,392,74.5,5329,2443,138,159,86.8,114,144,79.2,34,63,54.0,0,0.5,0.5,-0.5,8,23,10,4,32
635,Bernardo Espinosa,0.0,7,8,87.5,141,46,3,3,100.0,4,4,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
636,Maxime Esteve,0.9,27,36,75.0,364,137,16,19,84.2,9,11,81.8,0,4,0.0,0,0.0,0.0,0.0,0,2,0,0,2
637,Oscar Estupinan,1.6,23,32,71.9,354,34,12,13,92.3,8,13,61.5,1,2,50.0,0,0.0,0.0,0.0,1,1,1,0,1
638,Pervis Estupinan,5.5,284,341,83.3,4233,1360,164,177,92.7,98,117,83.8,11,22,50.0,3,2.8,1.5,+0.2,13,23,18,5,41
639,Jonny Evans,1.1,61,69,88.4,1071,224,28,30,93.3,30,32,93.8,3,5,60.0,1,0.1,0.1,+0.9,1,3,1,0,3
640,Eberechi Eze,7.0,209,267,78.3,3285,978,105,117,89.7,79,94,84.0,18,39,46.2,0,1.3,1.6,-1.3,18,12,13,1,24
641,Abdessamad Ezzalzouli,0.8,23,37,62.2,289,83,18,23,78.3,4,8,50.0,1,4,25.0,0,0.1,0.0,-0.1,2,0,2,1,1
642,Abdessamad Ezzalzouli,1.8,54,67,80.6,663,135,40,43,93.0,12,16,75.0,1,2,50.0,0,0.2,0.2,-0.2,2,2,2,0,4
644,Nicolo Fagioli,3.8,154,181,85.1,2691,619,78,82,95.1,54,62,87.1,20,31,64.5,1,0.3,0.3,+0.7,8,15,5,1,20
645,Romain Faivre,6.8,236,270,87.4,3475,1179,131,139,94.2,75,92,81.5,14,17,82.4,1,1.1,1.3,-0.1,7,26,13,1,50
647,Wladimiro Falcone,7.0,154,204,75.5,3515,2551,47,47,100.0,56,57,98.2,38,86,44.2,0,0.0,0.0,0.0,0,0,0,0,0
648,Fali,7.4,159,223,71.3,3528,1296,37,44,84.1,90,112,80.4,28,60,46.7,0,0.0,0.0,0.0,1,12,1,0,14
650,Davide Faraoni,3.4,111,158,70.3,2140,998,45,54,83.3,41,54,75.9,21,37,56.8,1,0.1,0.1,+0.9,3,12,2,1,12
651,Ansu Fati,1.3,38,40,95.0,546,166,23,23,100.0,7,7,100.0,4,4,100.0,0,0.0,0.1,0.0,1,2,2,0,10
652,Ansu Fati,0.6,24,28,85.7,322,87,15,15,100.0,7,9,77.8,1,1,100.0,0,0.0,0.1,0.0,0,2,1,0,4
653,Khalil Fayad,1.3,29,35,82.9,516,156,14,17,82.4,9,11,81.8,5,5,100.0,0,0.0,0.0,0.0,0,3,0,0,6
654,Federico Fazio,1.3,57,74,77.0,987,422,27,29,93.1,23,31,74.2,5,10,50.0,0,0.0,0.0,0.0,0,4,0,0,2
655,Jacopo Fazzini,3.1,111,145,76.6,1898,561,51,60,85.0,41,50,82.0,14,26,53.8,0,1.2,0.6,-1.2,8,8,1,0,16
656,Luiz Felipe,4.0,151,169,89.3,2591,996,59,62,95.2,78,86,90.7,9,14,64.3,0,0.2,0.2,-0.2,1,4,0,0,4
657,Joao Felix,3.3,96,123,78.0,1298,332,67,73,91.8,17,26,65.4,6,12,50.0,1,0.7,0.7,+0.3,5,6,7,1,19
658,Ohis Felix Uduokhai,5.5,253,316,80.1,4301,1464,108,118,91.5,129,146,88.4,12,44,27.3,0,0.2,0.3,-0.2,2,10,0,0,16
659,Kiko Femenia,0.6,13,17,76.5,229,87,8,8,100.0,2,5,40.0,3,4,75.0,0,0.1,0.1,-0.1,1,0,1,1,0
660,Evan Ferguson,3.4,67,74,90.5,848,123,47,50,94.0,12,14,85.7,4,4,100.0,0,0.1,0.5,-0.1,2,3,3,0,6
661,Lewis Ferguson,7.0,347,395,87.8,4611,916,216,235,91.9,102,115,88.7,6,10,60.0,1,0.4,0.4,+0.6,6,21,8,2,26
662,Bruno Fernandes,7.0,311,445,69.9,5662,2094,147,174,84.5,107,143,74.8,47,93,50.5,1,3.2,3.0,-2.2,21,36,22,3,68
663,Edimilson Fernandes,5.9,281,374,75.1,5809,2262,97,111,87.4,138,156,88.5,44,98,44.9,0,0.3,1.3,-0.3,8,28,8,2,28
664,Aitor Fernandez,3.1,70,102,68.6,2328,1838,8,8,100.0,26,27,96.3,36,66,54.5,0,0.0,0.0,0.0,0,5,0,0,1
665,Alex Fernandez,1.3,32,38,84.2,554,217,14,16,87.5,13,14,92.9,3,4,75.0,0,0.1,0.1,-0.1,1,2,1,1,3
666,Alvaro Fernandez,0.8,26,33,78.8,323,49,21,23,91.3,4,5,80.0,0,3,0.0,0,0.1,0.0,-0.1,2,1,1,0,2
667,Carlos Fernandez,2.8,26,42,61.9,342,59,17,20,85.0,8,16,50.0,0,2,0.0,0,0.0,0.2,0.0,0,3,1,0,3
668,Enzo Fernandez,6.6,454,532,85.3,7882,2523,213,224,95.1,170,197,86.3,53,75,70.7,0,1.1,1.4,-1.1,12,64,17,1,75
669,Raul Fernandez,3.0,67,104,64.4,2013,1520,8,8,100.0,38,40,95.0,21,54,38.9,0,0.0,0.0,0.0,0,1,0,0,0
670,Valery Fernandez,1.6,52,65,80.0,694,115,32,36,88.9,16,22,72.7,2,3,66.7,0,0.0,0.1,0.0,0,2,1,1,1
671,Fernando,2.7,100,116,86.2,1656,457,54,59,91.5,37,43,86.0,8,10,80.0,0,0.0,0.1,0.0,1,12,2,0,13
672,Andre Ferreira,5.0,140,187,74.9,4114,2998,24,25,96.0,64,65,98.5,52,96,54.2,0,0.0,0.0,0.0,0,2,0,0,0
673,Joao Ferreira,2.6,83,99,83.8,1485,536,41,46,89.1,30,33,90.9,9,14,64.3,0,0.1,0.2,-0.1,2,7,3,3,5
674,Jordan Ferri,6.0,307,369,83.2,5617,1760,116,137,84.7,141,158,89.2,36,59,61.0,0,0.4,0.3,-0.4,6,30,7,3,46
677,Max Finkgrafe,0.6,15,25,60.0,199,39,9,13,69.2,5,5,100.0,0,1,0.0,0,0.2,0.1,-0.2,3,1,1,1,1
678,Mark Flekken,7.0,264,331,79.8,6673,4398,48,48,100.0,149,150,99.3,66,130,50.8,0,0.0,0.0,0.0,0,8,0,0,1
679,Alessandro Florenzi,2.3,156,188,83.0,2861,860,60,66,90.9,74,78,94.9,17,37,45.9,0,0.3,0.1,-0.3,3,9,0,0,11
680,Phil Foden,5.7,236,286,82.5,3198,576,156,168,92.9,54,66,81.8,11,25,44.0,3,1.3,1.2,+1.7,18,5,9,0,26
681,Wes Foderingham,7.0,166,255,65.1,5114,4151,40,40,100.0,63,65,96.9,63,149,42.3,0,0.0,0.0,0.0,0,2,0,0,0
682,Youssouf Fofana,6.7,330,408,80.9,5143,1796,172,197,87.3,124,150,82.7,20,29,69.0,1,0.8,1.0,+0.2,10,33,9,0,47
683,Jonas Fohrenbach,5.0,169,238,71.0,3225,1257,65,75,86.7,83,104,79.8,20,45,44.4,0,0.2,0.1,-0.2,4,10,3,1,16
684,Thomas Foket,6.8,288,359,80.2,4776,1392,139,162,85.8,121,143,84.6,22,39,56.4,0,0.3,0.9,-0.3,5,14,4,3,24
685,Michael Folorunsho,6.5,126,182,69.2,2070,473,57,66,86.4,53,75,70.7,11,23,47.8,0,0.2,0.1,-0.2,3,5,2,1,16
686,Pablo Fornals,1.6,51,64,79.7,842,154,25,30,83.3,15,18,83.3,7,9,77.8,0,0.1,0.1,-0.1,2,6,2,0,7
687,Emil Forsberg,1.8,56,69,81.2,874,119,32,37,86.5,22,23,95.7,2,4,50.0,0,0.1,0.1,-0.1,2,5,1,0,6
688,Philipp Forster,0.7,48,61,78.7,886,340,18,20,90.0,21,29,72.4,7,9,77.8,0,0.2,0.3,-0.2,4,5,4,3,10
689,Lyle Foster,4.7,73,103,70.9,1042,127,41,53,77.4,25,32,78.1,3,6,50.0,1,0.1,0.1,+0.9,3,3,3,0,5
690,Dimitri Foulquier,1.8,99,121,81.8,1548,544,48,56,85.7,44,50,88.0,4,12,33.3,0,0.2,0.2,-0.2,1,7,2,0,11
691,Juan Foyth,7.8,401,486,82.5,6536,2228,203,224,90.6,167,194,86.1,26,46,56.5,0,0.3,0.8,-0.3,4,40,6,2,42
692,Bartol Franjic,2.5,109,123,88.6,2183,495,30,35,85.7,68,73,93.2,11,14,78.6,0,0.0,0.1,0.0,0,12,1,1,11
693,Przemyslaw Frankowski,3.5,159,218,72.9,2654,829,80,93,86.0,62,85,72.9,12,21,57.1,0,0.9,0.8,-0.9,9,9,10,5,20
694,Davide Frattesi,2.0,38,48,79.2,636,167,16,17,94.1,15,21,71.4,4,4,100.0,0,0.0,0.0,0.0,0,3,2,0,6
696,Morten Frendrup,7.0,148,197,75.1,2314,546,79,96,82.3,53,69,76.8,9,14,64.3,3,0.4,0.2,+2.6,3,12,3,1,21
697,Remo Freuler,2.5,126,140,90.0,1743,474,71,76,93.4,46,48,95.8,2,5,40.0,0,0.1,0.1,-0.1,1,11,0,0,8
698,Marco Friedl,3.5,137,181,75.7,3067,1299,31,34,91.2,85,90,94.4,21,50,42.0,0,0.0,0.1,0.0,0,13,1,0,10
699,Marvin Friedrich,3.0,129,161,80.1,2253,844,56,59,94.9,66,74,89.2,7,25,28.0,0,0.0,0.0,0.0,1,8,0,0,11
700,Jeremie Frimpong,5.1,147,192,76.6,2083,306,92,104,88.5,44,58,75.9,7,10,70.0,3,1.3,0.8,+1.7,9,8,3,1,6
702,Jorge de Frutos,2.3,45,64,70.3,871,256,20,25,80.0,20,24,83.3,5,9,55.6,0,0.5,0.2,-0.5,2,5,4,2,6
703,Chris Fuhrich,5.6,174,217,80.2,2475,763,98,113,86.7,48,61,78.7,13,25,52.0,4,2.4,1.7,+1.6,14,9,8,3,18
704,Angelo Fulgini,4.7,153,218,70.2,2559,774,77,94,81.9,41,52,78.8,22,46,47.8,1,0.5,0.6,+0.5,10,16,4,1,26
705,Niclas Fullkrug,2.0,48,66,72.7,799,274,27,33,81.8,15,22,68.2,6,7,85.7,0,0.3,0.4,-0.3,2,7,2,0,9
706,Niclas Fullkrug,2.2,36,54,66.7,487,50,20,29,69.0,9,10,90.0,3,5,60.0,1,0.3,0.1,+0.7,2,1,2,0,3
707,Matteo Gabbia,3.8,159,183,86.9,3185,1155,61,68,89.7,73,77,94.8,24,34,70.6,0,0.1,0.0,-0.1,1,14,1,0,7
709,Roberto Gagliardini,6.5,333,368,90.5,5989,1271,140,147,95.2,163,175,93.1,26,34,76.5,0,0.2,0.3,-0.2,4,29,3,0,32
710,Cody Gakpo,3.6,60,83,72.3,819,250,34,39,87.2,23,32,71.9,1,3,33.3,0,0.2,0.2,-0.2,4,8,4,0,16
711,Javi Galan,0.7,30,40,75.0,427,85,16,18,88.9,12,15,80.0,1,4,25.0,0,0.1,0.1,-0.1,2,0,1,1,2
712,Inigo Ruiz de Galarreta,5.7,238,308,77.3,3898,1052,122,142,85.9,93,118,78.8,18,32,56.3,0,0.4,0.5,-0.4,5,25,6,0,35
713,Conor Gallagher,6.5,370,416,88.9,5225,1178,218,233,93.6,120,137,87.6,15,18,83.3,0,0.6,0.7,-0.6,5,32,8,0,43
714,Antonino Gallo,3.8,145,188,77.1,2587,966,68,79,86.1,59,69,85.5,13,26,50.0,1,0.6,0.4,+0.4,7,15,8,5,29
715,Cristian Gamboa,1.1,36,54,66.7,718,291,15,17,88.2,13,19,68.4,7,17,41.2,0,0.1,0.2,-0.1,2,9,3,1,7
716,Kevin Gameiro,2.0,45,55,81.8,678,122,27,29,93.1,12,16,75.0,4,4,100.0,0,0.4,0.2,-0.4,1,4,0,0,3
717,Idrissa Gana Gueye,6.0,248,284,87.3,3664,987,125,139,89.9,110,120,91.7,5,10,50.0,0,0.5,0.4,-0.5,5,24,5,1,25
719,Aleix Garcia,8.0,527,603,87.4,10171,3056,233,251,92.8,200,213,93.9,81,121,66.9,1,1.2,1.5,-0.2,12,61,6,1,61
720,Alvaro Garcia,7.8,149,227,65.6,2279,733,91,111,82.0,44,63,69.8,11,35,31.4,1,1.7,1.5,-0.7,13,13,9,6,21
721,Dani Garcia,1.6,46,55,83.6,781,194,21,22,95.5,17,21,81.0,6,8,75.0,0,0.0,0.0,0.0,0,5,0,0,8
722,David Garcia,7.0,294,353,83.3,5854,2149,79,90,87.8,181,199,91.0,33,60,55.0,0,0.0,0.1,0.0,0,35,1,0,26
723,Eric Garcia,0.6,46,48,95.8,802,308,22,23,95.7,21,21,100.0,3,4,75.0,0,0.0,0.0,0.0,0,4,0,0,5
724,Eric Garcia,3.7,194,219,88.6,3564,1300,67,70,95.7,110,114,96.5,15,30,50.0,0,0.0,0.1,0.0,0,22,2,0,19
725,Fran Garcia,5.0,268,313,85.6,3765,1024,173,183,94.5,79,89,88.8,10,24,41.7,2,1.1,0.7,+0.9,6,11,3,3,14
726,Francisco Jesus Crespo Garcia,2.5,58,77,75.3,906,220,29,34,85.3,21,27,77.8,4,10,40.0,0,0.2,0.2,-0.2,3,1,1,0,8
728,Raul Garcia,0.7,11,21,52.4,153,46,4,9,44.4,4,6,66.7,1,2,50.0,0,0.0,0.0,0.0,0,3,0,0,2
729,Ruben Garcia,3.4,100,145,69.0,1661,494,49,62,79.0,37,49,75.5,10,20,50.0,0,0.7,0.9,-0.7,7,4,5,0,12
731,Alejandro Garnacho,1.9,51,70,72.9,661,104,35,41,85.4,14,21,66.7,1,3,33.3,0,0.0,0.1,0.0,1,2,4,0,5
732,James Garner,5.9,143,200,71.5,2340,800,73,82,89.0,50,62,80.6,13,33,39.4,1,1.9,1.5,-0.9,12,17,7,3,21
733,Luca Garritano,1.2,31,47,66.0,525,213,16,20,80.0,9,13,69.2,4,9,44.4,0,0.1,0.0,-0.1,1,8,0,0,6
734,Johan Gastien,6.1,380,453,83.9,7084,2592,152,176,86.4,162,180,90.0,51,73,69.9,0,0.2,0.8,-0.2,6,47,7,1,60
735,Federico Gatti,4.2,159,185,85.9,2935,1010,66,66,100.0,74,84,88.1,18,29,62.1,0,0.5,0.5,-0.5,1,5,0,0,12
736,Federico Gattoni,0.1,5,6,83.3,100,20,2,2,100.0,2,3,66.7,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
737,Gavi,6.5,329,362,90.9,4744,944,203,215,94.4,98,111,88.3,18,21,85.7,1,0.8,1.0,+0.2,8,24,6,1,25
738,Paulo Gazzaniga,8.0,210,298,70.5,6013,4593,41,41,100.0,109,111,98.2,60,145,41.4,0,0.7,0.0,-0.7,2,4,1,0,0
739,Gelabert,2.5,74,96,77.1,1066,240,40,50,80.0,26,34,76.5,3,4,75.0,1,0.3,0.2,+0.7,3,4,1,0,8
740,Francesco Gelli,3.9,129,154,83.8,1718,454,84,89,94.4,32,37,86.5,5,13,38.5,0,0.1,0.2,-0.1,2,6,7,1,13
741,Valentin Gendrey,6.0,229,282,81.2,3638,1706,130,141,92.2,85,102,83.3,12,30,40.0,2,0.3,0.2,+1.7,7,24,3,2,26
742,Denis Genreau,3.8,94,137,68.6,1370,336,56,75,74.7,29,37,78.4,5,8,62.5,0,0.3,0.3,-0.3,4,7,3,1,9
743,Yannick Gerhardt,3.8,89,117,76.1,1395,304,42,52,80.8,38,45,84.4,5,8,62.5,0,0.0,0.5,0.0,0,4,1,1,3
744,Anwar El Ghazi,0.4,12,16,75.0,164,29,8,10,80.0,2,3,66.7,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,3
745,Saman Ghoddos,0.4,30,36,83.3,581,193,12,13,92.3,13,16,81.3,5,7,71.4,0,0.1,0.2,-0.1,2,4,2,1,6
746,Morgan Gibbs-White,6.3,166,245,67.8,3077,1143,84,102,82.4,41,66,62.1,34,58,58.6,1,1.3,1.0,-0.3,11,21,6,1,29
747,Samuel Gigot,5.0,199,236,84.3,3666,1166,70,80,87.5,115,123,93.5,12,26,46.2,0,0.2,0.1,-0.2,3,9,2,1,18
748,Billy Gilmour,4.8,368,405,90.9,5900,1509,179,185,96.8,158,170,92.9,20,33,60.6,1,1.5,1.1,-0.5,11,27,10,2,39
750,Matthias Ginter,6.0,249,313,79.6,4595,1645,97,109,89.0,134,161,83.2,18,39,46.2,0,0.0,0.1,0.0,1,17,1,0,26
752,Klaus Gjasula,3.0,98,126,77.8,1858,815,39,44,88.6,48,57,84.2,10,23,43.5,0,0.0,0.2,0.0,1,5,0,0,5
754,Serge Gnabry,1.8,65,75,86.7,892,152,42,44,95.5,16,19,84.2,3,4,75.0,0,0.5,0.7,-0.5,5,2,2,0,6
756,Edoardo Goldaniga,0.5,14,17,82.4,227,94,7,7,100.0,6,7,85.7,1,3,33.3,0,0.0,0.1,0.0,0,1,1,0,1
757,Aleksandr Golovin,5.8,212,285,74.4,3265,866,111,134,82.8,68,87,78.2,19,34,55.9,1,0.4,1.2,+0.6,5,17,12,2,28
758,Angel Gomes,5.8,408,437,93.4,7539,1733,171,179,95.5,178,188,94.7,52,59,88.1,2,0.9,1.0,+1.1,8,46,10,0,43
759,Joao Gomes,6.2,203,248,81.9,3066,845,118,130,90.8,65,79,82.3,11,18,61.1,0,0.3,0.1,-0.3,4,14,2,1,18
