,Player,Squad,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
0,Ismael Aaneba,Strasbourg,2.3,157,9,49,80,31,0,157,3,2,66.7,1,33.3,70,381,239,3,4,0,4,2,71,8
1,Patrick van Aanholt,Crystal Palace,35.5,2300,123,666,1046,611,63,2300,42,22,52.4,20,47.6,1051,5415,3184,89,69,16,35,15,1335,106
2,Ignazio Abate,Milan,14.5,1070,67,342,579,156,11,1070,10,4,40.0,6,60.0,646,2673,1487,27,13,4,8,2,695,43
3,Issah Abbas,Mainz 05,0.1,4,0,0,1,4,0,4,1,1,100.0,0,0.0,3,55,8,0,2,0,1,0,2,0
4,Yunis Abdelhamid,Reims,38.0,2027,259,1276,738,46,27,2027,23,21,91.3,2,8.7,1040,5366,2909,16,7,1,16,6,1182,1
5,Mehdi Abeid,Dijon,22.5,1356,30,252,870,258,21,1355,60,31,51.7,29,48.3,786,4914,2328,43,23,4,40,31,908,50
6,Charles Abi,Saint-Étienne,0.4,29,1,6,10,14,4,29,3,2,66.7,1,33.3,16,123,52,2,2,0,3,2,17,0
7,David Abraham,Eint Frankfurt,15.8,839,94,370,434,47,8,839,7,6,85.7,1,14.3,418,2652,1566,20,14,0,5,2,442,7
8,Amir Abrashi,Freiburg,8.8,461,24,112,294,58,1,461,5,3,60.0,2,40.0,193,944,422,6,4,1,4,8,266,9
9,Francesco Acerbi,Lazio,36.8,2178,257,1019,1060,112,28,2178,11,9,81.8,2,18.2,1191,7946,4406,39,26,2,20,8,1306,17
10,Afriyie Acquah,Empoli,16.8,901,22,132,474,315,29,901,35,27,77.1,8,22.9,623,4409,2387,58,45,9,32,21,690,76
11,Tyler Adams,RB Leipzig,8.0,641,16,87,443,119,6,641,19,14,73.7,5,26.3,292,1928,1164,19,19,0,18,6,405,12
12,Antonio Adan,Atlético Madrid,1.0,28,25,28,0,0,0,28,0,0,0.0,0,0.0,10,70,57,0,0,0,0,0,8,0
13,Aday,Girona,7.2,380,21,87,161,136,6,380,9,6,66.7,3,33.3,204,1587,836,35,24,5,8,4,227,40
14,Khaled Adenon,Amiens,22.2,1203,127,587,598,24,16,1203,1,1,100.0,0,0.0,687,3746,2202,13,4,0,5,7,701,1
15,Claud Adjapong,Sassuolo,3.0,147,5,29,62,59,8,147,14,6,42.9,8,57.1,71,399,168,6,4,4,12,6,79,19
16,Yacine Adli,Bordeaux,2.4,184,0,12,107,68,6,184,15,9,60.0,6,40.0,112,838,341,13,12,2,11,5,147,17
17,Ali Adnan Kadhim,Atalanta,1.8,137,7,34,56,50,4,137,7,5,71.4,2,28.6,73,419,252,7,2,0,0,1,79,11
18,Aritz Aduriz,Athletic Club,10.5,313,4,18,149,148,37,311,9,2,22.2,7,77.8,142,520,170,8,5,1,23,6,256,57
19,Luis Advincula,Rayo Vallecano,26.5,1462,84,439,671,370,25,1462,53,39,73.6,14,26.4,824,4387,2172,51,32,7,41,33,865,136
20,Martin Agirregabiria,Alavés,22.6,1200,89,403,595,218,9,1200,39,26,66.7,13,33.3,478,2887,1656,36,21,4,20,11,567,56
