,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK
0,Patrick van Aanholt,nl NED,"DF,MF",Crystal Palace,Premier League,25.0,1990.0,11.0,8.0,714.0,7.9,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.25,0.0,0.25,0.25,0.25
1,Patrick van Aanholt,nl NED,"DF,MF",Sunderland,Premier League,25.0,1990.0,21.0,20.0,1784.0,19.8,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,0.15,0.05,0.2,0.15,0.2
2,Ignazio Abate,it ITA,DF,Milan,Serie A,29.0,1986.0,23.0,22.0,1924.0,21.4,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.09,0.09,0.0,0.09
3,Yunis Abdelhamid,ma MAR,DF,Dijon,Ligue 1,28.0,1987.0,18.0,15.0,1314.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Aymen Abdennour,tn TUN,DF,Valencia,La Liga,26.0,1989.0,13.0,9.0,879.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Mehdi Abeid,dz ALG,MF,Dijon,Ligue 1,23.0,1992.0,28.0,27.0,2374.0,26.4,3.0,2.0,5.0,3.0,0.0,0.0,8.0,0.0,0.11,0.08,0.19,0.11,0.19
6,David Abraham,ar ARG,DF,Eint Frankfurt,Bundesliga,30.0,1986.0,30.0,30.0,2584.0,28.7,1.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,0.03,0.03,0.07,0.03,0.07
7,Amir Abrashi,al ALB,MF,Freiburg,Bundesliga,26.0,1990.0,20.0,16.0,1320.0,14.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.07,0.0,0.07,0.07,0.07
8,Francesco Acerbi,it ITA,DF,Sassuolo,Serie A,28.0,1988.0,38.0,38.0,3420.0,38.0,4.0,0.0,4.0,3.0,1.0,1.0,2.0,0.0,0.11,0.0,0.11,0.08,0.08
9,Geoffrey Acheampong,gh GHA,MF,Bastia,Ligue 1,19.0,1997.0,2.0,0.0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Maxwell Acosty,gh GHA,"MF,FW",Crotone,Serie A,24.0,1991.0,11.0,3.0,378.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Afriyie Acquah,gh GHA,MF,Torino,Serie A,24.0,1992.0,20.0,13.0,1077.0,12.0,2.0,0.0,2.0,2.0,0.0,0.0,5.0,6.0,0.17,0.0,0.17,0.17,0.17
12,Charlie Adam,sct SCO,MF,Stoke City,Premier League,30.0,1985.0,24.0,17.0,1517.0,16.9,1.0,3.0,4.0,0.0,1.0,1.0,7.0,0.0,0.06,0.18,0.24,0.0,0.18
13,Antonio Adán,es ESP,GK,Betis,La Liga,29.0,1987.0,37.0,37.0,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Jordan Adéoti,bj BEN,DF,Caen,Ligue 1,27.0,1989.0,27.0,23.0,2120.0,23.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.04,0.04,0.0,0.04
15,Claud Adjapong,it ITA,"DF,FW",Sassuolo,Serie A,18.0,1998.0,9.0,6.0,510.0,5.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.18,0.0,0.18,0.18,0.18
16,René Adler,de GER,GK,Hamburger SV,Bundesliga,31.0,1985.0,19.0,19.0,1710.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Ali Adnan Kadhim,iq IRQ,"DF,MF",Udinese,Serie A,22.0,1993.0,14.0,8.0,872.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Albert Adomah,gh GHA,MF,Middlesbrough,Premier League,28.0,1987.0,2.0,1.0,122.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Adrián,es ESP,GK,West Ham,Premier League,29.0,1987.0,16.0,16.0,1440.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Luiz Adriano,br BRA,FW,Milan,Serie A,29.0,1987.0,7.0,1.0,127.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Aritz Aduriz,es ESP,FW,Athletic Club,La Liga,35.0,1981.0,32.0,27.0,2458.0,27.3,16.0,1.0,17.0,11.0,5.0,5.0,8.0,1.0,0.59,0.04,0.62,0.4,0.44
22,Ibrahim Afellay,nl NED,MF,Stoke City,Premier League,30.0,1986.0,12.0,3.0,384.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Akram Afif,qa QAT,MF,Sporting Gijón,La Liga,19.0,1996.0,9.0,2.0,234.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Benik Afobe,cd COD,FW,Bournemouth,Premier League,23.0,1993.0,31.0,14.0,1461.0,16.2,6.0,3.0,9.0,6.0,0.0,1.0,1.0,0.0,0.37,0.18,0.55,0.37,0.55
26,Sergio Agüero,ar ARG,FW,Manchester City,Premier League,28.0,1988.0,31.0,25.0,2403.0,26.7,20.0,4.0,24.0,16.0,4.0,5.0,4.0,1.0,0.75,0.15,0.9,0.6,0.75
27,Dan Agyei,eng ENG,"FW,MF",Burnley,Premier League,19.0,1997.0,3.0,0.0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
