,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK
566,Ciaran Clark,IRL,DF,Aston Villa,eng Premier League,25.0,1989.0,18.0,16.0,1442.0,16.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.06,0.0,0.06,0.06,0.06
567,Jake Clarke-Salter,GBR,DF,Chelsea,eng Premier League,17.0,1997.0,1.0,0.0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
568,Jordy Clasie,NLD,MF,Southampton,eng Premier League,24.0,1991.0,22.0,20.0,1538.0,17.1,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
569,Cléber,BRA,DF,Hamburger SV,de Bundesliga,24.0,1990.0,23.0,15.0,1473.0,16.4,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.06,0.0,0.06,0.06,0.06
570,Christian Clemens,DEU,MF,Mainz 05,de Bundesliga,23.0,1991.0,28.0,20.0,1718.0,19.1,5.0,3.0,5.0,0.0,0.0,1.0,0.0,0.26,0.16,0.42,0.26,0.42
572,Jérémy Clément,FRA,MF,Saint-Étienne,fr Ligue 1,30.0,1984.0,27.0,25.0,2221.0,24.7,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.04,0.04,0.0,0.04
573,François Clerc,FRA,"DF,MF",Saint-Étienne,fr Ligue 1,32.0,1983.0,10.0,10.0,871.0,9.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1
574,Tom Cleverley,GBR,MF,Everton,eng Premier League,25.0,1989.0,22.0,17.0,1612.0,17.9,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.11,0.22,0.33,0.11,0.33
575,Gaël Clichy,FRA,DF,Manchester City,eng Premier League,30.0,1985.0,14.0,12.0,1087.0,12.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08
576,Nathaniel Clyne,GBR,DF,Liverpool,eng Premier League,24.0,1991.0,33.0,33.0,2970.0,33.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.03,0.0,0.03,0.03,0.03
577,Sebastián Coates,URY,DF,Sunderland,eng Premier League,24.0,1990.0,16.0,14.0,1229.0,13.7,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.22,0.22,0.0,0.22
578,Marcus Coco,FRA,MF,Guingamp,fr Ligue 1,19.0,1996.0,30.0,20.0,1726.0,19.2,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.05,0.1,0.16,0.05,0.16
579,Andrea Coda,ITA,DF,Sampdoria,it Serie A,30.0,1985.0,4.0,2.0,123.0,1.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
580,Alexandre Coeff,FRA,DF,Gazélec Ajaccio,fr Ligue 1,23.0,1992.0,24.0,22.0,1997.0,22.2,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.09,0.09,0.0,0.09
581,Fábio Coentrão,PRT,"DF,MF",Monaco,fr Ligue 1,27.0,1988.0,15.0,13.0,1081.0,12.0,3.0,2.0,3.0,0.0,0.0,4.0,0.0,0.25,0.17,0.42,0.25,0.42
582,Isaac Cofie,GHA,MF,Carpi,it Serie A,23.0,1991.0,29.0,26.0,2149.0,23.9,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.04,0.04,0.0,0.04
583,Renaud Cohade,FRA,MF,Saint-Étienne,fr Ligue 1,30.0,1984.0,19.0,14.0,1143.0,12.7,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.16,0.16,0.0,0.16
584,Almog Cohen,ISR,MF,Ingolstadt 04,de Bundesliga,26.0,1988.0,20.0,8.0,832.0,9.2,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.22,0.22,0.0,0.22
585,Coke,ESP,DF,Sevilla,es La Liga,28.0,1987.0,21.0,20.0,1739.0,19.3,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.05,0.05,0.1,0.05,0.1
586,Jack Colback,GBR,MF,Newcastle Utd,eng Premier League,25.0,1989.0,29.0,28.0,2387.0,26.5,1.0,1.0,1.0,0.0,0.0,11.0,0.0,0.04,0.04,0.08,0.04,0.08
587,Séamus Coleman,IRL,DF,Everton,eng Premier League,26.0,1988.0,28.0,27.0,2383.0,26.5,1.0,3.0,1.0,0.0,0.0,4.0,0.0,0.04,0.11,0.15,0.04,0.15
588,James Collins,GB-WLS,DF,West Ham,eng Premier League,31.0,1983.0,19.0,16.0,1441.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
589,Fabricio Coloccini,ARG,DF,Newcastle Utd,eng Premier League,33.0,1982.0,26.0,26.0,2292.0,25.5,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.04,0.0,0.04,0.04,0.04
590,Simone Colombi,ITA,GK,Carpi,it Serie A,24.0,1991.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
591,Simone Colombi,ITA,GK,Palermo,it Serie A,24.0,1991.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
592,Kingsley Coman,FRA,FW,Juventus,it Serie A,19.0,1996.0,1.0,1.0,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
593,Kingsley Coman,FRA,"MF,FW",Bayern Munich,de Bundesliga,19.0,1996.0,23.0,20.0,1685.0,18.7,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.21,0.32,0.53,0.21,0.53
594,Alois Confais,FRA,"DF,MF",Troyes,fr Ligue 1,18.0,1996.0,15.0,13.0,1208.0,13.4,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.07,0.07,0.0,0.07
595,Daniel Congré,FRA,DF,Montpellier,fr Ligue 1,30.0,1985.0,35.0,35.0,3128.0,34.8,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.06,0.0,0.06,0.06,0.06
596,Callum Connolly,GBR,"DF,MF",Everton,eng Premier League,17.0,1997.0,1.0,0.0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
598,Andrea Consigli,ITA,GK,Sassuolo,it Serie A,28.0,1987.0,37.0,37.0,3270.0,36.3,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
599,Kévin Constant,GIN,DF,Bologna,it Serie A,28.0,1987.0,7.0,3.0,281.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,Antoine Conte,GIN,DF,Reims,fr Ligue 1,21.0,1994.0,11.0,11.0,918.0,10.2,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
601,Diego Contento,DEU,DF,Bordeaux,fr Ligue 1,25.0,1990.0,25.0,24.0,2113.0,23.5,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.09,0.0,0.09,0.09,0.09
602,Andrea Conti,ITA,"MF,DF",Atalanta,it Serie A,21.0,1994.0,14.0,10.0,814.0,9.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,0.22,0.11,0.33,0.22,0.33
603,Steve Cook,GBR,DF,Bournemouth,eng Premier League,24.0,1991.0,36.0,36.0,3195.0,35.5,4.0,0.0,4.0,0.0,0.0,5.0,0.0,0.11,0.0,0.11,0.11,0.11
604,Duje Čop,HRV,"FW,MF",Málaga,es La Liga,25.0,1990.0,31.0,25.0,2047.0,22.7,7.0,3.0,6.0,1.0,1.0,3.0,0.0,0.31,0.13,0.44,0.26,0.4
605,Ferdinando Coppola,ITA,GK,Hellas Verona,it Serie A,37.0,1978.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606,Francis Coquelin,FRA,MF,Arsenal,eng Premier League,24.0,1991.0,26.0,21.0,1644.0,18.3,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
607,Sébastien Corchia,FRA,"DF,MF",Lille,fr Ligue 1,24.0,1990.0,33.0,30.0,2630.0,29.2,2.0,2.0,2.0,0.0,0.0,6.0,0.0,0.07,0.07,0.14,0.07,0.14
608,Jhon Córdoba,COL,FW,Mainz 05,de Bundesliga,22.0,1993.0,22.0,14.0,1391.0,15.5,5.0,2.0,5.0,0.0,0.0,2.0,0.0,0.32,0.13,0.45,0.32,0.45
609,Benjamin Corgnet,FRA,MF,Saint-Étienne,fr Ligue 1,28.0,1987.0,16.0,5.0,551.0,6.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.16,0.16,0.33,0.16,0.33
610,Jack Cork,GBR,MF,Swansea City,eng Premier League,26.0,1989.0,35.0,28.0,2546.0,28.3,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.04,0.07,0.11,0.04,0.11
611,Maxwel Cornet,CIV,"FW,MF",Lyon,fr Ligue 1,18.0,1996.0,31.0,16.0,1512.0,16.8,8.0,1.0,8.0,0.0,0.0,3.0,1.0,0.48,0.06,0.54,0.48,0.54
612,Quentin Cornette,FRA,MF,Montpellier,fr Ligue 1,21.0,1994.0,5.0,1.0,150.0,1.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
613,Imanol Corral,ESP,DF,Eibar,es La Liga,21.0,1994.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
614,Ángel Correa,ARG,"MF,FW",Atlético Madrid,es La Liga,20.0,1995.0,26.0,8.0,958.0,10.6,5.0,4.0,5.0,0.0,0.0,7.0,0.0,0.47,0.38,0.85,0.47,0.85
615,Joaquín Correa,ARG,"MF,FW",Sampdoria,it Serie A,20.0,1994.0,25.0,14.0,1311.0,14.6,3.0,1.0,3.0,0.0,0.0,6.0,1.0,0.21,0.07,0.27,0.21,0.27
616,Rober Correa,ESP,DF,Espanyol,es La Liga,22.0,1992.0,7.0,5.0,467.0,5.2,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
617,Jonathan Correia,FRA,DF,Nice,fr Ligue 1,21.0,1994.0,4.0,2.0,235.0,2.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
618,Uroš Ćosić,SRB,DF,Empoli,it Serie A,22.0,1992.0,9.0,9.0,810.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
619,Andrea Costa,ITA,DF,Empoli,it Serie A,29.0,1986.0,24.0,23.0,2081.0,23.1,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.04,0.0,0.04,0.04,0.04
620,Danny da Costa,DEU,DF,Ingolstadt 04,de Bundesliga,22.0,1993.0,20.0,17.0,1525.0,16.9,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.24,0.24,0.0,0.24
621,Diego Costa,ESP,FW,Chelsea,eng Premier League,26.0,1988.0,28.0,27.0,2373.0,26.4,12.0,6.0,12.0,0.0,0.0,8.0,0.0,0.46,0.23,0.68,0.46,0.68
622,Douglas Costa,BRA,MF,Bayern Munich,de Bundesliga,24.0,1990.0,27.0,23.0,1963.0,21.8,4.0,9.0,4.0,0.0,0.0,1.0,0.0,0.18,0.41,0.6,0.18,0.6
624,Filippo Costa,ITA,"DF,MF",Chievo,it Serie A,20.0,1995.0,6.0,0.0,134.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
625,Hélder Costa,AGO,"MF,FW",Monaco,fr Ligue 1,21.0,1994.0,25.0,15.0,1290.0,14.3,3.0,2.0,3.0,0.0,0.0,4.0,0.0,0.21,0.14,0.35,0.21,0.35
626,Jaume Costa,ESP,DF,Villarreal,es La Liga,27.0,1988.0,18.0,17.0,1538.0,17.1,1.0,1.0,1.0,0.0,0.0,8.0,0.0,0.06,0.06,0.12,0.06,0.12
627,Angelo da Costa Júnior,BRA,GK,Bologna,it Serie A,31.0,1983.0,5.0,5.0,450.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
628,Ricardo Costa,PRT,DF,Granada,es La Liga,34.0,1981.0,14.0,14.0,1250.0,13.9,1.0,0.0,1.0,0.0,0.0,7.0,0.0,0.07,0.0,0.07,0.07,0.07
629,Tino Costa,ARG,MF,Fiorentina,it Serie A,30.0,1985.0,7.0,3.0,289.0,3.2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
630,Tino Costa,ARG,MF,Genoa,it Serie A,30.0,1985.0,12.0,12.0,925.0,10.3,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
631,Benoît Costil,FRA,GK,Rennes,fr Ligue 1,28.0,1987.0,31.0,31.0,2790.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
632,Antonio Cotán,ESP,MF,Sevilla,es La Liga,19.0,1995.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
633,Lassana Coulibaly,MLI,MF,Bastia,fr Ligue 1,19.0,1996.0,15.0,7.0,704.0,7.8,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.13,0.0,0.13,0.13,0.13
634,Yoann Court,FRA,"MF,FW",Troyes,fr Ligue 1,25.0,1990.0,25.0,11.0,958.0,10.6,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
635,Thibaut Courtois,BEL,GK,Chelsea,eng Premier League,23.0,1992.0,23.0,23.0,2020.0,22.4,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
636,Philippe Coutinho,BRA,"MF,FW",Liverpool,eng Premier League,23.0,1992.0,26.0,24.0,1996.0,22.2,8.0,5.0,8.0,0.0,0.0,3.0,1.0,0.36,0.23,0.59,0.36,0.59
637,Aaron Cresswell,GBR,DF,West Ham,eng Premier League,25.0,1989.0,37.0,37.0,3314.0,36.8,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.05,0.11,0.16,0.05,0.16
638,Marco Crimi,ITA,MF,Bologna,it Serie A,25.0,1990.0,1.0,1.0,44.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
639,Marco Crimi,ITA,"MF,FW",Carpi,it Serie A,25.0,1990.0,19.0,10.0,970.0,10.8,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.09,0.09,0.0,0.09
640,Lorenzo Crisetig,ITA,MF,Bologna,it Serie A,22.0,1993.0,5.0,4.0,355.0,3.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
641,Bryan Cristante,ITA,MF,Palermo,it Serie A,20.0,1995.0,4.0,1.0,94.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
642,Sebastián Cristóforo,URY,MF,Sevilla,es La Liga,21.0,1993.0,21.0,17.0,1446.0,16.1,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.06,0.06,0.0,0.06
643,Enzo Crivelli,FRA,FW,Bordeaux,fr Ligue 1,20.0,1995.0,29.0,15.0,1531.0,17.0,3.0,4.0,3.0,0.0,0.0,8.0,1.0,0.18,0.24,0.41,0.18,0.41
644,Roberto Crivello,ITA,DF,Frosinone,it Serie A,23.0,1991.0,17.0,16.0,1439.0,16.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.06,0.06,0.0,0.06
645,Daniele Croce,ITA,MF,Empoli,it Serie A,32.0,1982.0,28.0,19.0,1789.0,19.9,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.05,0.05,0.0,0.05
646,Peter Crouch,GBR,FW,Stoke City,eng Premier League,34.0,1981.0,11.0,4.0,463.0,5.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.0,0.19
647,Juan Cuadrado,COL,"DF,FW",Chelsea,eng Premier League,27.0,1988.0,1.0,0.0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
648,Juan Cuadrado,COL,"MF,FW",Juventus,it Serie A,27.0,1988.0,28.0,16.0,1724.0,19.2,4.0,5.0,4.0,0.0,0.0,2.0,0.0,0.21,0.26,0.47,0.21,0.47
650,Iván Cuéllar,ESP,GK,Sporting Gijón,es La Liga,31.0,1984.0,32.0,32.0,2880.0,32.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.06,0.06,0.0,0.06
651,Isaac Cuenca,ESP,"MF,FW",Granada,es La Liga,24.0,1991.0,12.0,8.0,788.0,8.8,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.23,0.23,0.46,0.23,0.46
652,Mauricio Cuero,COL,"MF,FW",Levante,es La Liga,22.0,1993.0,13.0,5.0,482.0,5.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.19,0.19,0.0,0.19
653,Emmanuel Culio,ARG,MF,Las Palmas,es La Liga,31.0,1983.0,12.0,6.0,560.0,6.2,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.16,0.16,0.0,0.16
654,Josh Cullen,IRL,"DF,MF",West Ham,eng Premier League,19.0,1996.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
655,Curro,ESP,MF,Sevilla,es La Liga,19.0,1996.0,4.0,3.0,301.0,3.3,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.3,0.3,0.0,0.3
656,Marco D'Alessandro,ITA,"FW,MF",Atalanta,it Serie A,24.0,1991.0,23.0,11.0,1152.0,12.8,3.0,2.0,3.0,0.0,0.0,3.0,0.0,0.23,0.16,0.39,0.23,0.39
657,Danilo D'Ambrosio,ITA,"DF,MF",Inter,it Serie A,26.0,1988.0,20.0,18.0,1616.0,18.0,2.0,0.0,2.0,0.0,0.0,4.0,1.0,0.11,0.0,0.11,0.11,0.11
658,Damien Da Silva,FRA,DF,Caen,fr Ligue 1,27.0,1988.0,28.0,28.0,2481.0,27.6,2.0,0.0,2.0,0.0,0.0,4.0,1.0,0.07,0.0,0.07,0.07,0.07
659,Bryan Dabo,BFA,"MF,DF",Montpellier,fr Ligue 1,23.0,1992.0,36.0,32.0,2851.0,31.7,5.0,1.0,5.0,0.0,0.0,7.0,0.0,0.16,0.03,0.19,0.16,0.19
660,Mouhamadou Dabo,FRA,DF,Troyes,fr Ligue 1,28.0,1986.0,17.0,14.0,1061.0,11.8,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
661,Mahmoud Dahoud,DEU,MF,M'Gladbach,de Bundesliga,19.0,1996.0,32.0,27.0,2066.0,23.0,5.0,8.0,5.0,0.0,0.0,4.0,0.0,0.22,0.35,0.57,0.22,0.57
662,Dario Dainelli,ITA,DF,Chievo,it Serie A,36.0,1979.0,18.0,15.0,1378.0,15.3,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.07,0.0,0.07,0.07,0.07
663,Felipe dal Belo,BRA,DF,Udinese,it Serie A,31.0,1984.0,26.0,26.0,2139.0,23.8,1.0,1.0,1.0,0.0,0.0,11.0,1.0,0.04,0.04,0.08,0.04,0.08
664,Leandro Damião,BRA,FW,Betis,es La Liga,26.0,1989.0,3.0,1.0,130.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
665,Gaël Danic,FRA,"MF,FW",Bastia,fr Ligue 1,33.0,1981.0,37.0,32.0,2696.0,30.0,5.0,4.0,4.0,1.0,1.0,7.0,0.0,0.17,0.13,0.3,0.13,0.27
666,Charlie Daniels,GBR,DF,Bournemouth,eng Premier League,28.0,1986.0,37.0,37.0,3285.0,36.5,3.0,5.0,1.0,2.0,2.0,2.0,0.0,0.08,0.14,0.22,0.03,0.16
667,Danilo,BRA,DF,Real Madrid,es La Liga,24.0,1991.0,24.0,23.0,2044.0,22.7,2.0,5.0,2.0,0.0,0.0,6.0,0.0,0.09,0.22,0.31,0.09,0.31
668,Scott Dann,GBR,DF,Crystal Palace,eng Premier League,28.0,1987.0,35.0,35.0,3150.0,35.0,5.0,1.0,5.0,0.0,0.0,7.0,0.0,0.14,0.03,0.17,0.14,0.17
669,Dante,BRA,DF,Bayern Munich,de Bundesliga,31.0,1983.0,1.0,0.0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
670,Dante,BRA,DF,Wolfsburg,de Bundesliga,31.0,1983.0,23.0,23.0,2065.0,22.9,1.0,0.0,1.0,0.0,0.0,6.0,2.0,0.04,0.0,0.04,0.04,0.04
671,Romain Danzé,FRA,DF,Rennes,fr Ligue 1,29.0,1986.0,21.0,19.0,1612.0,17.9,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.17,0.17,0.0,0.17
672,Fabio Daprelà,CHE,"DF,MF",Carpi,it Serie A,24.0,1991.0,2.0,0.0,62.0,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
673,Fabio Daprelà,CHE,MF,Palermo,it Serie A,24.0,1991.0,5.0,1.0,154.0,1.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
674,Stéphane Darbion,FRA,MF,Troyes,fr Ligue 1,31.0,1984.0,26.0,18.0,1654.0,18.4,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.05,0.11,0.16,0.05,0.16
676,Sergi Darder,ESP,MF,Málaga,es La Liga,21.0,1993.0,1.0,1.0,84.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
677,Sergi Darder,ESP,MF,Lyon,fr Ligue 1,21.0,1993.0,26.0,18.0,1477.0,16.4,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.12,0.06,0.18,0.12,0.18
678,Vladimír Darida,CZE,MF,Hertha BSC,de Bundesliga,24.0,1990.0,31.0,30.0,2589.0,28.8,5.0,2.0,5.0,0.0,0.0,6.0,0.0,0.17,0.07,0.24,0.17,0.24
679,Karl Darlow,GBR,GK,Newcastle Utd,eng Premier League,24.0,1990.0,9.0,9.0,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
680,Matteo Darmian,ITA,DF,Manchester Utd,eng Premier League,25.0,1989.0,28.0,24.0,1924.0,21.4,1.0,0.0,1.0,0.0,0.0,8.0,0.0,0.05,0.0,0.05,0.05,0.05
681,Ben Davies,GB-WLS,DF,Tottenham,eng Premier League,22.0,1993.0,17.0,14.0,1291.0,14.3,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.14,0.14,0.0,0.14
682,Tom Davies,GBR,FW,Everton,eng Premier League,17.0,1998.0,2.0,1.0,98.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
683,Kelvin Davis,GBR,GK,Southampton,eng Premier League,38.0,1976.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
684,Steven Davis,NIC,MF,Southampton,eng Premier League,30.0,1985.0,34.0,31.0,2602.0,28.9,5.0,3.0,5.0,0.0,0.0,4.0,0.0,0.17,0.1,0.28,0.17,0.28
685,Craig Dawson,GBR,DF,West Brom,eng Premier League,25.0,1990.0,38.0,38.0,3384.0,37.6,4.0,0.0,4.0,0.0,0.0,3.0,0.0,0.11,0.0,0.11,0.11,0.11
686,Kevin De Bruyne,BEL,MF,Manchester City,eng Premier League,24.0,1991.0,25.0,22.0,2002.0,22.2,7.0,9.0,7.0,0.0,0.0,2.0,0.0,0.31,0.4,0.72,0.31,0.72
687,Kevin De Bruyne,BEL,MF,Wolfsburg,de Bundesliga,24.0,1991.0,2.0,2.0,164.0,1.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
688,Paolo De Ceglie,ITA,DF,Marseille,fr Ligue 1,28.0,1986.0,7.0,3.0,305.0,3.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
689,Ritchie De Laet,BEL,DF,Leicester City,eng Premier League,26.0,1988.0,12.0,7.0,657.0,7.3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.14,0.0,0.14,0.14,0.14
690,Sebastien De Maio,FRA,DF,Genoa,it Serie A,28.0,1987.0,28.0,25.0,2234.0,24.8,1.0,1.0,1.0,0.0,0.0,6.0,1.0,0.04,0.04,0.08,0.04,0.08
691,Rodrigo De Paul,ARG,"MF,FW",Valencia,es La Liga,21.0,1994.0,9.0,6.0,521.0,5.8,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
692,Nill De Pauw,COD,MF,Guingamp,fr Ligue 1,25.0,1990.0,13.0,3.0,365.0,4.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
693,Daniele De Rossi,ITA,"MF,DF",Roma,it Serie A,32.0,1983.0,24.0,23.0,1905.0,21.2,1.0,2.0,1.0,0.0,0.0,9.0,0.0,0.05,0.09,0.14,0.05,0.14
694,Morgan De Sanctis,ITA,GK,Roma,it Serie A,38.0,1977.0,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
695,Mattia De Sciglio,ITA,DF,Milan,it Serie A,22.0,1992.0,22.0,21.0,1840.0,20.4,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.05,0.05,0.0,0.05
696,Lorenzo De Silvestri,ITA,"MF,DF",Sampdoria,it Serie A,27.0,1988.0,17.0,17.0,1392.0,15.5,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.06,0.13,0.19,0.06,0.19
697,Lucas Deaux,FRA,"MF,DF",Nantes,fr Ligue 1,26.0,1988.0,16.0,13.0,1184.0,13.2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
698,Mathieu Debuchy,FRA,DF,Arsenal,eng Premier League,30.0,1985.0,2.0,2.0,142.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
699,Mathieu Debuchy,FRA,DF,Bordeaux,fr Ligue 1,30.0,1985.0,9.0,9.0,780.0,8.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
700,Troy Deeney,GBR,"FW,MF",Watford,eng Premier League,27.0,1988.0,38.0,36.0,3291.0,36.6,13.0,7.0,7.0,6.0,7.0,6.0,0.0,0.36,0.19,0.55,0.19,0.38
