,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK
172,Holger Badstuber,DEU,DF,Bayern Munich,de Bundesliga,26.0,1989.0,7.0,5.0,471.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,Raúl Baena,ESP,MF,Rayo Vallecano,es La Liga,26.0,1989.0,24.0,22.0,1836.0,20.4,1.0,1.0,1.0,0.0,0.0,12.0,1.0,0.05,0.05,0.1,0.05,0.1
174,Jean-Christophe Bahebeck,FRA,"MF,FW",Saint-Étienne,fr Ligue 1,22.0,1993.0,16.0,11.0,837.0,9.3,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.11,0.0,0.11,0.11,0.11
175,Farès Bahlouli,FRA,MF,Monaco,fr Ligue 1,20.0,1995.0,8.0,2.0,180.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.5,0.5
176,Nabil Bahoui,SWE,MF,Hamburger SV,de Bundesliga,24.0,1991.0,6.0,2.0,212.0,2.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
177,Mike-Steven Bähre,DEU,MF,Hannover 96,de Bundesliga,19.0,1995.0,1.0,0.0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,Daniel Baier,DEU,MF,Augsburg,de Bundesliga,31.0,1984.0,28.0,28.0,2324.0,25.8,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.04,0.08,0.12,0.04,0.12
179,Eric Bailly,CIV,DF,Villarreal,es La Liga,21.0,1994.0,25.0,25.0,2019.0,22.4,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
180,Leighton Baines,GBR,DF,Everton,eng Premier League,30.0,1984.0,18.0,16.0,1479.0,16.4,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.12,0.06,0.18,0.06,0.12
182,Cédric Bakambu,COD,FW,Villarreal,es La Liga,24.0,1991.0,34.0,21.0,1859.0,20.7,12.0,3.0,12.0,0.0,0.0,4.0,0.0,0.58,0.15,0.73,0.58,0.73
183,Djamel Bakar,COM,FW,Montpellier,fr Ligue 1,26.0,1989.0,6.0,2.0,203.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
