,# Pl,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
0,36,38.0,539,14.18,350,72,22,34,51,10,38,1.0,23,0,3,5,5,2
1,29,38.0,758,19.95,533,73,51,51,33,17,76,2.0,51,7,8,7,3,0
2,33,38.0,647,17.03,471,56,44,25,44,7,53,1.39,35,5,2,4,7,0
3,26,38.0,1045,27.5,776,78,57,73,43,18,150,3.95,121,6,5,13,3,2
4,26,38.0,751,19.76,565,50,48,38,40,10,84,2.21,55,2,6,12,6,3
5,27,38.0,928,24.42,681,87,64,51,33,12,113,2.97,83,5,6,11,7,1
6,26,38.0,945,24.87,678,96,56,59,40,16,78,2.05,54,3,6,7,7,1
7,27,38.0,958,25.21,756,59,47,51,32,13,116,3.05,82,7,9,13,3,2
8,34,34.0,578,17.0,383,76,26,42,37,14,70,2.06,42,6,3,10,5,4
9,33,38.0,733,19.29,528,61,52,40,35,17,50,1.32,28,4,3,7,8,0
10,29,38.0,1049,27.61,824,65,62,58,29,11,125,3.29,106,2,6,11,0,0
11,28,34.0,1094,32.18,841,63,68,78,24,20,153,4.5,114,2,12,16,5,4
12,30,38.0,741,19.5,547,55,53,44,35,7,69,1.82,47,3,5,9,5,0
13,26,34.0,678,19.94,464,92,22,41,46,13,67,1.97,44,10,4,4,5,0
14,27,38.0,866,22.79,642,72,45,49,46,12,91,2.39,64,11,3,7,6,0
15,31,38.0,616,16.21,445,45,52,43,24,7,64,1.68,44,5,4,8,2,1
16,25,38.0,702,18.47,475,99,32,45,44,7,98,2.58,65,8,4,8,11,2
17,29,38.0,736,19.37,495,98,33,50,41,19,73,1.92,39,10,4,8,9,3
18,29,38.0,1074,28.26,819,73,80,63,27,12,114,3.0,83,3,12,9,6,1
19,38,38.0,663,17.45,461,69,36,42,38,17,49,1.29,32,2,8,5,2,0
20,26,38.0,819,21.55,623,62,45,41,37,11,70,1.84,55,3,6,3,1,2
21,32,38.0,859,22.61,667,66,42,42,31,11,68,1.79,57,3,2,2,4,0
22,28,38.0,668,17.58,497,51,32,39,39,10,72,1.89,45,4,5,11,6,1
23,33,38.0,789,20.76,551,81,37,61,45,14,53,1.39,31,5,4,9,4,0
24,26,38.0,746,19.63,497,67,56,49,59,18,67,1.76,43,6,6,6,4,2
25,30,34.0,1014,29.82,735,74,80,72,41,12,144,4.24,102,5,16,10,8,3
26,28,34.0,711,20.91,507,62,50,47,35,10,95,2.79,64,2,10,11,8,0
27,32,38.0,726,19.11,495,103,47,37,33,11,54,1.42,36,7,0,4,5,2
28,32,38.0,767,20.18,537,77,46,46,47,14,60,1.58,39,6,6,5,4,0
29,33,38.0,735,19.34,506,79,43,53,41,13,84,2.21,58,2,5,13,3,3
30,28,38.0,735,19.34,495,84,37,54,45,20,59,1.55,41,5,5,2,4,2
31,30,38.0,1068,28.11,763,113,54,70,53,15,89,2.34,64,6,7,7,4,1
32,27,34.0,724,21.29,499,87,31,51,45,11,87,2.56,57,11,3,7,9,0
33,29,38.0,751,19.76,528,78,29,54,47,15,90,2.37,56,9,5,11,7,2
34,25,38.0,619,16.29,414,84,25,35,54,7,51,1.34,38,4,2,2,4,1
35,29,38.0,821,21.61,597,86,41,45,43,9,102,2.68,70,10,1,5,13,3
36,36,38.0,704,18.53,482,90,41,42,29,20,50,1.32,31,4,5,7,2,1
37,32,34.0,652,19.18,436,65,56,38,42,15,70,2.06,49,4,5,3,9,0
38,31,34.0,719,21.15,513,65,46,36,47,12,83,2.44,57,3,9,7,6,1
39,25,38.0,1104,29.05,816,117,29,79,52,11,118,3.11,88,4,7,10,7,2
40,29,38.0,911,23.97,638,94,50,77,38,14,91,2.39,61,7,3,9,9,2
41,27,34.0,705,20.74,505,78,37,50,27,8,78,2.29,57,4,5,7,5,0
42,24,38.0,760,20.0,576,56,44,43,32,9,103,2.71,78,3,6,11,5,0
43,29,38.0,699,18.39,483,84,43,42,38,9,50,1.32,38,2,4,3,2,1
