,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Progression - PrgR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
0,Max Aarons,eng ENG,DF,Norwich City,Premier League,21.0,2000.0,34.0,32.0,2881.0,32.0,0.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,0.8,0.8,1.7,2.5,78.0,117.0,85.0,0.0,0.06,0.06,0.0,0.06,0.03,0.05,0.08,0.03,0.08
1,Yunis Abdelhamid,ma MAR,DF,Reims,Ligue 1,33.0,1987.0,34.0,34.0,2983.0,33.1,2.0,0.0,2.0,2.0,0.0,0.0,5.0,1.0,1.2,1.2,0.8,2.0,23.0,119.0,14.0,0.06,0.0,0.06,0.06,0.06,0.04,0.02,0.06,0.04,0.06
2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,Ligue 1,21.0,2000.0,31.0,29.0,2462.0,27.4,1.0,0.0,1.0,1.0,0.0,0.0,12.0,3.0,0.7,0.7,0.9,1.6,24.0,108.0,47.0,0.04,0.0,0.04,0.04,0.04,0.03,0.03,0.06,0.03,0.06
3,Laurent Abergel,fr FRA,MF,Lorient,Ligue 1,28.0,1993.0,34.0,34.0,2956.0,32.8,0.0,2.0,2.0,0.0,0.0,0.0,9.0,0.0,1.5,1.5,3.7,5.1,30.0,171.0,73.0,0.0,0.06,0.06,0.0,0.06,0.04,0.11,0.16,0.04,0.16
4,Charles Abi,fr FRA,FW,Saint-Étienne,Ligue 1,21.0,2000.0,1.0,1.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Dickson Abiama,ng NGA,FW,Greuther Fürth,Bundesliga,22.0,1998.0,24.0,5.0,726.0,8.1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.8,1.8,1.3,3.2,14.0,17.0,38.0,0.0,0.12,0.12,0.0,0.12,0.23,0.16,0.39,0.23,0.39
6,Matthis Abline,fr FRA,FW,Rennes,Ligue 1,18.0,2003.0,7.0,1.0,103.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.24,0.24,0.24
7,Tammy Abraham,eng ENG,FW,Roma,Serie A,23.0,1997.0,37.0,36.0,3084.0,34.3,17.0,4.0,21.0,14.0,3.0,3.0,9.0,0.0,20.7,18.4,4.8,23.2,41.0,70.0,199.0,0.5,0.12,0.61,0.41,0.53,0.6,0.14,0.74,0.54,0.68
8,Luis Abram,pe PER,DF,Granada,La Liga,25.0,1996.0,8.0,6.0,560.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.0,0.3,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
9,Francesco Acerbi,it ITA,DF,Lazio,Serie A,33.0,1988.0,30.0,29.0,2536.0,28.2,4.0,0.0,4.0,4.0,0.0,0.0,2.0,1.0,2.4,2.4,0.5,2.9,31.0,119.0,10.0,0.14,0.0,0.14,0.14,0.14,0.09,0.02,0.1,0.09,0.1
