Player,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
Yusuf Demir,695,AUT,FW,Barcelona,es La Liga,18.0,2003.0,6.0,2.0,192.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.05,0.0,0.05,0.05,0.05,695,AUT,FW,Barcelona,es La Liga,18.0,2003.0,2.1,0.0,1.0,0.0,0.0,0.47,0.0,0.0,,12.4,0.0,0.0,0.0,0.1,0.1,0.1,-0.1,-0.1
Merih Demiral,696,TUR,DF,Atalanta,it Serie A,23.0,1998.0,28.0,22.0,1917.0,21.3,1.0,2.0,1.0,0.0,0.0,8.0,0.0,0.05,0.09,0.14,0.05,0.14,3.0,3.0,0.6,3.6,0.14,0.03,0.17,0.14,0.17,696,TUR,DF,Atalanta,it Serie A,23.0,1998.0,21.3,1.0,25.0,6.0,24.0,1.17,0.28,0.04,0.17,10.2,0.0,0.0,0.0,3.0,3.0,0.12,-2.0,-2.0
Kerem Demirbay,697,DEU,MF,Leverkusen,de Bundesliga,28.0,1993.0,29.0,23.0,2049.0,22.8,1.0,4.0,0.0,1.0,2.0,10.0,0.0,0.04,0.18,0.22,0.0,0.18,3.8,2.2,5.1,7.3,0.17,0.22,0.39,0.1,0.32,697,DEU,MF,Leverkusen,de Bundesliga,28.0,1993.0,22.8,1.0,36.0,11.0,30.6,1.58,0.48,0.0,0.0,25.4,6.0,1.0,2.0,3.8,2.2,0.06,-2.8,-2.2
Ermedin Demirović,698,BIH,FW,Freiburg,de Bundesliga,23.0,1998.0,31.0,9.0,871.0,9.7,2.0,3.0,2.0,0.0,0.0,4.0,0.0,0.21,0.31,0.52,0.21,0.52,3.3,3.3,1.7,5.0,0.34,0.17,0.52,0.34,0.52,698,BIH,FW,Freiburg,de Bundesliga,23.0,1998.0,9.7,2.0,25.0,9.0,36.0,2.58,0.93,0.08,0.22,12.7,0.0,0.0,0.0,3.3,3.3,0.13,-1.3,-1.3
Diego Demme,699,DEU,MF,Napoli,it Serie A,29.0,1991.0,19.0,7.0,692.0,7.7,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.13,0.0,0.13,0.13,0.13,0.5,0.5,0.5,1.0,0.07,0.06,0.13,0.07,0.13,699,DEU,MF,Napoli,it Serie A,29.0,1991.0,7.7,1.0,2.0,1.0,50.0,0.26,0.13,0.5,1.0,13.3,0.0,0.0,0.0,0.5,0.5,0.25,0.5,0.5
Jason Denayer,700,BEL,DF,Lyon,fr Ligue 1,26.0,1995.0,15.0,12.0,1002.0,11.1,3.0,0.0,3.0,0.0,0.0,2.0,0.0,0.27,0.0,0.27,0.27,0.27,1.6,1.6,0.1,1.6,0.14,0.01,0.15,0.14,0.15,700,BEL,DF,Lyon,fr Ligue 1,26.0,1995.0,11.1,3.0,6.0,4.0,66.7,0.54,0.36,0.5,0.75,7.7,0.0,0.0,0.0,1.6,1.6,0.26,1.4,1.4
Leander Dendoncker,702,BEL,MF,Wolves,eng Premier League,26.0,1995.0,30.0,21.0,1950.0,21.7,2.0,2.0,2.0,0.0,0.0,4.0,0.0,0.09,0.09,0.18,0.09,0.18,2.9,2.9,1.3,4.1,0.13,0.06,0.19,0.13,0.19,702,BEL,MF,Wolves,eng Premier League,26.0,1995.0,21.7,2.0,23.0,10.0,43.5,1.06,0.46,0.09,0.2,16.1,0.0,0.0,0.0,2.9,2.9,0.12,-0.9,-0.9
Emmanuel Dennis,703,NGA,"FW,MF",Watford,eng Premier League,23.0,1997.0,33.0,30.0,2581.0,28.7,10.0,6.0,10.0,0.0,0.0,9.0,1.0,0.35,0.21,0.56,0.35,0.56,7.7,7.6,4.6,12.2,0.27,0.16,0.43,0.27,0.43,703,NGA,"FW,MF",Watford,eng Premier League,23.0,1997.0,28.7,10.0,60.0,26.0,43.3,2.09,0.91,0.17,0.38,15.5,7.0,0.0,0.0,7.7,7.6,0.13,2.3,2.4
Fabio Depaoli,704,ITA,DF,Hellas Verona,it Serie A,24.0,1997.0,18.0,7.0,703.0,7.8,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.13,0.13,0.26,0.13,0.26,1.0,1.0,0.7,1.7,0.13,0.1,0.22,0.13,0.22,704,ITA,DF,Hellas Verona,it Serie A,24.0,1997.0,7.8,1.0,10.0,4.0,40.0,1.28,0.51,0.1,0.25,15.5,0.0,0.0,0.0,1.0,1.0,0.1,0.0,0.0
Memphis Depay,706,NLD,FW,Barcelona,es La Liga,27.0,1994.0,28.0,20.0,1851.0,20.6,12.0,2.0,8.0,4.0,5.0,3.0,0.0,0.58,0.1,0.68,0.39,0.49,11.5,7.5,5.1,12.7,0.56,0.25,0.81,0.37,0.62,706,NLD,FW,Barcelona,es La Liga,27.0,1994.0,20.6,12.0,56.0,29.0,51.8,2.72,1.41,0.14,0.28,19.4,6.0,4.0,5.0,11.5,7.5,0.13,0.5,0.5
Mike van der Hoorn,707,NLD,DF,Arminia,de Bundesliga,28.0,1992.0,1.0,0.0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707,NLD,DF,Arminia,de Bundesliga,28.0,1992.0,0.2,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Arthur Desmas,708,FRA,GK,Clermont Foot,fr Ligue 1,27.0,1994.0,15.0,15.0,1304.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708,FRA,GK,Clermont Foot,fr Ligue 1,27.0,1994.0,14.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Sergiño Dest,709,USA,"DF,FW",Barcelona,es La Liga,20.0,2000.0,21.0,17.0,1512.0,16.8,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.18,0.18,0.0,0.18,1.4,1.4,2.8,4.2,0.08,0.17,0.25,0.08,0.25,709,USA,"DF,FW",Barcelona,es La Liga,20.0,2000.0,16.8,0.0,12.0,3.0,25.0,0.71,0.18,0.0,0.0,16.6,0.0,0.0,0.0,1.4,1.4,0.12,-1.4,-1.4
Mattia Destro,710,ITA,FW,Genoa,it Serie A,30.0,1991.0,27.0,21.0,1744.0,19.4,9.0,1.0,9.0,0.0,0.0,4.0,0.0,0.46,0.05,0.52,0.46,0.52,7.9,7.9,1.3,9.2,0.41,0.07,0.48,0.41,0.48,710,ITA,FW,Genoa,it Serie A,30.0,1991.0,19.4,9.0,54.0,20.0,37.0,2.79,1.03,0.17,0.45,13.7,0.0,0.0,0.0,7.9,7.9,0.15,1.1,1.1
Gerard Deulofeu,711,ESP,"FW,MF",Udinese,it Serie A,27.0,1994.0,34.0,31.0,2616.0,29.1,13.0,5.0,12.0,1.0,1.0,9.0,0.0,0.45,0.17,0.62,0.41,0.58,8.6,7.8,8.7,16.5,0.3,0.3,0.59,0.27,0.57,711,ESP,"FW,MF",Udinese,it Serie A,27.0,1994.0,29.1,13.0,77.0,33.0,42.9,2.65,1.14,0.16,0.36,17.8,13.0,1.0,1.0,8.6,7.8,0.1,4.4,4.2
Kiernan Dewsbury-Hall,712,GBR,MF,Leicester City,eng Premier League,22.0,1998.0,28.0,23.0,2105.0,23.4,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.04,0.09,0.13,0.04,0.13,1.6,1.6,3.3,4.9,0.07,0.14,0.21,0.07,0.21,712,GBR,MF,Leicester City,eng Premier League,22.0,1998.0,23.4,1.0,21.0,3.0,14.3,0.9,0.13,0.05,0.33,21.6,1.0,0.0,0.0,1.6,1.6,0.08,-0.6,-0.6
Jacopo Dezi,713,ITA,MF,Venezia,it Serie A,29.0,1992.0,1.0,0.0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.19,0.39,0.2,0.39,713,ITA,MF,Venezia,it Serie A,29.0,1992.0,0.2,0.0,1.0,0.0,0.0,5.63,0.0,0.0,,24.3,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
Samuel Di Carmine,714,ITA,FW,Hellas Verona,it Serie A,32.0,1988.0,1.0,0.0,36.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.16,0.0,0.16,0.16,0.16,714,ITA,FW,Hellas Verona,it Serie A,32.0,1988.0,0.4,0.0,1.0,0.0,0.0,2.5,0.0,0.0,,16.1,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1
Federico Di Francesco,715,ITA,"FW,MF",Empoli,it Serie A,27.0,1994.0,26.0,17.0,1367.0,15.2,5.0,0.0,5.0,0.0,0.0,2.0,0.0,0.33,0.0,0.33,0.33,0.33,2.4,2.4,1.3,3.7,0.16,0.08,0.24,0.16,0.24,715,ITA,"FW,MF",Empoli,it Serie A,27.0,1994.0,15.2,5.0,26.0,8.0,30.8,1.71,0.53,0.19,0.63,18.9,0.0,0.0,0.0,2.4,2.4,0.09,2.6,2.6
Giovanni Di Lorenzo,716,ITA,DF,Napoli,it Serie A,27.0,1993.0,33.0,33.0,2869.0,31.9,1.0,4.0,1.0,0.0,0.0,3.0,0.0,0.03,0.13,0.16,0.03,0.16,1.5,1.5,3.3,4.9,0.05,0.1,0.15,0.05,0.15,716,ITA,DF,Napoli,it Serie A,27.0,1993.0,31.9,1.0,19.0,4.0,21.1,0.6,0.13,0.05,0.25,11.9,0.0,0.0,0.0,1.5,1.5,0.08,-0.5,-0.5
Ángel Di María,717,ARG,FW,Paris S-G,fr Ligue 1,33.0,1988.0,26.0,19.0,1645.0,18.3,5.0,7.0,5.0,0.0,0.0,2.0,0.0,0.27,0.38,0.66,0.27,0.66,6.0,6.0,8.0,14.0,0.33,0.44,0.77,0.33,0.77,717,ARG,FW,Paris S-G,fr Ligue 1,33.0,1988.0,18.3,5.0,51.0,22.0,43.1,2.79,1.2,0.1,0.23,19.7,1.0,0.0,0.0,6.0,6.0,0.12,-1.0,-1.0
Francesco Di Mariano,718,ITA,FW,Venezia,it Serie A,25.0,1996.0,1.0,1.0,62.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.09,0.09,0.0,0.09,718,ITA,FW,Venezia,it Serie A,25.0,1996.0,0.7,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Francesco Di Tacchio,719,ITA,MF,Salernitana,it Serie A,31.0,1990.0,18.0,14.0,1255.0,13.9,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.3,0.9,0.04,0.02,0.06,0.04,0.06,719,ITA,MF,Salernitana,it Serie A,31.0,1990.0,13.9,0.0,14.0,1.0,7.1,1.0,0.07,0.0,0.0,25.1,1.0,0.0,0.0,0.6,0.6,0.04,-0.6,-0.6
Boulaye Dia,720,SEN,FW,Villarreal,es La Liga,24.0,1996.0,25.0,13.0,1269.0,14.1,5.0,5.0,5.0,0.0,0.0,3.0,0.0,0.35,0.35,0.71,0.35,0.71,5.9,5.9,2.7,8.7,0.42,0.19,0.62,0.42,0.62,720,SEN,FW,Villarreal,es La Liga,24.0,1996.0,14.1,5.0,37.0,11.0,29.7,2.62,0.78,0.14,0.45,14.3,0.0,0.0,0.0,5.9,5.9,0.16,-0.9,-0.9
Moussa Diaby,721,FRA,"FW,MF",Leverkusen,de Bundesliga,22.0,1999.0,32.0,32.0,2760.0,30.7,13.0,12.0,13.0,0.0,1.0,10.0,1.0,0.42,0.39,0.82,0.42,0.82,8.4,7.7,9.9,17.6,0.28,0.32,0.6,0.25,0.57,721,FRA,"FW,MF",Leverkusen,de Bundesliga,22.0,1999.0,30.7,13.0,53.0,26.0,49.1,1.73,0.85,0.25,0.5,16.2,0.0,0.0,1.0,8.4,7.7,0.15,4.6,5.3
Yadaly Diaby,722,FRA,"FW,MF",Clermont Foot,fr Ligue 1,20.0,2000.0,5.0,0.0,67.0,0.7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.32,0.0,0.32,0.32,0.32,722,FRA,"FW,MF",Clermont Foot,fr Ligue 1,20.0,2000.0,0.7,0.0,2.0,0.0,0.0,2.69,0.0,0.0,,14.9,0.0,0.0,0.0,0.2,0.2,0.12,-0.2,-0.2
Mouctar Diakhaby,723,GIN,DF,Valencia,es La Liga,24.0,1996.0,29.0,21.0,1948.0,21.6,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.05,0.05,0.0,0.05,0.9,0.9,0.4,1.3,0.04,0.02,0.06,0.04,0.06,723,GIN,DF,Valencia,es La Liga,24.0,1996.0,21.6,0.0,8.0,2.0,25.0,0.37,0.09,0.0,0.0,9.9,0.0,0.0,0.0,0.9,0.9,0.12,-0.9,-0.9
Ibrahim Diakité,724,GIN,MF,Reims,fr Ligue 1,17.0,2003.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724,GIN,MF,Reims,fr Ligue 1,17.0,2003.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Abdou Diallo,725,SEN,DF,Paris S-G,fr Ligue 1,25.0,1996.0,12.0,10.0,877.0,9.7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.9,1.0,0.01,0.09,0.1,0.01,0.1,725,SEN,DF,Paris S-G,fr Ligue 1,25.0,1996.0,9.7,0.0,2.0,1.0,50.0,0.21,0.1,0.0,0.0,16.3,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1
Habib Diallo,726,SEN,FW,Strasbourg,fr Ligue 1,26.0,1995.0,31.0,16.0,1541.0,17.1,11.0,1.0,9.0,2.0,2.0,2.0,0.0,0.64,0.06,0.7,0.53,0.58,9.3,8.3,2.6,10.9,0.54,0.15,0.69,0.48,0.64,726,SEN,FW,Strasbourg,fr Ligue 1,26.0,1995.0,17.1,11.0,49.0,21.0,42.9,2.86,1.23,0.18,0.43,13.2,0.0,2.0,2.0,9.3,8.3,0.17,1.7,0.7
Ibrahima Diallo,728,FRA,MF,Southampton,eng Premier League,22.0,1999.0,23.0,10.0,1023.0,11.4,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.18,0.18,0.0,0.18,0.6,0.6,1.3,1.9,0.05,0.12,0.16,0.05,0.16,728,FRA,MF,Southampton,eng Premier League,22.0,1999.0,11.4,0.0,8.0,4.0,50.0,0.7,0.35,0.0,0.0,21.3,0.0,0.0,0.0,0.6,0.6,0.07,-0.6,-0.6
Mouhamadou Diarra,729,SEN,MF,Strasbourg,fr Ligue 1,17.0,2004.0,4.0,1.0,109.0,1.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729,SEN,MF,Strasbourg,fr Ligue 1,17.0,2004.0,1.2,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Stéphane Diarra,730,FRA,"MF,FW",Lorient,fr Ligue 1,22.0,1998.0,15.0,5.0,525.0,5.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.9,3.2,0.23,0.32,0.55,0.23,0.55,730,FRA,"MF,FW",Lorient,fr Ligue 1,22.0,1998.0,5.8,0.0,13.0,4.0,30.8,2.23,0.69,0.0,0.0,18.8,0.0,0.0,0.0,1.3,1.3,0.1,-1.3,-1.3
Rúben Dias,731,PRT,DF,Manchester City,eng Premier League,24.0,1997.0,29.0,27.0,2402.0,26.7,2.0,4.0,2.0,0.0,0.0,5.0,0.0,0.07,0.15,0.22,0.07,0.22,2.7,2.7,3.1,5.7,0.1,0.11,0.21,0.1,0.21,731,PRT,DF,Manchester City,eng Premier League,24.0,1997.0,26.7,2.0,18.0,3.0,16.7,0.67,0.11,0.11,0.67,11.8,0.0,0.0,0.0,2.7,2.7,0.15,-0.7,-0.7
Krepin Diatta,732,SEN,"MF,DF",Monaco,fr Ligue 1,22.0,1999.0,8.0,3.0,285.0,3.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.32,0.0,0.32,0.32,0.32,0.2,0.2,0.3,0.4,0.05,0.08,0.13,0.05,0.13,732,SEN,"MF,DF",Monaco,fr Ligue 1,22.0,1999.0,3.2,1.0,3.0,3.0,100.0,0.95,0.95,0.33,0.33,17.4,0.0,0.0,0.0,0.2,0.2,0.05,0.8,0.8
Amadou Diawara,733,GIN,MF,Roma,it Serie A,24.0,1997.0,4.0,2.0,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.02,0.03,0.05,0.02,0.05,733,GIN,MF,Roma,it Serie A,24.0,1997.0,1.9,0.0,1.0,0.0,0.0,0.53,0.0,0.0,,25.5,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
Brahim Díaz,734,ESP,MF,Milan,it Serie A,21.0,1999.0,31.0,25.0,1855.0,20.6,3.0,3.0,3.0,0.0,0.0,4.0,0.0,0.15,0.15,0.29,0.15,0.29,4.4,4.4,3.2,7.6,0.21,0.15,0.37,0.21,0.37,734,ESP,MF,Milan,it Serie A,21.0,1999.0,20.6,3.0,30.0,6.0,20.0,1.46,0.29,0.1,0.5,17.0,0.0,0.0,0.0,4.4,4.4,0.15,-1.4,-1.4
Javier Díaz,735,ESP,GK,Sevilla,es La Liga,24.0,1997.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735,ESP,GK,Sevilla,es La Liga,24.0,1997.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Luis Díaz,736,COL,FW,Liverpool,eng Premier League,24.0,1997.0,13.0,11.0,958.0,10.6,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.38,0.28,0.66,0.38,0.66,4.4,4.4,3.0,7.4,0.42,0.28,0.7,0.42,0.7,736,COL,FW,Liverpool,eng Premier League,24.0,1997.0,10.6,4.0,38.0,13.0,34.2,3.57,1.22,0.11,0.31,16.7,0.0,0.0,0.0,4.4,4.4,0.12,-0.4,-0.4
Víctor Díaz,737,ESP,DF,Granada,es La Liga,33.0,1988.0,22.0,18.0,1500.0,16.7,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.06,0.0,0.06,0.06,0.06,0.8,0.8,0.1,0.9,0.05,0.01,0.05,0.05,0.05,737,ESP,DF,Granada,es La Liga,33.0,1988.0,16.7,1.0,13.0,2.0,15.4,0.78,0.12,0.08,0.5,22.3,0.0,0.0,0.0,0.8,0.8,0.06,0.2,0.2
Daniel Didavi,738,DEU,"MF,FW",Stuttgart,de Bundesliga,31.0,1990.0,10.0,2.0,277.0,3.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.32,0.32,0.0,0.32,0.9,0.9,0.7,1.7,0.31,0.23,0.54,0.31,0.54,738,DEU,"MF,FW",Stuttgart,de Bundesliga,31.0,1990.0,3.1,0.0,7.0,3.0,42.9,2.27,0.97,0.0,0.0,17.2,1.0,0.0,0.0,0.9,0.9,0.14,-0.9,-0.9
Bamba Dieng,739,SEN,FW,Marseille,fr Ligue 1,21.0,2000.0,25.0,11.0,975.0,10.8,7.0,1.0,6.0,1.0,1.0,0.0,1.0,0.65,0.09,0.74,0.55,0.65,8.4,7.6,2.1,9.7,0.78,0.19,0.97,0.7,0.89,739,SEN,FW,Marseille,fr Ligue 1,21.0,2000.0,10.8,7.0,36.0,18.0,50.0,3.32,1.66,0.17,0.33,11.9,0.0,1.0,1.0,8.4,7.6,0.21,-1.4,-1.6
Eric Dier,740,GBR,DF,Tottenham,eng Premier League,27.0,1994.0,35.0,35.0,3071.0,34.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.7,2.0,0.04,0.02,0.06,0.04,0.06,740,GBR,DF,Tottenham,eng Premier League,27.0,1994.0,34.1,0.0,13.0,4.0,30.8,0.38,0.12,0.0,0.0,14.4,4.0,0.0,0.0,1.3,1.3,0.1,-1.3,-1.3
Elhadji Dieye,741,SEN,"FW,MF",Saint-Étienne,fr Ligue 1,19.0,2002.0,5.0,0.0,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.26,0.0,0.26,0.26,0.26,741,SEN,"FW,MF",Saint-Étienne,fr Ligue 1,19.0,2002.0,0.4,0.0,2.0,0.0,0.0,5.29,0.0,0.0,,17.9,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1
Lucas Digne,742,FRA,DF,Aston Villa,eng Premier League,28.0,1993.0,16.0,16.0,1269.0,14.1,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.28,0.28,0.0,0.28,0.6,0.6,2.8,3.3,0.04,0.2,0.24,0.04,0.24,742,FRA,DF,Aston Villa,eng Premier League,28.0,1993.0,14.1,0.0,9.0,2.0,22.2,0.64,0.14,0.0,0.0,18.0,1.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6
Mitchell Dijks,744,NLD,"DF,FW",Bologna,it Serie A,28.0,1993.0,16.0,7.0,694.0,7.7,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.26,0.26,0.0,0.26,0.5,0.5,1.2,1.7,0.07,0.16,0.23,0.07,0.23,744,NLD,"DF,FW",Bologna,it Serie A,28.0,1993.0,7.7,0.0,4.0,0.0,0.0,0.52,0.0,0.0,,13.7,0.0,0.0,0.0,0.5,0.5,0.13,-0.5,-0.5
Javairô Dilrosun,745,NLD,"MF,FW",Bordeaux,fr Ligue 1,23.0,1998.0,32.0,19.0,1732.0,19.2,2.0,6.0,2.0,0.0,0.0,3.0,0.0,0.1,0.31,0.42,0.1,0.42,3.2,3.2,3.5,6.7,0.17,0.18,0.35,0.17,0.35,745,NLD,"MF,FW",Bordeaux,fr Ligue 1,23.0,1998.0,19.2,2.0,40.0,10.0,25.0,2.08,0.52,0.05,0.2,22.4,5.0,0.0,0.0,3.2,3.2,0.08,-1.2,-1.2
Federico Dimarco,747,ITA,DF,Inter,it Serie A,23.0,1997.0,32.0,13.0,1430.0,15.9,2.0,3.0,2.0,0.0,1.0,1.0,0.0,0.13,0.19,0.31,0.13,0.31,4.1,3.3,6.0,9.3,0.26,0.38,0.64,0.21,0.59,747,ITA,DF,Inter,it Serie A,23.0,1997.0,15.9,2.0,38.0,18.0,47.4,2.39,1.13,0.05,0.11,20.1,3.0,0.0,1.0,4.1,3.3,0.09,-2.1,-1.3
Landry Dimata,748,BEL,"FW,MF",Espanyol,es La Liga,23.0,1997.0,17.0,4.0,541.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.6,2.1,0.26,0.1,0.35,0.26,0.35,748,BEL,"FW,MF",Espanyol,es La Liga,23.0,1997.0,6.0,0.0,8.0,0.0,0.0,1.33,0.0,0.0,,11.7,0.0,0.0,0.0,1.5,1.5,0.19,-1.5,-1.5
Stole Dimitrievski,749,MKD,GK,Rayo Vallecano,es La Liga,27.0,1993.0,31.0,30.0,2772.0,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749,MKD,GK,Rayo Vallecano,es La Liga,27.0,1993.0,30.8,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Junior Dina Ebimbe,750,FRA,MF,Paris S-G,fr Ligue 1,20.0,2000.0,10.0,4.0,316.0,3.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.06,0.02,0.09,0.06,0.09,750,FRA,MF,Paris S-G,fr Ligue 1,20.0,2000.0,3.5,0.0,4.0,1.0,25.0,1.14,0.28,0.0,0.0,25.3,0.0,0.0,0.0,0.2,0.2,0.06,-0.2,-0.2
Tristan Dingomé,751,CMR,"MF,FW",Troyes,fr Ligue 1,30.0,1991.0,25.0,12.0,1077.0,12.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,0.17,0.33,0.5,0.17,0.5,1.1,1.1,3.2,4.4,0.1,0.27,0.36,0.1,0.36,751,CMR,"MF,FW",Troyes,fr Ligue 1,30.0,1991.0,12.0,2.0,20.0,4.0,20.0,1.67,0.33,0.1,0.5,22.8,1.0,0.0,0.0,1.1,1.1,0.06,0.9,0.9
Sinaly Diomande,752,CIV,DF,Lyon,fr Ligue 1,20.0,2001.0,11.0,5.0,579.0,6.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.04,0.0,0.05,0.04,0.05,752,CIV,DF,Lyon,fr Ligue 1,20.0,2001.0,6.4,0.0,3.0,0.0,0.0,0.47,0.0,0.0,,10.3,0.0,0.0,0.0,0.3,0.3,0.09,-0.3,-0.3
Issa Diop,754,FRA,DF,West Ham,eng Premier League,24.0,1997.0,13.0,10.0,963.0,10.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,0.2,0.2,0.3,0.4,0.02,0.02,0.04,0.02,0.04,754,FRA,DF,West Ham,eng Premier League,24.0,1997.0,10.7,0.0,2.0,2.0,100.0,0.19,0.19,0.0,0.0,9.9,0.0,0.0,0.0,0.2,0.2,0.09,-0.2,-0.2
Sofiane Diop,755,FRA,"MF,FW",Monaco,fr Ligue 1,21.0,2000.0,30.0,24.0,1948.0,21.6,6.0,4.0,6.0,0.0,0.0,6.0,0.0,0.28,0.18,0.46,0.28,0.46,5.6,5.6,4.2,9.7,0.26,0.19,0.45,0.26,0.45,755,FRA,"MF,FW",Monaco,fr Ligue 1,21.0,2000.0,21.6,6.0,37.0,13.0,35.1,1.71,0.6,0.16,0.46,17.2,2.0,0.0,0.0,5.6,5.6,0.15,0.4,0.4
