Player,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
Ragnar Ache,10,DEU,"MF,FW",Eint Frankfurt,de Bundesliga,23.0,1998.0,13.0,1.0,259.0,2.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.0,0.35,0.6,0.6,0.5,1.1,0.2,0.18,0.38,0.2,0.38,10,DEU,"MF,FW",Eint Frankfurt,de Bundesliga,23.0,1998.0,2.9,0.0,10.0,2.0,20.0,3.47,0.69,0.0,0.0,16.1,0.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6
Mohamed Achi,11,FRA,MF,Nantes,fr Ligue 1,19.0,2002.0,1.0,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,FRA,MF,Nantes,fr Ligue 1,19.0,2002.0,0.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Marcos Acuña,12,ARG,DF,Sevilla,es La Liga,29.0,1991.0,31.0,26.0,2260.0,25.1,1.0,3.0,1.0,0.0,0.0,10.0,0.0,0.04,0.12,0.16,0.04,0.16,1.5,1.5,3.5,5.0,0.06,0.14,0.2,0.06,0.2,12,ARG,DF,Sevilla,es La Liga,29.0,1991.0,25.1,1.0,16.0,5.0,31.3,0.64,0.2,0.06,0.2,21.7,1.0,0.0,0.0,1.5,1.5,0.09,-0.5,-0.5
Che Adams,13,SYC,FW,Southampton,eng Premier League,25.0,1996.0,30.0,23.0,2039.0,22.7,7.0,3.0,7.0,0.0,0.0,0.0,0.0,0.31,0.13,0.44,0.31,0.44,7.7,7.7,3.2,10.9,0.34,0.14,0.48,0.34,0.48,13,SYC,FW,Southampton,eng Premier League,25.0,1996.0,22.7,7.0,49.0,24.0,49.0,2.16,1.06,0.14,0.29,13.3,0.0,0.0,0.0,7.7,7.7,0.16,-0.7,-0.7
Tyler Adams,14,USA,MF,RB Leipzig,de Bundesliga,22.0,1999.0,24.0,12.0,1351.0,15.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.07,0.07,0.0,0.07,0.3,0.3,0.8,1.1,0.02,0.06,0.07,0.02,0.07,14,USA,MF,RB Leipzig,de Bundesliga,22.0,1999.0,15.0,0.0,2.0,0.0,0.0,0.13,0.0,0.0,,21.6,0.0,0.0,0.0,0.3,0.3,0.13,-0.3,-0.3
Sargis Adamyan,15,ARM,"FW,MF",Hoffenheim,de Bundesliga,28.0,1993.0,13.0,2.0,331.0,3.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.27,0.4,0.4,0.5,0.9,0.12,0.13,0.25,0.12,0.25,15,ARM,"FW,MF",Hoffenheim,de Bundesliga,28.0,1993.0,3.7,1.0,3.0,2.0,66.7,0.82,0.54,0.33,0.5,17.2,0.0,0.0,0.0,0.4,0.4,0.15,0.6,0.6
Martin Adeline,16,FRA,"MF,FW",Reims,fr Ligue 1,17.0,2003.0,8.0,2.0,352.0,3.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.8,0.09,0.11,0.2,0.09,0.2,16,FRA,"MF,FW",Reims,fr Ligue 1,17.0,2003.0,3.9,0.0,4.0,1.0,25.0,1.02,0.26,0.0,0.0,11.8,0.0,0.0,0.0,0.4,0.4,0.09,-0.4,-0.4
Amine Adli,17,FRA,"FW,MF",Leverkusen,de Bundesliga,21.0,2000.0,25.0,13.0,1256.0,14.0,3.0,2.0,3.0,0.0,0.0,3.0,0.0,0.21,0.14,0.36,0.21,0.36,4.8,4.8,2.0,6.8,0.34,0.15,0.49,0.34,0.49,17,FRA,"FW,MF",Leverkusen,de Bundesliga,21.0,2000.0,14.0,3.0,37.0,19.0,51.4,2.65,1.36,0.08,0.16,15.1,0.0,0.0,0.0,4.8,4.8,0.13,-1.8,-1.8
Yacine Adli,18,FRA,"MF,FW",Bordeaux,fr Ligue 1,21.0,2000.0,36.0,25.0,2260.0,25.1,1.0,7.0,1.0,0.0,0.0,5.0,0.0,0.04,0.28,0.32,0.04,0.32,2.3,2.3,6.2,8.6,0.09,0.25,0.34,0.09,0.34,18,FRA,"MF,FW",Bordeaux,fr Ligue 1,21.0,2000.0,25.1,1.0,32.0,15.0,46.9,1.27,0.6,0.03,0.07,21.2,4.0,0.0,0.0,2.3,2.3,0.07,-1.3,-1.3
Michel Aebischer,19,CHE,MF,Bologna,it Serie A,24.0,1997.0,12.0,4.0,443.0,4.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,0.03,0.1,0.12,0.03,0.12,19,CHE,MF,Bologna,it Serie A,24.0,1997.0,4.9,0.0,2.0,2.0,100.0,0.41,0.41,0.0,0.0,22.7,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1
Felix Afena-Gyan,20,GHA,"FW,MF",Roma,it Serie A,18.0,2003.0,17.0,6.0,668.0,7.4,2.0,0.0,2.0,0.0,0.0,5.0,1.0,0.27,0.0,0.27,0.27,0.27,1.5,1.5,0.7,2.2,0.2,0.1,0.3,0.2,0.3,20,GHA,"FW,MF",Roma,it Serie A,18.0,2003.0,7.4,2.0,17.0,7.0,41.2,2.29,0.94,0.12,0.29,16.1,0.0,0.0,0.0,1.5,1.5,0.09,0.5,0.5
Martin Agirregabiria,21,ESP,DF,Alavés,es La Liga,25.0,1996.0,24.0,17.0,1616.0,18.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.06,0.06,0.0,0.06,0.2,0.2,0.6,0.9,0.01,0.04,0.05,0.01,0.05,21,ESP,DF,Alavés,es La Liga,25.0,1996.0,18.0,0.0,4.0,0.0,0.0,0.22,0.0,0.0,,19.1,0.0,0.0,0.0,0.2,0.2,0.06,-0.2,-0.2
Julen Agirrezabala,22,ESP,GK,Athletic Club,es La Liga,20.0,2000.0,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,ESP,GK,Athletic Club,es La Liga,20.0,2000.0,4.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Lucien Agoume,23,FRA,MF,Brest,fr Ligue 1,19.0,2002.0,27.0,21.0,1868.0,20.8,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.2,0.9,2.1,0.06,0.05,0.11,0.06,0.1,23,FRA,MF,Brest,fr Ligue 1,19.0,2002.0,20.8,0.0,15.0,1.0,6.7,0.72,0.05,0.0,0.0,11.9,0.0,0.0,0.0,1.3,1.2,0.08,-1.3,-1.2
