,Squad,Comp,# Pl,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
33,Getafe,La Liga,30.0,38.0,42.0,408.0,121.0,29.7,10.74,3.18,0.09,0.3,18.6,31.0,6.0,7.0,41.6,36.1,0.09,0.4,-0.1
34,Granada,La Liga,27.0,38.0,50.0,389.0,118.0,30.3,10.24,3.11,0.12,0.38,19.0,25.0,5.0,5.0,44.9,40.9,0.11,5.1,4.1
35,Hellas Verona,Serie A,30.0,38.0,45.0,435.0,146.0,33.6,11.45,3.84,0.09,0.25,17.4,12.0,8.0,9.0,50.5,43.6,0.1,-5.5,-6.6
36,Hertha BSC,Bundesliga,32.0,34.0,45.0,357.0,119.0,33.3,10.5,3.5,0.12,0.35,17.7,12.0,3.0,3.0,43.1,40.7,0.12,1.9,1.3
37,Hoffenheim,Bundesliga,31.0,34.0,52.0,447.0,154.0,34.5,13.15,4.53,0.11,0.32,17.1,24.0,3.0,4.0,56.1,53.0,0.12,-4.1,-4.0
38,Inter,Serie A,29.0,38.0,80.0,607.0,216.0,35.6,15.97,5.68,0.12,0.32,17.6,22.0,10.0,11.0,69.4,60.8,0.1,10.6,9.2
39,Juventus,Serie A,30.0,38.0,73.0,665.0,224.0,33.7,17.5,5.89,0.09,0.27,19.0,40.0,13.0,14.0,71.1,60.1,0.09,1.9,-0.1
40,Köln,Bundesliga,29.0,34.0,50.0,413.0,147.0,35.6,12.15,4.32,0.12,0.33,16.8,20.0,2.0,4.0,48.9,46.3,0.12,1.1,1.7
41,Lazio,Serie A,27.0,38.0,77.0,562.0,204.0,36.3,14.79,5.37,0.11,0.3,18.2,21.0,15.0,18.0,68.0,53.9,0.1,9.0,8.1
42,Lecce,Serie A,30.0,38.0,52.0,513.0,165.0,32.2,13.5,4.34,0.08,0.25,19.6,19.0,11.0,15.0,54.7,43.5,0.09,-2.7,-2.5
43,Leganés,La Liga,29.0,38.0,30.0,427.0,143.0,33.5,11.24,3.76,0.06,0.19,19.2,29.0,3.0,5.0,39.9,35.9,0.09,-9.9,-8.9
44,Leicester City,Premier League,24.0,38.0,65.0,533.0,183.0,34.3,14.03,4.82,0.11,0.33,17.4,20.0,5.0,7.0,62.2,56.7,0.11,2.8,3.3
45,Levante,La Liga,29.0,38.0,45.0,422.0,133.0,31.5,11.11,3.5,0.09,0.3,19.0,21.0,5.0,5.0,48.1,44.2,0.11,-3.1,-4.2
46,Leverkusen,Bundesliga,24.0,34.0,57.0,492.0,182.0,37.0,14.47,5.35,0.11,0.3,16.7,6.0,2.0,2.0,59.1,57.5,0.12,-2.1,-2.5
47,Lille,Ligue 1,25.0,28.0,35.0,342.0,121.0,35.4,12.21,4.32,0.09,0.25,18.6,10.0,5.0,8.0,40.3,34.0,0.1,-5.3,-4.0
48,Liverpool,Premier League,24.0,38.0,83.0,586.0,224.0,38.2,15.42,5.89,0.13,0.35,16.5,20.0,5.0,5.0,68.9,65.0,0.11,14.1,13.0
49,Lyon,Ligue 1,27.0,28.0,42.0,354.0,130.0,36.7,12.64,4.64,0.1,0.28,19.1,15.0,5.0,6.0,37.6,33.0,0.09,4.4,4.0
50,M'Gladbach,Bundesliga,25.0,34.0,64.0,475.0,187.0,39.4,13.97,5.5,0.13,0.32,17.0,26.0,4.0,6.0,72.0,67.2,0.15,-8.0,-7.2
51,Mainz 05,Bundesliga,25.0,34.0,42.0,450.0,139.0,30.9,13.24,4.09,0.09,0.28,18.9,13.0,3.0,3.0,48.2,45.8,0.1,-6.2,-6.8
52,Mallorca,La Liga,32.0,38.0,39.0,410.0,118.0,28.8,10.79,3.11,0.08,0.26,19.2,22.0,8.0,10.0,41.1,33.3,0.08,-2.1,-2.3
53,Manchester City,Premier League,24.0,38.0,100.0,735.0,250.0,34.0,19.34,6.58,0.13,0.38,16.4,27.0,6.0,11.0,92.0,83.6,0.12,8.0,10.4
54,Manchester Utd,Premier League,29.0,38.0,65.0,530.0,201.0,37.9,13.95,5.29,0.1,0.27,19.1,33.0,10.0,14.0,62.2,51.2,0.1,2.8,3.8
55,Marseille,Ligue 1,23.0,28.0,38.0,370.0,115.0,31.1,13.21,4.11,0.09,0.3,19.7,20.0,4.0,6.0,36.2,31.6,0.09,1.8,2.4
56,Metz,Ligue 1,24.0,28.0,27.0,306.0,96.0,31.4,10.93,3.43,0.08,0.26,20.7,19.0,2.0,4.0,27.1,24.0,0.08,-0.1,1.0
57,Milan,Serie A,32.0,38.0,60.0,610.0,186.0,30.5,16.05,4.89,0.09,0.28,19.0,24.0,8.0,9.0,62.8,56.0,0.09,-2.8,-4.0
58,Monaco,Ligue 1,28.0,28.0,44.0,376.0,135.0,35.9,13.43,4.82,0.11,0.3,16.9,16.0,4.0,4.0,48.8,45.6,0.13,-4.8,-5.6
59,Montpellier,Ligue 1,27.0,28.0,33.0,348.0,112.0,32.2,12.43,4.0,0.09,0.28,19.2,22.0,2.0,5.0,35.3,31.3,0.09,-2.3,-0.3
60,Nantes,Ligue 1,29.0,28.0,23.0,332.0,112.0,33.7,11.86,4.0,0.06,0.19,20.1,9.0,2.0,2.0,30.2,28.7,0.09,-7.2,-7.7
61,Napoli,Serie A,25.0,38.0,60.0,683.0,225.0,32.9,17.97,5.92,0.08,0.24,19.0,17.0,5.0,5.0,61.7,57.8,0.09,-1.7,-2.8
62,Newcastle Utd,Premier League,28.0,38.0,38.0,398.0,132.0,33.2,10.47,3.47,0.1,0.29,19.1,14.0,0.0,1.0,35.5,34.8,0.09,2.5,3.2
63,Nice,Ligue 1,31.0,28.0,41.0,334.0,125.0,37.4,11.93,4.46,0.11,0.29,18.9,25.0,5.0,5.0,35.7,31.9,0.1,5.3,4.1
64,Nîmes,Ligue 1,28.0,28.0,29.0,355.0,105.0,29.6,12.68,3.75,0.08,0.26,19.4,12.0,2.0,2.0,30.2,28.7,0.08,-1.2,-1.7
65,Norwich City,Premier League,30.0,38.0,25.0,407.0,126.0,31.0,10.71,3.32,0.06,0.18,18.0,16.0,2.0,2.0,37.0,35.4,0.09,-12.0,-12.4
66,Osasuna,La Liga,31.0,38.0,46.0,455.0,142.0,31.2,11.97,3.74,0.08,0.27,18.7,22.0,8.0,8.0,49.4,43.2,0.1,-3.4,-5.2
67,Paderborn 07,Bundesliga,27.0,34.0,37.0,427.0,124.0,29.0,12.56,3.65,0.08,0.28,19.7,20.0,2.0,4.0,39.2,36.1,0.09,-2.2,-1.1
68,Paris S-G,Ligue 1,31.0,27.0,71.0,441.0,186.0,42.2,16.33,6.89,0.15,0.35,15.9,21.0,6.0,8.0,74.2,67.9,0.16,-3.2,-2.9
69,Parma,Serie A,25.0,38.0,53.0,458.0,145.0,31.7,12.05,3.82,0.11,0.34,19.0,23.0,4.0,6.0,48.4,43.7,0.1,4.6,5.3
70,RB Leipzig,Bundesliga,29.0,34.0,81.0,545.0,206.0,37.8,16.03,6.06,0.14,0.37,17.0,23.0,5.0,5.0,71.3,67.6,0.13,9.7,8.4
71,Real Madrid,La Liga,26.0,38.0,69.0,552.0,222.0,40.2,14.53,5.84,0.11,0.26,18.0,18.0,11.0,11.0,67.9,59.2,0.11,1.1,-1.2
72,Real Sociedad,La Liga,27.0,38.0,54.0,424.0,139.0,32.8,11.16,3.66,0.12,0.36,17.7,12.0,4.0,5.0,48.9,45.1,0.11,5.1,4.9
73,Reims,Ligue 1,26.0,28.0,26.0,333.0,87.0,26.1,11.89,3.11,0.06,0.24,19.3,14.0,5.0,5.0,30.6,26.7,0.08,-4.6,-5.7
74,Rennes,Ligue 1,26.0,28.0,37.0,336.0,108.0,32.1,12.0,3.86,0.1,0.31,19.0,27.0,3.0,5.0,37.1,33.4,0.1,-0.1,0.6
75,Roma,Serie A,31.0,38.0,73.0,630.0,198.0,31.4,16.58,5.21,0.1,0.31,18.7,35.0,12.0,14.0,73.2,62.8,0.1,-0.2,-1.8
76,Saint-Étienne,Ligue 1,31.0,28.0,28.0,304.0,97.0,31.9,10.86,3.46,0.08,0.24,19.0,15.0,5.0,5.0,31.4,27.6,0.09,-3.4,-4.6
77,Sampdoria,Serie A,31.0,38.0,48.0,549.0,162.0,29.5,14.45,4.26,0.07,0.24,19.4,25.0,9.0,12.0,50.2,40.8,0.08,-2.2,-1.8
