,Player,Squad,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
1994,Carlos Vicente,Alavés,4.9,1,6,2,33.3,1.24,0.41,0.17,0.50,14.8,1,0,0,0.8,0.8,0.13,+0.2,+0.2
1995,Pau Victor Delgado,Barcelona,0.3,0,3,1,33.3,9.31,3.10,0.00,0.00,15.1,0,0,0,0.5,0.5,0.15,-0.5,-0.5
1996,Nacho Vidal,Osasuna,1.1,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1997,Samuele Vignato,Monza,1.2,0,1,0,0.0,0.85,0.00,0.00,0.0,10.5,0,0,0,0.0,0.0,0.04,0.0,0.0
1998,Asier Villalibre,Alavés,1.0,1,4,1,25.0,4.19,1.05,0.00,0.00,16.3,0,1,1,1.3,0.5,0.12,-0.3,-0.5
1999,Ivan Villar,Celta Vigo,4.0,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2000,Nicolas Viola,Cagliari,0.3,0,1,0,0.0,3.91,0.00,0.00,0.0,10.1,0,0,0,0.1,0.1,0.13,-0.1,-0.1
2002,Viti,Las Palmas,1.2,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2003,Mattia Viti,Empoli,4.0,0,4,0,0.0,1.00,0.00,0.00,0.0,7.8,0,0,0,0.3,0.3,0.09,-0.3,-0.3
2004,Vitinha,Genoa,2.8,0,9,2,22.2,3.16,0.70,0.00,0.00,21.5,1,0,0,0.4,0.4,0.04,-0.4,-0.4
2005,Vitinha,Paris S-G,3.0,1,1,0,0.0,0.33,0.00,0.00,0.0,44.6,0,1,1,0.8,0.0,0.02,+0.2,0.0
2006,Daniel Vivian,Athletic Club,4.1,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2007,Dusan Vlahovic,Juventus,3.9,2,14,4,28.6,3.58,1.02,0.07,0.25,17.9,2,1,1,2.3,1.5,0.11,-0.3,-0.5
2008,Alessandro Vogliacco,Genoa,2.7,1,2,1,50.0,0.75,0.37,0.50,1.00,5.7,0,0,0,0.9,0.9,0.43,+0.1,+0.1
2009,Kevin Vogt,Union Berlin,2.9,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2010,Mergim Vojvoda,Torino,2.9,0,1,0,0.0,0.34,0.00,0.00,0.0,27.9,0,0,0,0.0,0.0,0.02,0.0,0.0
2011,Aster Vranckx,Wolfsburg,0.2,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2012,Stefan de Vrij,Inter,1.0,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2013,Ibrahima Wadji,Saint-Étienne,0.5,0,3,0,0.0,6.00,0.00,0.00,0.0,17.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2
2014,Robert Wagner,St. Pauli,2.0,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2015,Elye Wahi,Marseille,2.3,1,5,2,40.0,2.13,0.85,0.00,0.00,14.1,0,1,1,2.4,1.7,0.33,-1.4,-1.7
2016,Hauke Wahl,St. Pauli,3.0,0,1,1,100.0,0.33,0.33,0.00,0.00,8.3,0,0,0,0.1,0.1,0.09,-0.1,-0.1
2017,Kyle Walker,Manchester City,1.0,0,1,0,0.0,0.97,0.00,0.00,0.0,28.9,0,0,0,0.0,0.0,0.03,0.0,0.0
2018,Kyle Walker-Peters,Southampton,3.9,0,6,2,33.3,1.54,0.51,0.00,0.00,19.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2
2019,Christian Walton,Ipswich Town,1.0,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
