,Player,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
1,Alphonse Areola,7,7,630,7.0,10,1.43,42,31,78.6,4,1,2,1,14.3,2,1,1,0,50.0
5,Oliver Baumann,6,6,540,6.0,9,1.50,38,29,76.3,4,0,2,1,16.7,1,0,1,0,100.0
6,Etrit Berisha,5,5,450,5.0,13,2.60,30,17,60.0,1,0,4,1,20.0,2,1,1,0,50.0
8,Janis Blaswich,6,6,540,6.0,6,1.00,22,16,77.3,4,1,1,3,50.0,1,1,0,0,0.0
11,Marcin Bulka,7,7,630,7.0,4,0.57,16,10,75.0,3,4,0,4,57.1,2,0,2,0,100.0
17,Oliver Christensen,2,2,180,2.0,6,3.00,13,7,61.5,0,1,1,0,0.0,1,1,0,0,0.0
18,Andrea Consigli,5,5,450,5.0,7,1.40,19,12,68.4,2,0,3,0,0.0,2,1,0,1,0.0
19,Alessio Cragno,2,2,180,2.0,6,3.00,8,3,37.5,1,0,1,0,0.0,1,1,0,0,0.0
20,Finn Dahmen,6,6,540,6.0,15,2.50,29,15,58.6,1,2,3,0,0.0,3,3,0,0,0.0
23,Michele Di Gregorio,6,6,540,6.0,6,1.00,30,24,83.3,2,2,2,3,50.0,1,1,0,0,0.0
29,Gianluigi Donnarumma,7,7,630,7.0,6,0.86,25,19,84.0,3,3,1,3,42.9,2,2,0,0,0.0
31,Wladimiro Falcone,7,7,630,7.0,9,1.29,29,20,72.4,3,2,2,2,28.6,1,1,0,0,0.0
32,Aitor Fernandez,4,3,281,3.1,6,1.92,9,3,44.4,0,0,3,1,33.3,1,1,0,0,0.0
35,Mark Flekken,7,7,630,7.0,10,1.43,27,17,66.7,1,4,2,1,14.3,1,1,0,0,0.0
37,Paulo Gazzaniga,8,8,720,8.0,11,1.37,33,22,72.7,6,1,1,2,25.0,2,2,0,0,0.0
40,Sam Johnstone,7,7,630,7.0,7,1.00,22,15,77.3,3,2,2,3,42.9,2,2,0,0,0.0
41,Filip Jorgensen,8,8,720,8.0,13,1.62,48,35,75.0,2,2,4,2,25.0,1,1,0,0,0.0
42,Thomas Kaminski,7,7,630,7.0,14,2.00,36,22,63.9,1,1,5,0,0.0,1,1,0,0,0.0
43,Gregor Kobel,6,6,540,6.0,6,1.00,25,19,84.0,4,2,0,2,33.3,2,2,0,0,0.0
44,Philipp Kohn,7,7,630,7.0,10,1.43,26,16,65.4,4,2,1,2,28.6,1,1,0,0,0.0
45,Alban Lafont,2,2,156,1.7,4,2.31,9,5,77.8,0,0,2,0,0.0,2,2,0,0,0.0
46,Benjamin Lecomte,7,7,630,7.0,9,1.29,35,26,74.3,2,3,2,2,28.6,1,0,1,0,100.0
48,Bernd Leno,7,7,630,7.0,12,1.71,41,29,78.0,2,2,3,3,42.9,3,3,0,0,0.0
49,Anthony Lopes,4,4,360,4.0,7,1.75,22,15,72.7,0,1,3,1,25.0,1,1,0,0,0.0
53,Mike Maignan,5,5,450,5.0,7,1.40,19,12,68.4,4,0,1,2,40.0,1,1,0,0,0.0
54,Giorgi Mamardashvili,8,8,720,8.0,10,1.25,28,18,67.9,3,1,4,2,25.0,2,1,1,0,50.0
56,Diego Marino,1,1,90,1.0,2,2.00,4,2,100.0,0,0,1,0,0.0,2,2,0,0,0.0
59,Luis Maximiano,7,7,630,7.0,19,2.71,41,21,56.1,0,3,4,0,0.0,2,1,1,0,50.0
60,Alex Meret,7,7,630,7.0,6,0.86,16,10,68.8,4,2,1,3,42.9,1,1,0,0,0.0
61,Vanja Milinkovic-Savic,7,7,630,7.0,7,1.00,23,16,78.3,2,3,2,4,57.1,2,2,0,0,0.0
62,Lorenzo Montipo,7,7,630,7.0,6,0.86,30,24,83.3,2,2,3,3,42.9,1,1,0,0,0.0
63,Kevin Muller,6,6,540,6.0,13,2.17,44,30,77.3,2,1,3,1,16.7,4,3,1,0,25.0
65,Yvon Mvogo,7,7,630,7.0,15,2.14,48,33,72.9,1,3,3,1,14.3,2,2,0,0,0.0
66,Neto,7,7,630,7.0,15,2.14,43,28,69.8,0,3,4,1,14.3,3,2,1,0,33.3
69,Orjan Nyland,3,3,270,3.0,2,0.67,7,6,85.7,1,1,1,1,33.3,1,1,0,0,0.0
71,Guillermo Ochoa,7,7,630,7.0,14,2.00,33,19,63.6,0,3,4,0,0.0,2,2,0,0,0.0
73,Jonas Omlin,2,2,180,2.0,7,3.50,18,11,66.7,0,1,1,0,0.0,1,1,0,0,0.0
76,Rui Patricio,7,7,630,7.0,11,1.57,19,8,47.4,2,2,3,2,28.6,1,1,0,0,0.0
78,Jiri Pavlenka,6,6,540,6.0,14,2.33,34,20,64.7,2,0,4,1,16.7,2,2,0,0,0.0
82,Jordan Pickford,7,7,630,7.0,12,1.71,26,15,57.7,1,1,5,0,0.0,1,1,0,0,0.0
86,Predrag Rajkovic,8,8,720,8.0,14,1.75,34,20,70.6,1,4,3,2,25.0,4,4,0,0,0.0
89,Alex Remiro,8,8,720,8.0,10,1.25,37,28,75.7,4,3,1,3,37.5,1,1,0,0,0.0
90,Guillaume Restes,7,7,630,7.0,8,1.14,28,20,82.1,2,3,2,2,28.6,3,3,0,0,0.0
91,Manuel Riemann,6,6,540,6.0,19,3.17,45,26,60.0,0,3,3,0,0.0,1,1,0,0,0.0
93,Frederik Ronnow,6,6,540,6.0,10,1.67,26,14,65.4,2,0,4,0,0.0,3,1,2,0,66.7
94,Jose Sa,7,7,630,7.0,13,1.86,44,32,72.7,2,1,4,1,14.3,1,1,0,0,0.0
95,Brice Samba,7,7,630,7.0,12,1.71,31,19,71.0,2,1,4,1,14.3,3,3,0,0,0.0
96,Robert Sanchez,7,7,630,7.0,6,0.86,25,19,80.0,2,2,3,3,42.9,1,1,0,0,0.0
97,Marcel Schuhen,6,6,540,6.0,18,3.00,49,30,63.3,1,1,4,0,0.0,1,0,1,0,100.0
100,Rui Silva,5,5,405,4.5,7,1.56,21,14,76.2,2,1,2,2,40.0,2,2,0,0,0.0
101,Marco Silvestri,7,7,630,7.0,12,1.71,26,14,61.5,0,4,3,2,28.6,2,2,0,0,0.0
104,Antonio Sivera,8,8,720,8.0,12,1.50,30,20,66.7,2,1,5,1,12.5,2,2,0,0,0.0
107,David Soria,8,8,720,8.0,13,1.62,35,22,68.6,2,3,3,3,37.5,2,2,0,0,0.0
108,Alessandro Sorrentino,1,1,90,1.0,1,1.00,3,2,100.0,0,1,0,0,0.0,1,1,0,0,0.0
110,Jason Steele,4,4,360,4.0,9,2.25,21,13,61.9,3,0,1,0,0.0,1,1,0,0,0.0
114,James Trafford,7,7,630,7.0,16,2.29,42,26,64.3,1,1,5,0,0.0,1,1,0,0,0.0
115,Kevin Trapp,6,6,540,6.0,5,0.83,26,20,88.5,1,4,1,2,33.3,3,2,1,0,33.3
117,Matt Turner,7,7,630,7.0,10,1.43,31,21,71.0,2,2,3,1,14.3,1,1,0,0,0.0
118,Sven Ulreich,6,6,540,6.0,6,1.00,14,8,64.3,4,2,0,2,33.3,1,1,0,0,0.0
119,Alvaro Valles,8,8,720,8.0,7,0.87,35,28,82.9,2,2,4,2,25.0,2,1,0,1,0.0
121,Guglielmo Vicario,7,7,630,7.0,8,1.14,33,26,81.8,5,2,0,2,28.6,2,2,0,0,0.0
122,Ivan Villar,8,8,720,8.0,13,1.62,38,24,68.4,1,2,5,0,0.0,2,1,1,0,50.0
123,Robin Zentner,6,6,540,6.0,17,2.83,25,9,36.0,0,1,5,0,0.0,1,1,0,0,0.0
