,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Progression - PrgR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
0,Ismael Aaneba,FR,DF,Strasbourg,Ligue 1,19,1999,3,3,204,2.3,0,0,0,0,0,0,3,0,0.0,0.0,0.4,0.4,3,8,8,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17
1,Patrick van Aanholt,NL,DF,Crystal Palace,Premier League,27,1990,36,36,3195,35.5,3,2,5,3,0,0,3,0,2.6,2.6,4.4,7.0,89,212,106,0.08,0.06,0.14,0.08,0.14,0.07,0.12,0.20,0.07,0.20
2,Ignazio Abate,IT,DF,Milan,Serie A,31,1986,19,15,1302,14.5,0,0,0,0,0,0,4,0,0.1,0.1,0.4,0.4,27,88,43,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
3,Issah Abbas,GH,FW,Mainz 05,Bundesliga,19,1998,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.29,0.29,0.29
4,Yunis Abdelhamid,MA,DF,Reims,Ligue 1,30,1987,38,38,3420,38.0,0,0,0,0,0,0,2,0,1.6,1.6,0.1,1.8,16,71,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.05,0.04,0.05
5,Mehdi Abeid,DZ,MF,Dijon,Ligue 1,25,1992,26,23,2023,22.5,3,0,3,2,1,1,6,0,2.9,2.1,1.6,3.8,43,97,50,0.13,0.00,0.13,0.09,0.09,0.13,0.07,0.20,0.10,0.17
6,Charles Abi,FR,"DF,FW",Saint-Étienne,Ligue 1,18,2000,3,0,32,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,1,0,0.00,0.00,0.00,0.00,0.00,0.17,0.12,0.29,0.17,0.29
7,David Abraham,AR,DF,Eint Frankfurt,Bundesliga,32,1986,17,17,1420,15.8,0,0,0,0,0,0,2,0,0.8,0.8,0.4,1.1,20,80,7,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.07,0.05,0.07
8,Amir Abrashi,AL,MF,Freiburg,Bundesliga,28,1990,10,9,790,8.8,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,6,19,9,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
9,Francesco Acerbi,IT,DF,Lazio,Serie A,30,1988,37,37,3309,36.8,3,1,4,3,0,0,4,1,3.4,3.4,1.0,4.3,39,135,17,0.08,0.03,0.11,0.08,0.11,0.09,0.03,0.12,0.09,0.12
10,Afriyie Acquah,GH,MF,Empoli,Serie A,26,1992,28,19,1510,16.8,2,0,2,2,0,0,4,0,1.4,1.4,0.8,2.2,58,91,76,0.12,0.00,0.12,0.12,0.12,0.09,0.05,0.13,0.09,0.13
11,Tyler Adams,US,MF,RB Leipzig,Bundesliga,19,1999,10,8,721,8.0,0,2,2,0,0,0,0,0,0.1,0.1,1.0,1.1,19,64,12,0.00,0.25,0.25,0.00,0.25,0.01,0.13,0.13,0.01,0.13
12,Antonio Adan,ES,GK,Atlético Madrid,La Liga,31,1987,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,Aday,ES,"DF,MF",Girona,La Liga,30,1987,10,8,645,7.2,0,2,2,0,0,0,2,0,0.3,0.3,1.5,1.8,35,11,40,0.00,0.28,0.28,0.00,0.28,0.04,0.21,0.25,0.04,0.25
14,Khaled Adenon,BJ,DF,Amiens,Ligue 1,33,1985,23,22,1994,22.2,0,0,0,0,0,0,7,1,0.7,0.7,0.1,0.9,13,63,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
15,Claud Adjapong,IT,"MF,FW",Sassuolo,Serie A,20,1998,5,3,270,3.0,1,0,1,1,0,0,1,0,0.7,0.7,0.1,0.8,6,4,19,0.33,0.00,0.33,0.33,0.33,0.24,0.02,0.26,0.24,0.26
16,Yacine Adli,FR,MF,Bordeaux,Ligue 1,18,2000,7,2,216,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.8,0.8,13,17,17,0.00,0.00,0.00,0.00,0.00,0.01,0.34,0.34,0.01,0.34
17,Ali Adnan Kadhim,IQ,DF,Atalanta,Serie A,24,1993,3,2,166,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.4,7,8,11,0.00,0.00,0.00,0.00,0.00,0.13,0.06,0.20,0.13,0.20
18,Aritz Aduriz,ES,FW,Athletic Club,La Liga,37,1981,20,10,943,10.5,2,0,2,0,2,2,5,0,3.3,1.8,0.7,2.5,8,15,57,0.19,0.00,0.19,0.00,0.00,0.32,0.07,0.38,0.17,0.23
19,Luis Advincula,PE,DF,Rayo Vallecano,La Liga,28,1990,28,27,2389,26.5,1,3,4,1,0,0,6,2,1.1,1.1,2.4,3.5,51,90,136,0.04,0.11,0.15,0.04,0.15,0.04,0.09,0.13,0.04,0.13
20,Martin Agirregabiria,ES,DF,Alavés,La Liga,22,1996,27,23,2032,22.6,0,0,0,0,0,0,4,0,0.0,0.0,0.5,0.5,36,89,56,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
21,Nayef Aguerd,MA,DF,Dijon,Ligue 1,22,1996,13,12,1050,11.7,3,0,3,3,0,0,4,1,1.5,1.5,0.1,1.6,11,32,3,0.26,0.00,0.26,0.26,0.26,0.13,0.01,0.14,0.13,0.14
22,Sergio Aguero,AR,FW,Manchester City,Premier League,30,1988,33,31,2459,27.3,21,8,29,19,2,2,4,0,18.1,16.5,5.0,21.5,81,76,253,0.77,0.29,1.06,0.70,0.99,0.66,0.18,0.85,0.60,0.79
23,Ruben Aguilar,FR,DF,Montpellier,Ligue 1,25,1993,29,29,2528,28.1,1,4,5,1,0,0,8,0,0.9,0.9,2.5,3.4,85,128,155,0.04,0.14,0.18,0.04,0.18,0.03,0.09,0.12,0.03,0.12
24,Juan Aguilera,ES,MF,Huesca,La Liga,32,1985,6,4,344,3.8,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,8,21,2,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14
26,Emmanuel Agyemang-Badu,GH,MF,Udinese,Serie A,27,1990,4,2,161,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,1,5,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06
27,Jean-Eudes Aholou,CI,MF,Monaco,Ligue 1,24,1994,17,12,1075,11.9,0,1,1,0,0,0,2,0,0.8,0.8,0.6,1.5,36,64,27,0.00,0.08,0.08,0.00,0.08,0.07,0.05,0.12,0.07,0.12
28,Antonis Aidonis,DE,DF,Stuttgart,Bundesliga,17,2001,2,1,80,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,Ola Aina,NG,DF,Torino,Serie A,21,1996,30,22,2160,24.0,1,3,4,1,0,0,5,1,1.4,1.4,2.5,4.0,62,97,96,0.04,0.12,0.17,0.04,0.17,0.06,0.11,0.17,0.06,0.17
30,Youssef Ait Bennasser,MA,MF,Saint-Étienne,Ligue 1,22,1996,13,11,936,10.4,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,6,67,12,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.07,0.02,0.07
31,Youssef Ait Bennasser,MA,MF,Monaco,Ligue 1,22,1996,13,12,1073,11.9,0,2,2,0,0,0,2,0,0.3,0.3,0.8,1.1,21,86,13,0.00,0.17,0.17,0.00,0.17,0.02,0.07,0.09,0.02,0.09
32,Rayan Ait Nouri,DZ,"DF,MF",Angers,Ligue 1,17,2001,3,0,57,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,Ludovic Ajorque,FR,FW,Strasbourg,Ligue 1,24,1994,25,18,1531,17.0,9,1,10,9,0,0,5,0,5.7,5.7,1.0,6.7,11,25,126,0.53,0.06,0.59,0.53,0.59,0.34,0.06,0.40,0.34,0.40
34,Manuel Akanji,CH,DF,Dortmund,Bundesliga,23,1995,25,25,2205,24.5,1,0,1,1,0,0,1,0,0.5,0.5,0.6,1.1,24,122,11,0.04,0.00,0.04,0.04,0.04,0.02,0.02,0.04,0.02,0.04
35,Carlos Akapo,GQ,DF,Huesca,La Liga,25,1993,13,12,1023,11.4,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,33,34,28,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
36,Nathan Ake,NL,DF,Bournemouth,Premier League,23,1995,38,38,3411,37.9,4,0,4,4,0,0,3,0,3.4,3.4,1.0,4.4,20,98,25,0.11,0.00,0.11,0.11,0.11,0.09,0.03,0.11,0.09,0.11
37,Sergio Akieme,ES,DF,Rayo Vallecano,La Liga,20,1997,2,2,180,2.0,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,5,7,9,0.00,0.50,0.50,0.00,0.50,0.00,0.03,0.03,0.00,0.03
38,Chadrac Akolo,CD,"MF,FW",Stuttgart,Bundesliga,23,1995,16,5,525,5.8,0,1,1,0,0,0,0,0,0.9,0.9,0.5,1.4,14,14,40,0.00,0.17,0.17,0.00,0.17,0.16,0.08,0.24,0.16,0.24
39,Kevin Akpoguma,NG,DF,Hoffenheim,Bundesliga,23,1995,8,5,499,5.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,4,33,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40,Kevin Akpoguma,NG,DF,Hannover 96,Bundesliga,23,1995,4,4,313,3.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,20,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
