,Player,Squad,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
0,Patrick van Aanholt,Crystal Palace,24.3,7,0,0,18,10,3,56,47,32,0,0,0,162,6,5,54.5
1,Rolando Aarons,Newcastle Utd,1.5,0,0,0,1,3,1,2,1,4,0,0,0,9,1,3,25.0
2,Rolando Aarons,Hellas Verona,5.7,0,0,0,9,11,0,10,2,8,0,0,0,19,9,15,37.5
3,Ignazio Abate,Milan,11.7,3,0,0,12,8,3,31,8,17,0,0,0,56,5,4,55.6
4,Aymen Abdennour,Marseille,5.5,3,0,0,9,6,0,0,4,3,0,0,0,32,7,7,50.0
5,Aly Abeid,Levante,0.9,0,0,0,1,0,0,2,3,1,0,0,0,5,1,2,33.3
6,Mehdi Abeid,Dijon,13.1,2,0,0,29,16,2,6,18,15,0,0,0,93,13,16,44.8
7,David Abraham,Eint Frankfurt,25.6,3,0,0,11,20,0,7,40,32,0,0,1,113,78,42,65.0
8,Tammy Abraham,Swansea City,19.2,0,0,0,15,27,9,13,1,8,0,0,0,41,39,58,40.2
9,Amir Abrashi,Freiburg,9.4,2,0,0,20,27,0,5,19,32,0,0,0,55,17,17,50.0
10,Francesco Acerbi,Sassuolo,38.0,4,0,0,31,32,1,12,88,32,0,1,1,260,103,40,72.0
11,Afriyie Acquah,Torino,10.6,4,2,1,17,14,0,12,16,6,0,0,0,68,12,17,41.4
12,Charlie Adam,Stoke City,4.6,2,1,0,8,8,0,30,9,5,0,0,0,40,7,4,63.6
13,Antonio Adan,Betis,30.0,4,0,0,1,3,0,0,0,0,0,0,0,41,4,1,80.0
14,Aday,Girona,20.4,10,0,0,39,15,6,134,25,15,0,0,1,97,37,16,69.8
15,Khaled Adenon,Amiens,32.5,9,0,0,50,39,1,0,65,24,0,1,0,195,64,46,58.2
16,Claud Adjapong,Sassuolo,13.6,5,1,0,24,19,2,27,23,26,0,0,0,80,15,15,50.0
17,Rene Adler,Mainz 05,14.0,0,0,0,1,4,0,0,0,1,0,1,0,33,5,0,100.0
18,Yacine Adli,Paris S-G,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,Ali Adnan Kadhim,Udinese,18.6,4,0,0,21,22,1,88,41,35,0,0,1,94,51,34,60.0
20,Adrian,West Ham,19.0,2,0,0,1,3,0,0,0,1,0,0,0,20,2,1,66.7
21,Aritz Aduriz,Athletic Club,23.9,5,0,0,42,39,35,20,3,8,0,0,0,45,99,77,56.3
22,Ibrahim Afellay,Stoke City,1.8,1,0,0,1,0,0,0,1,3,0,0,0,15,0,0,0.0
23,Benik Afobe,Bournemouth,6.8,0,0,0,9,13,4,2,0,3,1,0,0,17,22,38,36.7
24,Martin Agirregabiria,Alavés,20.3,4,0,0,19,18,0,50,41,33,0,0,0,120,17,13,56.7
26,Imanol Agirretxe,Real Sociedad,2.6,0,0,0,1,4,1,1,0,0,1,0,0,6,8,10,44.4
27,Sergio Aguero,Manchester City,21.8,2,0,0,10,17,16,16,6,6,0,0,0,59,10,19,34.5
28,Ruben Aguilar,Montpellier,27.3,2,0,0,29,49,3,95,37,50,0,0,0,174,28,35,44.4
29,Matias Aguirregaray,Las Palmas,12.8,3,0,0,19,21,1,19,24,20,0,0,0,87,14,17,45.2
30,Jean-Eudes Aholou,Strasbourg,33.4,4,0,0,46,49,1,5,75,34,0,0,0,261,48,47,50.5
31,Ailton,Stuttgart,1.2,0,0,0,3,3,0,3,2,5,0,0,0,9,4,2,66.7
32,Youssef Ait Bennasser,Caen,22.7,4,0,0,20,26,0,11,32,28,0,0,0,207,23,32,41.8
33,Arlind Ajeti,Crotone,14.1,7,0,0,19,6,0,0,34,23,0,1,0,75,20,27,42.6
34,Manuel Akanji,Dortmund,10.0,2,0,0,9,4,0,1,7,15,0,0,0,35,14,15,48.3
35,Nathan Ake,Bournemouth,37.3,5,0,0,27,19,2,5,48,32,0,0,0,178,104,89,53.9
36,Ager Aketxe,Athletic Club,0.4,1,0,0,1,0,0,7,1,1,0,0,0,6,0,1,0.0
37,Chadrac Akolo,Stuttgart,12.2,2,0,0,13,12,8,14,5,14,0,0,0,43,10,25,28.6
38,Kevin Akpoguma,Hoffenheim,18.8,1,0,0,22,17,1,6,22,39,0,0,1,91,27,21,56.3
39,David Alaba,Bayern Munich,17.2,1,0,0,9,6,2,94,10,14,0,0,0,85,15,17,46.9
40,Lucas Alario,Leverkusen,17.2,4,1,0,40,41,14,3,4,10,1,0,0,38,47,92,33.8
41,David Alba,Getafe,0.7,0,0,0,3,0,0,0,0,1,0,0,0,3,1,2,33.3
42,Jordi Alba,Barcelona,30.5,7,0,0,35,21,16,46,68,42,0,0,0,189,15,21,41.7
43,Raul Albentosa,La Coruña,19.4,5,0,0,15,14,1,2,26,6,0,1,0,73,39,18,68.4
44,Luis Alberto,Lazio,29.7,5,0,0,19,36,3,213,16,28,1,0,0,145,13,25,34.2
45,Raul Albiol,Napoli,30.5,7,0,0,28,18,2,3,32,19,0,0,0,216,92,51,64.3
46,Miiko Albornoz,Hannover 96,7.8,1,0,0,9,14,0,23,5,20,0,0,0,31,10,17,37.0
47,Marc Albrighton,Leicester City,28.2,5,1,0,20,26,2,217,27,33,0,1,0,172,11,15,42.3
48,Paco Alcacer,Barcelona,7.7,0,0,0,2,9,7,6,11,3,0,0,0,28,7,17,29.2
49,Pedro Alcala,Girona,7.7,4,0,0,11,3,2,4,14,5,0,0,0,26,19,11,63.3
50,Thiago Alcantara,Bayern Munich,13.9,3,0,0,24,14,1,13,27,35,1,0,0,77,21,17,55.3
52,David Alcibiade,Nantes,2.3,0,0,0,2,2,1,5,7,5,0,0,0,10,5,1,83.3
53,Toby Alderweireld,Tottenham,13.1,3,0,0,8,1,0,7,4,13,0,0,0,57,14,29,32.6
54,Steve Aldo One,La Coruña,1.0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,100.0
55,Alex Alegria,Levante,7.0,1,0,0,16,18,5,2,4,5,0,0,0,16,24,24,50.0
56,Ivan Alejo,Eibar,12.2,5,0,0,25,45,3,109,5,16,0,0,0,67,10,13,43.5
57,Alexander,Leganés,11.8,1,0,0,19,18,8,40,22,11,1,0,0,56,2,4,33.3
