,Squad,Comp,# Pl,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - PK,Standard - PKatt
0,Alavés,La Liga,25.0,38.0,41.0,394.0,136.0,34.5,10.37,3.58,0.09,0.27,,4.0,4.0
1,Angers,Ligue 1,29.0,38.0,39.0,531.0,183.0,34.5,13.97,4.82,0.07,0.2,,3.0,4.0
2,Arsenal,Premier League,29.0,38.0,73.0,568.0,201.0,35.4,14.95,5.29,0.12,0.34,,4.0,6.0
3,Atalanta,Serie A,32.0,38.0,62.0,536.0,201.0,37.5,14.11,5.29,0.11,0.28,,5.0,5.0
4,Athletic Club,La Liga,25.0,38.0,53.0,488.0,187.0,38.3,12.84,4.92,0.09,0.24,,8.0,8.0
5,Atlético Madrid,La Liga,22.0,38.0,70.0,503.0,199.0,39.6,13.24,5.24,0.14,0.34,,2.0,7.0
6,Augsburg,Bundesliga,28.0,34.0,35.0,371.0,119.0,32.1,10.91,3.5,0.09,0.27,,3.0,4.0
7,Barcelona,La Liga,25.0,38.0,113.0,649.0,268.0,41.3,17.08,7.05,0.16,0.39,,8.0,9.0
8,Bastia,Ligue 1,29.0,38.0,28.0,385.0,122.0,31.7,10.13,3.21,0.07,0.23,,0.0,1.0
9,Bayern Munich,Bundesliga,22.0,34.0,88.0,622.0,230.0,37.0,18.29,6.76,0.13,0.36,,5.0,5.0
10,Betis,La Liga,27.0,38.0,41.0,440.0,153.0,34.8,11.58,4.03,0.09,0.25,,2.0,2.0
11,Bologna,Serie A,28.0,38.0,39.0,424.0,145.0,34.2,11.16,3.82,0.09,0.26,,1.0,2.0
12,Bordeaux,Ligue 1,27.0,38.0,51.0,456.0,157.0,34.4,12.0,4.13,0.1,0.3,,4.0,7.0
13,Bournemouth,Premier League,27.0,38.0,53.0,452.0,160.0,35.4,11.89,4.21,0.1,0.29,,7.0,10.0
14,Burnley,Premier League,27.0,38.0,39.0,388.0,121.0,31.2,10.21,3.18,0.09,0.27,,6.0,6.0
15,Caen,Ligue 1,27.0,38.0,35.0,465.0,149.0,32.0,12.24,3.92,0.07,0.21,,4.0,5.0
16,Cagliari,Serie A,34.0,38.0,53.0,431.0,161.0,37.4,11.34,4.24,0.11,0.3,,4.0,6.0
17,Celta Vigo,La Liga,27.0,38.0,52.0,404.0,148.0,36.6,10.63,3.89,0.11,0.3,,7.0,7.0
18,Chelsea,Premier League,24.0,38.0,83.0,582.0,205.0,35.2,15.32,5.39,0.14,0.4,,2.0,4.0
19,Chievo,Serie A,29.0,38.0,42.0,405.0,129.0,31.9,10.66,3.39,0.09,0.29,,4.0,5.0
20,Crotone,Serie A,31.0,38.0,34.0,408.0,129.0,31.6,10.74,3.39,0.07,0.23,,4.0,5.0
21,Crystal Palace,Premier League,31.0,38.0,48.0,441.0,137.0,31.1,11.61,3.61,0.1,0.32,,4.0,7.0
22,Darmstadt 98,Bundesliga,31.0,34.0,28.0,341.0,98.0,28.7,10.03,2.88,0.07,0.23,,5.0,7.0
23,Dijon,Ligue 1,27.0,38.0,42.0,430.0,158.0,36.7,11.32,4.16,0.09,0.25,,3.0,4.0
24,Dortmund,Bundesliga,27.0,34.0,71.0,533.0,191.0,35.8,15.68,5.62,0.12,0.35,,5.0,7.0
25,Eibar,La Liga,24.0,38.0,53.0,451.0,182.0,40.4,11.87,4.79,0.1,0.26,,6.0,8.0
26,Eint Frankfurt,Bundesliga,26.0,34.0,35.0,382.0,123.0,32.2,11.24,3.62,0.09,0.27,,2.0,6.0
27,Empoli,Serie A,29.0,38.0,29.0,364.0,127.0,34.9,9.58,3.34,0.07,0.2,,4.0,5.0
28,Espanyol,La Liga,27.0,38.0,48.0,345.0,131.0,38.0,9.08,3.45,0.13,0.35,,2.0,4.0
29,Everton,Premier League,27.0,38.0,58.0,500.0,192.0,38.4,13.16,5.05,0.11,0.29,,3.0,4.0
