,Player,Squad,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
0,Max Aarons,Bournemouth,10.6,17,1.61,12,2,0,0,3,0,1,0.09,1,0,0,0,0,0
1,Brenden Aaronson,Union Berlin,3.4,8,2.36,7,1,0,0,0,0,1,0.30,1,0,0,0,0,0
2,Paxten Aaronson,Eint Frankfurt,1.1,2,1.78,1,0,0,1,0,0,1,0.89,1,0,0,0,0,0
3,Yunis Abdelhamid,Reims,15.0,10,0.67,7,0,0,2,1,0,0,0.00,0,0,0,0,0,0
4,Salis Abdul Samed,Lens,11.9,21,1.76,21,0,0,0,0,0,2,0.17,2,0,0,0,0,0
5,Laurent Abergel,Lorient,15.0,29,1.93,21,1,1,0,1,5,4,0.27,2,0,1,0,0,1
6,Matthis Abline,Nantes,4.0,17,4.30,15,0,2,0,0,0,1,0.25,0,0,1,0,0,0
7,Abner,Betis,7.8,10,1.28,10,0,0,0,0,0,0,0.00,0,0,0,0,0,0
8,Zakaria Aboukhlal,Toulouse,4.2,9,2.15,6,0,1,1,1,0,1,0.24,0,0,0,0,1,0
9,Abdel Abqar,Alavés,12.9,8,0.62,5,0,0,2,1,0,0,0.00,0,0,0,0,0,0
10,Francesco Acerbi,Inter,12.0,11,0.92,9,0,0,2,0,0,1,0.08,1,0,0,0,0,0
11,Marcos Acuna,Sevilla,5.1,17,3.36,11,3,1,0,1,1,0,0.00,0,0,0,0,0,0
12,Benie Adama Traore,Sheffield Utd,4.3,6,1.40,6,0,0,0,0,0,1,0.23,1,0,0,0,0,0
13,Akor Adams,Montpellier,13.5,26,1.92,16,0,5,4,1,0,2,0.15,0,0,2,0,0,0
14,Junior Adamu,Freiburg,1.0,2,2.07,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0
15,Sargis Adamyan,Köln,1.6,7,4.41,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0
16,Tosin Adarabioyo,Fulham,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
17,Elijah Adebayo,Luton Town,6.5,11,1.69,9,0,0,1,1,0,0,0.00,0,0,0,0,0,0
18,Karim Adeyemi,Dortmund,4.1,7,1.70,4,0,1,0,2,0,1,0.24,1,0,0,0,0,0
19,Simon Adingra,Brighton,11.3,35,3.09,25,1,3,3,1,2,4,0.35,3,0,0,0,0,1
20,Amine Adli,Leverkusen,2.9,17,5.80,15,0,1,1,0,0,3,1.02,3,0,0,0,0,0
21,Yacine Adli,Milan,3.6,11,3.05,7,4,0,0,0,0,1,0.28,0,1,0,0,0,0
22,Adson,Nantes,2.6,9,3.40,8,0,1,0,0,0,0,0.00,0,0,0,0,0,0
23,Michel Aebischer,Bologna,12.0,15,1.25,14,0,0,0,1,0,1,0.08,1,0,0,0,0,0
24,Emmanuel Agbadou,Reims,10.7,15,1.40,12,0,0,3,0,0,0,0.00,0,0,0,0,0,0
26,Lucien Agoume,Inter,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
27,Felix Agu,Werder Bremen,1.2,2,1.62,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
28,Nayef Aguerd,West Ham,14.7,10,0.68,8,1,0,1,0,0,0,0.00,0,0,0,0,0,0
29,Ruben Aguilar,Lens,9.5,26,2.73,24,0,0,2,0,0,3,0.31,3,0,0,0,0,0
30,Naouirou Ahamada,Crystal Palace,1.4,5,3.69,5,0,0,0,0,0,1,0.74,1,0,0,0,0,0
31,Anel Ahmedhodzic,Sheffield Utd,11.5,9,0.78,8,0,0,1,0,0,1,0.09,0,0,0,1,0,0
32,Joseph Aidoo,Celta Vigo,4.5,6,1.33,4,0,1,1,0,0,1,0.22,0,0,0,1,0,0
33,Ola Aina,Nott'ham Forest,9.0,14,1.56,10,1,1,0,1,1,1,0.11,1,0,0,0,0,0
34,Rayan Ait Nouri,Wolves,9.9,25,2.53,14,6,1,2,2,0,1,0.10,0,0,0,0,1,0
35,Tosin Aiyegun,Lorient,5.3,5,0.94,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
36,Kristoffer Ajer,Brentford,8.1,17,2.11,14,0,1,2,0,0,2,0.25,2,0,0,0,0,0
37,Ludovic Ajorque,Mainz 05,8.8,17,1.94,14,1,0,1,1,0,0,0.00,0,0,0,0,0,0
38,Manuel Akanji,Manchester City,12.0,18,1.50,16,0,0,0,1,1,2,0.17,2,0,0,0,0,0
39,Marley Ake,Udinese,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
40,Nathan Ake,Manchester City,8.2,12,1.47,9,0,1,2,0,0,4,0.49,2,0,1,1,0,0
41,Ilias Akhomach,Villarreal,4.4,10,2.26,7,1,1,1,0,0,1,0.23,1,0,0,0,0,0
42,Sergio Akieme,Almería,13.0,25,1.92,15,3,4,1,2,0,1,0.08,0,0,0,1,0,0
43,Maghnes Akliouche,Monaco,5.0,23,4.62,14,1,4,2,1,1,2,0.40,2,0,0,0,0,0
44,Paul Akouokou,Betis,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
45,Paul Akouokou,Lyon,3.3,6,1.81,4,0,1,0,0,1,0,0.00,0,0,0,0,0,0
46,Jean-Daniel Akpa-Akpro,Monza,0.4,1,2.43,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
47,Kevin Akpoguma,Hoffenheim,6.3,6,0.96,4,0,1,0,1,0,1,0.16,1,0,0,0,0,0
48,David Alaba,Real Madrid,12.4,18,1.45,13,4,0,1,0,0,1,0.08,0,1,0,0,0,0
49,Luis Alberto,Lazio,12.8,55,4.29,38,14,0,3,0,0,2,0.16,2,0,0,0,0,0
50,Raul Albiol,Villarreal,12.8,2,0.16,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
52,Ruben Alcaraz,Cádiz,14.0,25,1.79,18,3,0,1,1,2,3,0.21,2,0,0,1,0,0
53,Omar Alderete,Getafe,6.8,8,1.17,6,0,1,0,1,0,1,0.15,1,0,0,0,0,0
54,Ivan Alejo,Cádiz,10.8,17,1.57,12,0,0,0,5,0,5,0.46,3,0,0,0,2,0
55,Carles Alena,Getafe,6.5,23,3.54,13,8,0,0,1,1,2,0.31,1,1,0,0,0,0
56,Trent Alexander-Arnold,Liverpool,12.6,65,5.15,43,16,2,4,0,0,5,0.40,3,2,0,0,0,0
57,Mohamed Ali Cho,Real Sociedad,2.8,3,1.08,1,0,1,0,1,0,1,0.36,0,0,0,0,1,0
58,Yanis Ali Issoufou,Montpellier,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Faride Alidou,Köln,3.0,7,2.32,6,0,0,0,1,0,1,0.33,1,0,0,0,0,0
60,Nabil Alioui,Le Havre,10.4,35,3.37,20,10,3,2,0,0,0,0.00,0,0,0,0,0,0
61,Alisson,Liverpool,14.0,6,0.43,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0
62,Jim Allevinah,Clermont Foot,11.3,33,2.92,21,2,4,2,3,1,1,0.09,1,0,0,0,0,0
63,Domingos Andre Ribeiro Almeida,Valencia,5.3,17,3.20,11,2,2,2,0,0,1,0.19,1,0,0,0,0,0
64,Miguel Almiron,Newcastle Utd,12.0,26,2.17,21,0,1,3,1,0,3,0.25,2,0,0,1,0,0
65,Pontus Almqvist,Lecce,10.3,31,3.00,19,1,4,3,3,1,5,0.48,3,0,0,0,1,1
66,Marcos Alonso,Barcelona,1.8,7,3.89,7,0,0,0,0,0,1,0.56,1,0,0,0,0,0
67,Adria Altimira,Villarreal,5.1,5,0.97,5,0,0,0,0,0,1,0.19,1,0,0,0,0,0
68,Sergi Altimira,Betis,1.8,1,0.55,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0
69,Edson Alvarez,West Ham,11.1,10,0.90,6,0,1,3,0,0,2,0.18,2,0,0,0,0,0
70,Gaston Alvarez,Getafe,13.0,11,0.84,9,1,0,1,0,0,0,0.00,0,0,0,0,0,0
71,Julian Alvarez,Manchester City,14.6,60,4.10,40,16,2,1,1,0,10,0.68,8,1,0,0,1,0
72,Yeray Alvarez,Athletic Club,2.1,4,1.95,2,2,0,0,0,0,1,0.49,1,0,0,0,0,0
