,Player,Squad,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
0,Max Aarons,Bournemouth,10.6,0,1,0,0.0,0.09,0.00,0.00,0.0,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0
1,Brenden Aaronson,Union Berlin,3.4,0,2,0,0.0,0.59,0.00,0.00,0.0,22.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1
2,Paxten Aaronson,Eint Frankfurt,1.1,0,2,2,100.0,1.78,1.78,0.00,0.00,15.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1
3,Yunis Abdelhamid,Reims,15.0,3,14,7,50.0,0.93,0.47,0.21,0.43,12.8,0,0,0,2.2,2.2,0.15,+0.8,+0.8
4,Salis Abdul Samed,Lens,11.9,0,5,0,0.0,0.42,0.00,0.00,0.0,21.6,0,0,0,0.8,0.8,0.17,-0.8,-0.8
5,Laurent Abergel,Lorient,15.0,1,8,3,37.5,0.53,0.20,0.13,0.33,25.8,0,0,0,0.5,0.5,0.07,+0.5,+0.5
6,Matthis Abline,Nantes,4.0,1,12,6,50.0,3.03,1.52,0.08,0.17,16.9,0,0,0,0.8,0.8,0.07,+0.2,+0.2
7,Abner,Betis,7.8,0,3,0,0.0,0.38,0.00,0.00,0.0,15.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
8,Zakaria Aboukhlal,Toulouse,4.2,3,13,5,38.5,3.11,1.20,0.15,0.40,17.1,0,1,1,2.2,1.4,0.11,+0.8,+0.6
9,Abdel Abqar,Alavés,12.9,0,6,1,16.7,0.46,0.08,0.00,0.00,10.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3
10,Francesco Acerbi,Inter,12.0,1,8,2,25.0,0.67,0.17,0.13,0.50,11.4,0,0,0,0.7,0.7,0.09,+0.3,+0.3
11,Marcos Acuna,Sevilla,5.1,0,4,1,25.0,0.79,0.20,0.00,0.00,27.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
12,Benie Adama Traore,Sheffield Utd,4.3,0,1,1,100.0,0.23,0.23,0.00,0.00,15.3,0,0,0,0.3,0.3,0.27,-0.3,-0.3
13,Akor Adams,Montpellier,13.5,7,47,20,42.6,3.47,1.48,0.15,0.35,14.8,0,0,0,8.0,8.0,0.17,-1.0,-1.0
14,Junior Adamu,Freiburg,1.0,0,2,1,50.0,2.07,1.03,0.00,0.00,12.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
15,Sargis Adamyan,Köln,1.6,0,5,4,80.0,3.17,2.54,0.00,0.00,10.8,0,0,0,0.9,0.9,0.19,-0.9,-0.9
16,Tosin Adarabioyo,Fulham,2.0,1,1,1,100.0,0.49,0.49,1.00,1.00,12.0,0,0,0,0.0,0.0,0.03,+1.0,+1.0
17,Elijah Adebayo,Luton Town,6.5,4,11,4,36.4,1.69,0.61,0.36,1.00,9.8,0,0,0,1.9,1.9,0.17,+2.1,+2.1
18,Karim Adeyemi,Dortmund,4.1,0,5,2,40.0,1.22,0.49,0.00,0.00,14.4,0,0,0,0.8,0.8,0.16,-0.8,-0.8
19,Simon Adingra,Brighton,11.3,4,19,10,52.6,1.68,0.88,0.21,0.40,16.3,0,0,0,2.3,2.3,0.12,+1.7,+1.7
20,Amine Adli,Leverkusen,2.9,1,7,3,42.9,2.38,1.02,0.14,0.33,15.5,0,0,0,0.5,0.5,0.07,+0.5,+0.5
21,Yacine Adli,Milan,3.6,0,1,0,0.0,0.28,0.00,0.00,0.0,26.2,0,0,0,0.0,0.0,0.02,0.0,0.0
22,Adson,Nantes,2.6,0,5,0,0.0,1.89,0.00,0.00,0.0,17.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2
23,Michel Aebischer,Bologna,12.0,0,2,1,50.0,0.17,0.08,0.00,0.00,20.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
24,Emmanuel Agbadou,Reims,10.7,0,10,2,20.0,0.93,0.19,0.00,0.00,18.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5
26,Lucien Agoume,Inter,0.1,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
27,Felix Agu,Werder Bremen,1.2,0,1,0,0.0,0.81,0.00,0.00,0.0,12.7,0,0,0,0.1,0.1,0.12,-0.1,-0.1
28,Nayef Aguerd,West Ham,14.7,1,11,2,18.2,0.75,0.14,0.09,0.50,10.0,0,0,0,1.3,1.3,0.12,-0.3,-0.3
