,Player,Squad,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
0,Max Aarons,Norwich City,32.0,1469,1130,332,17,5,4,50,315,0,0,0,0,1107,7,40
1,Yunis Abdelhamid,Reims,33.1,1578,1471,101,89,0,32,4,9,0,0,0,0,1284,6,26
2,Salis Abdul Samed,Clermont Foot,27.4,1701,1678,21,17,1,3,14,4,0,0,0,0,1535,2,29
3,Laurent Abergel,Lorient,32.8,1660,1617,35,25,7,21,37,8,2,0,1,0,1342,8,49
4,Charles Abi,Saint-Étienne,0.5,7,7,0,0,0,0,1,0,0,0,0,0,3,0,0
5,Dickson Abiama,Greuther Fürth,8.1,137,129,6,0,2,0,3,0,0,0,0,0,84,2,6
6,Matthis Abline,Rennes,1.1,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0
7,Tammy Abraham,Roma,34.3,696,627,67,6,5,1,16,2,0,0,0,0,485,2,20
8,Luis Abram,Granada,6.2,226,216,9,5,0,0,0,2,0,0,0,0,191,1,4
9,Francesco Acerbi,Lazio,28.2,2043,1955,87,77,1,34,3,1,0,0,0,0,1837,1,6
10,Ragnar Ache,Eint Frankfurt,2.9,64,61,2,0,0,1,6,2,0,0,0,0,37,1,4
11,Mohamed Achi,Nantes,0.1,9,9,0,0,0,0,0,0,0,0,0,0,6,0,0
12,Marcos Acuna,Sevilla,25.1,1963,1624,333,63,3,30,178,230,40,0,31,0,1543,6,30
13,Che Adams,Southampton,22.7,472,468,2,0,4,5,8,1,0,0,0,0,304,2,22
14,Tyler Adams,RB Leipzig,15.0,918,882,32,16,1,0,2,14,0,0,0,0,794,4,15
15,Sargis Adamyan,Hoffenheim,3.7,101,95,5,0,0,0,5,5,0,0,0,0,73,1,3
16,Martin Adeline,Reims,3.9,147,138,8,4,0,0,11,0,4,0,4,0,107,1,12
17,Amine Adli,Leverkusen,14.0,516,494,17,1,6,0,21,11,1,0,0,0,376,5,27
18,Yacine Adli,Bordeaux,25.1,1251,1105,138,48,11,30,114,12,68,38,17,1,906,8,25
19,Michel Aebischer,Bologna,4.9,239,225,13,5,0,1,7,1,7,0,4,0,205,1,5
20,Felix Afena-Gyan,Roma,7.4,152,145,7,0,0,2,8,5,0,0,0,0,114,0,4
21,Martin Agirregabiria,Alavés,18.0,792,610,179,6,0,5,45,172,1,0,0,0,547,3,16
22,Julen Agirrezabala,Athletic Club,4.0,82,49,33,7,0,0,0,0,0,0,0,0,62,0,0
23,Lucien Agoume,Brest,20.8,996,955,38,30,0,10,5,0,1,0,1,0,836,3,20
24,Kevin Agudelo,Spezia,13.7,389,375,11,1,0,1,22,4,4,3,1,0,280,3,22
26,Nayef Aguerd,Rennes,30.4,2204,2127,74,69,2,41,1,5,0,0,0,0,1959,3,12
27,Sergio Aguero,Barcelona,1.7,42,40,2,0,0,0,3,0,0,0,0,0,30,0,0
28,Ruben Aguilar,Monaco,23.8,1728,1445,277,34,4,16,64,242,1,0,1,0,1435,6,27
