,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
0,Ismael Aaneba,fr FRA,DF,Strasbourg,Ligue 1,19.0,1999.0,2.3,157.0,9.0,49.0,80.0,31.0,0.0,157.0,3.0,2.0,66.7,1.0,33.3,70.0,381.0,239.0,3.0,4.0,0.0,4.0,2.0,71.0,8.0
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,Premier League,27.0,1990.0,35.5,2300.0,123.0,666.0,1046.0,611.0,63.0,2300.0,42.0,22.0,52.4,20.0,47.6,1051.0,5415.0,3184.0,89.0,69.0,16.0,35.0,15.0,1335.0,106.0
2,Ignazio Abate,it ITA,DF,Milan,Serie A,31.0,1986.0,14.5,1070.0,67.0,342.0,579.0,156.0,11.0,1070.0,10.0,4.0,40.0,6.0,60.0,646.0,2673.0,1487.0,27.0,13.0,4.0,8.0,2.0,695.0,43.0
3,Issah Abbas,gh GHA,FW,Mainz 05,Bundesliga,19.0,1998.0,0.1,4.0,0.0,0.0,1.0,4.0,0.0,4.0,1.0,1.0,100.0,0.0,0.0,3.0,55.0,8.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
4,Yunis Abdelhamid,ma MAR,DF,Reims,Ligue 1,30.0,1987.0,38.0,2027.0,259.0,1276.0,738.0,46.0,27.0,2027.0,23.0,21.0,91.3,2.0,8.7,1040.0,5366.0,2909.0,16.0,7.0,1.0,16.0,6.0,1182.0,1.0
5,Mehdi Abeid,dz ALG,MF,Dijon,Ligue 1,25.0,1992.0,22.5,1356.0,30.0,252.0,870.0,258.0,21.0,1355.0,60.0,31.0,51.7,29.0,48.3,786.0,4914.0,2328.0,43.0,23.0,4.0,40.0,31.0,908.0,50.0
6,Charles Abi,fr FRA,"DF,FW",Saint-Étienne,Ligue 1,18.0,2000.0,0.4,29.0,1.0,6.0,10.0,14.0,4.0,29.0,3.0,2.0,66.7,1.0,33.3,16.0,123.0,52.0,2.0,2.0,0.0,3.0,2.0,17.0,0.0
7,David Abraham,ar ARG,DF,Eint Frankfurt,Bundesliga,32.0,1986.0,15.8,839.0,94.0,370.0,434.0,47.0,8.0,839.0,7.0,6.0,85.7,1.0,14.3,418.0,2652.0,1566.0,20.0,14.0,0.0,5.0,2.0,442.0,7.0
8,Amir Abrashi,al ALB,MF,Freiburg,Bundesliga,28.0,1990.0,8.8,461.0,24.0,112.0,294.0,58.0,1.0,461.0,5.0,3.0,60.0,2.0,40.0,193.0,944.0,422.0,6.0,4.0,1.0,4.0,8.0,266.0,9.0
9,Francesco Acerbi,it ITA,DF,Lazio,Serie A,30.0,1988.0,36.8,2178.0,257.0,1019.0,1060.0,112.0,28.0,2178.0,11.0,9.0,81.8,2.0,18.2,1191.0,7946.0,4406.0,39.0,26.0,2.0,20.0,8.0,1306.0,17.0
10,Afriyie Acquah,gh GHA,MF,Empoli,Serie A,26.0,1992.0,16.8,901.0,22.0,132.0,474.0,315.0,29.0,901.0,35.0,27.0,77.1,8.0,22.9,623.0,4409.0,2387.0,58.0,45.0,9.0,32.0,21.0,690.0,76.0
11,Tyler Adams,us USA,MF,RB Leipzig,Bundesliga,19.0,1999.0,8.0,641.0,16.0,87.0,443.0,119.0,6.0,641.0,19.0,14.0,73.7,5.0,26.3,292.0,1928.0,1164.0,19.0,19.0,0.0,18.0,6.0,405.0,12.0
12,Antonio Adán,es ESP,GK,Atlético Madrid,La Liga,31.0,1987.0,1.0,28.0,25.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,,0.0,,10.0,70.0,57.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
13,Aday,es ESP,"DF,MF",Girona,La Liga,30.0,1987.0,7.2,380.0,21.0,87.0,161.0,136.0,6.0,380.0,9.0,6.0,66.7,3.0,33.3,204.0,1587.0,836.0,35.0,24.0,5.0,8.0,4.0,227.0,40.0
14,Khaled Adénon,bj BEN,DF,Amiens,Ligue 1,33.0,1985.0,22.2,1203.0,127.0,587.0,598.0,24.0,16.0,1203.0,1.0,1.0,100.0,0.0,0.0,687.0,3746.0,2202.0,13.0,4.0,0.0,5.0,7.0,701.0,1.0
15,Claud Adjapong,it ITA,"MF,FW",Sassuolo,Serie A,20.0,1998.0,3.0,147.0,5.0,29.0,62.0,59.0,8.0,147.0,14.0,6.0,42.9,8.0,57.1,71.0,399.0,168.0,6.0,4.0,4.0,12.0,6.0,79.0,19.0
16,Yacine Adli,fr FRA,MF,Bordeaux,Ligue 1,18.0,2000.0,2.4,184.0,0.0,12.0,107.0,68.0,6.0,184.0,15.0,9.0,60.0,6.0,40.0,112.0,838.0,341.0,13.0,12.0,2.0,11.0,5.0,147.0,17.0
17,Ali Adnan Kadhim,iq IRQ,DF,Atalanta,Serie A,24.0,1993.0,1.8,137.0,7.0,34.0,56.0,50.0,4.0,137.0,7.0,5.0,71.4,2.0,28.6,73.0,419.0,252.0,7.0,2.0,0.0,0.0,1.0,79.0,11.0
18,Aritz Aduriz,es ESP,FW,Athletic Club,La Liga,37.0,1981.0,10.5,313.0,4.0,18.0,149.0,148.0,37.0,311.0,9.0,2.0,22.2,7.0,77.8,142.0,520.0,170.0,8.0,5.0,1.0,23.0,6.0,256.0,57.0
19,Luis Advíncula,pe PER,DF,Rayo Vallecano,La Liga,28.0,1990.0,26.5,1462.0,84.0,439.0,671.0,370.0,25.0,1462.0,53.0,39.0,73.6,14.0,26.4,824.0,4387.0,2172.0,51.0,32.0,7.0,41.0,33.0,865.0,136.0
20,Martin Agirregabiria,es ESP,DF,Alavés,La Liga,22.0,1996.0,22.6,1200.0,89.0,403.0,595.0,218.0,9.0,1200.0,39.0,26.0,66.7,13.0,33.3,478.0,2887.0,1656.0,36.0,21.0,4.0,20.0,11.0,567.0,56.0
21,Nayef Aguerd,ma MAR,DF,Dijon,Ligue 1,22.0,1996.0,11.7,747.0,68.0,336.0,383.0,36.0,9.0,747.0,7.0,6.0,85.7,1.0,14.3,376.0,1848.0,1032.0,11.0,6.0,0.0,8.0,5.0,460.0,3.0
22,Sergio Agüero,ar ARG,FW,Manchester City,Premier League,30.0,1988.0,27.3,1119.0,4.0,22.0,384.0,724.0,200.0,1117.0,73.0,45.0,61.6,28.0,38.4,824.0,4572.0,1987.0,81.0,60.0,35.0,74.0,54.0,896.0,253.0
23,Ruben Aguilar,fr FRA,DF,Montpellier,Ligue 1,25.0,1993.0,28.1,1970.0,63.0,417.0,953.0,614.0,35.0,1970.0,71.0,36.0,50.7,35.0,49.3,921.0,5482.0,3172.0,85.0,60.0,9.0,47.0,26.0,1172.0,155.0
24,Juan Aguilera,es ESP,MF,Huesca,La Liga,32.0,1985.0,3.8,217.0,5.0,35.0,154.0,30.0,4.0,217.0,1.0,1.0,100.0,0.0,0.0,130.0,614.0,365.0,8.0,2.0,1.0,4.0,2.0,150.0,2.0
26,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,Serie A,27.0,1990.0,1.8,53.0,4.0,10.0,31.0,12.0,2.0,53.0,2.0,0.0,0.0,2.0,100.0,25.0,106.0,25.0,2.0,2.0,0.0,4.0,2.0,32.0,5.0
27,Jean-Eudes Aholou,ci CIV,MF,Monaco,Ligue 1,24.0,1994.0,11.9,661.0,10.0,110.0,439.0,124.0,17.0,661.0,17.0,10.0,58.8,7.0,41.2,395.0,2337.0,1422.0,36.0,24.0,4.0,14.0,9.0,441.0,27.0
