,# Pl,Poss,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
0,36,43.2,38.0,19271,1979,6134,9380,3966,486,19262,630,283,44.9,277,44.0,12563,73525,32335,487,406,92,625,324,11114,1150
1,29,45.1,38.0,20070,2715,7746,8468,4071,631,20067,666,296,44.4,310,46.5,10790,56980,29134,569,432,131,580,281,12047,1080
2,33,46.9,38.0,21515,2041,6588,10633,4609,567,21511,928,441,47.5,392,42.2,15521,89958,41416,632,596,149,593,349,13974,1374
3,26,59.3,38.0,25909,1994,6632,11452,8015,1296,25905,751,351,46.7,290,38.6,15923,84011,44201,824,583,281,526,378,18101,2024
4,26,49.3,38.0,21501,2783,7912,9077,4706,746,21496,681,292,42.9,279,41.0,12294,65583,33156,637,434,174,565,371,13587,1227
5,27,49.9,38.0,23862,2217,7478,10221,6382,956,23854,785,340,43.3,355,45.2,13148,67208,33188,687,565,210,619,387,15359,1628
6,26,51.6,38.0,22736,1978,6159,10166,6645,931,22729,734,347,47.3,305,41.6,12897,70948,39281,864,587,217,554,351,14284,1801
7,27,50.6,38.0,24416,2414,7789,11103,5714,934,24414,656,322,49.1,262,39.9,13702,67404,35788,730,473,200,486,277,16705,1557
8,34,41.7,34.0,16605,2549,6859,6322,3604,574,16600,488,201,41.2,234,48.0,7744,41189,20165,331,241,70,490,266,8309,831
9,33,43.3,38.0,20359,2523,7094,9231,4269,630,20350,749,337,45.0,319,42.6,13862,80840,35785,531,461,131,645,320,12268,1267
10,29,64.3,38.0,28406,2019,6756,13998,7881,1152,28404,801,396,49.4,321,40.1,18798,101309,55608,963,784,279,546,325,21132,2166
11,28,64.2,34.0,26741,2210,7657,12339,6998,1185,26736,912,466,51.1,362,39.7,17141,88991,44959,863,577,286,601,354,19261,2019
12,30,50.6,38.0,22480,2329,7273,10221,5227,718,22471,770,365,47.4,311,40.4,12640,63649,31063,620,492,156,564,353,14567,1259
13,26,46.1,34.0,17478,2270,6243,7442,3956,661,17475,420,175,41.7,195,46.4,7951,40250,18371,350,274,86,500,258,9060,1007
14,27,54.7,38.0,24552,2551,8483,11383,4893,592,24546,567,265,46.7,243,42.9,14223,70806,35047,564,487,113,582,305,16622,1358
15,31,40.4,38.0,19950,2934,8004,7933,4256,699,19950,735,321,43.7,344,46.8,10336,55322,27419,504,388,144,589,367,11617,986
16,25,43.8,38.0,19750,2632,7290,7802,4835,827,19742,597,264,44.2,248,41.5,10408,49009,23987,392,299,102,520,335,11203,1121
17,29,44.9,38.0,20724,2299,6960,9493,4555,668,20716,655,270,41.2,301,46.0,13923,82689,37401,592,490,124,566,322,12371,1294
18,29,60.2,38.0,26727,2471,7844,12212,6873,1102,26721,724,343,47.4,279,38.5,16331,83719,43965,809,547,250,558,324,18991,1828
19,38,41.9,38.0,18156,2374,6497,7769,4091,579,18151,569,246,43.2,249,43.8,9031,48205,24623,475,350,89,567,354,9839,960
20,26,50.2,38.0,22608,2214,7194,10099,5553,734,22605,700,323,46.1,295,42.1,13546,71269,36623,704,558,161,566,298,14591,1393
21,32,58.7,38.0,27166,2564,8461,12056,6850,958,27163,833,375,45.0,352,42.3,16537,83505,43593,829,622,216,568,381,19065,1729
22,28,48.3,38.0,22057,2500,7753,10251,4323,656,22047,753,350,46.5,309,41.0,15772,89656,41497,532,508,111,566,338,14090,1294
23,33,42.1,38.0,19346,2538,7184,8051,4334,678,19339,569,237,41.7,251,44.1,9843,51780,26321,521,394,101,553,297,10770,1100
24,26,46.3,38.0,21713,2580,7668,9275,4991,766,21710,784,367,46.8,314,40.1,11687,60301,30015,556,393,206,643,457,13304,1238
25,30,58.2,34.0,23758,2099,7166,10816,6011,944,23752,879,415,47.2,366,41.6,14458,75809,39242,783,514,205,483,356,16318,1614
26,28,52.9,34.0,21945,2034,6815,10478,4867,850,21939,695,292,42.0,331,47.6,12138,61277,31167,632,431,220,533,293,13832,1361
27,32,45.5,38.0,19948,2416,7058,8743,4363,619,19943,708,342,48.3,311,43.9,11274,60085,29395,561,408,107,577,345,11950,1185
28,32,47.3,38.0,21188,2962,8175,8766,4485,674,21186,705,313,44.4,311,44.1,11736,64438,31714,608,452,135,552,372,13050,1105
29,33,43.1,38.0,18805,2216,6173,8355,4471,688,18800,575,257,44.7,260,45.2,9604,51135,25085,528,385,111,526,245,10712,1135
30,28,42.8,38.0,20233,2527,7219,8417,4830,742,20229,669,305,45.6,296,44.2,10479,56737,27858,500,391,137,605,300,11708,1042
31,30,56.1,38.0,23123,2028,6652,10361,6366,977,23117,704,323,45.9,273,38.8,13434,77635,39528,789,601,194,572,345,15234,1607
32,27,48.1,34.0,19065,2247,6546,8366,4295,722,19057,480,216,45.0,200,41.7,10112,53575,25969,427,297,108,444,240,11445,1027
