,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
24,Adrián,es ESP,GK,Liverpool,Premier League,33.0,1987.0,3.0,100.0,70.0,29.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,1.0,0.0
26,Martin Agirregabiria,es ESP,"DF,MF",Alavés,La Liga,24.0,1996.0,17.3,751.0,563.0,183.0,16.0,0.0,9.0,32.0,165.0,2.0,0.0,0.0,0.0,534.0,5.0,17.0
27,Lucien Agoume,fr FRA,MF,Spezia,Serie A,18.0,2002.0,8.9,487.0,472.0,12.0,11.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,434.0,3.0,2.0
28,Felix Agu,de GER,DF,Werder Bremen,Bundesliga,20.0,1999.0,7.8,299.0,231.0,68.0,0.0,0.0,1.0,12.0,68.0,0.0,0.0,0.0,0.0,210.0,0.0,9.0
29,Kevin Agudelo,co COL,FW,Spezia,Serie A,21.0,1998.0,15.1,328.0,310.0,16.0,0.0,1.0,1.0,11.0,2.0,2.0,0.0,0.0,0.0,228.0,2.0,25.0
30,Nayef Aguerd,ma MAR,DF,Rennes,Ligue 1,24.0,1996.0,35.0,2712.0,2631.0,80.0,79.0,0.0,30.0,1.0,1.0,0.0,0.0,0.0,0.0,2449.0,1.0,7.0
31,Sergio Agüero,ar ARG,FW,Manchester City,Premier League,32.0,1988.0,6.2,173.0,163.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,140.0,0.0,7.0
32,Ruben Aguilar,fr FRA,"DF,MF",Monaco,Ligue 1,27.0,1993.0,24.7,1568.0,1341.0,221.0,32.0,1.0,14.0,118.0,167.0,22.0,8.0,11.0,0.0,1265.0,6.0,24.0
33,Naouirou Ahamada,fr FRA,MF,Stuttgart,Bundesliga,18.0,2002.0,2.8,125.0,122.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,4.0
34,Matteo Ahlinvi,bj BEN,MF,Nîmes,Ligue 1,21.0,1999.0,10.0,322.0,316.0,5.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,258.0,1.0,10.0
35,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,Ligue 1,26.0,1994.0,23.8,851.0,835.0,15.0,13.0,1.0,6.0,8.0,1.0,1.0,0.0,1.0,0.0,701.0,1.0,10.0
36,Jean-Eudes Aholou,ci CIV,MF,Monaco,Ligue 1,26.0,1994.0,0.4,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
37,Joseph Aidoo,gh GHA,DF,Celta Vigo,La Liga,24.0,1995.0,14.3,629.0,608.0,16.0,15.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,511.0,5.0,8.0
