,Player,Squad,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
0,Max Aarons,Norwich City,32.0,46,1.44,34,3,2,3,3,1,3,0.09,3,0,0,0,0,0
1,Yunis Abdelhamid,Reims,33.1,22,0.66,17,0,2,1,0,2,1,0.03,1,0,0,0,0,0
2,Salis Abdul Samed,Clermont Foot,27.4,50,1.83,41,0,0,4,4,1,3,0.11,3,0,0,0,0,0
3,Laurent Abergel,Lorient,32.8,83,2.53,67,2,3,1,7,3,9,0.27,8,0,0,0,1,0
4,Charles Abi,Saint-Étienne,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
5,Dickson Abiama,Greuther Fürth,8.1,15,1.85,10,0,0,2,2,1,2,0.25,1,0,0,1,0,0
6,Matthis Abline,Rennes,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
7,Tammy Abraham,Roma,34.3,94,2.74,62,1,6,17,7,1,14,0.41,6,0,2,3,3,0
8,Luis Abram,Granada,6.2,3,0.48,1,0,0,2,0,0,1,0.16,0,0,0,1,0,0
9,Francesco Acerbi,Lazio,28.2,17,0.61,13,1,0,1,2,0,2,0.07,1,0,0,0,1,0
10,Ragnar Ache,Eint Frankfurt,2.9,8,2.78,4,0,1,2,1,0,1,0.35,0,0,0,1,0,0
11,Mohamed Achi,Nantes,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
12,Marcos Acuna,Sevilla,25.1,75,2.99,48,19,2,3,3,0,3,0.12,1,2,0,0,0,0
13,Che Adams,Southampton,22.7,51,2.25,32,0,2,4,11,2,5,0.22,3,0,1,0,0,1
14,Tyler Adams,RB Leipzig,15.0,26,1.73,23,1,1,1,0,0,4,0.27,4,0,0,0,0,0
15,Sargis Adamyan,Hoffenheim,3.7,11,2.98,8,0,2,0,0,1,1,0.27,1,0,0,0,0,0
16,Martin Adeline,Reims,3.9,10,2.56,8,0,1,0,0,1,0,0.00,0,0,0,0,0,0
17,Amine Adli,Leverkusen,14.0,49,3.51,39,1,3,4,2,0,6,0.43,5,0,0,1,0,0
18,Yacine Adli,Bordeaux,25.1,121,4.82,81,22,6,3,5,4,18,0.72,13,3,1,0,1,0
19,Michel Aebischer,Bologna,4.9,10,2.05,9,1,0,0,0,0,0,0.00,0,0,0,0,0,0
20,Felix Afena-Gyan,Roma,7.4,23,3.10,14,0,2,2,5,0,2,0.27,1,0,1,0,0,0
21,Martin Agirregabiria,Alavés,18.0,32,1.78,25,3,2,0,2,0,3,0.17,2,0,1,0,0,0
22,Julen Agirrezabala,Athletic Club,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
23,Lucien Agoume,Brest,20.8,35,1.69,28,1,1,4,1,0,2,0.10,2,0,0,0,0,0
24,Kevin Agudelo,Spezia,13.7,39,2.84,21,0,6,4,4,4,3,0.22,1,0,0,0,0,2
26,Nayef Aguerd,Rennes,30.4,15,0.49,10,0,0,4,1,0,4,0.13,3,0,0,0,1,0
27,Sergio Aguero,Barcelona,1.7,3,1.78,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
28,Ruben Aguilar,Monaco,23.8,32,1.35,25,3,1,1,2,0,4,0.17,3,1,0,0,0,0
29,Alvaro Aguirre,Rayo Vallecano,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
30,Naouirou Ahamada,Stuttgart,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
31,Anel Ahmedhodzic,Bordeaux,15.0,20,1.33,16,1,0,2,0,1,2,0.13,2,0,0,0,0,0
32,Jean-Eudes Aholou,Strasbourg,11.2,23,2.06,19,0,1,1,1,1,3,0.27,3,0,0,0,0,0
33,Joseph Aidoo,Celta Vigo,29.3,16,0.55,15,0,0,1,0,0,2,0.07,2,0,0,0,0,0
34,Ola Aina,Torino,16.0,37,2.32,29,2,3,0,3,0,1,0.06,1,0,0,0,0,0
35,Rayan Ait Nouri,Wolves,20.3,45,2.22,30,8,4,0,2,1,6,0.30,4,1,0,0,1,0
36,Kristoffer Ajer,Brentford,22.2,33,1.50,22,6,2,1,1,1,7,0.32,3,1,2,0,1,0
37,Ludovic Ajorque,Strasbourg,30.4,84,2.76,63,0,2,9,9,1,10,0.33,6,0,0,2,2,0
38,Manuel Akanji,Dortmund,25.1,16,0.64,12,2,1,1,0,0,1,0.04,1,0,0,0,0,0
39,Carlos Akapo,Cádiz,20.5,26,1.27,17,4,1,1,3,0,1,0.05,1,0,0,0,0,0
40,Marley Ake,Juventus,0.9,1,1.18,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
41,Nathan Ake,Manchester City,10.3,5,0.49,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
42,Ilias Akhomach,Barcelona,1.4,9,6.53,5,0,1,1,2,0,0,0.00,0,0,0,0,0,0
43,Maghnes Akliouche,Monaco,0.6,1,1.67,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
44,Paul Akouokou,Betis,5.7,7,1.22,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0
45,Jean-Daniel Akpa-Akpro,Lazio,3.5,3,0.86,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
46,Kevin Akpoguma,Hoffenheim,17.0,32,1.89,23,1,3,3,2,0,2,0.12,1,0,0,1,0,0
47,David Alaba,Real Madrid,29.4,45,1.53,37,2,1,4,0,1,8,0.27,7,0,0,1,0,0
48,Sofiane Alakouch,Metz,1.8,4,2.28,2,0,0,0,2,0,0,0.00,0,0,0,0,0,0
49,Tomas Alarcon,Cádiz,15.8,28,1.77,14,12,1,0,0,1,2,0.13,0,2,0,0,0,0
50,Lucas Alario,Leverkusen,7.3,27,3.69,17,0,6,2,2,0,4,0.55,3,0,1,0,0,0
52,Jordi Alba,Barcelona,29.4,89,3.03,82,3,0,2,2,0,14,0.48,13,0,0,1,0,0
53,Josue Albert,Clermont Foot,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
54,Luis Alberto,Lazio,26.1,120,4.59,83,26,3,3,5,0,16,0.61,6,7,1,2,0,0
