,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90,Team Success (xG) - On-Off
0,Max Aarons,eng ENG,DF,Norwich City,Premier League,21.0,2000.0,34.0,2881.0,85.0,84.2,32.0,32.0,89.0,29.0,2.0,22.0,2.0,0.53,18.0,69.0,-51.0,-1.59,0.08,25.5,60.0,-34.6,-1.08,0.35
1,Yunis Abdelhamid,ma MAR,DF,Reims,Ligue 1,33.0,1987.0,34.0,2983.0,88.0,87.2,33.1,34.0,88.0,33.0,0.0,,0.0,1.12,38.0,41.0,-3.0,-0.09,-0.5,31.8,41.3,-9.5,-0.29,-0.46
2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,Ligue 1,21.0,2000.0,31.0,2462.0,79.0,72.0,27.4,29.0,82.0,19.0,2.0,38.0,1.0,1.1,26.0,44.0,-18.0,-0.66,0.56,28.9,36.2,-7.3,-0.27,-0.2
3,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,Bundesliga,24.0,1996.0,0.0,,,,,0.0,,0.0,0.0,,3.0,,,,,,,,,,,
4,Laurent Abergel,fr FRA,MF,Lorient,Ligue 1,28.0,1993.0,34.0,2956.0,87.0,86.4,32.8,34.0,87.0,26.0,0.0,,0.0,0.82,27.0,59.0,-32.0,-0.97,-1.75,35.5,45.7,-10.2,-0.31,-0.5
5,Charles Abi,fr FRA,FW,Saint-Étienne,Ligue 1,21.0,2000.0,1.0,45.0,45.0,1.3,0.5,1.0,45.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.93,0.5,0.3,0.2,0.4,0.94
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,Bundesliga,22.0,1998.0,24.0,726.0,30.0,23.7,8.1,5.0,79.0,2.0,19.0,17.0,8.0,0.46,8.0,29.0,-21.0,-2.6,-1.33,6.6,17.6,-11.0,-1.36,-0.62
7,Matthis Abline,fr FRA,FW,Rennes,Ligue 1,18.0,2003.0,7.0,103.0,15.0,3.0,1.1,1.0,45.0,0.0,6.0,10.0,9.0,1.14,0.0,1.0,-1.0,-0.87,-2.04,0.9,1.8,-1.0,-0.86,-1.42
8,Abdel Abqar,ma MAR,DF,Alavés,La Liga,22.0,1999.0,0.0,,,,,0.0,,0.0,0.0,,16.0,,,,,,,,,,,
9,Tammy Abraham,eng ENG,FW,Chelsea,Premier League,23.0,1997.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,
10,Tammy Abraham,eng ENG,FW,Roma,Serie A,23.0,1997.0,37.0,3084.0,83.0,90.2,34.3,36.0,85.0,23.0,1.0,32.0,0.0,1.7,54.0,38.0,16.0,0.47,0.47,59.3,33.2,26.1,0.76,0.59
11,Luis Abram,pe PER,DF,Granada,La Liga,25.0,1996.0,8.0,560.0,70.0,16.4,6.2,6.0,80.0,4.0,2.0,39.0,12.0,1.38,8.0,5.0,3.0,0.48,1.11,5.2,7.2,-1.9,-0.31,0.33
12,Salim Abubakar,gh GHA,MF,Sassuolo,Serie A,18.0,2003.0,0.0,,,,,0.0,,0.0,0.0,,3.0,,,,,,,,,,,
