Player,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
Brenden Aaronson,0,USA,"MF,FW",Leeds United,Premier League,22.0,2000.0,13.0,13.0,1099.0,12.2,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.08,0.08,0.16,0.08,0.16,1.8,1.8,2.5,4.3,0.15,0.2,0.35,0.15,0.35,0,USA,"MF,FW",Leeds United,Premier League,22.0,2000.0,12.2,1.0,17.0,4.0,23.5,1.39,0.33,0.06,0.25,19.7,1.0,0.0,0.0,1.8,1.8,0.11,-0.8,-0.8
Yunis Abdelhamid,1,MAR,DF,Reims,Ligue 1,35.0,1987.0,14.0,14.0,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,1.3,0.07,0.02,0.09,0.07,0.09,1,MAR,DF,Reims,Ligue 1,35.0,1987.0,14.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,,12.5,0.0,0.0,0.0,1.0,1.0,0.07,-1.0,-1.0
Himad Abdelli,2,FRA,"MF,FW",Angers,Ligue 1,22.0,1999.0,7.0,2.0,231.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.5,0.9,0.15,0.21,0.36,0.15,0.36,2,FRA,"MF,FW",Angers,Ligue 1,22.0,1999.0,2.6,0.0,3.0,2.0,66.7,1.17,0.78,0.0,0.0,20.4,0.0,0.0,0.0,0.4,0.4,0.13,-0.4,-0.4
Salis Abdul Samed,3,GHA,MF,Lens,Ligue 1,22.0,2000.0,14.0,14.0,1259.0,14.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.07,0.0,0.07,0.07,0.07,0.3,0.3,0.1,0.5,0.02,0.01,0.03,0.02,0.03,3,GHA,MF,Lens,Ligue 1,22.0,2000.0,14.0,1.0,6.0,1.0,16.7,0.43,0.07,0.17,1.0,23.6,0.0,0.0,0.0,0.3,0.3,0.05,0.7,0.7
Laurent Abergel,4,FRA,MF,Lorient,Ligue 1,29.0,1993.0,10.0,10.0,807.0,9.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.11,0.11,0.0,0.11,0.2,0.2,0.5,0.7,0.02,0.06,0.08,0.02,0.08,4,FRA,MF,Lorient,Ligue 1,29.0,1993.0,9.0,0.0,4.0,0.0,0.0,0.45,0.0,0.0,,23.9,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2
Matthis Abline,5,FRA,"FW,MF",Rennes,Ligue 1,19.0,2003.0,10.0,0.0,105.0,1.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.86,0.0,0.86,0.86,0.86,0.8,0.8,0.3,1.0,0.65,0.22,0.88,0.65,0.88,5,FRA,"FW,MF",Rennes,Ligue 1,19.0,2003.0,1.2,1.0,6.0,2.0,33.3,5.14,1.71,0.17,0.5,12.2,0.0,0.0,0.0,0.8,0.8,0.13,0.2,0.2
Zakaria Aboukhlal,6,MAR,"FW,MF",Toulouse,Ligue 1,22.0,2000.0,14.0,13.0,1125.0,12.5,3.0,3.0,3.0,0.0,0.0,2.0,0.0,0.24,0.24,0.48,0.24,0.48,3.3,3.3,1.4,4.7,0.26,0.11,0.37,0.26,0.37,6,MAR,"FW,MF",Toulouse,Ligue 1,22.0,2000.0,12.5,3.0,34.0,11.0,32.4,2.72,0.88,0.09,0.27,18.6,0.0,0.0,0.0,3.3,3.3,0.1,-0.3,-0.3
Tammy Abraham,7,GBR,FW,Roma,Serie A,25.0,1997.0,14.0,11.0,972.0,10.8,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.28,0.09,0.37,0.28,0.37,6.3,6.3,1.5,7.8,0.58,0.14,0.72,0.58,0.72,7,GBR,FW,Roma,Serie A,25.0,1997.0,10.8,3.0,35.0,13.0,37.1,3.24,1.2,0.09,0.23,12.2,0.0,0.0,0.0,6.3,6.3,0.18,-3.3,-3.3
Francesco Acerbi,8,ITA,DF,Inter,Serie A,34.0,1988.0,8.0,7.0,641.0,7.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14,0.14,0.0,0.14,0.1,0.1,0.1,0.2,0.01,0.01,0.03,0.01,0.03,8,ITA,DF,Inter,Serie A,34.0,1988.0,7.1,0.0,2.0,0.0,0.0,0.28,0.0,0.0,,16.7,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1
Mohamed Achi,9,FRA,FW,Nantes,Ligue 1,20.0,2002.0,2.0,0.0,36.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.3,0.08,0.39,0.3,0.39,9,FRA,FW,Nantes,Ligue 1,20.0,2002.0,0.4,0.0,1.0,0.0,0.0,2.5,0.0,0.0,,26.1,0.0,0.0,0.0,0.1,0.1,0.12,-0.1,-0.1
Marcos Acuña,10,ARG,DF,Sevilla,La Liga,31.0,1991.0,10.0,7.0,551.0,6.1,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.1,1.4,0.05,0.17,0.22,0.05,0.22,10,ARG,DF,Sevilla,La Liga,31.0,1991.0,6.1,0.0,9.0,0.0,0.0,1.47,0.0,0.0,,29.7,1.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3
Che Adams,11,SYC,FW,Southampton,Premier League,26.0,1996.0,13.0,11.0,976.0,10.8,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.28,0.09,0.37,0.28,0.37,3.3,3.3,1.5,4.8,0.3,0.14,0.44,0.3,0.44,11,SYC,FW,Southampton,Premier League,26.0,1996.0,10.8,3.0,26.0,10.0,38.5,2.4,0.92,0.12,0.3,14.3,0.0,0.0,0.0,3.3,3.3,0.13,-0.3,-0.3
Tyler Adams,12,USA,MF,Leeds United,Premier League,23.0,1999.0,12.0,12.0,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.08,0.08,0.0,0.08,12,USA,MF,Leeds United,Premier League,23.0,1999.0,12.0,0.0,2.0,0.0,0.0,0.17,0.0,0.0,,29.4,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Sargis Adamyan,13,ARM,"FW,MF",Köln,Bundesliga,29.0,1993.0,13.0,2.0,379.0,4.2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.24,0.24,0.47,0.24,0.47,1.5,1.5,0.5,2.0,0.36,0.12,0.48,0.36,0.48,13,ARM,"FW,MF",Köln,Bundesliga,29.0,1993.0,4.2,1.0,13.0,8.0,61.5,3.09,1.9,0.08,0.13,14.8,0.0,0.0,0.0,1.5,1.5,0.12,-0.5,-0.5
Tosin Adarabioyo,14,GBR,DF,Fulham,Premier League,25.0,1997.0,10.0,10.0,900.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.2,0.01,0.0,0.02,0.01,0.02,14,GBR,DF,Fulham,Premier League,25.0,1997.0,10.0,1.0,3.0,1.0,33.3,0.3,0.1,0.33,1.0,11.1,0.0,0.0,0.0,0.1,0.1,0.05,0.9,0.9
Martin Adeline,15,FRA,"MF,FW",Reims,Ligue 1,18.0,2003.0,4.0,0.0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.07,0.0,0.07,0.07,0.07,15,FRA,"MF,FW",Reims,Ligue 1,18.0,2003.0,1.0,0.0,1.0,0.0,0.0,0.97,0.0,0.0,,25.5,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1
Karim Adeyemi,16,DEU,"FW,MF",Dortmund,Bundesliga,20.0,2002.0,10.0,7.0,469.0,5.2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,1.4,2.3,0.18,0.26,0.44,0.18,0.44,16,DEU,"FW,MF",Dortmund,Bundesliga,20.0,2002.0,5.2,0.0,12.0,6.0,50.0,2.3,1.15,0.0,0.0,18.2,0.0,0.0,0.0,0.9,0.9,0.08,-0.9,-0.9
Amine Adli,17,FRA,FW,Leverkusen,Bundesliga,22.0,2000.0,7.0,2.0,297.0,3.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.2,0.2,0.6,0.8,0.06,0.17,0.23,0.06,0.23,17,FRA,FW,Leverkusen,Bundesliga,22.0,2000.0,3.3,0.0,2.0,2.0,100.0,0.61,0.61,0.0,0.0,12.0,0.0,0.0,0.0,0.2,0.2,0.1,-0.2,-0.2
Yacine Adli,18,FRA,"MF,FW",Milan,Serie A,22.0,2000.0,4.0,1.0,116.0,1.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.07,0.07,0.13,0.07,0.13,18,FRA,"MF,FW",Milan,Serie A,22.0,2000.0,1.3,0.0,2.0,2.0,100.0,1.55,1.55,0.0,0.0,18.5,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1
Michel Aebischer,19,CHE,"FW,MF",Bologna,Serie A,25.0,1997.0,12.0,6.0,558.0,6.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,0.8,0.1,0.03,0.13,0.1,0.13,19,CHE,"FW,MF",Bologna,Serie A,25.0,1997.0,6.2,0.0,8.0,1.0,12.5,1.29,0.16,0.0,0.0,17.6,1.0,0.0,0.0,0.6,0.6,0.07,-0.6,-0.6
Felix Afena-Gyan,20,GHA,"FW,MF",Cremonese,Serie A,19.0,2003.0,7.0,2.0,220.0,2.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.05,0.02,0.07,0.05,0.07,20,GHA,"FW,MF",Cremonese,Serie A,19.0,2003.0,2.4,0.0,3.0,0.0,0.0,1.23,0.0,0.0,,17.0,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1
Emmanuel Agbadou,21,CIV,DF,Reims,Ligue 1,25.0,1997.0,11.0,10.0,879.0,9.8,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,1.1,0.07,0.04,0.12,0.07,0.12,21,CIV,DF,Reims,Ligue 1,25.0,1997.0,9.8,0.0,8.0,2.0,25.0,0.82,0.2,0.0,0.0,17.6,0.0,0.0,0.0,0.7,0.7,0.09,-0.7,-0.7
Lucien Agoume,22,FRA,MF,Troyes,Ligue 1,20.0,2002.0,3.0,2.0,106.0,1.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.36,0.36,0.0,0.36,22,FRA,MF,Troyes,Ligue 1,20.0,2002.0,1.2,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Felix Agu,23,DEU,"DF,FW",Werder Bremen,Bundesliga,23.0,1999.0,3.0,0.0,49.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.07,0.14,0.22,0.07,0.22,23,DEU,"DF,FW",Werder Bremen,Bundesliga,23.0,1999.0,0.5,0.0,1.0,0.0,0.0,1.84,0.0,0.0,,15.9,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
