,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
221,Gil Bastião Dias,pt POR,"FW,MF",Fiorentina,Serie A,20.0,1996.0,13.2,2.0,31.0,10.0,32.3,2.34,0.76,0.06,0.2,17.7,0.0,0.0,0.0,1.8,1.8,0.06,0.2,0.2
222,Gil Bastião Dias,pt POR,MF,Monaco,Ligue 1,20.0,1996.0,0.1,0.0,1.0,0.0,0.0,11.25,0.0,0.0,,22.7,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
223,Samuel Bastien,cd COD,MF,Chievo,Serie A,20.0,1996.0,15.1,1.0,15.0,4.0,26.7,1.0,0.27,0.07,0.25,23.4,0.0,0.0,0.0,0.9,0.9,0.06,0.1,0.1
224,Borja Bastón,es ESP,FW,Málaga,La Liga,24.0,1992.0,10.9,2.0,25.0,8.0,32.0,2.28,0.73,0.04,0.13,15.6,0.0,1.0,2.0,5.1,3.6,0.14,-3.1,-2.6
225,Alessandro Bastoni,it ITA,DF,Atalanta,Serie A,18.0,1999.0,1.0,0.0,1.0,0.0,0.0,0.99,0.0,0.0,,11.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
226,Bastos,ao ANG,DF,Lazio,Serie A,26.0,1991.0,15.6,4.0,9.0,4.0,44.4,0.58,0.26,0.44,1.0,12.5,0.0,0.0,0.0,2.9,2.9,0.32,1.1,1.1
227,Michy Batshuayi,be BEL,FW,Chelsea,Premier League,23.0,1993.0,4.0,2.0,13.0,5.0,38.5,3.25,1.25,0.15,0.4,18.0,0.0,0.0,0.0,1.1,1.1,0.09,0.9,0.9
228,Michy Batshuayi,be BEL,FW,Dortmund,Bundesliga,23.0,1993.0,9.3,7.0,29.0,14.0,48.3,3.11,1.5,0.24,0.5,12.1,0.0,0.0,0.0,7.3,7.3,0.25,-0.3,-0.3
229,Moritz Bauer,at AUT,"DF,MF",Stoke City,Premier League,25.0,1992.0,14.5,0.0,3.0,1.0,33.3,0.21,0.07,0.0,0.0,17.1,0.0,0.0,0.0,0.2,0.2,0.06,-0.2,-0.2
230,Robert Bauer,de GER,"DF,FW",Werder Bremen,Bundesliga,22.0,1995.0,10.6,0.0,2.0,0.0,0.0,0.19,0.0,0.0,,33.5,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
231,Oliver Baumann,de GER,GK,Hoffenheim,Bundesliga,27.0,1990.0,34.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
232,Timo Baumgartl,de GER,DF,Stuttgart,Bundesliga,21.0,1996.0,29.0,0.0,8.0,1.0,12.5,0.28,0.03,0.0,0.0,13.0,0.0,0.0,0.0,0.5,0.5,0.06,-0.5,-0.5
234,Julian Baumgartlinger,at AUT,"MF,DF",Leverkusen,Bundesliga,29.0,1988.0,15.5,1.0,11.0,4.0,36.4,0.71,0.26,0.09,0.25,17.4,0.0,0.0,0.0,1.2,1.2,0.11,-0.2,-0.2
