,# Pl,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
0,30,38.0,14388,12378,1937,595,11,144,645,800,142,42,68,4,10216,73,265
1,31,38.0,18822,16876,1907,551,30,135,662,824,168,68,78,1,14883,39,355
2,26,34.0,14604,12895,1660,493,13,114,471,714,118,54,43,1,10582,49,274
3,29,38.0,21807,20122,1624,440,34,133,751,663,207,86,64,12,18041,61,311
4,24,38.0,16996,15003,1922,590,12,127,779,780,213,106,39,15,12938,71,275
5,30,38.0,22063,20351,1656,508,28,181,657,689,201,104,82,0,18066,56,395
6,27,38.0,17842,15738,2027,561,13,200,812,920,197,65,73,3,13578,77,377
7,25,38.0,20680,18818,1766,480,46,171,597,734,196,54,98,0,16757,96,302
8,25,34.0,14168,12411,1690,497,17,114,500,690,121,69,38,0,10257,67,337
9,25,38.0,28488,26712,1686,536,58,108,494,644,217,68,35,0,25192,90,340
10,29,34.0,22039,20252,1713,477,23,160,828,727,237,108,86,0,18358,74,370
11,29,38.0,15318,13338,1919,685,12,95,645,658,169,52,96,0,11573,61,296
12,25,38.0,19679,17720,1894,598,18,163,586,774,184,48,82,2,15814,65,321
13,37,38.0,18539,16629,1837,533,31,105,669,697,201,134,38,0,14683,73,346
14,28,38.0,19490,17533,1908,534,16,146,609,814,174,81,58,0,15862,49,318
15,26,38.0,19407,17412,1936,489,19,147,720,859,181,98,40,0,15437,59,298
16,27,38.0,19871,18111,1708,404,17,164,686,769,219,71,107,2,15772,52,313
17,25,38.0,15562,13737,1745,461,10,110,772,721,172,154,5,1,10825,80,263
18,34,38.0,12067,10091,1920,587,15,134,731,739,149,56,78,1,7949,56,282
19,32,38.0,16868,14915,1896,563,8,96,721,755,170,51,92,0,13040,57,345
20,30,38.0,19318,17402,1851,553,33,145,521,764,125,42,62,2,15176,65,298
21,27,38.0,25799,24055,1665,402,29,154,749,732,226,77,113,2,21969,79,362
22,31,38.0,17229,15358,1814,600,9,99,544,619,138,72,22,0,13532,57,329
23,24,38.0,15597,13707,1823,473,8,47,533,772,151,67,29,27,11627,67,351
24,33,38.0,17901,15908,1939,502,17,113,569,832,146,68,71,0,13949,54,314
25,26,34.0,22396,20771,1556,396,41,150,532,674,173,65,73,0,18812,69,316
26,30,38.0,16890,14786,2037,511,5,243,1052,991,197,94,98,0,11810,67,325
27,25,34.0,18424,16631,1724,440,20,86,776,714,206,79,78,0,14241,69,321
28,30,38.0,17054,15168,1835,537,8,167,672,715,137,52,60,1,13481,51,322
29,29,38.0,18696,17021,1610,426,28,121,662,660,167,93,53,3,14792,65,362
30,30,38.0,17136,15159,1916,617,10,203,740,742,168,34,113,1,13430,61,332
31,24,34.0,15960,14251,1653,426,15,155,636,721,123,54,50,0,12177,56,338
32,28,38.0,19512,17703,1766,469,17,109,710,784,164,54,73,15,15401,43,346
33,34,38.0,17948,16092,1777,519,15,146,579,703,129,43,62,0,13954,79,331
34,31,38.0,13863,11734,2055,596,7,210,815,973,143,71,36,0,8977,74,322
35,34,38.0,13336,11332,1922,506,17,115,613,870,128,57,39,1,9083,82,333
36,32,38.0,17419,15491,1823,551,10,102,732,711,185,64,107,0,12926,105,343
37,32,34.0,16169,14352,1740,460,16,155,585,751,152,59,61,1,12566,77,312
38,30,34.0,18046,16275,1722,509,15,151,658,745,156,52,60,1,14269,49,374
39,27,38.0,17480,15449,1930,598,9,197,824,788,156,59,58,1,13507,101,321
40,25,38.0,21624,19951,1608,450,29,152,702,651,206,64,85,0,18384,65,355
41,30,38.0,23031,21302,1636,496,25,158,754,576,221,53,121,0,19839,93,326
42,28,34.0,15870,14088,1725,490,10,105,655,756,135,60,53,1,11954,57,331
43,30,38.0,20795,19069,1639,468,25,151,744,653,189,97,63,1,16972,87,346
44,23,38.0,20629,18658,1895,467,27,205,786,809,229,115,78,1,16284,76,364
45,27,38.0,21216,19423,1722,474,35,92,649,738,212,61,85,5,17014,71,376
46,27,38.0,18957,17084,1824,491,18,200,760,781,194,85,81,0,15078,49,332
47,29,38.0,18116,16222,1825,509,23,178,697,767,173,61,41,0,14190,69,370
48,30,34.0,21683,19980,1631,409,17,152,674,733,184,65,75,0,17887,72,361
49,21,38.0,21892,20037,1791,466,31,173,637,841,184,87,84,5,17886,64,316
50,28,38.0,26226,24396,1765,409,44,156,862,811,257,51,147,2,21929,65,357
51,27,38.0,17085,15172,1867,480,21,110,606,800,176,62,89,1,13171,46,287
52,29,38.0,21396,19477,1856,479,36,135,710,814,232,54,88,2,17685,63,319
53,23,34.0,18955,17199,1674,473,29,107,561,676,177,66,94,0,15207,82,342
54,31,34.0,13776,11989,1730,425,22,80,605,808,130,58,59,0,9531,57,339
55,24,38.0,27167,25546,1564,423,38,146,632,656,247,73,86,4,23819,57,320
56,29,38.0,22624,20810,1738,433,34,211,640,760,197,83,87,4,18800,76,401
57,31,38.0,20532,18515,1965,572,17,182,647,840,174,95,66,2,16481,52,344
58,27,38.0,16956,15135,1771,495,26,163,659,712,161,54,64,4,13167,50,292
59,29,38.0,19459,17686,1681,491,20,140,688,646,213,98,78,0,15889,92,309
60,30,38.0,21991,20044,1877,513,32,174,746,823,218,96,92,3,17738,70,300
61,25,38.0,16620,14667,1905,477,12,194,807,817,184,68,95,4,12720,48,308
62,25,38.0,16543,14546,1943,569,19,114,678,846,178,106,65,1,12329,54,305
63,25,38.0,22210,20306,1832,611,27,198,665,699,219,85,66,0,18892,72,345
64,27,38.0,14709,12864,1787,464,12,122,652,724,161,67,51,20,10839,58,321
65,31,38.0,21589,19731,1818,500,16,169,599,759,168,91,45,0,18110,40,309
66,33,38.0,16714,14592,2072,594,13,167,617,902,161,68,68,5,12696,50,291
67,28,38.0,15031,13118,1846,510,6,194,700,831,117,44,54,1,10233,67,281
68,33,38.0,26137,24439,1633,456,55,106,695,666,218,104,44,3,22941,65,265
69,42,38.0,18427,16577,1772,542,15,188,643,654,154,52,68,1,14837,78,327
70,25,34.0,21450,19713,1656,472,19,99,649,761,185,90,68,0,17500,81,338
71,30,38.0,24119,22248,1785,501,32,351,771,759,224,70,65,1,20652,86,346
72,30,38.0,18995,17052,1857,545,40,103,712,823,196,87,82,1,14915,86,369
73,29,38.0,17170,15309,1800,454,11,155,539,758,145,68,64,0,13535,61,229
74,32,38.0,23914,22015,1865,527,22,186,764,804,198,90,91,0,20011,34,305
75,31,38.0,19977,18303,1615,527,57,133,679,562,213,91,98,1,16561,59,323
76,40,38.0,17667,15587,2031,523,12,174,779,949,191,82,83,3,13610,49,338
77,27,38.0,17643,15658,1923,609,7,187,787,758,199,65,96,0,13423,62,338
78,28,38.0,23660,21905,1698,549,22,110,588,574,208,81,82,0,20368,57,320
79,42,34.0,14706,12891,1747,486,19,123,425,715,124,46,71,0,11084,68,321
80,26,38.0,22873,21025,1779,516,27,384,731,797,167,35,65,0,19248,69,301
81,27,38.0,16264,14542,1649,347,13,115,666,750,170,118,29,4,12146,73,308
82,29,38.0,19288,17388,1824,496,16,87,554,809,177,82,79,8,14928,76,343
83,35,38.0,19566,17599,1885,677,16,201,602,744,150,9,98,0,15563,82,338
84,26,38.0,17175,15254,1882,451,8,265,713,873,165,73,72,0,13120,39,338
85,29,34.0,17768,15983,1730,474,23,113,539,723,155,59,77,2,14115,55,356
86,29,38.0,17163,15195,1909,659,23,210,740,663,171,39,110,0,13369,59,314
87,24,38.0,20571,18738,1788,524,28,147,526,750,168,117,37,0,16508,45,361
88,33,38.0,17414,15576,1756,574,21,101,703,651,163,50,83,0,13917,82,307
89,27,34.0,15951,14267,1600,420,15,97,640,728,140,63,70,2,11859,84,321
90,30,38.0,16480,14548,1842,584,22,218,613,666,163,58,51,2,12755,90,297
91,32,38.0,15385,13372,1938,571,20,193,746,796,145,53,39,1,11145,75,312
92,29,38.0,21129,19245,1796,539,47,178,579,711,160,58,33,1,17508,88,348
93,27,34.0,15559,13764,1727,536,11,142,548,706,116,40,61,0,11648,68,298
94,30,38.0,13978,12147,1756,463,13,105,604,727,144,75,21,16,9769,75,275
95,24,38.0,16901,15140,1687,398,15,109,775,741,167,92,60,1,12725,74,357
96,26,34.0,17236,15503,1656,431,20,118,643,759,176,92,48,0,13133,77,348
97,27,38.0,19225,17437,1751,444,20,141,775,735,208,65,70,3,15548,37,336
