,# Pl,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
0,36,38.0,22,311,81,26.0,8.18,2.13,0.05,0.2,18.1,12,6,9,36.1,29.4,0.1,-14.1,-13.4
1,29,38.0,49,439,155,35.3,11.55,4.08,0.11,0.3,18.1,21,2,3,45.5,43.2,0.1,3.5,3.8
2,33,38.0,31,367,121,33.0,9.66,3.18,0.07,0.22,17.5,18,4,4,40.9,37.8,0.11,-9.9,-10.8
3,26,38.0,84,589,194,32.9,15.5,5.11,0.14,0.42,16.0,16,3,4,71.9,69.1,0.12,12.1,11.9
4,26,38.0,49,427,145,34.0,11.24,3.82,0.11,0.32,18.0,18,3,4,50.2,47.2,0.11,-1.2,-1.2
5,27,38.0,64,506,168,33.2,13.32,4.42,0.11,0.35,16.9,13,6,8,57.7,51.3,0.1,6.3,6.7
6,26,38.0,46,541,157,29.0,14.24,4.13,0.08,0.26,17.1,13,5,7,54.2,48.7,0.09,-8.2,-7.7
7,27,38.0,68,538,195,36.2,14.16,5.13,0.12,0.34,17.0,9,1,1,62.3,61.5,0.12,5.7,5.5
8,34,34.0,41,354,101,28.5,10.41,2.97,0.1,0.37,18.2,14,4,5,34.7,30.9,0.09,6.3,6.1
9,33,38.0,32,420,117,27.9,11.05,3.08,0.06,0.21,19.6,15,7,9,42.9,35.9,0.09,-10.9,-10.9
10,29,38.0,69,570,187,32.8,15.0,4.92,0.12,0.37,15.8,20,0,2,75.5,74.0,0.14,-6.5,-5.0
11,28,34.0,90,625,251,40.2,18.38,7.38,0.14,0.35,16.7,10,3,5,75.0,71.0,0.12,15.0,16.0
12,30,38.0,43,411,138,33.6,10.82,3.63,0.09,0.25,18.1,21,8,9,51.8,44.8,0.11,-8.8,-9.8
13,26,34.0,37,397,127,32.0,11.68,3.74,0.09,0.27,18.1,11,3,3,40.0,37.7,0.1,-3.0,-3.7
14,27,38.0,52,479,150,31.3,12.61,3.95,0.1,0.31,19.6,18,6,6,43.8,39.4,0.08,8.2,6.6
15,31,38.0,37,358,126,35.2,9.42,3.32,0.1,0.29,15.5,14,0,0,38.6,38.6,0.11,-1.6,-1.6
16,25,38.0,56,400,147,36.8,10.53,3.87,0.12,0.33,15.7,14,7,8,56.8,50.6,0.13,-0.8,-1.6
17,29,38.0,43,417,132,31.7,10.97,3.47,0.09,0.27,17.4,13,7,8,43.3,37.1,0.09,-0.3,-1.1
18,29,38.0,68,607,219,36.1,15.97,5.76,0.1,0.28,16.8,12,6,6,73.3,68.9,0.12,-5.3,-6.9
19,38,38.0,29,390,108,27.7,10.26,2.84,0.06,0.23,18.2,12,4,5,41.6,37.7,0.1,-12.6,-12.7
20,26,38.0,41,470,160,34.0,12.37,4.21,0.08,0.24,19.0,19,2,3,42.8,40.4,0.09,-1.8,-1.4
21,32,38.0,37,481,151,31.4,12.66,3.97,0.07,0.23,16.8,10,3,3,49.5,47.2,0.1,-12.5,-13.2
22,28,38.0,44,393,139,35.4,10.34,3.66,0.09,0.27,18.3,16,7,10,47.5,39.6,0.1,-3.5,-2.6
23,33,38.0,35,458,122,26.6,12.05,3.21,0.07,0.25,18.5,15,5,7,38.7,33.2,0.07,-3.7,-3.2
24,26,38.0,38,423,133,31.4,11.13,3.5,0.09,0.28,17.6,23,1,3,39.3,36.8,0.09,-1.3,0.2
25,30,34.0,81,558,219,39.2,16.41,6.44,0.14,0.35,16.6,20,4,6,71.1,66.5,0.12,9.9,10.5
26,28,34.0,56,399,132,33.1,11.74,3.88,0.13,0.38,16.9,14,6,6,52.1,47.4,0.12,3.9,2.6
27,32,38.0,30,400,124,31.0,10.53,3.26,0.07,0.21,16.9,10,4,5,37.5,33.6,0.09,-7.5,-7.6
28,32,38.0,35,447,129,28.9,11.76,3.39,0.07,0.26,18.3,19,2,2,38.8,37.2,0.09,-3.8,-4.2
29,33,38.0,51,417,151,36.2,10.97,3.97,0.11,0.3,17.3,13,5,5,48.3,44.4,0.11,2.7,1.6
30,28,38.0,32,426,143,33.6,11.21,3.76,0.07,0.2,16.8,12,3,3,45.2,42.8,0.1,-13.2,-13.8
31,30,38.0,51,597,171,28.6,15.71,4.5,0.08,0.27,17.6,23,4,6,55.0,50.8,0.09,-4.0,-3.8
32,27,34.0,51,413,167,40.4,12.15,4.91,0.11,0.26,17.1,16,7,8,48.0,41.6,0.11,3.0,2.4
33,29,38.0,52,420,137,32.6,11.05,3.61,0.11,0.34,17.3,17,5,9,46.2,39.1,0.1,5.8,7.9
34,25,38.0,34,365,116,31.8,9.61,3.05,0.08,0.25,18.0,19,5,8,36.7,30.4,0.09,-2.7,-1.4
35,29,38.0,55,446,160,35.9,11.74,4.21,0.11,0.29,17.2,6,8,9,50.4,43.6,0.1,4.6,3.4
36,36,38.0,29,415,116,28.0,10.92,3.05,0.07,0.24,18.6,13,1,1,35.8,35.1,0.09,-6.8,-7.1
37,32,34.0,42,377,121,32.1,11.09,3.56,0.09,0.29,18.4,11,7,7,39.4,33.9,0.09,2.6,1.1
38,31,34.0,46,398,130,32.7,11.71,3.82,0.1,0.3,17.3,16,7,9,48.0,41.1,0.1,-2.0,-2.1
39,25,38.0,68,625,197,31.5,16.45,5.18,0.1,0.32,16.9,21,4,5,68.0,64.5,0.11,0.0,-0.5
40,29,38.0,56,529,171,32.3,13.92,4.5,0.1,0.31,17.3,19,3,6,55.3,50.4,0.1,0.7,2.6
41,27,34.0,46,413,146,35.4,12.15,4.29,0.1,0.29,16.2,6,4,4,47.9,44.7,0.11,-1.9,-2.7
42,24,38.0,59,430,161,37.4,11.32,4.24,0.12,0.33,17.8,14,6,8,51.1,44.9,0.11,7.9,8.1
43,29,38.0,31,413,106,25.7,10.87,2.79,0.07,0.25,18.8,14,4,6,36.1,31.4,0.08,-5.1,-4.4
44,29,38.0,45,459,141,30.7,12.08,3.71,0.1,0.31,16.6,19,1,3,47.4,45.0,0.1,-2.4,-1.0
45,28,38.0,49,412,142,34.5,10.84,3.74,0.11,0.32,17.7,14,3,6,50.6,45.8,0.11,-1.6,0.2
46,29,38.0,66,518,177,34.2,13.63,4.66,0.12,0.34,16.4,6,6,9,66.7,59.8,0.12,-0.7,0.2
47,27,34.0,57,432,160,37.0,12.71,4.71,0.12,0.33,17.4,16,5,7,51.4,46.0,0.11,5.6,6.0
48,26,38.0,65,545,201,36.9,14.34,5.29,0.1,0.27,16.8,16,11,12,68.7,60.0,0.12,-3.7,-6.0
49,28,38.0,71,601,203,33.8,15.82,5.34,0.11,0.34,16.2,7,2,4,72.6,69.5,0.12,-1.6,-0.5
50,30,38.0,49,397,149,37.5,10.45,3.92,0.11,0.3,17.9,16,4,6,44.5,39.8,0.1,4.5,5.2
51,29,38.0,63,511,199,38.9,13.45,5.24,0.11,0.29,16.7,18,6,8,61.1,54.8,0.11,1.9,2.2
52,27,34.0,52,403,166,41.2,11.85,4.88,0.12,0.29,17.3,12,4,6,52.1,47.5,0.12,-0.1,0.5
53,27,34.0,54,414,152,36.7,12.18,4.47,0.12,0.33,17.1,17,4,6,47.1,42.4,0.11,6.9,7.6
54,31,38.0,36,324,107,33.0,8.53,2.82,0.1,0.3,17.4,8,4,5,35.2,31.1,0.1,0.8,0.9
55,24,38.0,92,590,205,34.7,15.53,5.39,0.14,0.4,16.6,20,9,10,78.7,71.1,0.12,13.3,11.9
56,26,38.0,56,590,206,34.9,15.53,5.42,0.09,0.26,17.8,20,3,3,67.7,65.3,0.11,-11.7,-12.3
57,30,38.0,61,546,173,31.7,14.37,4.55,0.1,0.32,16.7,16,6,7,65.3,60.0,0.11,-4.3,-5.0
58,30,38.0,61,546,178,32.6,14.37,4.68,0.1,0.31,17.7,26,5,5,58.8,55.1,0.1,2.2,0.9
59,27,38.0,69,470,199,42.3,12.37,5.24,0.14,0.32,17.0,10,5,8,62.1,55.7,0.12,6.9,8.3
60,31,38.0,64,435,165,37.9,11.45,4.34,0.13,0.35,18.3,22,7,7,52.2,46.7,0.11,11.8,10.3
61,31,38.0,46,406,139,34.2,10.68,3.66,0.1,0.29,17.9,13,5,6,45.9,41.2,0.1,0.1,-0.2
62,29,38.0,35,443,151,34.1,11.66,3.97,0.07,0.21,18.1,16,3,5,42.8,39.0,0.09,-7.8,-7.0
63,27,38.0,75,605,212,35.0,15.92,5.58,0.11,0.32,17.1,18,8,10,64.7,56.8,0.1,10.3,10.2
64,27,38.0,64,565,184,32.6,14.87,4.84,0.1,0.32,15.6,15,6,6,72.0,67.4,0.12,-8.0,-9.4
65,34,38.0,47,507,187,36.9,13.34,4.92,0.08,0.22,17.8,11,6,7,57.2,51.7,0.1,-10.2,-10.7
66,33,38.0,36,362,111,30.7,9.53,2.92,0.09,0.3,17.2,9,3,6,39.3,34.6,0.1,-3.3,-1.6
67,26,38.0,36,441,133,30.2,11.61,3.5,0.07,0.24,18.7,7,4,5,39.4,35.5,0.08,-3.4,-3.5
68,26,38.0,86,562,242,43.1,14.79,6.37,0.14,0.33,16.2,28,5,7,78.2,72.6,0.13,7.8,8.4
69,28,38.0,41,510,146,28.6,13.42,3.84,0.07,0.25,20.6,24,4,8,43.9,37.8,0.08,-2.9,-0.8
70,25,34.0,64,497,182,36.6,14.62,5.35,0.12,0.32,17.5,18,6,7,62.7,57.4,0.12,1.3,0.6
71,26,38.0,73,634,206,32.5,16.68,5.42,0.1,0.31,18.6,32,9,12,75.5,66.1,0.11,-2.5,-2.1
72,30,38.0,47,465,173,37.2,12.24,4.55,0.1,0.26,17.4,15,2,4,52.7,49.6,0.11,-5.7,-4.6
73,34,38.0,45,516,165,32.0,13.58,4.34,0.07,0.23,18.1,17,7,8,61.5,55.2,0.11,-16.5,-17.2
74,32,38.0,66,526,189,35.9,13.84,4.97,0.12,0.33,16.3,15,3,3,61.4,59.0,0.12,4.6,4.0
75,30,38.0,50,488,155,31.8,12.84,4.08,0.09,0.28,17.0,15,7,10,57.4,49.9,0.1,-7.4,-6.9
76,30,38.0,46,381,115,30.2,10.03,3.03,0.12,0.38,18.9,14,2,2,36.7,35.2,0.09,9.3,8.8
77,40,38.0,23,376,114,30.3,9.89,3.0,0.06,0.19,17.8,16,1,2,34.1,32.5,0.09,-11.1,-10.5
78,31,38.0,46,477,161,33.8,12.55,4.24,0.08,0.23,18.0,20,9,10,51.6,43.9,0.09,-5.6,-6.9
79,35,34.0,32,421,123,29.2,12.38,3.62,0.07,0.23,17.7,19,4,5,39.6,35.9,0.09,-7.6,-7.9
80,35,38.0,47,463,141,30.5,12.18,3.71,0.09,0.3,18.1,17,4,5,46.3,42.4,0.09,0.7,0.6
81,36,38.0,36,413,132,32.0,10.87,3.47,0.08,0.26,18.1,17,2,4,37.7,34.5,0.09,-1.7,-0.5
82,34,38.0,29,419,120,28.6,11.03,3.16,0.06,0.21,18.3,19,4,4,41.5,38.5,0.09,-12.5,-13.5
83,29,38.0,48,442,150,33.9,11.63,3.95,0.1,0.29,17.5,21,5,7,48.5,42.8,0.1,-0.5,0.2
84,30,34.0,45,457,140,30.6,13.44,4.12,0.09,0.29,17.9,14,5,5,47.6,43.7,0.1,-2.6,-3.7
85,28,38.0,41,444,146,32.9,11.68,3.84,0.09,0.27,16.7,6,2,2,41.8,40.2,0.09,-0.8,-1.2
86,29,38.0,68,512,186,36.3,13.47,4.89,0.12,0.34,16.7,13,5,6,57.1,52.4,0.1,10.9,10.6
87,29,38.0,50,453,171,37.7,11.92,4.5,0.1,0.27,16.3,19,4,4,52.5,49.4,0.11,-2.5,-3.4
88,32,38.0,43,390,130,33.3,10.26,3.42,0.1,0.29,18.2,8,5,5,39.1,35.6,0.09,3.9,2.4
89,30,38.0,46,503,145,28.8,13.24,3.82,0.09,0.31,18.5,23,1,2,46.9,45.4,0.09,-0.9,-0.4
90,28,34.0,49,374,113,30.2,11.0,3.32,0.12,0.41,17.9,5,3,7,37.9,32.5,0.09,11.1,13.5
91,28,38.0,40,481,141,29.3,12.66,3.71,0.07,0.25,17.4,18,5,8,49.3,43.0,0.09,-9.3,-8.0
92,36,38.0,32,443,137,30.9,11.66,3.61,0.07,0.21,19.6,19,3,4,38.6,35.5,0.08,-6.6,-6.5
93,32,38.0,57,499,188,37.7,13.13,4.95,0.11,0.28,18.0,22,4,7,61.7,56.1,0.12,-4.7,-3.1
94,25,34.0,50,363,136,37.5,10.68,4.0,0.12,0.33,17.9,18,5,6,41.1,36.4,0.1,8.9,8.6
95,25,38.0,41,466,133,28.5,12.26,3.5,0.08,0.26,17.3,13,6,8,49.2,43.7,0.1,-8.2,-8.7
96,28,34.0,55,401,139,34.7,11.79,4.09,0.13,0.37,16.9,11,4,7,51.3,45.8,0.12,3.7,5.2
97,32,38.0,28,409,119,29.1,10.76,3.13,0.06,0.21,18.0,18,3,3,36.8,34.5,0.09,-8.8,-9.5
