Player,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
Patrick van Aanholt,0,NLD,DF,Crystal Palace,eng Premier League,26.0,1990.0,28.0,25.0,2184.0,24.3,5.0,1.0,5.0,0.0,0.0,7.0,0.0,0.21,0.04,0.25,0.21,0.25,3.1,3.1,2.1,5.2,0.13,0.09,0.21,0.13,0.21
Rolando Aarons,1,GBR,"MF,FW",Newcastle Utd,eng Premier League,21.0,1995.0,4.0,1.0,139.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.04,0.0,0.04,0.04,0.04
Ignazio Abate,3,ITA,DF,Milan,it Serie A,30.0,1986.0,17.0,11.0,1057.0,11.7,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.09,0.0,0.09,0.09,0.09,0.2,0.2,0.5,0.7,0.01,0.04,0.06,0.01,0.06
Aymen Abdennour,4,TUN,DF,Marseille,fr Ligue 1,27.0,1989.0,8.0,6.0,499.0,5.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.02,0.0,0.02,0.02,0.02
Aly Abeid,5,MRT,DF,Levante,es La Liga,19.0,1997.0,1.0,1.0,77.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.08,0.08,0.0,0.08
Mehdi Abeid,6,DZA,MF,Dijon,fr Ligue 1,24.0,1992.0,19.0,14.0,1176.0,13.1,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.08,0.08,0.0,0.08,1.0,1.0,0.3,1.3,0.07,0.02,0.1,0.07,0.1
David Abraham,7,ARG,DF,Eint Frankfurt,de Bundesliga,31.0,1986.0,27.0,27.0,2302.0,25.6,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.08,0.08,0.0,0.08,0.4,0.4,0.7,1.1,0.01,0.03,0.04,0.01,0.04
Tammy Abraham,8,GBR,FW,Swansea City,eng Premier League,19.0,1997.0,31.0,15.0,1726.0,19.2,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.26,0.05,0.31,0.26,0.31,6.8,6.8,1.6,8.4,0.35,0.08,0.44,0.35,0.44
Amir Abrashi,9,ALB,MF,Freiburg,de Bundesliga,27.0,1990.0,12.0,11.0,850.0,9.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.7,0.02,0.05,0.07,0.02,0.07
Francesco Acerbi,10,ITA,DF,Sassuolo,it Serie A,29.0,1988.0,38.0,38.0,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7,1.7,0.03,0.02,0.04,0.03,0.04
Afriyie Acquah,11,GHA,MF,Torino,it Serie A,25.0,1992.0,22.0,9.0,951.0,10.6,1.0,0.0,1.0,0.0,0.0,4.0,2.0,0.09,0.0,0.09,0.09,0.09,0.4,0.4,0.6,1.0,0.04,0.06,0.1,0.04,0.1
Charlie Adam,12,SYC,MF,Stoke City,eng Premier League,31.0,1985.0,11.0,5.0,411.0,4.6,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6,0.9,1.2,2.1,0.36,0.27,0.63,0.19,0.46
Antonio Adán,13,ESP,GK,Betis,es La Liga,30.0,1987.0,30.0,30.0,2700.0,30.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.07,0.07,0.0,0.07,0.0,0.0,0.7,0.7,0.0,0.02,0.02,0.0,0.02
Aday,14,ESP,DF,Girona,es La Liga,29.0,1987.0,31.0,20.0,1835.0,20.4,2.0,0.0,1.0,1.0,2.0,10.0,0.0,0.1,0.0,0.1,0.05,0.05,2.8,1.3,1.6,2.9,0.14,0.08,0.22,0.06,0.14
Khaled Adénon,15,BEN,DF,Amiens,fr Ligue 1,32.0,1985.0,34.0,32.0,2921.0,32.5,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.03,0.03,0.0,0.03,0.6,0.6,0.2,0.9,0.02,0.01,0.03,0.02,0.03
