,# Pl,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
0,22,9.0,5,123,33,26.8,13.67,3.67,0.04,0.15,17.1,6,0,1,11.3,10.5,0.09,-6.3,-5.5
1,26,9.0,11,124,43,34.7,13.78,4.78,0.08,0.23,17.5,5,1,1,14.9,14.1,0.12,-3.9,-4.1
2,22,8.0,15,113,39,34.5,14.12,4.87,0.09,0.26,16.5,0,5,5,14.9,11.2,0.1,0.1,-1.2
3,23,8.0,18,120,45,37.5,15.0,5.63,0.13,0.36,16.1,3,2,2,15.1,13.6,0.12,2.9,2.4
4,24,8.0,13,108,36,33.3,13.5,4.5,0.12,0.36,16.3,2,0,0,10.1,10.1,0.09,2.9,2.9
5,22,9.0,16,118,37,31.4,13.11,4.11,0.12,0.38,15.4,2,2,2,14.4,12.9,0.11,1.6,1.1
6,22,8.0,20,93,40,43.0,11.62,5.0,0.2,0.48,15.3,2,1,1,14.7,14.0,0.15,5.3,5.0
7,22,7.0,10,92,26,28.3,13.14,3.71,0.1,0.35,18.7,2,1,1,9.0,8.2,0.09,1.0,0.8
8,23,9.0,20,149,60,40.3,16.56,6.67,0.13,0.32,17.0,6,1,1,21.2,20.4,0.14,-1.2,-1.4
9,20,7.0,22,140,54,38.6,20.0,7.71,0.14,0.35,16.8,2,3,3,19.7,17.4,0.13,2.3,1.6
10,27,9.0,11,115,35,30.4,12.78,3.89,0.1,0.31,16.6,5,0,0,9.4,9.4,0.08,1.6,1.6
11,23,7.0,5,103,29,28.2,14.71,4.14,0.04,0.14,19.5,4,1,1,7.7,6.9,0.07,-2.7,-2.9
12,23,8.0,8,93,38,40.9,11.62,4.75,0.08,0.18,18.3,4,1,2,9.1,7.5,0.08,-1.1,-0.5
13,23,8.0,5,94,29,30.9,11.75,3.62,0.05,0.17,17.5,4,0,0,8.8,8.8,0.1,-3.8,-3.8
14,24,8.0,11,111,30,27.0,13.87,3.75,0.08,0.3,14.9,3,2,2,13.8,12.4,0.11,-2.8,-3.4
15,22,8.0,9,119,39,32.8,14.87,4.87,0.06,0.18,17.6,4,2,2,12.1,10.5,0.09,-3.1,-3.5
16,25,8.0,20,130,53,40.8,16.25,6.62,0.15,0.36,17.2,3,1,1,16.5,15.7,0.12,3.5,3.3
17,24,8.0,7,85,23,27.1,10.62,2.87,0.08,0.3,17.7,2,0,0,6.5,6.5,0.08,0.5,0.5
18,25,9.0,8,85,23,27.1,9.44,2.56,0.08,0.3,18.2,3,1,1,7.8,7.0,0.08,0.2,0.0
19,23,8.0,3,84,16,19.0,10.5,2.0,0.02,0.13,17.8,4,1,1,7.2,6.4,0.08,-4.2,-4.4
20,22,9.0,9,128,41,32.0,14.22,4.56,0.07,0.22,17.3,4,0,1,12.8,12.0,0.1,-3.8,-3.0
21,22,8.0,10,109,35,32.1,13.62,4.37,0.08,0.26,16.5,6,1,2,15.0,13.5,0.13,-5.0,-4.5
22,22,7.9,7,106,32,30.2,13.34,4.03,0.06,0.19,16.7,4,1,2,7.8,6.2,0.07,-0.8,-0.2
23,19,8.0,7,98,35,35.7,12.25,4.37,0.07,0.2,16.4,5,0,0,8.9,8.9,0.09,-1.9,-1.9
24,26,7.0,11,84,25,29.8,12.0,3.57,0.11,0.36,18.4,2,2,2,8.6,7.1,0.09,2.4,1.9
25,21,7.0,16,98,35,35.7,14.0,5.0,0.15,0.43,16.1,4,1,1,13.6,12.8,0.14,2.4,2.2
26,25,7.0,6,69,26,37.7,9.86,3.71,0.09,0.23,16.6,2,0,1,8.2,7.4,0.11,-2.2,-1.4
27,28,8.0,1,93,26,28.0,11.62,3.25,0.01,0.04,19.0,6,0,0,7.9,7.9,0.09,-6.9,-6.9
28,23,8.0,9,133,43,32.3,16.62,5.37,0.07,0.21,15.7,2,0,0,14.7,14.7,0.12,-5.7,-5.7
