,# Pl,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,30,38.0,9696,13876,69.9,182999,81720,4360,5314,82.0,3564,4667,76.4,1462,3022,48.4,31,27.7,22.0,3.3,277,835,176,62,1045
1,30,38.0,11213,15624,71.8,204779,89839,5062,6052,83.6,4333,5495,78.9,1406,3017,46.6,24,21.3,24.0,2.7,263,845,178,55,1178
2,27,38.0,12795,17004,75.2,225504,93236,6155,7108,86.6,4780,5942,80.4,1476,2937,50.3,30,35.3,30.9,-5.3,343,923,227,62,1430
3,30,38.0,20878,25193,82.9,353044,121329,9800,10957,89.4,8683,9926,87.5,1749,2912,60.1,61,53.3,55.2,7.7,444,1658,478,49,2223
4,25,38.0,16953,21308,79.6,305663,107817,7475,8565,87.3,6842,8106,84.4,2052,3350,61.3,38,44.7,41.9,-6.7,441,1374,418,91,1920
5,26,38.0,13195,17614,74.9,263112,100454,5337,6361,83.9,5378,6581,81.7,2185,3745,58.3,25,33.7,33.3,-8.7,304,1214,292,104,1519
6,26,38.0,14484,18580,78.0,247035,94141,7240,8251,87.7,5003,6032,82.9,1640,3052,53.7,41,36.6,30.9,4.4,295,1168,259,34,1460
7,27,34.0,10252,14448,71.0,193475,85959,4005,4903,81.7,4024,5162,78.0,1575,3074,51.2,30,32.3,33.2,-2.3,319,832,244,107,1117
8,25,38.0,22147,25740,86.0,363856,121335,11075,12080,91.7,8023,8966,89.5,2132,3013,70.8,74,64.6,62.9,9.4,418,1728,475,30,2151
9,28,34.0,20569,24122,85.3,398009,131959,7778,8580,90.7,9880,11016,89.7,2649,3819,69.4,72,58.8,66.0,13.2,477,2082,435,105,2333
10,41,38.0,14277,17943,79.6,255733,91920,6348,7157,88.7,5788,6733,86.0,1675,3011,55.6,23,28.8,24.3,-5.8,351,909,205,81,1216
