,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
0,Patrick van Aanholt,nl NED,DF,Crystal Palace,Premier League,26.0,1990.0,24.3,1176.0,897.0,276.0,30.0,3.0,2.0,56.0,235.0,11.0,3.0,5.0,2.0,884.0,3.0,31.0
1,Rolando Aarons,eng ENG,"MF,FW",Newcastle Utd,Premier League,21.0,1995.0,1.5,44.0,41.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,3.0
2,Rolando Aarons,eng ENG,"MF,FW",Hellas Verona,Serie A,21.0,1995.0,5.7,120.0,110.0,10.0,4.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,87.0,0.0,5.0
3,Ignazio Abate,it ITA,DF,Milan,Serie A,30.0,1986.0,11.7,776.0,653.0,119.0,7.0,0.0,2.0,31.0,112.0,0.0,0.0,0.0,0.0,625.0,4.0,21.0
4,Aymen Abdennour,tn TUN,DF,Marseille,Ligue 1,27.0,1989.0,5.5,333.0,325.0,7.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,1.0,2.0
5,Aly Abeid,mr MTN,DF,Levante,La Liga,19.0,1997.0,0.9,38.0,30.0,8.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,29.0,0.0,2.0
6,Mehdi Abeid,dz ALG,MF,Dijon,Ligue 1,24.0,1992.0,13.1,605.0,587.0,17.0,12.0,0.0,5.0,6.0,3.0,2.0,1.0,0.0,0.0,513.0,1.0,8.0
7,David Abraham,ar ARG,DF,Eint Frankfurt,Bundesliga,31.0,1986.0,25.6,1321.0,1267.0,50.0,44.0,0.0,27.0,7.0,6.0,0.0,0.0,0.0,0.0,1088.0,4.0,6.0
8,Tammy Abraham,eng ENG,FW,Swansea City,Premier League,19.0,1997.0,19.2,314.0,286.0,28.0,0.0,2.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,206.0,0.0,6.0
9,Amir Abrashi,al ALB,MF,Freiburg,Bundesliga,27.0,1990.0,9.4,321.0,315.0,6.0,5.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,248.0,0.0,6.0
10,Francesco Acerbi,it ITA,DF,Sassuolo,Serie A,29.0,1988.0,38.0,1650.0,1529.0,118.0,89.0,2.0,24.0,12.0,28.0,0.0,0.0,0.0,0.0,1391.0,3.0,9.0
11,Afriyie Acquah,gh GHA,MF,Torino,Serie A,25.0,1992.0,10.6,478.0,468.0,8.0,6.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,405.0,2.0,9.0
12,Charlie Adam,sct SCO,MF,Stoke City,Premier League,31.0,1985.0,4.6,285.0,252.0,28.0,14.0,3.0,4.0,30.0,4.0,10.0,3.0,4.0,3.0,168.0,5.0,9.0
13,Antonio Adán,es ESP,GK,Betis,La Liga,30.0,1987.0,30.0,1256.0,911.0,344.0,91.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,868.0,1.0,1.0
14,Aday,es ESP,DF,Girona,La Liga,29.0,1987.0,20.4,1047.0,835.0,209.0,16.0,1.0,15.0,134.0,190.0,3.0,0.0,2.0,0.0,738.0,3.0,37.0
15,Khaled Adénon,bj BEN,DF,Amiens,Ligue 1,32.0,1985.0,32.5,1157.0,1091.0,64.0,63.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,960.0,2.0,9.0
16,Claud Adjapong,it ITA,"DF,FW",Sassuolo,Serie A,19.0,1998.0,13.6,509.0,442.0,65.0,1.0,3.0,2.0,27.0,63.0,1.0,0.0,0.0,0.0,363.0,2.0,17.0
17,René Adler,de GER,GK,Mainz 05,Bundesliga,32.0,1985.0,14.0,442.0,293.0,146.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,3.0,0.0
18,Yacine Adli,fr FRA,FW,Paris S-G,Ligue 1,17.0,2000.0,0.1,7.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
19,Ali Adnan Kadhim,iq IRQ,"DF,FW",Udinese,Serie A,23.0,1993.0,18.6,883.0,671.0,211.0,17.0,0.0,3.0,88.0,173.0,21.0,6.0,12.0,0.0,585.0,1.0,34.0
20,Adrián,es ESP,GK,West Ham,Premier League,30.0,1987.0,19.0,571.0,332.0,235.0,51.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,4.0,0.0
21,Aritz Aduriz,es ESP,FW,Athletic Club,La Liga,36.0,1981.0,23.9,518.0,497.0,20.0,1.0,2.0,2.0,20.0,7.0,0.0,0.0,0.0,0.0,337.0,1.0,15.0
22,Ibrahim Afellay,nl NED,MF,Stoke City,Premier League,31.0,1986.0,1.8,82.0,81.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0
23,Benik Afobe,cd COD,FW,Bournemouth,Premier League,24.0,1993.0,6.8,154.0,142.0,12.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,2.0
24,Martin Agirregabiria,es ESP,DF,Alavés,La Liga,21.0,1996.0,20.3,884.0,658.0,226.0,10.0,2.0,3.0,50.0,216.0,0.0,0.0,0.0,0.0,634.0,0.0,31.0
26,Imanol Agirretxe,es ESP,FW,Real Sociedad,La Liga,30.0,1987.0,2.6,60.0,56.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,2.0
27,Sergio Agüero,ar ARG,FW,Manchester City,Premier League,29.0,1988.0,21.8,650.0,620.0,27.0,0.0,4.0,0.0,16.0,3.0,1.0,0.0,0.0,0.0,529.0,3.0,20.0
28,Ruben Aguilar,fr FRA,DF,Montpellier,Ligue 1,24.0,1993.0,27.3,1545.0,1187.0,349.0,11.0,2.0,10.0,95.0,338.0,0.0,0.0,0.0,0.0,1186.0,9.0,43.0
29,Matías Aguirregaray,uy URU,DF,Las Palmas,La Liga,28.0,1989.0,12.8,698.0,546.0,148.0,22.0,2.0,4.0,19.0,126.0,0.0,0.0,0.0,0.0,519.0,4.0,16.0
30,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,Ligue 1,23.0,1994.0,33.4,1359.0,1332.0,22.0,19.0,4.0,18.0,5.0,3.0,0.0,0.0,0.0,0.0,1162.0,5.0,14.0
31,Ailton,br BRA,"DF,MF",Stuttgart,Bundesliga,22.0,1995.0,1.2,65.0,50.0,15.0,4.0,0.0,2.0,3.0,11.0,0.0,0.0,0.0,0.0,45.0,0.0,4.0
