,# Pl,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
0,30,38.0,595,15.66,375,98,24,35,50,13,59,1.55,28,10,3,5,9,4
1,31,38.0,706,18.58,525,48,41,38,42,12,66,1.74,42,8,2,5,7,2
2,26,34.0,558,16.41,371,60,40,27,48,12,38,1.12,27,2,4,2,2,1
3,29,38.0,813,21.39,623,44,49,45,46,6,95,2.5,69,2,8,6,8,2
4,24,38.0,940,24.74,670,91,63,47,58,11,94,2.47,66,8,4,6,9,1
5,30,38.0,1115,29.34,866,68,60,61,43,17,162,4.26,127,8,10,9,5,3
6,27,38.0,723,19.03,539,66,37,25,43,13,73,1.92,52,5,3,5,7,1
7,25,38.0,796,20.95,585,71,55,42,35,8,120,3.16,90,7,12,3,7,1
8,25,34.0,566,16.65,377,65,39,28,44,13,57,1.68,40,4,4,5,4,0
9,25,38.0,1064,28.0,833,50,76,34,61,10,136,3.58,105,2,12,9,7,1
10,29,34.0,1040,30.59,823,67,59,55,27,9,171,5.03,134,8,13,8,7,1
11,29,38.0,686,18.05,486,66,36,52,36,10,66,1.74,43,8,3,5,5,2
12,25,38.0,799,21.03,578,74,59,39,36,13,91,2.39,58,12,6,5,9,1
13,37,38.0,862,22.68,629,72,48,52,43,18,83,2.18,62,6,1,8,5,1
14,28,38.0,740,19.47,476,82,63,45,57,17,76,2.0,45,10,6,5,9,1
15,26,38.0,789,20.76,561,80,45,43,50,10,84,2.21,61,7,3,6,6,1
16,27,38.0,847,22.29,628,75,34,55,42,13,63,1.66,47,6,1,4,5,0
17,25,38.0,666,17.53,471,71,28,36,51,9,52,1.37,32,6,4,3,5,2
18,34,38.0,517,13.61,330,65,38,27,42,15,53,1.39,37,2,3,6,4,1
19,32,38.0,730,19.21,521,72,38,54,35,10,75,1.97,52,4,4,10,5,0
20,30,38.0,624,16.42,460,51,31,36,38,8,98,2.58,69,6,5,6,10,2
21,27,38.0,1018,26.79,790,81,42,55,43,7,95,2.5,69,6,4,6,10,0
22,31,38.0,623,16.39,433,53,56,29,41,11,75,1.97,44,6,9,5,8,3
23,24,38.0,618,16.26,433,54,52,23,46,10,70,1.84,49,5,6,3,5,2
24,33,38.0,587,15.45,398,64,42,35,42,6,40,1.05,21,5,3,6,4,1
25,26,34.0,879,25.85,655,61,57,46,47,13,131,3.85,99,7,11,7,5,2
26,30,38.0,758,19.95,503,88,49,52,51,15,48,1.26,30,3,6,4,2,3
27,25,34.0,806,23.71,595,81,35,43,41,11,114,3.35,75,11,5,10,11,2
28,30,38.0,460,12.11,318,60,22,25,30,5,54,1.42,35,8,3,4,3,1
29,29,38.0,710,18.68,514,67,34,43,46,6,80,2.11,54,9,2,10,5,0
30,30,38.0,655,17.24,472,71,29,26,50,7,77,2.03,53,5,4,6,9,0
31,24,34.0,666,19.59,474,73,22,47,44,6,83,2.44,55,8,3,10,6,1
32,28,38.0,785,20.66,579,65,53,35,47,6,47,1.24,33,2,4,3,4,1
33,34,38.0,585,15.39,439,38,38,35,22,13,73,1.92,55,3,5,6,2,2
34,31,38.0,618,16.26,413,70,37,37,52,9,38,1.0,22,0,6,6,4,0
35,34,38.0,592,15.58,387,66,37,43,50,9,69,1.82,45,4,5,9,4,2
36,32,38.0,682,17.95,485,75,33,34,47,8,71,1.87,54,3,6,3,4,1
37,32,34.0,644,18.94,447,62,47,31,44,13,68,2.0,50,3,3,5,7,0
38,30,34.0,768,22.59,584,63,34,35,42,10,91,2.68,62,6,9,7,7,0
39,27,38.0,719,18.92,517,71,44,34,43,10,56,1.47,41,6,2,4,1,2
40,25,38.0,985,25.92,754,76,44,55,38,18,150,3.95,114,6,8,12,8,2
41,30,38.0,1061,27.92,777,86,74,68,46,10,134,3.53,94,4,13,14,6,3
42,28,34.0,630,18.53,444,69,33,36,43,5,56,1.65,36,5,4,7,4,0
43,30,38.0,937,24.66,733,53,47,55,33,16,103,2.71,75,1,8,9,9,1
44,23,38.0,924,24.32,701,73,45,63,31,11,108,2.84,81,6,8,8,5,0
45,27,38.0,863,22.71,635,49,56,46,54,23,114,3.0,85,3,8,4,10,4
46,27,38.0,790,20.79,566,61,58,41,51,13,94,2.47,61,6,8,5,11,3
47,29,38.0,671,17.66,519,48,36,25,29,14,80,2.11,60,4,5,4,3,4
48,30,34.0,781,22.97,580,61,60,46,27,7,92,2.71,62,7,11,9,3,0
49,21,38.0,845,22.24,639,61,52,40,42,11,107,2.82,82,3,6,8,8,0
50,28,38.0,1068,28.11,818,71,58,61,46,14,110,2.89,77,6,4,14,6,3
51,27,38.0,726,19.11,498,62,47,53,58,8,80,2.11,47,4,5,11,12,1
52,29,38.0,1075,28.29,776,83,81,63,53,19,130,3.42,89,5,10,9,14,3
53,23,34.0,779,22.91,556,77,39,53,46,8,109,3.21,70,9,3,14,13,0
54,31,34.0,628,18.47,440,68,34,31,42,13,64,1.88,42,6,2,8,6,0
55,24,38.0,1067,28.08,801,61,90,57,43,15,141,3.71,100,3,17,13,6,2
56,29,38.0,953,25.08,720,73,46,58,46,10,127,3.34,94,5,8,9,9,2
57,31,38.0,672,17.68,487,59,31,31,49,15,97,2.55,68,9,3,4,10,3
58,27,38.0,762,20.05,529,75,43,39,65,11,71,1.87,46,2,6,6,9,2
59,29,38.0,983,25.87,684,86,54,75,75,9,129,3.39,85,11,5,10,15,3
60,30,38.0,851,22.39,599,93,41,53,48,17,129,3.39,89,9,7,6,15,3
61,25,38.0,788,20.74,519,91,43,52,65,18,104,2.74,70,8,9,10,7,0
62,25,38.0,699,18.39,476,66,55,36,50,16,78,2.05,49,4,10,7,8,0
63,25,38.0,1119,29.45,834,67,74,69,53,22,142,3.74,90,6,18,12,13,3
64,27,38.0,688,18.11,454,85,51,36,56,6,75,1.97,46,7,6,7,7,2
65,31,38.0,707,18.61,488,62,58,42,45,12,79,2.08,51,4,5,8,10,1
66,33,38.0,639,16.82,432,67,41,36,46,17,64,1.68,44,1,7,3,9,0
67,28,38.0,615,16.18,441,70,31,35,30,8,61,1.61,45,4,0,6,3,3
68,33,38.0,982,25.84,720,68,65,55,62,12,135,3.55,95,6,10,10,13,1
69,42,38.0,696,18.32,495,60,51,38,42,10,70,1.84,51,4,6,3,6,0
70,25,34.0,973,28.62,731,67,47,60,55,13,104,3.06,71,4,8,10,8,3
71,30,38.0,981,25.82,745,79,55,51,41,10,114,3.0,89,6,8,5,4,2
72,30,38.0,749,19.71,532,76,35,45,48,13,100,2.63,72,9,2,9,8,0
73,29,38.0,620,16.32,469,42,34,32,32,11,64,1.68,36,7,6,9,4,2
74,32,38.0,921,24.24,660,86,48,53,61,13,88,2.32,58,11,7,3,7,2
75,31,38.0,911,23.97,663,70,60,69,31,18,121,3.18,90,8,10,6,6,1
76,40,38.0,769,20.24,492,107,60,47,49,14,66,1.74,40,6,7,9,4,0
77,27,38.0,717,18.87,503,73,31,53,38,19,85,2.24,57,7,7,9,5,0
78,28,38.0,951,25.03,705,61,66,53,53,13,109,2.87,71,5,7,9,14,3
79,42,34.0,519,15.26,340,65,27,39,40,8,41,1.21,30,4,3,2,2,0
80,26,38.0,830,21.84,635,61,55,36,35,8,87,2.29,65,4,8,6,4,0
81,27,38.0,567,14.92,435,48,27,29,23,5,27,0.71,16,3,2,3,3,0
82,29,38.0,728,19.16,513,63,42,47,51,12,83,2.18,49,8,6,7,11,2
83,35,38.0,664,17.47,488,55,33,47,29,12,88,2.32,57,8,3,12,6,2
84,26,38.0,693,18.24,466,80,36,56,44,11,75,1.97,49,4,4,11,6,1
85,29,34.0,805,23.68,580,73,41,49,45,17,93,2.74,63,8,6,5,9,2
86,29,38.0,794,20.89,503,84,48,70,74,15,80,2.11,45,8,5,13,8,1
87,24,38.0,786,20.68,553,55,56,49,56,17,120,3.16,86,6,13,8,6,1
88,33,38.0,706,18.58,509,53,44,42,44,14,67,1.76,45,3,9,5,5,0
89,27,34.0,683,20.09,475,73,26,41,50,18,86,2.53,59,10,2,4,8,3
90,30,38.0,687,18.08,482,58,47,34,59,7,86,2.26,58,10,5,5,8,0
91,32,38.0,652,17.16,471,50,33,31,55,12,56,1.47,36,2,3,5,9,1
92,29,38.0,742,19.53,576,46,49,27,37,7,99,2.61,69,3,12,7,7,1
93,27,34.0,619,18.21,448,54,31,34,41,11,62,1.82,44,7,2,3,5,1
94,30,38.0,568,14.95,407,60,26,27,39,9,53,1.39,40,3,1,3,5,1
95,24,38.0,823,21.66,576,92,37,56,53,9,106,2.79,73,12,1,13,7,0
