,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Progression - PrgR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
0,Ismael Aaneba,fr FRA,DF,Strasbourg,Ligue 1,21.0,1999.0,2.0,0.0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,Premier League,29.0,1990.0,22.0,20.0,1777.0,19.7,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.4,1.4,0.7,2.1,38.0,103.0,87.0,0.0,0.05,0.05,0.0,0.05,0.07,0.04,0.11,0.07,0.11
2,Issah Abbas,gh GHA,"DF,FW",Mainz 05,Bundesliga,21.0,1998.0,2.0,0.0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Yunis Abdelhamid,ma MAR,DF,Reims,Ligue 1,32.0,1987.0,33.0,33.0,2889.0,32.1,3.0,0.0,3.0,3.0,0.0,0.0,4.0,1.0,1.9,1.9,0.3,2.2,18.0,99.0,3.0,0.09,0.0,0.09,0.09,0.09,0.06,0.01,0.07,0.06,0.07
4,Sabit Abdulai,gh GHA,MF,Getafe,La Liga,21.0,1999.0,3.0,0.0,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Mehdi Abeid,dz ALG,MF,Nantes,Ligue 1,27.0,1992.0,18.0,15.0,1320.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.8,1.8,32.0,65.0,16.0,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.12,0.07,0.12
6,Laurent Abergel,fr FRA,MF,Lorient,Ligue 1,27.0,1993.0,38.0,32.0,2963.0,32.9,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,1.5,1.5,1.7,3.3,32.0,138.0,35.0,0.09,0.03,0.12,0.09,0.12,0.05,0.05,0.1,0.05,0.1
7,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,Ligue 1,20.0,2000.0,24.0,9.0,912.0,10.1,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,2.1,2.1,0.3,2.4,13.0,21.0,48.0,0.3,0.2,0.49,0.3,0.49,0.21,0.03,0.24,0.21,0.24
8,Matthis Abline,fr FRA,FW,Rennes,Ligue 1,17.0,2003.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,Ligue 1,24.0,1995.0,14.0,14.0,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.4,1.4,0.1,1.5,2.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.11,0.1,0.11
10,David Abraham,ar ARG,DF,Eint Frankfurt,Bundesliga,34.0,1986.0,14.0,14.0,1222.0,13.6,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.6,0.6,0.4,1.0,12.0,55.0,21.0,0.07,0.0,0.07,0.07,0.07,0.04,0.03,0.07,0.04,0.07
