,# Pl,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
0,22,9.0,22,1,0,126,106,21,206,62,81,1,2,2,499,166,135,55.1
1,26,9.0,19,1,1,116,128,12,183,75,95,1,4,0,432,128,129,49.8
2,22,8.0,14,1,1,76,85,18,146,64,80,4,0,0,375,84,93,47.5
3,23,8.0,22,0,0,95,103,6,138,55,73,2,0,1,383,54,68,44.3
4,24,8.0,11,0,0,102,69,19,149,71,70,0,0,1,475,130,119,52.2
5,22,9.0,25,2,1,120,113,17,203,62,80,2,0,0,526,137,136,50.2
6,22,8.0,20,1,1,88,90,14,109,60,82,0,0,0,446,108,79,57.8
7,22,7.0,13,1,0,90,91,17,124,57,54,1,4,1,371,126,133,48.6
8,23,9.0,19,1,0,94,121,19,177,55,85,1,0,0,457,124,111,52.8
9,20,7.0,10,0,0,77,60,9,142,55,59,0,1,0,421,96,65,59.6
10,27,9.0,20,1,0,110,116,20,152,84,96,0,2,1,485,82,107,43.4
11,23,7.0,15,0,0,95,70,18,120,65,89,1,3,0,399,144,164,46.8
12,23,8.0,18,1,1,93,87,11,111,57,66,1,1,0,388,92,70,56.8
13,23,8.0,13,0,0,111,91,11,125,72,70,0,3,1,426,83,126,39.7
14,24,8.0,18,0,0,87,88,13,137,71,91,2,1,0,421,139,133,51.1
15,22,8.0,20,0,0,104,99,6,219,71,105,2,0,0,485,145,111,56.6
16,25,8.0,23,0,0,100,116,24,123,72,83,1,2,1,389,71,57,55.5
17,24,8.0,17,2,0,86,81,20,104,55,71,0,2,1,407,95,121,44.0
18,25,9.0,27,3,0,150,109,15,177,61,81,1,0,0,443,137,145,48.6
19,23,8.0,14,1,1,95,68,11,156,57,61,0,1,1,451,96,116,45.3
20,22,9.0,15,1,1,108,114,19,182,71,70,1,2,0,475,116,133,46.6
21,22,8.0,26,1,0,88,94,25,159,51,77,2,1,0,424,104,68,60.5
22,22,7.9,11,0,0,96,101,13,188,71,77,2,0,0,397,89,76,53.9
23,19,8.0,11,0,0,86,96,8,124,65,83,0,2,0,433,116,108,51.8
24,26,7.0,19,1,0,95,70,12,107,81,80,1,1,0,351,97,99,49.5
25,21,7.0,14,1,1,77,105,10,126,51,77,0,3,0,397,102,102,50.0
26,25,7.0,21,2,2,89,79,9,96,55,75,1,3,0,433,113,145,43.8
27,28,8.0,18,0,0,103,109,16,152,51,71,0,2,1,387,80,103,43.7
28,23,8.0,13,0,0,93,80,16,177,63,97,0,1,1,453,141,117,54.7
29,25,8.0,15,0,0,95,84,14,115,55,82,0,2,0,414,99,122,44.8
30,22,7.0,10,1,0,66,76,14,107,58,74,1,0,0,396,126,120,51.2
31,26,8.0,18,0,0,80,93,18,86,47,77,2,0,0,413,105,104,50.2
32,23,8.0,22,2,2,80,84,11,142,61,74,0,3,1,405,102,95,51.8
33,24,8.0,24,2,2,90,82,7,91,76,74,0,0,1,342,109,93,54.0
34,23,9.0,44,3,2,166,100,12,181,80,68,2,3,0,449,166,187,47.0
35,22,9.0,22,0,0,121,119,20,167,50,88,1,2,0,458,98,114,46.2
36,26,9.0,25,1,0,120,126,23,162,42,67,2,1,1,448,114,126,47.5
37,20,7.0,10,0,0,95,66,8,146,72,61,1,5,0,375,131,116,53.0
38,24,8.0,19,1,0,110,92,16,120,60,80,0,1,0,470,145,150,49.2
39,23,7.0,21,0,0,78,88,14,120,66,53,3,1,1,401,117,121,49.2
40,23,8.0,10,0,0,89,88,12,185,69,72,3,1,0,379,128,71,64.3
41,22,8.0,20,0,0,90,95,15,129,69,79,1,0,1,372,103,60,63.2
42,21,7.0,11,1,1,80,77,15,171,77,82,1,0,0,410,101,109,48.1
43,23,9.0,26,1,1,88,140,18,115,75,104,2,2,0,465,108,104,50.9
44,20,8.0,15,0,0,84,88,12,125,76,78,1,0,0,386,67,87,43.5
45,22,8.0,11,2,2,108,75,16,102,88,77,0,0,2,403,110,112,49.5
46,23,8.0,21,2,1,102,110,10,130,67,88,1,2,0,400,99,93,51.6
47,25,8.0,21,1,0,117,106,25,180,60,65,0,3,0,461,95,93,50.5
48,21,7.0,15,0,0,63,60,13,85,60,60,2,0,0,417,67,61,52.3
49,22,8.0,17,1,0,86,117,6,141,60,100,0,0,0,421,85,82,50.9
50,21,8.0,17,4,1,99,85,15,114,72,87,3,0,1,427,93,62,60.0
51,27,8.0,8,0,0,97,89,10,108,85,68,0,3,0,394,94,82,53.4
52,20,8.0,15,0,0,98,76,15,196,70,93,0,1,0,450,153,145,51.3
53,27,8.0,18,1,0,119,80,11,113,71,78,2,1,0,431,83,100,45.4
54,23,7.0,12,0,0,68,74,9,149,66,66,1,1,0,391,113,127,47.1
55,22,7.0,19,0,0,102,86,13,118,89,58,1,1,1,405,157,171,47.9
56,21,9.0,30,1,0,156,94,33,130,84,110,2,4,0,449,164,136,54.7
57,24,8.0,15,1,0,70,92,5,133,42,68,1,0,1,372,61,59,50.8
58,25,8.0,19,0,0,83,77,22,157,56,80,1,0,1,444,76,93,45.0
59,22,8.0,14,0,0,77,100,16,159,80,72,0,0,0,434,100,86,53.8
60,28,8.0,10,1,0,89,79,12,110,93,78,0,0,0,394,83,113,42.3
61,23,8.0,23,2,1,91,91,13,105,61,55,2,1,0,370,80,84,48.8
62,19,8.0,21,0,0,121,93,20,101,94,92,2,2,0,502,83,99,45.6
63,22,7.9,13,0,0,83,119,21,121,71,99,1,1,1,413,89,105,45.9
64,24,8.0,19,1,1,87,82,13,134,66,78,0,2,0,350,74,93,44.3
65,26,8.0,16,2,0,97,99,18,125,77,75,3,3,0,394,76,100,43.2
66,21,8.0,15,0,0,80,85,19,149,56,84,4,1,0,408,83,72,53.5
67,20,8.0,21,0,0,97,102,9,113,42,77,2,0,0,405,92,81,53.2
68,21,8.0,15,0,0,93,79,18,113,64,82,0,2,0,486,82,71,53.6
69,25,8.0,25,2,1,88,75,18,108,74,86,0,1,0,382,136,122,52.7
70,22,9.0,19,3,0,97,99,19,193,71,72,2,2,0,468,169,156,52.0
71,21,8.0,10,0,0,82,91,9,122,64,82,2,2,0,478,52,66,44.1
72,22,9.0,27,1,0,154,139,25,145,59,80,2,0,0,476,108,142,43.2
73,21,7.0,9,0,0,73,86,12,123,54,74,2,1,0,380,95,76,55.6
74,21,9.0,16,1,0,96,109,23,171,82,84,1,0,0,462,70,67,51.1
75,24,9.0,26,0,0,154,104,23,129,62,85,1,2,1,476,160,168,48.8
76,21,8.0,14,0,0,116,68,25,149,88,93,2,0,0,488,108,106,50.5
77,24,8.0,9,0,0,83,101,10,109,78,69,3,0,0,450,105,95,52.5
78,23,8.0,16,0,0,95,82,12,143,53,87,0,2,0,389,124,105,54.1
79,23,8.0,20,0,0,101,107,14,108,67,67,0,3,0,401,103,160,39.2
80,26,8.0,12,1,0,80,75,8,121,70,57,1,3,1,360,75,113,39.9
81,27,8.0,24,1,0,105,112,23,262,70,109,0,1,1,472,142,129,52.4
82,25,8.0,25,1,1,94,64,16,93,78,81,0,1,1,381,119,154,43.6
83,20,8.0,14,0,0,115,106,6,114,76,81,0,0,0,390,93,88,51.4
84,22,7.0,8,0,0,61,81,12,108,58,59,1,0,1,368,112,90,55.4
85,23,8.0,14,0,0,85,80,12,144,66,56,0,2,0,401,115,125,47.9
86,21,8.0,29,1,1,92,106,15,140,72,101,0,2,1,433,77,98,44.0
87,22,8.0,17,0,0,112,104,13,83,65,78,1,3,0,425,111,98,53.1
88,25,8.0,13,1,0,106,85,7,158,61,67,0,2,0,411,131,98,57.2
89,24,7.0,10,2,1,90,76,9,157,66,71,1,3,0,388,142,133,51.6
90,24,9.0,17,1,1,109,120,11,139,69,98,0,2,1,491,117,157,42.7
91,23,9.0,28,3,1,122,123,22,148,62,96,1,2,0,416,126,79,61.5
92,24,7.0,16,0,0,103,93,17,103,44,77,1,2,0,431,146,163,47.2
93,19,8.0,21,1,1,85,84,19,111,89,96,1,2,0,377,125,132,48.6
94,21,7.0,16,0,0,81,73,11,94,64,60,1,1,0,370,104,94,52.5
95,21,8.0,27,3,2,114,80,17,112,69,87,0,1,1,443,87,76,53.4
