,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
0,Christian Abbiati,it ITA,GK,Milan,Serie A,35.0,1977.0,28.0,28.0,2444.0,27.2,22.0,0.81,96.0,74.0,77.1,14.0,8.0,5.0,10.0,35.7,,,,,
1,Antonio Adán,es ESP,GK,Real Madrid,La Liga,25.0,1987.0,3.0,3.0,186.0,2.1,3.0,1.45,8.0,5.0,62.5,1.0,0.0,1.0,1.0,33.3,,,,,
2,René Adler,de GER,GK,Hamburger SV,Bundesliga,27.0,1985.0,32.0,32.0,2880.0,32.0,52.0,1.62,174.0,122.0,70.1,13.0,5.0,14.0,7.0,21.9,,,,,
3,Adrián,es ESP,GK,Betis,La Liga,25.0,1987.0,32.0,31.0,2869.0,31.9,46.0,1.44,155.0,109.0,70.3,13.0,7.0,12.0,11.0,35.5,,,,,
4,Kossi Agassa,tg TOG,GK,Reims,Ligue 1,34.0,1978.0,33.0,33.0,2925.0,32.5,33.0,1.02,159.0,126.0,79.2,8.0,12.0,13.0,13.0,39.4,,,,,
5,Michael Agazzi,it ITA,GK,Cagliari,Serie A,28.0,1984.0,35.0,35.0,3099.0,34.4,46.0,1.34,144.0,98.0,68.1,11.0,10.0,13.0,9.0,25.7,,,,,
6,Federico Agliardi,it ITA,GK,Bologna,Serie A,29.0,1983.0,22.0,20.0,1898.0,21.1,31.0,1.47,122.0,91.0,74.6,5.0,4.0,12.0,3.0,15.0,,,,,
7,Ali Ahamada,km COM,GK,Toulouse,Ligue 1,20.0,1991.0,36.0,35.0,3154.0,35.0,41.0,1.17,162.0,121.0,74.7,13.0,12.0,11.0,13.0,37.1,,,,,
8,Pablo Alcolea,es ESP,GK,Zaragoza,La Liga,23.0,1989.0,2.0,1.0,103.0,1.1,2.0,1.75,5.0,3.0,60.0,0.0,0.0,1.0,0.0,0.0,,,,,
9,Robert Almer,at AUT,GK,Düsseldorf,Bundesliga,28.0,1984.0,1.0,0.0,11.0,0.1,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,,,,,,
10,Cristian Álvarez,ar ARG,GK,Espanyol,La Liga,26.0,1985.0,18.0,18.0,1597.0,17.7,28.0,1.58,99.0,71.0,71.7,3.0,5.0,10.0,3.0,16.7,,,,,
11,Sergio Álvarez,es ESP,GK,Celta Vigo,La Liga,25.0,1986.0,2.0,2.0,180.0,2.0,2.0,1.0,5.0,3.0,60.0,1.0,0.0,1.0,1.0,50.0,,,,,
12,Diego Alves,br BRA,GK,Valencia,La Liga,27.0,1985.0,24.0,24.0,2160.0,24.0,39.0,1.62,119.0,80.0,67.2,11.0,5.0,8.0,5.0,20.8,,,,,
13,Marco Amelia,it ITA,GK,Milan,Serie A,30.0,1982.0,11.0,10.0,976.0,10.8,17.0,1.57,38.0,21.0,55.3,7.0,1.0,3.0,2.0,20.0,,,,,
14,Mohamed Amsif,ma MAR,GK,Augsburg,Bundesliga,23.0,1989.0,17.0,17.0,1530.0,17.0,22.0,1.29,64.0,42.0,65.6,4.0,6.0,7.0,5.0,29.4,,,,,
15,Stephan Andersen,dk DEN,GK,Evian,Ligue 1,30.0,1981.0,9.0,8.0,797.0,8.9,13.0,1.47,35.0,22.0,62.9,2.0,2.0,4.0,2.0,25.0,,,,,
16,Mariano Andújar,ar ARG,GK,Catania,Serie A,29.0,1983.0,34.0,34.0,3060.0,34.0,39.0,1.15,144.0,105.0,72.9,14.0,9.0,11.0,12.0,35.3,,,,,
17,Miguel Ángel Moyá,es ESP,GK,Getafe,La Liga,28.0,1984.0,32.0,32.0,2801.0,31.1,44.0,1.41,154.0,110.0,71.4,12.0,6.0,13.0,7.0,21.9,,,,,
18,Dudu Aouate,il ISR,GK,Mallorca,La Liga,34.0,1977.0,35.0,35.0,3121.0,34.7,63.0,1.82,167.0,104.0,62.3,9.0,8.0,18.0,5.0,14.3,,,,,
19,Daniel Aranzubia,es ESP,GK,La Coruña,La Liga,32.0,1979.0,35.0,35.0,3084.0,34.3,67.0,1.96,179.0,112.0,62.6,8.0,9.0,18.0,7.0,20.0,,,,,
20,Alphonse Areola,fr FRA,GK,Paris S-G,Ligue 1,19.0,1993.0,2.0,1.0,103.0,1.1,1.0,0.87,4.0,3.0,75.0,0.0,2.0,0.0,1.0,100.0,,,,,
21,Sergio Asenjo,es ESP,GK,Atlético Madrid,La Liga,23.0,1989.0,1.0,1.0,90.0,1.0,2.0,2.0,4.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,,,,,
22,Fabien Audard,fr FRA,GK,Lorient,Ligue 1,34.0,1978.0,34.0,34.0,3025.0,33.6,52.0,1.55,161.0,109.0,67.7,13.0,9.0,12.0,8.0,23.5,,,,,
23,Vlada Avramov,rs SRB,GK,Cagliari,Serie A,33.0,1979.0,5.0,3.0,321.0,3.6,6.0,1.68,13.0,7.0,53.8,1.0,1.0,2.0,1.0,33.3,,,,,
24,Pavol Bajza,sk SVK,GK,Parma,Serie A,20.0,1991.0,1.0,0.0,50.0,0.6,1.0,1.8,5.0,4.0,80.0,1.0,0.0,0.0,0.0,,,,,,
26,Oliver Baumann,de GER,GK,Freiburg,Bundesliga,22.0,1990.0,34.0,34.0,3060.0,34.0,40.0,1.18,155.0,115.0,74.2,14.0,9.0,11.0,13.0,38.2,,,,,
27,Asmir Begović,ba BIH,GK,Stoke City,Premier League,25.0,1987.0,38.0,38.0,3420.0,38.0,45.0,1.18,154.0,109.0,70.8,9.0,15.0,14.0,12.0,31.6,,,,,
28,Diego Benaglio,ch SUI,GK,Wolfsburg,Bundesliga,28.0,1983.0,34.0,34.0,3060.0,34.0,52.0,1.53,162.0,110.0,67.9,10.0,13.0,11.0,5.0,14.7,,,,,
29,Francesco Benussi,it ITA,GK,Palermo,Serie A,30.0,1981.0,5.0,4.0,404.0,4.5,8.0,1.78,25.0,17.0,68.0,2.0,0.0,2.0,0.0,0.0,,,,,
30,Tommaso Berni,it ITA,GK,Sampdoria,Serie A,29.0,1983.0,3.0,2.0,235.0,2.6,5.0,1.91,18.0,13.0,72.2,1.0,0.0,2.0,0.0,0.0,,,,,
31,Beto,pt POR,GK,Sevilla,La Liga,30.0,1982.0,14.0,14.0,1260.0,14.0,21.0,1.5,62.0,41.0,66.1,5.0,2.0,7.0,2.0,14.3,,,,,
