,Player,Squad,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
0,Antonio Adan,Atlético Madrid,1,0,25,0.3,0,0.00,1,1,100.0,0,0,0,0,0.0,0,0,0,0,0.0
1,Adrian,Liverpool,11,9,875,9.7,10,1.03,27,17,63.0,9,0,0,2,22.2,0,0,0,0,0.0
2,Runar Alex Runarsson,Dijon,11,9,900,10.0,17,1.70,47,31,63.8,1,2,6,0,0.0,0,0,0,0,0.0
3,Enrico Alfonso,Brescia,4,4,279,3.1,4,1.29,11,7,63.6,1,0,3,1,25.0,0,0,0,0,0.0
4,Alisson,Liverpool,29,29,2543,28.3,23,0.81,80,58,72.5,23,3,3,13,44.8,1,1,0,0,0.0
5,Sergio Alvarez,Celta Vigo,4,4,180,2.0,1,0.50,3,2,66.7,1,1,0,1,25.0,0,0,0,0,0.0
6,Lorenzo Andrenacci,Brescia,6,5,531,5.9,16,2.71,44,28,63.6,0,1,4,0,0.0,1,0,0,1,0.0
7,Miguel Angel Moya,Real Sociedad,13,13,1170,13.0,16,1.23,51,36,68.6,5,4,4,3,23.1,1,0,0,1,0.0
8,Alphonse Areola,Real Madrid,4,4,360,4.0,5,1.25,14,9,78.6,3,1,0,1,25.0,2,2,0,0,0.0
9,Alphonse Areola,Paris S-G,3,3,270,3.0,2,0.67,3,1,33.3,2,0,1,2,66.7,0,0,0,0,0.0
10,Kepa Arrizabalaga,Chelsea,33,33,2970,33.0,47,1.42,99,54,54.5,18,4,11,8,24.2,2,2,0,0,0.0
11,Sergio Asenjo,Villarreal,34,34,3060,34.0,41,1.21,145,104,75.2,17,4,13,11,32.4,6,5,1,0,16.7
12,Emil Audero,Sampdoria,36,36,3240,36.0,60,1.67,165,109,67.9,12,5,19,9,25.0,8,7,0,1,0.0
13,Stefan Bajic,Saint-Étienne,1,1,90,1.0,1,1.00,2,1,50.0,0,0,1,0,0.0,0,0,0,0,0.0
14,Oliver Baumann,Hoffenheim,30,30,2700,30.0,49,1.63,146,97,69.9,13,7,10,7,23.3,7,5,2,0,28.6
15,Asmir Begovic,Milan,2,1,129,1.4,3,2.09,7,4,71.4,0,0,1,0,0.0,1,1,0,0,0.0
16,Walter Benitez,Nice,26,26,2340,26.0,36,1.38,130,95,75.4,9,8,9,4,15.4,6,4,1,1,20.0
17,Etrit Berisha,SPAL,26,26,2340,26.0,44,1.69,147,105,74.1,5,3,18,3,11.5,6,6,0,0,0.0
18,Paul Bernardoni,Nîmes,25,25,2204,24.5,38,1.55,108,71,68.5,7,4,14,6,24.0,4,4,0,0,0.0
19,Dimitry Bertaud,Montpellier,3,3,196,2.2,3,1.38,5,2,40.0,0,0,3,0,0.0,0,0,0,0,0.0
20,Ruben Blanco,Celta Vigo,33,33,2960,32.9,43,1.31,135,92,71.9,6,14,13,10,30.3,5,5,0,0,0.0
21,Yassine Bounou,Sevilla,6,5,495,5.5,3,0.55,20,17,90.0,4,1,0,4,80.0,1,1,0,0,0.0
22,Federico Brancolini,Fiorentina,1,0,6,0.1,0,0.00,0,0,0.0,0,0,0,1,0.0,0,0,0,0,0.0
23,Claudio Bravo,Manchester City,4,3,347,3.9,7,1.82,15,8,53.3,2,0,1,1,33.3,0,0,0,0,0.0
24,Gianluigi Buffon,Juventus,9,9,810,9.0,10,1.11,33,23,72.7,7,1,1,1,11.1,2,1,0,1,0.0
26,Roman Burki,Dortmund,31,31,2770,30.8,40,1.30,95,58,61.1,19,5,7,12,38.7,3,3,0,0,0.0
27,Ludovic Butelle,Angers,26,26,2340,26.0,32,1.23,83,51,65.1,10,6,10,11,42.3,3,3,0,0,0.0
28,Marcin Bulka,Paris S-G,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,0.0
29,Willy Caballero,Chelsea,5,5,450,5.0,7,1.40,16,10,56.3,2,2,1,1,20.0,0,0,0,0,0.0
30,Matis Carvalho,Montpellier,1,0,71,0.8,4,5.07,8,5,50.0,0,0,0,0,0.0,0,0,0,0,0.0
