,Player,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
1,Runar Alex Runarsson,25,25,2250,25.0,43,1.72,99,56,58.6,7,5,13,5,20.0,2,2,0,0,0.0
3,Bobby Allain,13,13,1170,13.0,17,1.31,72,56,77.8,2,2,9,1,7.7,1,1,0,0,0.0
4,Sergio Alvarez,13,13,1170,13.0,22,1.69,58,37,65.5,3,5,5,2,15.4,2,2,0,0,0.0
6,Alphonse Areola,21,21,1890,21.0,17,0.81,66,50,80.3,16,3,2,11,52.4,4,4,0,0,0.0
7,Kepa Arrizabalaga,36,36,3240,36.0,39,1.08,121,81,68.6,20,8,8,14,38.9,2,1,1,0,50.0
8,Sergio Asenjo,32,32,2880,32.0,45,1.41,162,119,73.5,7,12,13,9,28.1,4,2,1,1,33.3
9,Emil Audero,36,36,3240,36.0,51,1.42,147,96,70.1,14,7,15,11,30.6,8,7,1,0,12.5
11,Oliver Baumann,33,33,2970,33.0,51,1.55,166,116,72.9,12,12,9,5,15.2,6,6,0,0,0.0
12,Asmir Begovic,24,24,2160,24.0,47,1.96,104,59,56.7,8,3,13,5,20.8,2,2,0,0,0.0
13,Diego Benaglio,23,22,2057,22.9,38,1.66,96,57,63.5,4,6,12,4,18.2,5,3,2,0,40.0
14,Walter Benitez,35,35,3150,35.0,29,0.83,143,112,81.1,15,10,10,16,45.7,5,2,3,0,60.0
15,Etrit Berisha,18,18,1620,18.0,25,1.39,63,41,61.9,9,3,6,5,27.8,2,1,0,1,0.0
16,Paul Bernardoni,38,38,3420,38.0,58,1.53,180,122,70.0,15,8,15,10,26.3,5,4,1,0,20.0
18,Marcus Bettinelli,7,7,630,7.0,20,2.86,40,19,52.5,1,2,4,0,0.0,3,1,1,1,50.0
