,Player,Squad,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
0,Ismael Aaneba,Strasbourg,2.3,12,6,7,5,0,5,10,50.0,5,5,0,5,8,20,9,0
1,Patrick van Aanholt,Crystal Palace,35.5,48,24,35,11,2,24,40,60.0,16,33,9,24,40,88,91,2
2,Ignazio Abate,Milan,14.5,34,19,16,13,5,14,22,63.6,8,19,6,13,18,52,50,0
3,Issah Abbas,Mainz 05,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
4,Yunis Abdelhamid,Reims,38.0,60,33,48,11,1,30,40,75.0,10,44,24,20,65,125,196,0
5,Mehdi Abeid,Dijon,22.5,51,33,27,16,8,15,45,33.3,30,33,7,26,29,80,23,1
6,Charles Abi,Saint-Étienne,0.4,4,4,2,1,1,2,2,100.0,0,1,0,1,0,4,1,0
7,David Abraham,Eint Frankfurt,15.8,22,14,13,8,1,11,25,44.0,14,23,12,11,24,46,64,0
8,Amir Abrashi,Freiburg,8.8,20,11,7,10,3,6,19,31.6,13,11,3,8,14,34,15,0
9,Francesco Acerbi,Lazio,36.8,40,30,22,13,5,12,16,75.0,4,50,32,18,61,101,169,1
10,Afriyie Acquah,Empoli,16.8,27,9,9,12,6,4,11,36.4,7,11,1,10,12,39,16,0
11,Tyler Adams,RB Leipzig,8.0,29,17,12,16,1,11,26,42.3,15,17,1,16,16,45,8,0
12,Antonio Adan,Atlético Madrid,1.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
13,Aday,Girona,7.2,9,8,2,5,2,6,7,85.7,1,1,0,1,7,16,17,1
14,Khaled Adenon,Amiens,22.2,31,22,20,11,0,16,28,57.1,12,26,11,15,31,62,101,0
15,Claud Adjapong,Sassuolo,3.0,4,2,1,3,0,1,2,50.0,1,3,1,2,1,5,4,0
16,Yacine Adli,Bordeaux,2.4,7,2,2,3,2,3,9,33.3,6,3,0,3,2,9,0,0
17,Ali Adnan Kadhim,Atalanta,1.8,1,1,1,0,0,1,2,50.0,1,1,1,0,3,4,6,0
18,Aritz Aduriz,Athletic Club,10.5,4,2,1,1,2,1,7,14.3,6,2,1,1,0,4,4,0
19,Luis Advincula,Rayo Vallecano,26.5,52,38,38,12,2,21,31,67.7,10,22,2,20,19,71,60,1
20,Martin Agirregabiria,Alavés,22.6,45,29,32,10,3,28,46,60.9,18,33,11,22,27,72,65,1
21,Nayef Aguerd,Dijon,11.7,17,12,8,9,0,8,19,42.1,11,20,11,9,14,31,59,1
22,Sergio Aguero,Manchester City,27.3,17,9,1,10,6,5,9,55.6,4,15,1,14,9,26,3,0
23,Ruben Aguilar,Montpellier,28.1,88,51,40,33,15,39,69,56.5,30,23,3,20,37,125,50,1
24,Juan Aguilera,Huesca,3.8,2,2,0,1,1,1,4,25.0,3,4,2,2,4,6,2,0
26,Emmanuel Agyemang-Badu,Udinese,1.8,4,0,1,2,1,1,1,100.0,0,2,0,2,1,5,2,0
27,Jean-Eudes Aholou,Monaco,11.9,20,11,6,11,3,8,16,50.0,8,7,0,7,17,37,12,0
28,Antonis Aidonis,Stuttgart,0.9,3,1,1,1,1,1,4,25.0,3,1,0,1,2,5,2,0
29,Ola Aina,Torino,24.0,54,36,32,20,2,23,48,47.9,25,30,3,27,39,93,59,2
30,Youssef Ait Bennasser,Saint-Étienne,10.4,25,13,9,12,4,13,28,46.4,15,15,2,13,19,44,6,2
31,Youssef Ait Bennasser,Monaco,11.9,33,16,14,18,1,13,29,44.8,16,15,5,10,15,48,19,0
32,Rayan Ait Nouri,Angers,0.6,2,2,1,1,0,0,1,0.0,1,0,0,0,0,2,1,0
33,Ludovic Ajorque,Strasbourg,17.0,17,13,1,10,6,4,9,44.4,5,5,0,5,5,22,9,0
34,Manuel Akanji,Dortmund,24.5,29,19,14,13,2,14,25,56.0,11,22,13,9,27,56,92,2
35,Carlos Akapo,Huesca,11.4,28,15,18,8,2,19,33,57.6,14,12,2,10,23,51,36,0
36,Nathan Ake,Bournemouth,37.9,66,35,42,21,3,22,35,62.9,13,51,35,16,32,98,241,0
37,Sergio Akieme,Rayo Vallecano,2.0,3,3,3,0,0,2,2,100.0,0,0,0,0,1,4,5,0
38,Chadrac Akolo,Stuttgart,5.8,9,6,2,7,0,1,3,33.3,2,7,0,7,4,13,1,0
39,Kevin Akpoguma,Hoffenheim,5.5,23,15,13,10,0,11,21,52.4,10,18,5,13,12,35,20,2
40,Kevin Akpoguma,Hannover 96,3.5,10,6,5,5,0,6,7,85.7,1,7,2,5,10,20,7,2
41,David Alaba,Bayern Munich,28.1,34,21,13,13,8,17,26,65.4,9,24,3,21,31,65,40,0
42,Sofiane Alakouch,Nîmes,21.1,81,44,44,31,6,36,63,57.1,27,15,4,11,46,127,57,0
43,Lucas Alario,Leverkusen,14.1,15,8,5,6,4,4,14,28.6,10,9,0,9,1,16,16,0
44,Jordi Alba,Barcelona,33.2,42,22,20,15,7,20,48,41.7,28,24,6,18,60,102,76,1
45,Luis Alberto,Lazio,22.1,53,22,15,29,9,21,55,38.2,34,23,3,20,10,63,10,0
46,Raul Albiol,Napoli,19.0,16,8,12,4,0,8,15,53.3,7,19,16,3,20,36,90,1
47,Miiko Albornoz,Hannover 96,18.4,46,26,31,10,5,21,45,46.7,24,23,3,20,16,62,37,1
48,Marc Albrighton,Leicester City,18.1,35,22,18,14,3,13,31,41.9,18,26,3,23,23,58,30,0
49,Paco Alcacer,Dortmund,13.5,3,1,2,0,1,0,6,0.0,6,5,0,5,6,9,7,0
50,Pedro Alcala,Girona,20.8,32,23,23,9,0,15,23,65.2,8,21,18,3,36,68,120,0
52,Thiago Alcantara,Bayern Munich,26.8,87,65,31,44,12,25,48,52.1,23,23,4,19,44,131,17,1
53,Ruben Alcaraz,Valladolid,33.1,96,54,50,40,6,32,89,36.0,57,59,10,49,38,134,52,1
54,Toby Alderweireld,Tottenham,32.5,37,23,25,10,2,12,22,54.5,10,41,22,19,24,61,175,0
55,Alex Alegria,Rayo Vallecano,1.6,1,1,0,1,0,0,3,0.0,3,1,0,1,0,1,0,0
56,Alexis Alegue,Nantes,0.1,1,0,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0
57,Ivan Alejo,Getafe,1.6,2,0,0,2,0,0,4,0.0,4,2,0,2,0,2,3,0
58,Carles Alena,Barcelona,7.1,7,4,0,6,1,2,8,25.0,6,4,0,4,2,9,0,0
59,Runar Alex Runarsson,Dijon,25.0,2,0,2,0,0,2,6,33.3,4,0,0,0,1,3,7,2
60,Alexander,Leganés,0.1,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
61,Trent Alexander-Arnold,Liverpool,27.4,61,39,31,22,8,36,68,52.9,32,19,3,16,35,96,68,0
62,Rachid Alioui,Nîmes,13.9,15,5,3,9,3,4,9,44.4,5,8,1,7,10,25,11,0
63,Alisson,Liverpool,38.0,2,1,2,0,0,2,2,100.0,0,0,0,0,1,3,14,6
64,Bobby Allain,Dijon,13.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,16,1
65,Allan,Napoli,29.1,106,70,39,55,12,36,107,33.6,71,55,13,42,36,142,28,0
66,Allan,Eint Frankfurt,2.0,4,4,2,2,0,0,4,0.0,4,4,2,2,0,4,1,0
67,Dele Alli,Tottenham,20.3,33,19,6,14,13,5,24,20.8,19,33,5,28,19,52,20,0
68,Miguel Almiron,Newcastle Utd,8.4,20,12,7,10,3,4,10,40.0,6,14,1,13,8,28,5,0
69,Junior Alonso,Celta Vigo,6.0,13,9,8,4,1,7,12,58.3,5,8,3,5,5,18,24,1
70,Marcos Alonso,Chelsea,30.7,73,46,44,22,7,33,58,56.9,25,25,2,23,39,112,101,0
71,Mickael Alphonse,Dijon,6.3,10,5,6,1,3,3,4,75.0,1,3,1,2,9,19,30,0
72,Sergio Alvarez,Eibar,11.9,34,25,12,20,2,13,23,56.5,10,9,4,5,17,51,43,0
73,Sergio Alvarez,Celta Vigo,13.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,4,0
74,Yeray Alvarez,Athletic Club,29.0,55,30,39,14,2,19,33,57.6,14,35,16,19,63,118,149,1
75,Bruno Alves,Parma,32.5,15,8,11,4,0,4,7,57.1,3,36,28,8,29,44,210,0
76,Dani Alves,Paris S-G,18.0,42,22,16,23,3,13,38,34.2,25,18,5,13,8,50,11,0
78,Alfons Amade,Hoffenheim,0.1,1,1,0,1,0,1,2,50.0,1,0,0,0,1,2,0,0
79,Ibrahim Amadou,Sevilla,8.5,27,20,9,15,3,2,9,22.2,7,7,4,3,11,38,24,0
80,Romain Amalfitano,Dijon,28.0,52,33,20,28,4,25,67,37.3,42,45,13,32,47,99,35,0
81,Daniel Amartey,Leicester City,7.1,18,12,11,6,1,10,15,66.7,5,6,4,2,17,35,28,1
82,Jordi Amat,Rayo Vallecano,30.7,54,31,34,19,1,24,42,57.1,18,31,10,21,43,97,133,1
83,Amath,Getafe,11.1,20,13,7,11,2,6,27,22.2,21,17,0,17,10,30,12,0
84,Jordan Amavi,Marseille,24.2,74,50,34,26,14,35,56,62.5,21,24,8,16,46,120,93,4
85,Kelvin Amian,Toulouse,32.0,68,45,54,12,2,20,30,66.7,10,36,13,23,36,104,113,1
86,Nadiem Amiri,Hoffenheim,8.4,14,9,8,4,2,3,13,23.1,10,11,0,11,7,21,4,0
87,Yanis Ammour,Montpellier,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
88,Luke Amos,Tottenham,0.0,1,0,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0
89,Joachim Andersen,Sampdoria,32.0,40,27,31,8,1,19,31,61.3,12,30,15,15,35,75,147,1
90,Felipe Anderson,West Ham,33.8,89,49,33,44,12,31,101,30.7,70,71,0,71,41,130,18,1
91,Florin Andone,Brighton,9.8,10,2,3,4,3,1,6,16.7,5,9,1,8,3,13,12,0
92,Benjamin Andre,Rennes,27.7,101,60,39,50,12,33,85,38.8,52,40,6,34,54,155,58,0
93,Marco Andreolli,Cagliari,1.2,1,1,1,0,0,1,1,100.0,0,2,1,1,1,2,5,0
94,Marco Andreolli,Chievo,7.2,10,6,7,2,1,6,10,60.0,4,4,2,2,6,16,33,0
95,Yoann Andreu,Angers,0.0,1,0,1,0,0,0,1,0.0,1,0,0,0,1,2,0,0
96,Jose Angel,Eibar,33.6,66,46,36,23,7,31,56,55.4,25,24,5,19,41,107,113,1
97,Miguel Angel Moya,Real Sociedad,11.0,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,9,2
98,Cristian Ansaldi,Torino,20.1,50,26,19,21,10,15,30,50.0,15,21,4,17,15,65,31,0
99,Mirco Antenucci,SPAL,23.7,11,9,5,1,5,1,10,10.0,9,14,0,14,5,16,5,0
100,Waldemar Anton,Hannover 96,34.0,49,32,33,14,2,22,50,44.0,28,56,33,23,69,118,169,3
101,Luca Antonelli,Empoli,8.4,13,11,4,5,4,7,17,41.2,10,19,4,15,16,29,25,1
102,Mauro Antonio Burruchaga,Chievo,0.6,2,2,1,1,0,0,2,0.0,2,2,1,1,0,2,3,0
104,Michail Antonio,West Ham,23.4,23,14,12,6,5,6,12,50.0,6,38,3,35,18,41,26,1
105,Antonito,Valladolid,20.7,35,21,16,15,4,18,42,42.9,24,21,8,13,18,53,31,0
106,Vitorino Antunes,Getafe,24.2,41,26,22,17,2,27,45,60.0,18,33,7,26,43,84,75,1
107,Anuar,Valladolid,12.0,33,19,15,16,2,6,14,42.9,8,14,1,13,11,44,25,1
108,Dennis Aogo,Stuttgart,11.4,15,10,6,7,2,6,15,40.0,9,8,1,7,9,24,19,0
109,Houssem Aouar,Lyon,34.0,63,38,28,25,10,17,61,27.9,44,33,6,27,32,95,25,3
110,Emmanuel Apeh,Celta Vigo,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
111,Mauro Arambarri,Getafe,29.7,59,33,18,37,4,23,76,30.3,53,44,9,35,30,89,36,0
112,Guilherme Arana,Sevilla,7.0,11,6,5,5,1,6,7,85.7,1,6,3,3,9,20,8,0
