League, vs Bundesliga, vs La Liga, vs Ligue 1, vs Premier League, vs Serie A
Bundesliga,,0.04296643408086859,0.003386130307916402,0.08623885429633482,0.038208839132943595
La Liga,-0.04296643408086859,,-0.06232227393691314,-0.0034661893220260254,-0.0020453641346621088
Ligue 1,-0.003386130307916402,0.06232227393691314,,0.062065933652323824,0.07010005482721549
Premier League,-0.08623885429633482,0.0034661893220260254,-0.062065933652323824,,-0.06948708157142691
Serie A,-0.038208839132943595,0.0020453641346621088,-0.07010005482721549,0.06948708157142691,
