,Player,Squad,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
0,Max Aarons,Bournemouth,10.6,542,30,200,233,117,9,542,26,10,38.5,8,30.8,280,1733,878,16,11,6,9,6,271,19
1,Brenden Aaronson,Union Berlin,3.2,133,2,17,61,59,9,133,13,1,7.7,11,84.6,75,389,166,2,3,0,6,2,80,17
2,Paxten Aaronson,Eint Frankfurt,0.5,36,0,1,20,15,3,36,4,0,0.0,4,100.0,21,99,36,2,0,1,1,2,21,3
3,Yunis Abdelhamid,Reims,12.0,847,117,388,428,40,13,847,9,6,66.7,3,33.3,593,3340,1799,14,6,0,11,2,542,2
4,Salis Abdul Samed,Lens,9.4,566,6,71,353,149,7,566,11,4,36.4,6,54.5,482,2506,1027,5,23,0,8,8,448,14
5,Laurent Abergel,Lorient,12.0,866,41,262,517,98,2,866,27,19,70.4,7,25.9,667,3139,1403,10,12,1,10,11,597,9
6,Matthis Abline,Nantes,3.5,112,1,2,55,57,18,112,5,4,80.0,1,20.0,77,385,109,4,2,2,19,5,81,29
7,Abner,Betis,5.8,365,29,134,140,94,15,365,4,3,75.0,1,25.0,183,676,357,5,4,1,7,4,201,29
8,Zakaria Aboukhlal,Toulouse,4.2,142,1,9,60,75,21,141,12,4,33.3,8,66.7,106,702,325,12,9,3,11,5,106,35
9,Abdel Abqar,Alavés,10.0,373,83,209,151,14,7,373,2,2,100.0,0,0.0,172,757,431,1,4,0,5,0,178,0
10,Francesco Acerbi,Inter,9.0,620,71,315,267,40,15,620,2,2,100.0,0,0.0,362,1557,730,7,5,0,0,1,448,11
11,Marcos Acuna,Sevilla,4.6,329,7,89,162,84,3,329,6,3,50.0,1,16.7,169,787,478,11,9,1,6,5,193,14
12,Benie Adama Traore,Sheffield Utd,3.6,99,2,14,45,44,8,99,21,5,23.8,15,71.4,65,438,164,7,5,3,8,6,64,13
13,Akor Adams,Montpellier,9.7,234,4,17,104,117,43,234,21,7,33.3,12,57.1,174,1126,435,19,11,12,26,14,188,58
14,Junior Adamu,Freiburg,0.9,35,0,3,19,14,4,35,2,0,0.0,1,50.0,21,62,13,0,0,0,5,3,22,5
15,Sargis Adamyan,Köln,1.6,60,2,6,25,30,10,60,1,1,100.0,0,0.0,33,174,90,4,2,0,6,1,31,19
16,Tosin Adarabioyo,Fulham,0.0,5,5,5,0,0,0,5,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
17,Elijah Adebayo,Luton Town,4.3,139,6,16,51,74,26,139,20,4,20.0,15,75.0,73,370,78,4,6,3,20,6,93,27
18,Karim Adeyemi,Dortmund,3.6,157,3,24,75,62,14,157,23,6,26.1,13,56.5,110,804,370,14,6,7,15,11,110,30
19,Simon Adingra,Brighton,7.4,333,12,68,126,145,28,333,45,17,37.8,25,55.6,202,1148,650,24,13,13,14,6,218,65
20,Amine Adli,Leverkusen,1.7,104,1,6,50,48,13,104,3,3,100.0,0,0.0,62,412,290,11,7,6,5,1,88,28
21,Yacine Adli,Milan,3.3,289,9,50,175,65,1,289,8,6,75.0,1,12.5,186,1117,525,6,8,0,5,1,206,3
22,Adson,Nantes,2.3,139,0,17,70,55,9,139,5,4,80.0,1,20.0,117,727,328,13,6,4,3,4,108,13
23,Michel Aebischer,Bologna,10.7,713,22,198,445,76,5,713,11,6,54.5,4,36.4,440,1872,918,12,7,1,11,3,554,9
24,Emmanuel Agbadou,Reims,7.7,575,64,223,319,42,8,575,7,2,28.6,5,71.4,418,2691,1584,17,6,1,5,5,366,7
26,Lucien Agoume,Inter,0.1,6,0,1,4,1,0,6,1,0,0.0,1,100.0,2,7,5,0,1,0,0,0,4,0
27,Felix Agu,Werder Bremen,0.0,13,0,6,4,3,0,13,0,0,0.0,0,0.0,9,51,41,1,0,0,0,0,9,1
28,Nayef Aguerd,West Ham,10.7,671,113,390,260,23,11,671,2,1,50.0,1,50.0,397,1917,1056,7,4,0,7,1,425,0
29,Ruben Aguilar,Lens,6.7,486,6,73,215,203,16,486,9,5,55.6,2,22.2,331,1650,832,15,10,1,12,2,309,75
30,Naouirou Ahamada,Crystal Palace,0.9,50,0,9,14,28,0,50,3,2,66.7,1,33.3,37,297,138,7,2,0,1,1,35,9
31,Anel Ahmedhodzic,Sheffield Utd,8.0,391,54,199,146,48,10,391,9,4,44.4,4,44.4,163,734,348,3,6,2,3,6,197,10
32,Joseph Aidoo,Celta Vigo,4.5,240,34,132,107,6,2,240,2,2,100.0,0,0.0,133,630,322,2,0,0,1,2,137,0
33,Ola Aina,Nott'ham Forest,7.0,311,28,140,121,51,3,311,14,6,42.9,5,35.7,148,934,560,14,9,3,3,5,157,6
34,Rayan Ait Nouri,Wolves,9.7,565,26,170,239,165,15,565,39,20,51.3,14,35.9,318,1608,749,18,15,2,18,21,353,38
35,Tosin Aiyegun,Lorient,5.0,126,4,25,55,49,8,126,13,10,76.9,3,23.1,97,799,341,9,5,4,8,5,95,16
36,Kristoffer Ajer,Brentford,7.1,419,24,155,191,75,27,419,6,6,100.0,0,0.0,215,1099,728,13,6,1,10,5,263,24
37,Ludovic Ajorque,Mainz 05,5.8,213,1,19,109,86,33,211,4,0,0.0,4,100.0,103,295,86,1,3,0,14,4,160,29
38,Manuel Akanji,Manchester City,9.0,833,58,276,474,86,8,833,1,1,100.0,0,0.0,567,2951,1713,13,13,0,2,3,661,9
39,Marley Ake,Udinese,0.1,1,0,1,0,0,0,1,0,0,0.0,0,0.0,1,0,0,0,0,0,1,0,1,0
40,Nathan Ake,Manchester City,6.1,502,16,165,267,71,13,502,0,0,0.0,0,0.0,335,1539,980,10,9,0,1,0,362,8
41,Ilias Akhomach,Villarreal,3.6,166,3,19,62,85,7,166,20,7,35.0,10,50.0,110,669,323,12,9,1,16,10,127,34
42,Sergio Akieme,Almería,10.0,524,30,166,246,119,7,524,27,14,51.9,12,44.4,287,1591,694,17,17,1,10,7,304,43
43,Maghnes Akliouche,Monaco,3.9,234,1,19,120,98,17,234,13,10,76.9,2,15.4,197,1003,307,5,5,0,12,11,175,37
44,Paul Akouokou,Betis,0.3,26,2,10,14,3,0,26,0,0,0.0,0,0.0,11,42,8,0,0,0,0,0,15,0
45,Paul Akouokou,Lyon,1.9,127,10,30,80,17,1,127,2,1,50.0,0,0.0,87,302,76,0,1,0,2,1,75,1
46,Jean-Daniel Akpa-Akpro,Monza,0.2,15,1,4,9,3,0,15,1,0,0.0,0,0.0,7,47,11,0,0,0,0,0,8,3
47,Kevin Akpoguma,Hoffenheim,4.8,321,27,145,155,22,2,321,3,1,33.3,2,66.7,170,805,341,4,3,1,3,0,205,5
48,David Alaba,Real Madrid,10.4,786,110,375,343,75,9,786,0,0,0.0,0,0.0,534,2803,1585,8,10,0,5,1,551,13
49,Luis Alberto,Lazio,11.2,857,10,116,447,307,27,857,22,7,31.8,12,54.5,485,2755,1733,48,32,4,13,11,631,47
50,Raul Albiol,Villarreal,9.8,655,94,361,286,13,7,655,0,0,0.0,0,0.0,385,2220,1389,6,1,0,4,2,456,0
52,Ruben Alcaraz,Cádiz,10.0,502,33,142,295,72,6,502,6,4,66.7,2,33.3,253,1261,602,10,9,0,10,6,282,7
53,Omar Alderete,Getafe,5.8,263,42,140,115,12,4,263,5,3,60.0,1,20.0,107,685,380,5,2,0,2,2,110,2
54,Ivan Alejo,Cádiz,8.0,272,13,53,99,126,8,272,24,9,37.5,12,50.0,160,1216,581,21,15,1,19,12,175,43
55,Carles Alena,Getafe,6.0,263,10,44,116,104,9,263,12,2,16.7,9,75.0,140,587,162,4,6,1,13,10,166,18
56,Trent Alexander-Arnold,Liverpool,8.6,774,31,191,407,185,9,774,18,9,50.0,7,38.9,382,2004,951,22,18,4,12,3,509,27
57,Mohamed Ali Cho,Real Sociedad,2.7,104,0,10,47,51,9,104,19,7,36.8,8,42.1,68,588,363,16,11,4,10,2,67,18
58,Yanis Ali Issoufou,Montpellier,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Faride Alidou,Köln,2.7,119,2,12,51,57,9,119,13,4,30.8,7,53.8,75,510,246,11,3,4,11,7,81,28
60,Nabil Alioui,Le Havre,9.1,360,5,37,180,149,19,360,29,12,41.4,15,51.7,251,1440,586,15,16,6,18,16,244,57
61,Alisson,Liverpool,12.0,519,338,494,26,0,0,519,0,0,0.0,0,0.0,369,1703,1148,0,0,0,3,0,319,0
62,Jim Allevinah,Clermont Foot,8.8,484,22,109,199,187,21,484,34,14,41.2,17,50.0,345,2981,1580,53,40,7,24,11,321,57
63,Domingos Andre Ribeiro Almeida,Valencia,5.3,235,7,31,114,92,8,235,13,7,53.8,4,30.8,159,995,432,13,17,3,10,9,182,12
64,Miguel Almiron,Newcastle Utd,8.3,399,4,51,177,175,24,399,16,7,43.8,7,43.8,257,1830,936,36,19,9,9,8,307,69
65,Pontus Almqvist,Lecce,10.2,377,4,44,164,176,37,377,49,20,40.8,24,49.0,256,2153,1089,42,21,17,22,22,283,66
66,Marcos Alonso,Barcelona,1.8,162,5,31,73,59,7,162,4,3,75.0,1,25.0,105,556,273,8,7,2,1,2,110,26
67,Adria Altimira,Villarreal,3.1,246,17,87,128,37,0,246,9,7,77.8,1,11.1,122,573,243,5,1,0,0,2,149,4
68,Sergi Altimira,Betis,1.0,65,9,21,33,12,1,65,5,2,40.0,3,60.0,38,179,58,1,0,0,0,1,42,2
69,Edson Alvarez,West Ham,8.4,531,57,193,291,51,6,531,9,7,77.8,2,22.2,320,1930,748,6,5,0,6,7,343,7
70,Gaston Alvarez,Getafe,10.0,468,52,202,208,63,7,468,8,2,25.0,6,75.0,213,932,506,4,2,0,9,3,206,7
71,Julian Alvarez,Manchester City,10.9,589,6,36,210,349,47,589,12,8,66.7,4,33.3,357,1746,905,24,30,6,17,9,430,67
72,Yeray Alvarez,Athletic Club,2.1,113,15,62,47,4,3,113,0,0,0.0,0,0.0,47,180,88,1,0,0,2,0,49,2
73,Skelly Alvero,Lyon,3.5,196,6,31,119,48,4,196,6,3,50.0,2,33.3,149,714,262,3,4,0,3,6,141,11
74,Papa Amadou Diallo,Metz,1.7,58,3,8,31,19,1,58,2,0,0.0,2,100.0,38,229,42,2,1,0,6,0,34,10
75,Selim Amallah,Valencia,3.9,182,6,31,83,72,11,182,34,16,47.1,11,32.4,104,670,274,6,11,0,13,8,124,20
76,Amath,Mallorca,2.9,112,2,20,50,43,13,112,11,1,9.1,9,81.8,63,474,325,11,5,7,14,4,68,12
78,Lorenzo Amatucci,Fiorentina,0.2,17,0,1,12,4,0,17,0,0,0.0,0,0.0,12,50,15,1,0,0,0,0,13,1
79,Zeki Amdouni,Burnley,8.2,297,11,41,139,125,29,297,46,15,32.6,22,47.8,185,1201,580,23,12,9,25,9,194,28
80,Bruno Amione,Hellas Verona,2.9,171,10,90,73,8,3,171,0,0,0.0,0,0.0,106,509,243,2,2,0,4,0,112,1
81,Michael Amir Murillo,Marseille,2.6,155,9,40,99,21,1,155,5,2,40.0,3,60.0,124,570,190,3,3,1,0,2,116,5
82,Nadiem Amiri,Leverkusen,0.1,14,1,6,5,5,0,14,2,1,50.0,0,0.0,5,67,47,2,0,0,2,0,7,2
83,Sofyan Amrabat,Manchester Utd,3.5,304,11,63,184,57,1,304,1,0,0.0,0,0.0,209,1048,476,4,4,0,3,4,225,4
84,Joachim Andersen,Crystal Palace,12.0,905,117,412,439,58,16,905,9,7,77.8,1,11.1,524,2887,1841,12,6,0,3,1,607,5
85,Elliot Anderson,Newcastle Utd,4.6,244,7,34,117,100,17,244,17,8,47.1,7,41.2,150,925,436,14,11,2,15,10,176,33
86,Felipe Anderson,Lazio,9.9,584,15,78,267,245,29,584,36,12,33.3,21,58.3,312,1713,877,34,17,8,20,12,443,77
87,Benjamin Andre,Lille,12.0,951,47,228,593,133,13,951,7,4,57.1,3,42.9,722,3353,1408,7,20,1,14,10,659,13
88,Komnen Andric,Clermont Foot,1.4,63,2,3,33,27,2,63,3,1,33.3,2,66.7,42,183,37,0,3,1,4,4,48,20
89,Robert Andrich,Leverkusen,1.7,152,7,34,88,31,2,152,0,0,0.0,0,0.0,73,267,102,1,3,0,2,2,121,5
90,Miguel Angel Rubio,Granada,6.2,360,48,215,139,7,2,360,1,1,100.0,0,0.0,189,971,542,1,3,0,5,0,208,0
91,Fabrizio Angileri,Getafe,0.8,49,4,14,19,18,0,49,2,1,50.0,0,0.0,24,93,56,1,2,0,1,0,23,4
92,Jaidon Anthony,Bournemouth,1.7,69,2,15,27,27,4,69,6,2,33.3,3,50.0,36,160,77,2,2,0,5,2,40,9
93,Waldemar Anton,Stuttgart,11.0,993,92,397,554,47,13,993,8,5,62.5,3,37.5,634,3912,2155,15,7,3,7,3,705,6
94,Michail Antonio,West Ham,9.0,237,4,29,106,105,26,237,26,17,65.4,6,23.1,165,1165,619,25,10,10,34,14,184,46
95,Antony,Manchester Utd,5.4,291,4,38,105,155,21,291,24,7,29.2,10,41.7,212,1353,767,20,13,9,13,4,208,71
96,Christopher Antwi-Adjei,Bochum,4.7,200,4,27,53,122,18,200,9,2,22.2,6,66.7,100,729,378,16,7,5,8,6,122,43
97,Houssem Aouar,Roma,4.7,254,1,29,132,96,13,254,13,4,30.8,6,46.2,159,898,418,12,11,3,5,8,171,16
98,Stredair Appuah,Nantes,0.3,12,0,0,3,9,3,12,2,2,100.0,0,0.0,9,53,18,1,0,1,0,0,9,0
99,Mauro Arambarri,Getafe,3.8,188,9,30,115,44,6,188,6,2,33.3,4,66.7,110,548,214,2,6,0,5,5,104,6
100,Julian Araujo,Las Palmas,6.6,403,31,118,217,69,8,403,6,2,33.3,3,50.0,199,751,324,11,3,2,16,0,223,18
101,Ronald Araujo,Barcelona,6.4,519,19,163,314,50,7,519,3,2,66.7,1,33.3,333,1732,1138,16,10,1,7,2,363,8
102,Cameron Archer,Sheffield Utd,7.9,212,3,23,75,116,25,212,25,9,36.0,14,56.0,129,595,224,8,11,5,28,19,152,40
104,Cameron Archer,Aston Villa,0.1,7,0,1,4,2,0,7,0,0,0.0,0,0.0,5,39,28,1,1,0,1,0,7,0
105,Alphonse Areola,West Ham,12.0,378,327,375,3,0,0,378,0,0,0.0,0,0.0,179,1213,694,0,1,0,0,0,122,0
106,Adu Ares,Athletic Club,0.3,12,1,2,5,5,0,12,1,1,100.0,0,0.0,8,84,54,2,0,0,1,0,9,4
107,Jesus Areso,Osasuna,8.1,465,26,113,173,189,9,465,22,11,50.0,11,50.0,205,1237,621,21,19,4,19,6,224,48
108,Jose Arnaiz,Osasuna,3.1,107,0,12,31,65,4,107,11,1,9.1,7,63.6,71,405,171,3,6,0,7,7,72,23
109,Hakon Arnar Haraldsson,Lille,3.5,182,4,23,91,69,7,182,14,6,42.9,7,50.0,153,686,247,4,4,1,8,3,141,19
110,Marko Arnautovic,Inter,1.4,71,1,3,40,29,10,71,4,1,25.0,3,75.0,48,142,50,3,1,2,6,3,54,12
111,Maximilian Arnold,Wolfsburg,8.7,553,30,139,330,90,2,553,3,0,0.0,2,66.7,279,1348,632,9,1,0,6,2,351,7
112,Mohamed El Arouch,Lyon,0.0,2,0,1,2,0,0,2,1,1,100.0,0,0.0,1,8,6,0,0,0,0,0,0,0
113,Sergio Arribas,Almería,8.4,321,2,44,148,132,29,321,21,7,33.3,14,66.7,175,1097,552,18,12,5,14,7,195,29
114,Kepa Arrizabalaga,Real Madrid,10.0,358,319,356,2,0,0,358,0,0,0.0,0,0.0,246,957,598,0,0,0,0,0,239,0
115,Arthur,Leverkusen,0.4,26,1,6,7,13,0,26,0,0,0.0,0,0.0,14,125,90,2,2,0,0,0,16,4
116,Takuma Asano,Bochum,9.3,233,5,25,84,132,40,233,15,9,60.0,6,40.0,136,1073,501,20,11,8,21,9,150,53
117,Marco Asensio,Paris S-G,2.6,140,1,10,66,66,10,140,6,2,33.3,3,50.0,128,744,282,11,6,3,5,1,126,24
118,Kristjan Asllani,Inter,1.0,82,4,21,47,15,1,82,0,0,0.0,0,0.0,50,181,66,0,0,0,0,1,58,2
119,Joel Asoro,Metz,5.2,141,3,37,56,52,7,141,17,8,47.1,8,47.1,98,723,276,7,8,0,18,11,89,23
120,Iago Aspas,Celta Vigo,11.1,545,4,33,226,292,53,543,20,15,75.0,2,10.0,332,1809,820,27,22,6,23,9,370,60
121,Lorenz Assignon,Rennes,10.6,677,23,151,310,222,21,677,22,10,45.5,12,54.5,460,2600,1295,26,17,7,13,4,406,59
122,Youcef Atal,Nice,4.0,286,7,68,169,57,3,286,21,11,52.4,8,38.1,220,1488,701,9,14,1,5,3,193,5
123,Valentin Atangana Edoa,Reims,1.7,76,2,18,41,18,5,76,3,0,0.0,3,100.0,47,329,116,1,3,0,3,1,34,1
124,Arthur Atta,Metz,1.3,66,3,18,30,18,3,66,2,0,0.0,2,100.0,45,250,102,4,3,1,1,2,44,3
