,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
0,Ismael Aaneba,fr FRA,DF,Strasbourg,Ligue 1,19.0,1999.0,2.3,120.0,92.0,28.0,3.0,0.0,2.0,11.0,25.0,0.0,0.0,0.0,0.0,73.0,0.0,8.0
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,Premier League,27.0,1990.0,35.5,1971.0,1603.0,364.0,46.0,5.0,7.0,42.0,316.0,2.0,0.0,1.0,1.0,1564.0,4.0,33.0
2,Ignazio Abate,it ITA,DF,Milan,Serie A,31.0,1986.0,14.5,925.0,817.0,107.0,14.0,0.0,4.0,26.0,93.0,0.0,0.0,0.0,0.0,763.0,1.0,19.0
3,Issah Abbas,gh GHA,FW,Mainz 05,Bundesliga,19.0,1998.0,0.1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,Yunis Abdelhamid,ma MAR,DF,Reims,Ligue 1,30.0,1987.0,38.0,1614.0,1543.0,63.0,62.0,0.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,1330.0,8.0,19.0
5,Mehdi Abeid,dz ALG,MF,Dijon,Ligue 1,25.0,1992.0,22.5,1068.0,1028.0,35.0,17.0,4.0,12.0,24.0,5.0,10.0,1.0,6.0,0.0,903.0,5.0,13.0
6,Charles Abi,fr FRA,"DF,FW",Saint-Étienne,Ligue 1,18.0,2000.0,0.4,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0
7,David Abraham,ar ARG,DF,Eint Frankfurt,Bundesliga,32.0,1986.0,15.8,671.0,646.0,22.0,20.0,0.0,13.0,8.0,2.0,0.0,0.0,0.0,0.0,514.0,3.0,12.0
8,Amir Abrashi,al ALB,MF,Freiburg,Bundesliga,28.0,1990.0,8.8,372.0,368.0,4.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,319.0,0.0,9.0
9,Francesco Acerbi,it ITA,DF,Lazio,Serie A,30.0,1988.0,36.8,1800.0,1735.0,61.0,46.0,0.0,15.0,6.0,15.0,0.0,0.0,0.0,0.0,1560.0,4.0,11.0
10,Afriyie Acquah,gh GHA,MF,Empoli,Serie A,26.0,1992.0,16.8,738.0,723.0,11.0,3.0,2.0,4.0,34.0,8.0,0.0,0.0,0.0,0.0,580.0,4.0,28.0
