,Squad,Comp,# Pl,Age,Poss,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
0,Alaves,La Liga,33,27.9,42.0,38,418,3420,38.0,29,20,49,23,6,7,93,4,37.3,31.8,25.5,57.3,420,984,0.76,0.53,1.29,0.61,1.13,0.98,0.67,1.65,0.84,1.51
1,Angers,Ligue 1,30,27.4,48.4,38,418,3420,38.0,41,25,66,32,9,9,70,4,46.5,39.5,28.4,67.9,659,1349,1.08,0.66,1.74,0.84,1.5,1.22,0.75,1.97,1.04,1.79
2,Arminia,Bundesliga,26,25.8,40.7,34,374,3060,34.0,26,18,44,24,2,2,55,2,26.3,24.7,17.2,41.9,405,887,0.76,0.53,1.29,0.71,1.24,0.77,0.51,1.28,0.73,1.23
3,Arsenal,Premier League,27,24.4,52.8,38,418,3420,38.0,60,41,101,55,5,8,67,4,60.5,55.1,40.2,95.4,734,1655,1.58,1.08,2.66,1.45,2.53,1.59,1.06,2.65,1.45,2.51
4,Aston Villa,Premier League,31,26.1,46.5,38,418,3420,38.0,50,42,92,47,3,3,81,2,44.0,42.0,34.8,76.8,653,1300,1.32,1.11,2.42,1.24,2.34,1.16,0.92,2.08,1.1,2.02
5,Atalanta,Serie A,32,27.5,55.0,38,418,3420,38.0,62,48,110,57,5,6,87,2,62.4,58.1,48.5,106.6,796,1858,1.63,1.26,2.89,1.5,2.76,1.64,1.28,2.92,1.53,2.81
6,Athletic Club,La Liga,26,26.9,48.1,38,418,3420,38.0,40,34,74,37,3,7,90,4,49.6,44.0,37.5,81.6,653,1572,1.05,0.89,1.95,0.97,1.87,1.31,0.99,2.29,1.16,2.15
7,Atletico Madrid,La Liga,26,28.1,50.6,38,418,3420,38.0,63,45,108,59,4,5,111,7,54.4,50.6,40.2,90.8,705,1463,1.66,1.18,2.84,1.55,2.74,1.43,1.06,2.49,1.33,2.39
8,Augsburg,Bundesliga,26,26.6,41.5,34,374,3060,34.0,39,26,65,34,5,5,74,0,36.7,32.8,23.9,56.7,441,895,1.15,0.76,1.91,1.0,1.76,1.08,0.7,1.78,0.96,1.67
9,Barcelona,La Liga,38,26.2,64.2,38,418,3420,38.0,68,52,120,62,6,7,97,5,63.4,57.9,47.6,105.5,961,2079,1.79,1.37,3.16,1.63,3.0,1.67,1.25,2.92,1.52,2.78
10,Bayern Munich,Bundesliga,30,26.8,64.5,34,374,3060,34.0,92,70,162,87,5,5,36,2,89.0,85.1,66.7,151.8,833,2164,2.71,2.06,4.76,2.56,4.62,2.62,1.96,4.58,2.5,4.46
11,Betis,La Liga,31,28.9,53.7,38,418,3420,38.0,60,45,105,54,6,6,87,6,53.5,48.8,37.7,86.5,666,1518,1.58,1.18,2.76,1.42,2.61,1.41,0.99,2.4,1.29,2.28
12,Bochum,Bundesliga,28,28.0,44.7,34,374,3060,34.0,37,22,59,33,4,6,55,2,40.6,35.9,26.7,62.6,467,926,1.09,0.65,1.74,0.97,1.62,1.19,0.78,1.98,1.06,1.84
13,Bologna,Serie A,36,26.6,50.6,38,418,3420,38.0,43,34,77,39,4,5,92,7,44.9,41.0,33.6,74.6,540,1276,1.13,0.89,2.03,1.03,1.92,1.18,0.88,2.06,1.08,1.96
14,Bordeaux,Ligue 1,39,25.7,47.4,38,418,3420,38.0,50,39,89,48,2,4,91,5,44.9,41.9,33.9,75.8,609,1271,1.32,1.03,2.34,1.26,2.29,1.18,0.89,2.07,1.1,2.0
15,Brentford,Premier League,29,25.4,44.8,38,418,3420,38.0,46,33,79,40,6,6,65,3,45.8,41.1,33.0,74.1,450,1189,1.21,0.87,2.08,1.05,1.92,1.21,0.87,2.07,1.08,1.95
16,Brest,Ligue 1,25,25.4,43.9,38,418,3420,38.0,48,32,80,41,7,8,59,2,43.4,37.0,28.7,65.7,666,1349,1.26,0.84,2.11,1.08,1.92,1.14,0.76,1.9,0.97,1.73
17,Brighton,Premier League,26,26.2,54.4,38,418,3420,38.0,40,30,70,36,4,7,72,2,46.2,40.7,32.3,72.9,676,1547,1.05,0.79,1.84,0.95,1.74,1.21,0.85,2.06,1.07,1.92
18,Burnley,Premier League,23,28.5,40.2,38,418,3420,38.0,32,26,58,31,1,2,68,2,39.7,38.1,31.2,69.3,388,972,0.84,0.68,1.53,0.82,1.5,1.05,0.82,1.87,1.0,1.82
19,Cadiz,La Liga,33,28.5,41.3,38,418,3420,38.0,35,21,56,32,3,6,105,3,39.5,34.8,24.6,59.4,571,1080,0.92,0.55,1.47,0.84,1.39,1.04,0.65,1.69,0.91,1.56
20,Cagliari,Serie A,33,26.5,44.5,38,418,3420,38.0,34,26,60,31,3,4,96,5,39.0,36.4,29.6,66.0,474,1088,0.89,0.68,1.58,0.82,1.5,1.03,0.78,1.81,0.96,1.74
