,Squad,Comp,# Pl,Age,Poss,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
0,Alaves,La Liga,30,25.5,40.3,38,418,3420,38.0,40,31,71,39,1,3,105.0,4.0,38.5,36.1,27.7,63.8,454,1045,1.05,0.82,1.87,1.03,1.84,1.01,0.73,1.74,0.95,1.68
1,Amiens,Ligue 1,30,27.5,43.3,38,418,3420,38.0,36,24,60,33,3,4,72.0,5.0,32.8,29.8,21.3,51.1,547,1178,0.95,0.63,1.58,0.87,1.5,0.86,0.56,1.42,0.78,1.35
2,Angers,Ligue 1,27,27.1,45.1,38,418,3420,38.0,41,30,71,37,4,4,68.0,3.0,47.6,44.5,35.3,79.8,699,1430,1.08,0.79,1.87,0.97,1.76,1.25,0.93,2.18,1.17,2.1
3,Arsenal,Premier League,30,26.8,61.4,38,418,3420,38.0,73,61,134,69,4,5,,,68.3,64.3,53.3,117.6,915,2223,1.92,1.61,3.53,1.82,3.42,1.8,1.4,3.2,1.69,3.1
4,Atalanta,Serie A,25,25.7,55.4,38,418,3420,38.0,57,38,95,52,5,9,,,64.1,57.2,44.7,101.8,933,1920,1.5,1.0,2.5,1.37,2.37,1.69,1.18,2.86,1.5,2.68
5,Athletic Club,La Liga,26,26.7,49.6,38,418,3420,38.0,39,25,64,33,6,8,93.0,0.0,49.7,43.8,33.7,77.5,652,1519,1.03,0.66,1.68,0.87,1.53,1.31,0.89,2.19,1.15,2.04
6,Atletico Madrid,La Liga,26,26.6,47.5,38,418,3420,38.0,57,41,98,53,4,5,93.0,5.0,50.2,46.3,36.6,82.9,703,1460,1.5,1.08,2.58,1.39,2.47,1.32,0.96,2.28,1.22,2.18
7,Augsburg,Bundesliga,27,26.6,45.7,34,374,3060,34.0,41,30,71,37,4,4,,,44.7,41.6,32.3,73.9,524,1117,1.21,0.88,2.09,1.09,1.97,1.32,0.95,2.27,1.22,2.17
8,Barcelona,La Liga,25,27.7,62.8,38,418,3420,38.0,96,74,170,93,3,5,67.0,2.0,83.5,80.1,64.6,144.7,1025,2151,2.53,1.95,4.47,2.45,4.39,2.2,1.7,3.9,2.11,3.81
9,Bayern Munich,Bundesliga,28,27.4,66.1,34,374,3060,34.0,90,72,162,84,6,8,,,75.8,69.8,58.8,128.5,755,2333,2.65,2.12,4.76,2.47,4.59,2.23,1.73,3.96,2.05,3.78
10,Benevento,Serie A,41,26.0,47.5,38,418,3420,38.0,32,23,55,30,2,3,,,38.3,36.0,28.8,64.7,772,1216,0.84,0.61,1.45,0.79,1.39,1.01,0.76,1.77,0.95,1.7
11,Betis,La Liga,29,27.1,56.9,38,418,3420,38.0,56,43,99,54,2,3,90.0,3.0,46.0,43.7,35.2,78.9,736,1506,1.47,1.13,2.61,1.42,2.55,1.21,0.93,2.14,1.15,2.08
12,Bologna,Serie A,30,26.8,46.8,38,418,3420,38.0,37,18,55,35,2,3,,,36.6,34.3,24.3,58.6,586,1344,0.97,0.47,1.45,0.92,1.39,0.96,0.64,1.6,0.9,1.54
13,Bordeaux,Ligue 1,31,25.1,50.6,38,418,3420,38.0,52,36,88,48,4,6,73.0,2.0,51.0,46.1,35.9,82.0,875,1501,1.37,0.95,2.32,1.26,2.21,1.34,0.94,2.29,1.21,2.16
14,Bournemouth,Premier League,22,26.9,48.1,38,418,3420,38.0,45,36,81,42,3,3,,,38.8,36.4,29.1,65.5,702,1526,1.18,0.95,2.13,1.11,2.05,1.02,0.77,1.79,0.96,1.72
15,Brighton,Premier League,24,27.5,43.7,38,418,3420,38.0,33,25,58,28,5,7,,,37.0,31.8,26.2,58.0,523,1230,0.87,0.66,1.53,0.74,1.39,0.97,0.69,1.66,0.84,1.53
16,Burnley,Premier League,24,27.5,43.7,38,418,3420,38.0,35,26,61,35,0,0,,,32.3,32.3,23.6,55.9,431,1103,0.92,0.68,1.61,0.92,1.61,0.85,0.62,1.47,0.85,1.47
17,Caen,Ligue 1,26,27.3,45.5,38,418,3420,38.0,25,19,44,20,5,8,68.0,4.0,42.8,36.6,29.6,66.3,598,1548,0.66,0.5,1.16,0.53,1.03,1.13,0.78,1.91,0.96,1.74
18,Cagliari,Serie A,29,27.1,45.3,38,418,3420,38.0,33,21,54,29,4,7,,,39.7,34.2,27.4,61.6,464,1348,0.87,0.55,1.42,0.76,1.32,1.04,0.72,1.77,0.9,1.62
19,Celta Vigo,La Liga,23,25.7,55.7,38,418,3420,38.0,57,45,102,55,2,3,85.0,1.0,55.0,52.6,43.0,95.6,724,1595,1.5,1.18,2.68,1.45,2.63,1.45,1.13,2.58,1.39,2.52
20,Chelsea,Premier League,26,26.7,55.6,38,418,3420,38.0,60,42,102,57,3,3,,,54.4,52.0,41.5,93.5,1045,1998,1.58,1.11,2.68,1.5,2.61,1.43,1.09,2.52,1.37,2.46
21,Chievo,Serie A,25,30.3,44.4,38,418,3420,38.0,36,20,56,35,1,2,,,34.1,32.5,25.2,57.7,554,1358,0.95,0.53,1.47,0.92,1.45,0.9,0.66,1.56,0.85,1.52
22,Crotone,Serie A,29,25.6,39.9,38,418,3420,38.0,38,21,59,36,2,3,,,34.6,32.2,23.4,55.6,472,1250,1.0,0.55,1.55,0.95,1.5,0.91,0.62,1.53,0.85,1.46
23,Crystal Palace,Premier League,28,27.1,45.2,38,418,3420,38.0,44,26,70,36,8,10,,,53.5,45.9,33.3,79.2,727,1308,1.16,0.68,1.84,0.95,1.63,1.41,0.88,2.28,1.21,2.08
24,Dijon,Ligue 1,26,26.6,48.4,38,418,3420,38.0,52,36,88,47,5,5,69.0,5.0,41.6,37.8,29.2,67.0,659,1320,1.37,0.95,2.32,1.24,2.18,1.09,0.77,1.86,1.0,1.76
25,Dortmund,Bundesliga,30,25.9,59.1,34,374,3060,34.0,62,44,106,59,3,6,,,66.0,61.4,48.9,110.3,733,1712,1.82,1.29,3.12,1.74,3.03,1.94,1.44,3.38,1.81,3.24
26,Eibar,La Liga,27,27.4,52.0,38,418,3420,38.0,43,31,74,41,2,3,84.0,3.0,40.9,38.6,30.2,68.8,635,1468,1.13,0.82,1.95,1.08,1.89,1.08,0.79,1.87,1.02,1.81
27,Eint Frankfurt,Bundesliga,28,26.4,47.9,34,374,3060,34.0,44,34,78,42,2,2,,,42.2,40.9,30.7,71.6,492,1292,1.29,1.0,2.29,1.24,2.24,1.24,0.9,2.14,1.2,2.11
28,Espanyol,La Liga,25,26.8,46.9,38,418,3420,38.0,33,24,57,31,2,3,87.0,1.0,41.1,38.7,27.8,66.4,532,1276,0.87,0.63,1.5,0.82,1.45,1.08,0.73,1.81,1.02,1.75
29,Everton,Premier League,30,26.7,45.5,38,418,3420,38.0,42,26,68,37,5,8,,,40.5,34.1,24.7,58.8,477,1161,1.11,0.68,1.79,0.97,1.66,1.07,0.65,1.71,0.9,1.55
30,Fiorentina,Serie A,27,25.0,52.6,38,418,3420,38.0,53,32,85,46,7,8,,,54.5,48.3,37.9,86.2,737,1695,1.39,0.84,2.24,1.21,2.05,1.43,1.0,2.43,1.27,2.27
31,Freiburg,Bundesliga,29,24.8,44.8,34,374,3060,34.0,32,21,53,26,6,10,,,39.6,31.7,25.0,56.8,399,1061,0.94,0.62,1.56,0.76,1.38,1.16,0.74,1.9,0.93,1.67
32,Genoa,Serie A,33,27.9,46.3,38,418,3420,38.0,31,18,49,27,4,5,,,43.5,39.6,31.9,71.5,699,1475,0.82,0.47,1.29,0.71,1.18,1.15,0.84,1.99,1.04,1.88
33,Getafe,La Liga,32,28.2,40.2,38,418,3420,38.0,41,27,68,36,5,12,130.0,5.0,48.2,38.6,29.6,68.2,374,1092,1.08,0.71,1.79,0.95,1.66,1.27,0.78,2.05,1.02,1.79
34,Girona,La Liga,25,26.3,46.8,38,418,3420,38.0,50,31,81,44,6,8,102.0,0.0,50.6,44.4,34.4,78.8,590,1215,1.32,0.82,2.13,1.16,1.97,1.33,0.9,2.24,1.17,2.07
35,Guingamp,Ligue 1,23,27.2,49.7,38,418,3420,38.0,46,27,73,40,6,7,65.0,2.0,45.5,40.1,30.0,70.1,763,1519,1.21,0.71,1.92,1.05,1.76,1.2,0.79,1.99,1.06,1.85
36,Hamburger SV,Bundesliga,29,25.0,49.0,34,374,3060,34.0,28,18,46,25,3,5,,,37.7,33.8,24.1,58.0,568,1283,0.82,0.53,1.35,0.74,1.26,1.11,0.71,1.82,0.99,1.7
37,Hannover 96,Bundesliga,26,26.4,46.9,34,374,3060,34.0,44,26,70,40,4,5,,,44.6,40.6,30.7,71.4,472,1237,1.29,0.76,2.06,1.18,1.94,1.31,0.9,2.22,1.2,2.1
38,Hellas Verona,Serie A,32,25.9,41.9,38,418,3420,38.0,30,19,49,23,7,7,,,33.0,27.7,21.1,48.8,635,1077,0.79,0.5,1.29,0.61,1.11,0.87,0.56,1.42,0.73,1.28
39,Hertha BSC,Bundesliga,25,26.4,46.1,34,374,3060,34.0,43,32,75,39,4,5,,,39.2,35.3,27.8,63.1,426,1219,1.26,0.94,2.21,1.15,2.09,1.15,0.82,1.97,1.04,1.86
40,Hoffenheim,Bundesliga,26,25.0,51.2,34,374,3060,34.0,64,47,111,60,4,5,,,50.5,46.6,36.6,83.2,644,1351,1.88,1.38,3.26,1.76,3.15,1.48,1.08,2.56,1.37,2.45
41,Huddersfield,Premier League,25,26.4,45.7,38,418,3420,38.0,25,19,44,23,2,2,,,31.3,29.8,23.7,53.5,627,1210,0.66,0.5,1.16,0.61,1.11,0.82,0.62,1.45,0.78,1.41
42,Inter,Serie A,22,27.6,57.1,38,418,3420,38.0,64,34,98,58,6,7,,,56.7,51.3,43.8,95.2,947,1877,1.68,0.89,2.58,1.53,2.42,1.49,1.15,2.65,1.35,2.51
43,Juventus,Serie A,24,29.2,57.2,38,418,3420,38.0,82,39,121,78,4,8,,,55.3,49.4,37.9,87.2,789,1704,2.16,1.03,3.18,2.05,3.08,1.46,1.0,2.45,1.3,2.3
44,Koln,Bundesliga,31,25.3,47.4,34,374,3060,34.0,33,24,57,30,3,3,,,43.2,41.0,29.8,70.8,507,1331,0.97,0.71,1.68,0.88,1.59,1.27,0.88,2.15,1.21,2.08
45,La Coruna,La Liga,32,28.2,46.8,38,418,3420,38.0,38,30,68,35,3,5,99.0,2.0,51.6,47.7,40.0,87.7,640,1477,1.0,0.79,1.79,0.92,1.71,1.36,1.05,2.41,1.25,2.31
46,Las Palmas,La Liga,36,27.0,54.7,38,418,3420,38.0,24,15,39,18,6,8,88.0,3.0,38.5,32.3,24.8,57.1,726,1332,0.63,0.39,1.03,0.47,0.87,1.01,0.65,1.66,0.85,1.5
47,Lazio,Serie A,24,26.5,51.1,38,418,3420,38.0,86,51,137,77,9,11,,,63.7,55.2,45.8,101.0,915,1802,2.26,1.34,3.61,2.03,3.37,1.68,1.21,2.88,1.45,2.66
48,Leganes,La Liga,28,27.8,43.0,38,418,3420,38.0,32,23,55,30,2,3,102.0,5.0,39.9,37.6,30.0,67.6,534,1111,0.84,0.61,1.45,0.79,1.39,1.05,0.79,1.84,0.99,1.78
49,Leicester City,Premier League,27,27.2,48.0,38,418,3420,38.0,53,38,91,48,5,6,,,50.0,45.3,34.9,80.2,655,1271,1.39,1.0,2.39,1.26,2.26,1.32,0.92,2.24,1.19,2.11
50,Levante,La Liga,33,25.7,42.8,38,418,3420,38.0,43,28,71,38,5,5,108.0,6.0,44.7,40.8,31.8,72.7,676,1286,1.13,0.74,1.87,1.0,1.74,1.18,0.84,2.02,1.07,1.91
51,Leverkusen,Bundesliga,24,24.0,54.6,34,374,3060,34.0,58,46,104,55,3,5,,,57.5,53.6,42.4,95.9,696,1661,1.71,1.35,3.06,1.62,2.97,1.69,1.25,2.94,1.58,2.82
52,Lille,Ligue 1,25,22.6,53.8,38,418,3420,38.0,41,31,72,39,2,2,59.0,6.0,36.4,34.8,29.7,64.5,831,1581,1.08,0.82,1.89,1.03,1.84,0.96,0.78,1.74,0.92,1.7
53,Liverpool,Premier League,27,25.6,60.3,38,418,3420,38.0,82,58,140,80,2,3,,,72.9,70.6,52.7,123.3,982,2236,2.16,1.53,3.68,2.11,3.63,1.92,1.39,3.31,1.86,3.24
54,Lyon,Ligue 1,26,24.4,55.6,38,418,3420,38.0,85,62,147,79,6,7,71.0,2.0,63.4,58.3,43.9,102.2,949,1670,2.24,1.63,3.87,2.08,3.71,1.67,1.15,2.82,1.53,2.69
55,M'Gladbach,Bundesliga,27,25.7,52.0,34,374,3060,34.0,46,26,72,40,6,7,,,51.1,45.8,35.0,80.8,578,1385,1.35,0.76,2.12,1.18,1.94,1.5,1.03,2.53,1.35,2.38
56,Mainz 05,Bundesliga,27,25.3,44.4,34,374,3060,34.0,38,27,65,34,4,4,,,35.4,32.3,25.5,57.8,484,1116,1.12,0.79,1.91,1.0,1.79,1.04,0.75,1.79,0.95,1.7
57,Malaga,La Liga,37,27.2,44.1,38,418,3420,38.0,23,15,38,19,4,6,99.0,8.0,38.4,33.7,26.3,60.0,463,1169,0.61,0.39,1.0,0.5,0.89,1.01,0.69,1.7,0.89,1.58
58,Manchester City,Premier League,25,26.4,71.0,38,418,3420,38.0,103,85,188,97,6,8,,,78.6,72.7,57.9,130.6,1308,2570,2.71,2.24,4.95,2.55,4.79,2.07,1.52,3.59,1.91,3.44
59,Manchester Utd,Premier League,27,26.7,54.7,38,418,3420,38.0,67,53,120,66,1,3,,,55.7,53.3,40.5,93.8,920,1564,1.76,1.39,3.16,1.74,3.13,1.47,1.07,2.53,1.4,2.47
60,Marseille,Ligue 1,26,27.2,57.8,38,418,3420,38.0,79,54,133,74,5,8,81.0,2.0,78.1,71.7,55.9,127.6,947,1586,2.08,1.42,3.5,1.95,3.37,2.06,1.47,3.53,1.89,3.36
61,Metz,Ligue 1,36,27.4,45.5,38,418,3420,38.0,33,27,60,30,3,4,78.0,7.0,40.3,37.2,30.0,67.3,589,1518,0.87,0.71,1.58,0.79,1.5,1.06,0.79,1.85,0.98,1.77
62,Milan,Serie A,23,25.0,56.0,38,418,3420,38.0,54,28,82,50,4,6,,,51.2,46.6,35.3,81.9,778,2016,1.42,0.74,2.16,1.32,2.05,1.35,0.93,2.28,1.23,2.15
63,Monaco,Ligue 1,32,25.8,50.9,38,418,3420,38.0,83,56,139,76,7,8,70.0,4.0,62.3,56.1,43.1,99.2,735,1742,2.18,1.47,3.66,2.0,3.47,1.64,1.13,2.77,1.48,2.61
64,Montpellier,Ligue 1,23,26.4,47.0,38,418,3420,38.0,36,28,64,36,0,2,72.0,1.0,42.6,41.0,31.0,72.1,749,1572,0.95,0.74,1.68,0.95,1.68,1.12,0.82,1.94,1.08,1.9
65,Nantes,Ligue 1,30,25.6,43.7,38,418,3420,38.0,36,24,60,32,4,5,63.0,6.0,41.8,37.9,29.4,67.3,559,1405,0.95,0.63,1.58,0.84,1.47,1.1,0.77,1.87,1.0,1.77
66,Napoli,Serie A,23,28.0,63.4,38,418,3420,38.0,73,45,118,67,6,8,,,67.1,60.7,50.8,111.6,971,2468,1.92,1.18,3.11,1.76,2.95,1.77,1.34,3.1,1.6,2.94
67,Newcastle Utd,Premier League,27,25.6,41.7,38,418,3420,38.0,38,29,67,38,0,1,,,41.6,40.9,32.1,72.9,548,1145,1.0,0.76,1.76,1.0,1.76,1.1,0.84,1.94,1.08,1.92
68,Nice,Ligue 1,31,25.0,58.1,38,418,3420,38.0,52,35,87,44,8,10,80.0,4.0,49.2,41.7,31.9,73.6,841,1637,1.37,0.92,2.29,1.16,2.08,1.3,0.84,2.14,1.1,1.94
69,Paris S-G,Ligue 1,28,26.1,66.3,38,418,3420,38.0,100,75,175,93,7,9,65.0,6.0,86.1,79.3,65.1,144.4,1044,2068,2.63,1.97,4.61,2.45,4.42,2.26,1.71,3.98,2.09,3.8
