,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off
0,Patrick van Aanholt,nl NED,"DF,MF",Crystal Palace,Premier League,25.0,1990.0,11.0,714.0,65.0,20.9,7.9,8.0,,5.0,3.0,,1.0,1.45,7.0,14.0,-7.0,-0.88,-0.68
1,Patrick van Aanholt,nl NED,"DF,MF",Sunderland,Premier League,25.0,1990.0,21.0,1784.0,85.0,52.2,19.8,20.0,,19.0,1.0,,0.0,0.71,20.0,39.0,-19.0,-0.96,0.2
2,Ignazio Abate,it ITA,DF,Milan,Serie A,29.0,1986.0,23.0,1924.0,84.0,56.3,21.4,22.0,,20.0,1.0,,3.0,1.87,34.0,24.0,10.0,0.47,0.35
3,Yunis Abdelhamid,ma MAR,DF,Dijon,Ligue 1,28.0,1987.0,18.0,1314.0,73.0,38.4,14.6,15.0,,13.0,3.0,,9.0,1.0,18.0,23.0,-5.0,-0.34,-0.04
4,Aymen Abdennour,tn TUN,DF,Valencia,La Liga,26.0,1989.0,13.0,879.0,68.0,25.7,9.8,9.0,83.0,7.0,4.0,34.0,11.0,0.92,15.0,19.0,-4.0,-0.41,-0.23
5,Nura Abdullahi,ng NGA,DF,Roma,Serie A,18.0,1997.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,
6,Mehdi Abeid,dz ALG,MF,Dijon,Ligue 1,23.0,1992.0,28.0,2374.0,85.0,69.4,26.4,27.0,,23.0,1.0,,0.0,1.07,34.0,39.0,-5.0,-0.19,0.41
7,David Abraham,ar ARG,DF,Eint Frankfurt,Bundesliga,30.0,1986.0,30.0,2584.0,86.0,84.4,28.7,30.0,,28.0,0.0,,0.0,1.4,32.0,31.0,1.0,0.03,1.55
8,Amir Abrashi,al ALB,MF,Freiburg,Bundesliga,26.0,1990.0,20.0,1320.0,66.0,43.1,14.7,16.0,,10.0,4.0,,12.0,1.4,15.0,26.0,-11.0,-0.75,-0.39
9,Marco Acatullo,it ITA,FW,Pescara,Serie A,18.0,1998.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,
