,Player,Squad,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
0,Max Aarons,Bournemouth,10.6,1,0,0,10,22,2,10,5,15,0,1,0,62,4,9,30.8
1,Brenden Aaronson,Union Berlin,3.4,2,1,1,3,3,0,8,0,6,0,0,0,19,1,3,25.0
2,Paxten Aaronson,Eint Frankfurt,1.1,0,0,0,6,4,0,0,0,2,0,0,0,5,3,0,100.0
3,Yunis Abdelhamid,Reims,15.0,3,0,0,10,6,0,1,17,20,0,0,0,96,27,22,55.1
4,Salis Abdul Samed,Lens,11.9,2,0,0,26,14,0,3,7,11,0,2,0,69,1,5,16.7
5,Laurent Abergel,Lorient,15.0,1,0,0,15,20,0,11,34,25,0,0,0,111,6,5,54.5
6,Matthis Abline,Nantes,4.0,0,0,0,3,4,1,3,0,0,0,0,0,8,7,10,41.2
7,Abner,Betis,7.8,2,0,0,6,2,1,15,8,9,0,0,0,42,9,7,56.3
8,Zakaria Aboukhlal,Toulouse,4.2,0,0,0,8,7,4,2,1,1,1,0,0,8,5,2,71.4
9,Abdel Abqar,Alavés,12.9,5,0,0,19,11,1,0,11,7,0,2,1,58,24,15,61.5
10,Francesco Acerbi,Inter,12.0,1,0,0,10,10,1,5,18,7,0,0,0,50,31,17,64.6
11,Marcos Acuna,Sevilla,5.1,2,0,0,2,9,0,31,4,8,0,0,0,39,8,5,61.5
12,Benie Adama Traore,Sheffield Utd,4.3,0,0,0,10,4,1,3,1,2,0,0,0,22,2,18,10.0
13,Akor Adams,Montpellier,13.5,2,0,0,22,13,15,8,2,3,0,0,0,29,37,37,50.0
14,Junior Adamu,Freiburg,1.0,0,0,0,5,4,2,1,0,1,0,0,0,6,4,3,57.1
15,Sargis Adamyan,Köln,1.6,1,0,0,1,0,2,0,0,2,0,0,0,8,3,9,25.0
16,Tosin Adarabioyo,Fulham,2.0,0,0,0,1,1,0,0,3,1,0,0,0,1,9,3,75.0
17,Elijah Adebayo,Luton Town,6.5,1,0,0,13,5,8,2,4,0,0,0,0,17,19,24,44.2
18,Karim Adeyemi,Dortmund,4.1,2,0,0,10,8,1,8,2,7,0,0,0,28,7,6,53.8
19,Simon Adingra,Brighton,11.3,2,0,0,13,9,9,27,12,11,0,0,0,58,6,4,60.0
20,Amine Adli,Leverkusen,2.9,1,0,0,6,9,2,11,3,1,0,0,0,8,9,6,60.0
21,Yacine Adli,Milan,3.6,1,0,0,8,3,0,12,6,7,0,1,0,21,6,5,54.5
22,Adson,Nantes,2.6,0,0,0,4,4,0,2,2,6,0,0,0,11,0,2,0.0
23,Michel Aebischer,Bologna,12.0,4,0,0,21,15,0,5,9,13,0,0,0,64,7,9,43.8
24,Emmanuel Agbadou,Reims,10.7,1,0,0,12,4,1,2,23,16,0,0,0,94,17,14,54.8
26,Lucien Agoume,Inter,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
27,Felix Agu,Werder Bremen,1.2,0,0,0,1,1,0,3,1,1,0,0,0,8,2,1,66.7
28,Nayef Aguerd,West Ham,14.7,3,1,1,8,4,0,1,16,8,0,1,0,72,34,23,59.6
29,Ruben Aguilar,Lens,9.5,0,0,0,6,12,2,35,10,10,0,0,0,44,6,15,28.6
30,Naouirou Ahamada,Crystal Palace,1.4,1,0,0,4,4,0,5,1,2,0,0,0,13,1,0,100.0
31,Anel Ahmedhodzic,Sheffield Utd,11.5,4,0,0,18,5,1,4,13,18,0,0,0,50,22,20,52.4
32,Joseph Aidoo,Celta Vigo,4.5,0,0,0,4,0,0,0,4,3,0,0,0,22,14,9,60.9
33,Ola Aina,Nott'ham Forest,9.0,3,0,0,9,11,2,10,6,13,0,0,0,46,10,7,58.8
34,Rayan Ait Nouri,Wolves,9.9,4,0,0,11,21,2,16,11,19,0,0,0,53,10,8,55.6
35,Tosin Aiyegun,Lorient,5.3,0,0,0,6,5,1,5,1,4,0,0,0,13,4,3,57.1
36,Kristoffer Ajer,Brentford,8.1,4,0,0,13,3,1,6,5,9,0,0,0,18,24,7,77.4
37,Ludovic Ajorque,Mainz 05,8.8,1,0,0,17,9,1,3,0,2,0,0,0,29,32,47,40.5
38,Manuel Akanji,Manchester City,12.0,3,1,1,9,12,0,3,9,10,0,0,0,65,12,7,63.2
39,Marley Ake,Udinese,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
40,Nathan Ake,Manchester City,8.2,0,0,0,4,7,0,3,6,8,0,0,0,45,20,6,76.9
