,Player,Squad,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
0,Ismael Aaneba,Strasbourg,0.1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0
1,Patrick van Aanholt,Crystal Palace,19.7,2,0,0,11,3,3,40,30,22,0,0,0,136,11,13,45.8
2,Issah Abbas,Mainz 05,0.2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0.0
3,Yunis Abdelhamid,Reims,32.1,4,1,0,37,22,0,0,61,37,0,1,0,200,92,53,63.4
4,Sabit Abdulai,Getafe,0.7,1,0,0,2,1,0,1,0,0,0,0,0,1,1,3,25.0
5,Mehdi Abeid,Nantes,14.7,5,0,0,31,22,1,40,20,19,0,0,0,108,13,18,41.9
6,Laurent Abergel,Lorient,32.9,5,0,0,44,37,0,26,46,84,1,0,0,231,9,17,34.6
7,Charles Abi,Saint-Étienne,10.1,1,0,0,18,7,7,3,4,2,0,0,0,26,37,59,38.5
8,Matthis Abline,Rennes,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,Pape Abou Cisse,Saint-Étienne,14.0,1,0,0,10,9,1,1,27,13,0,0,0,97,55,15,78.6
10,David Abraham,Eint Frankfurt,13.6,5,1,1,9,6,1,13,17,12,0,0,0,76,31,18,63.3
11,Tammy Abraham,Chelsea,11.6,0,0,0,22,12,4,6,5,5,1,0,0,28,38,28,57.6
12,Amir Abrashi,Freiburg,0.7,0,0,0,4,0,0,0,2,1,0,0,0,6,1,2,33.3
13,Gennaro Acampora,Spezia,4.9,2,0,0,10,12,1,7,4,4,0,0,0,31,3,5,37.5
14,Francesco Acerbi,Lazio,31.3,9,1,1,31,24,2,32,76,32,0,0,0,227,62,25,71.3
15,Ragnar Ache,Eint Frankfurt,1.1,1,0,0,5,1,1,1,1,0,0,0,0,3,9,7,56.3
16,Marcos Acuna,Sevilla,25.9,5,0,0,45,32,2,119,23,42,0,2,0,160,20,33,37.7
17,Che Adams,Southampton,29.6,1,0,0,30,55,19,6,4,16,0,0,0,84,53,133,28.5
18,Tyler Adams,RB Leipzig,20.6,3,0,0,29,29,2,19,29,24,0,0,0,169,21,13,61.8
19,Sargis Adamyan,Hoffenheim,5.3,2,0,0,5,8,3,10,6,4,0,0,0,20,11,11,50.0
20,Tosin Adarabioyo,Fulham,32.8,1,0,0,16,6,2,2,42,19,0,1,1,143,82,38,68.3
21,Bobby Adekanye,Cádiz,0.4,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0.0
22,Yacine Adli,Bordeaux,26.9,6,0,0,39,37,0,53,39,37,0,0,0,172,27,27,50.0
23,Andrea Adorante,Parma,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
24,Adrian,Liverpool,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
26,Martin Agirregabiria,Alavés,17.3,1,0,0,23,23,1,32,27,18,0,0,0,81,19,22,46.3
27,Lucien Agoume,Spezia,8.9,2,0,0,17,8,0,1,15,10,0,0,0,75,12,2,85.7
28,Felix Agu,Werder Bremen,7.8,0,0,0,5,26,1,12,12,9,0,0,0,45,13,11,54.2
29,Kevin Agudelo,Spezia,15.1,4,0,0,20,32,2,11,10,28,0,0,0,60,16,34,32.0
30,Nayef Aguerd,Rennes,35.0,6,0,0,22,29,2,1,47,30,0,1,0,197,121,71,63.0
31,Sergio Aguero,Manchester City,6.2,0,0,0,2,7,1,1,2,1,0,0,0,12,2,4,33.3
32,Ruben Aguilar,Monaco,24.7,6,0,0,39,36,1,118,47,37,1,0,0,139,46,38,54.8
33,Naouirou Ahamada,Stuttgart,2.8,2,1,0,6,9,0,0,1,1,0,1,0,16,0,1,0.0
34,Matteo Ahlinvi,Nîmes,10.0,0,0,0,17,15,1,6,2,20,0,1,0,57,8,13,38.1
35,Jean-Eudes Aholou,Strasbourg,23.8,9,0,0,50,32,0,8,53,25,0,0,0,165,40,30,57.1
36,Jean-Eudes Aholou,Monaco,0.4,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,100.0
37,Joseph Aidoo,Celta Vigo,14.3,3,0,0,13,13,1,1,25,17,0,0,0,89,42,40,51.2
38,Ola Aina,Fulham,29.6,3,0,0,32,25,2,52,45,20,0,0,0,147,31,36,46.3
39,Rayan Ait Nouri,Wolves,15.6,1,0,0,15,19,1,61,15,16,0,1,0,86,5,23,17.9
40,Rayan Ait Nouri,Angers,2.1,0,0,0,2,3,0,4,4,2,0,0,0,8,1,3,25.0
41,Semi Ajayi,West Brom,30.9,3,1,0,28,4,1,7,42,14,0,2,0,161,74,54,57.8
42,Ludovic Ajorque,Strasbourg,33.0,5,0,0,38,46,12,27,11,18,2,0,0,67,166,133,55.5
43,Manuel Akanji,Dortmund,26.1,4,0,0,22,18,0,2,49,22,1,1,0,148,46,30,60.5
44,Carlos Akapo,Cádiz,9.6,3,1,1,10,4,0,18,19,14,0,0,0,49,14,3,82.4
45,Marley Ake,Marseille,1.6,0,0,0,6,5,0,2,0,3,0,0,0,7,4,6,40.0
46,Nathan Ake,Manchester City,8.9,4,0,0,8,4,0,1,9,5,0,1,0,30,24,17,58.5
47,Paul Akouokou,Betis,4.2,5,1,1,11,2,0,2,6,8,0,0,0,29,10,8,55.6
48,Jean-Daniel Akpa-Akpro,Lazio,11.7,9,0,0,31,12,0,4,18,25,0,0,0,70,9,9,50.0
49,Kevin Akpoguma,Hoffenheim,13.2,1,0,0,15,16,0,8,13,12,0,0,0,69,21,28,42.9
50,David Alaba,Bayern Munich,29.7,4,0,0,19,10,0,37,43,21,0,0,0,189,19,18,51.4
52,Sofiane Alakouch,Nîmes,16.7,4,0,0,25,26,1,19,21,33,1,1,0,106,7,13,35.0
53,Jony Alamo,Elche,0.8,0,0,0,0,2,0,0,1,1,0,0,0,7,0,1,0.0
54,Lucas Alario,Leverkusen,13.8,2,0,0,17,17,11,0,2,2,0,0,0,29,38,69,35.5
55,Jordi Alba,Barcelona,33.6,9,0,0,20,15,10,119,49,30,0,0,1,218,4,8,33.3
56,Luis Alberto,Lazio,29.1,5,0,0,19,36,2,150,13,24,0,0,0,209,10,12,45.5
57,Raul Albiol,Villarreal,34.6,7,0,0,13,16,1,6,22,15,0,0,0,175,65,42,60.7
58,Marc Albrighton,Leicester City,19.4,2,0,0,9,19,4,118,17,19,0,0,0,138,10,36,21.7
59,Paco Alcacer,Villarreal,17.2,0,0,0,7,8,17,3,9,3,0,0,0,31,13,44,22.8
60,Pedro Alcala,Cádiz,10.1,2,0,0,12,4,1,0,16,4,0,0,1,34,17,26,39.5
61,Thiago Alcantara,Liverpool,20.6,4,0,0,48,25,0,7,30,36,0,1,0,153,31,31,50.0
62,Ruben Alcaraz,Valladolid,24.1,10,0,0,47,44,0,10,31,29,0,0,0,153,52,46,53.1
63,Omar Alderete,Hertha BSC,14.4,2,0,0,22,5,0,2,21,10,0,0,0,68,32,29,52.5
64,Toby Alderweireld,Tottenham,24.9,2,0,0,17,3,0,1,10,22,0,1,1,117,45,35,56.3
65,Ivan Alejo,Cádiz,9.2,5,0,0,29,22,4,63,3,10,0,0,0,42,13,9,59.1
66,Carles Alena,Barcelona,0.5,1,0,0,4,0,0,0,0,0,0,0,0,1,1,1,50.0
67,Carles Alena,Getafe,15.2,1,0,0,20,26,0,60,2,10,0,0,0,75,14,34,29.2
68,Runar Alex Runarsson,Arsenal,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
69,Trent Alexander-Arnold,Liverpool,33.7,2,0,0,21,9,5,297,49,33,0,1,0,258,8,23,25.8
70,Alfon,Celta Vigo,0.4,0,0,0,0,4,0,0,0,0,0,0,0,2,0,2,0.0
71,Mohamed Ali Cho,Angers,3.9,1,0,0,8,8,0,11,3,7,0,0,0,20,7,9,43.8
72,Ezgjan Alioski,Leeds United,27.3,7,0,0,39,44,6,62,23,31,0,2,0,146,39,44,47.0
73,Rachid Alioui,Angers,0.2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0.0
74,Alisson,Liverpool,33.0,1,0,0,1,6,0,0,2,2,0,1,0,74,12,1,92.3
75,Saturnin Allagbe,Dijon,12.0,2,0,0,2,1,0,0,0,0,0,1,0,14,3,1,75.0
76,Allan,Everton,22.8,6,0,0,37,30,0,4,19,45,0,0,0,187,4,11,26.7
78,Dele Alli,Tottenham,6.9,0,0,0,10,12,1,10,7,11,0,0,0,50,8,11,42.1
79,Miguel Almiron,Newcastle Utd,27.0,3,0,0,18,39,6,39,25,29,0,0,0,163,8,17,32.0
80,Marcos Alonso,Chelsea,10.7,2,0,0,13,12,2,24,12,3,0,0,0,59,23,15,60.5
81,Sergio Alvarez,Eibar,17.4,3,0,0,38,16,0,9,22,25,0,0,0,103,45,45,50.0
82,Yeray Alvarez,Athletic Club,21.6,6,0,0,20,15,1,5,53,12,0,0,0,126,58,45,56.3
83,Bruno Alves,Parma,18.1,3,0,0,20,9,1,8,26,10,0,0,0,74,43,5,89.6
84,Steven Alzate,Brighton,10.0,2,0,0,20,6,1,3,8,8,0,0,0,46,7,12,36.8
85,Ibrahim Amadou,Angers,16.7,6,0,0,34,5,0,4,23,26,0,0,0,98,19,17,52.8
86,Romain Amalfitano,Dijon,1.3,0,0,0,2,1,0,5,1,2,0,0,0,6,1,1,50.0
87,Emmanuel Amankwaa Akurugu,Getafe,0.5,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0.0
88,Daniel Amartey,Leicester City,8.0,3,0,0,3,1,0,1,12,7,0,0,0,60,19,16,54.3
89,Jordan Amavi,Marseille,9.0,3,1,0,13,14,0,10,27,9,1,0,0,46,23,11,67.6
90,Thierry Ambrose,Metz,8.4,4,0,0,22,9,3,19,2,4,0,0,0,33,21,29,42.0
91,Wisdom Amey,Bologna,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
92,Nadiem Amiri,Leverkusen,21.0,5,0,0,21,26,4,68,12,7,0,0,0,109,4,21,16.0
93,Ethan Ampadu,Sheffield Utd,23.2,3,0,0,25,25,1,19,49,36,0,1,1,114,52,29,64.2
94,Sofyan Amrabat,Fiorentina,27.1,7,0,0,59,44,0,16,23,22,0,0,0,188,18,26,40.9
95,Jon Ander Garrido,Cádiz,8.9,1,0,0,13,6,0,2,14,10,1,0,0,45,22,26,45.8
96,Joachim Andersen,Fulham,30.3,7,1,0,39,15,1,12,44,19,0,2,0,172,98,44,69.0
97,Joachim Andersen,Lyon,2.1,1,0,0,5,2,0,0,2,1,0,0,0,10,4,0,100.0
98,Djavan Anderson,Lazio,0.8,0,0,0,1,1,0,2,1,0,0,0,0,4,0,0,0.0
99,Elliot Anderson,Newcastle Utd,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
100,Felipe Anderson,West Ham,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
101,Sebastian Andersson,Köln,12.5,1,0,0,21,7,7,2,2,2,1,0,0,23,79,63,55.6
102,Nicolas Andrade,Udinese,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
104,Benjamin Andre,Lille,32.1,10,0,0,70,53,0,14,76,68,0,0,0,276,84,83,50.3
105,Marcos Andre,Valladolid,13.1,3,0,0,25,26,7,9,2,2,1,0,0,29,40,84,32.3
106,Robert Andrich,Union Berlin,28.1,5,1,0,50,34,2,17,51,24,0,0,1,176,46,25,64.8
107,Victorien Angban,Metz,18.6,5,0,0,27,27,0,9,19,24,0,0,0,132,13,18,41.9
108,Angel,Granada,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
109,Jose Angel,Eibar,10.0,3,0,0,8,4,0,59,13,8,0,0,0,81,17,12,58.6
110,Miguel Angel Rubio,Valladolid,1.5,0,0,0,2,1,1,0,3,0,0,0,0,10,9,8,52.9
111,Angelino,RB Leipzig,24.0,2,0,0,22,27,7,184,30,19,0,0,0,110,12,22,35.3
112,Davide Angelo Ghislandi,Atalanta,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
113,Philip Ankhrah,Hellas Verona,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
114,Cristian Ansaldi,Torino,21.6,1,0,0,24,22,0,177,16,33,0,1,0,99,7,14,33.3
115,Waldemar Anton,Stuttgart,30.1,3,0,0,24,34,1,11,47,20,0,1,0,228,50,34,59.5
116,Michail Antonio,West Ham,21.9,3,0,0,29,40,15,31,7,4,1,0,0,51,71,88,44.7
117,Jose Antonio Miranda,Getafe,0.3,1,0,0,2,2,0,2,0,0,0,0,0,1,2,0,100.0
118,Valentin Antov,Bologna,2.6,1,0,0,2,2,0,0,4,2,0,0,0,11,3,5,37.5
119,Houssem Aouar,Lyon,19.8,3,1,0,20,23,3,19,17,12,0,0,0,90,4,17,19.0
