,# Pl,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
0,1,9,9,810,9.0,13,1.44,32,21,65.6,2,2,5,1,11.1,2,2,0,0,0.0
1,2,9,9,810,9.0,24,2.67,54,29,61.1,0,3,6,0,0.0,4,3,1,0,25.0
2,2,8,8,720,8.0,6,0.75,16,10,62.5,6,2,0,4,50.0,0,0,0,0,
3,2,8,8,720,8.0,12,1.5,33,22,63.6,5,1,2,2,25.0,0,0,0,0,
4,2,8,8,720,8.0,8,1.0,27,20,70.4,4,1,3,5,62.5,0,0,0,0,
5,1,9,9,810,9.0,9,1.0,40,31,77.5,5,2,2,5,55.6,0,0,0,0,
6,1,8,8,720,8.0,8,1.0,30,22,73.3,6,1,1,3,37.5,0,0,0,0,
7,1,7,7,630,7.0,17,2.43,34,18,61.8,1,2,4,0,0.0,4,4,0,0,0.0
8,1,9,9,810,9.0,10,1.11,31,21,67.7,6,3,0,4,44.4,0,0,0,0,
9,1,7,7,630,7.0,6,0.86,14,8,64.3,5,2,0,3,42.9,1,1,0,0,0.0
10,3,9,9,810,9.0,13,1.44,42,30,73.8,3,4,2,3,33.3,2,2,0,0,0.0
11,1,7,7,630,7.0,19,2.71,50,29,64.0,0,4,3,1,14.3,3,1,2,0,66.7
12,1,8,8,720,8.0,6,0.75,26,20,76.9,2,5,1,4,50.0,1,0,0,1,
13,1,8,8,720,8.0,18,2.25,51,33,68.6,0,3,5,1,12.5,3,2,1,0,33.3
14,2,8,8,720,8.0,12,1.5,35,23,68.6,1,4,3,1,12.5,1,1,0,0,0.0
15,1,8,8,720,8.0,7,0.87,32,25,78.1,4,3,1,3,37.5,0,0,0,0,
16,2,8,8,720,8.0,16,2.0,37,22,62.2,5,1,2,0,0.0,2,2,0,0,0.0
17,1,8,8,720,8.0,20,2.5,47,28,61.7,1,1,6,0,0.0,2,2,0,0,0.0
18,1,9,9,810,9.0,12,1.33,50,38,76.0,2,3,4,2,22.2,0,0,0,0,
19,2,8,8,720,8.0,16,2.0,32,17,50.0,0,2,6,2,25.0,1,0,0,1,
20,1,9,9,810,9.0,15,1.67,40,24,65.0,1,3,5,0,0.0,2,1,1,0,50.0
21,1,8,8,720,8.0,7,0.87,28,21,78.6,3,2,3,3,37.5,1,1,0,0,0.0
22,1,7,7,630,7.9,12,1.71,40,28,70.0,0,2,5,1,14.3,0,0,0,0,
23,1,8,8,720,8.0,7,0.87,27,20,81.5,3,3,2,4,50.0,2,2,0,0,0.0
24,1,7,7,630,7.0,19,2.71,52,32,63.5,2,1,4,0,0.0,1,0,1,0,100.0
25,1,7,7,630,7.0,8,1.14,30,22,83.3,5,2,0,2,28.6,3,3,0,0,0.0
26,1,7,7,630,7.0,5,0.71,28,22,89.3,2,4,1,3,42.9,3,2,1,0,33.3
27,3,8,8,720,8.0,16,2.0,40,24,62.5,1,1,6,2,25.0,2,1,1,0,50.0
28,1,8,8,720,8.0,12,1.5,29,18,62.1,2,1,5,1,12.5,1,1,0,0,0.0
29,2,8,8,720,8.0,11,1.37,37,26,75.7,5,2,1,2,25.0,2,2,0,0,0.0
30,1,7,7,630,7.0,13,1.86,31,18,58.1,3,1,3,3,42.9,0,0,0,0,
31,2,8,8,720,8.0,11,1.37,48,37,77.1,3,3,2,1,12.5,0,0,0,0,
32,1,8,8,720,8.0,13,1.62,43,31,76.7,3,2,3,3,37.5,3,3,0,0,0.0
33,2,8,8,720,8.0,12,1.5,25,14,52.0,2,2,4,1,12.5,0,0,0,0,
34,1,9,9,810,9.0,15,1.67,46,30,71.7,2,4,3,3,33.3,3,2,1,0,33.3
35,1,9,9,810,9.0,11,1.22,35,24,74.3,7,1,1,3,33.3,2,2,0,0,0.0
36,2,9,9,810,9.0,23,2.56,53,31,56.6,1,3,5,0,0.0,1,0,0,1,
37,1,7,7,630,7.0,15,2.14,50,34,76.0,2,1,4,1,14.3,5,3,1,1,25.0
38,1,8,8,720,8.0,8,1.0,32,24,78.1,2,2,4,3,37.5,1,1,0,0,0.0
39,1,7,7,630,7.0,11,1.57,41,30,73.2,5,0,2,1,14.3,1,0,1,0,100.0
40,1,8,8,720,8.0,5,0.62,21,16,81.0,6,1,1,5,62.5,1,1,0,0,0.0
41,2,8,8,720,8.0,6,0.75,24,19,75.0,5,2,1,5,62.5,0,0,0,0,
42,1,7,7,630,7.0,14,2.0,35,21,60.0,0,1,6,0,0.0,0,0,0,0,
43,1,9,9,810,9.0,8,0.89,39,31,82.1,3,2,4,2,22.2,2,1,0,1,0.0
44,1,8,8,720,8.0,12,1.5,38,26,68.4,3,1,4,1,12.5,0,0,0,0,
45,1,8,8,720,8.0,12,1.5,42,32,71.4,2,3,3,2,25.0,0,0,0,0,
46,1,8,8,720,8.0,10,1.25,30,20,73.3,3,3,2,2,25.0,2,2,0,0,0.0
47,1,8,8,720,8.0,13,1.62,34,21,70.6,2,2,4,1,12.5,3,3,0,0,0.0
48,1,7,7,630,7.0,6,0.86,26,20,76.9,6,1,0,3,42.9,0,0,0,0,
49,1,8,8,720,8.0,10,1.25,30,20,66.7,3,3,2,3,37.5,0,0,0,0,
50,1,8,8,720,8.0,9,1.13,37,29,75.7,5,2,1,1,12.5,0,0,0,0,
51,1,8,8,720,8.0,18,2.25,54,36,72.2,1,4,3,1,12.5,3,3,0,0,0.0
52,1,8,8,720,8.0,15,1.87,40,25,65.0,1,1,6,0,0.0,1,1,0,0,0.0
53,2,8,8,720,8.0,16,2.0,41,25,63.4,0,3,5,2,25.0,1,1,0,0,0.0
54,2,7,7,630,7.0,16,2.29,48,32,68.8,1,3,3,0,0.0,1,1,0,0,0.0
55,1,7,7,630,7.0,19,2.71,34,16,47.1,0,2,5,0,0.0,1,1,0,0,0.0
56,1,9,9,810,9.0,15,1.67,37,22,70.3,1,5,3,2,22.2,4,4,0,0,0.0
57,1,8,8,720,8.0,6,0.75,16,11,62.5,6,0,2,3,37.5,0,0,0,0,
58,1,8,8,720,8.0,12,1.5,38,27,68.4,4,0,4,2,25.0,0,0,0,0,
59,1,8,8,720,8.0,11,1.37,33,22,66.7,3,3,2,3,37.5,0,0,0,0,
60,1,8,8,720,8.0,14,1.75,50,36,72.0,2,2,4,2,25.0,0,0,0,0,
61,2,8,8,719,8.0,8,1.0,28,20,75.0,7,0,1,4,50.0,1,1,0,0,0.0
62,1,8,8,720,8.0,11,1.37,30,19,70.0,5,2,1,2,25.0,2,2,0,0,0.0
63,1,7,7,630,7.9,9,1.29,35,26,74.3,2,3,2,2,28.6,1,0,1,0,100.0
64,2,8,8,720,8.0,7,0.87,38,31,86.8,3,3,2,4,50.0,2,2,0,0,0.0
65,3,8,8,720,8.0,15,1.87,48,33,72.9,3,2,3,1,12.5,3,2,0,1,0.0
66,1,8,8,720,8.0,9,1.13,19,10,57.9,4,2,2,3,37.5,1,1,0,0,0.0
67,1,8,8,720,8.0,9,1.13,28,19,67.9,4,1,3,3,37.5,0,0,0,0,
68,1,8,8,720,8.0,4,0.5,19,13,78.9,4,4,0,5,62.5,2,0,2,0,100.0
69,1,8,8,720,8.0,10,1.25,33,23,72.7,2,3,3,2,25.0,1,1,0,0,0.0
70,2,9,9,810,9.0,14,1.56,34,19,61.8,3,1,5,3,33.3,2,1,1,0,50.0
71,1,8,8,720,8.0,7,0.87,29,22,82.8,4,3,1,3,37.5,2,2,0,0,0.0
72,1,9,9,810,9.0,13,1.44,46,33,71.7,3,4,2,4,44.4,0,0,0,0,
73,1,7,7,630,7.0,6,0.86,24,18,79.2,4,2,1,4,57.1,1,1,0,0,0.0
74,2,9,9,810,9.0,6,0.67,30,24,80.0,8,0,1,5,55.6,0,0,0,0,
75,1,9,9,810,9.0,12,1.33,42,31,76.2,4,3,2,3,33.3,2,2,0,0,0.0
76,1,8,8,720,8.0,11,1.37,33,22,66.7,4,1,3,2,25.0,0,0,0,0,
77,1,8,8,720,8.0,10,1.25,32,22,68.8,2,5,1,2,25.0,0,0,0,0,
78,1,8,8,720,8.0,12,1.5,21,9,52.4,3,2,3,2,25.0,2,2,0,0,0.0
79,1,8,8,720,8.0,17,2.12,40,23,65.0,0,3,5,0,0.0,3,3,0,0,0.0
80,2,8,8,720,8.0,14,1.75,31,18,61.3,3,1,4,0,0.0,3,2,0,1,0.0
81,3,8,8,720,8.0,12,1.5,26,15,57.7,2,2,4,2,25.0,1,1,0,0,0.0
82,1,8,8,720,8.0,22,2.75,66,45,66.7,0,1,7,0,0.0,1,0,0,1,
83,1,8,8,720,8.0,11,1.37,32,21,65.6,3,1,4,2,25.0,0,0,0,0,
84,1,7,7,630,7.0,8,1.14,32,25,75.0,6,0,1,3,42.9,0,0,0,0,
85,1,8,8,720,8.0,9,1.13,28,19,75.0,2,3,3,4,50.0,2,2,0,0,0.0
86,1,8,8,720,8.0,8,1.0,35,28,82.9,6,2,0,3,37.5,2,2,0,0,0.0
87,1,8,8,720,8.0,9,1.13,30,21,80.0,2,4,2,2,25.0,3,3,0,0,0.0
88,1,8,8,720,8.0,12,1.5,29,17,65.5,0,5,3,3,37.5,2,2,0,0,0.0
89,1,7,7,630,7.0,14,2.0,33,17,60.6,2,0,5,0,0.0,3,1,2,0,66.7
