,Player,Squad,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,Expected - xA,Expected - A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Max Aarons,Bournemouth,0.2,17,20,85.0,278,76,8,9,88.9,7,7,100.0,1,3,33.3,0,0.0,0.0,0.0,0,2,0,0,4
1,Rodrigo Abajas,Valencia,0.7,17,29,58.6,268,110,11,14,78.6,4,7,57.1,2,7,28.6,0,0.0,0.0,0.0,0,0,0,0,2
2,James Abankwah,Udinese,0.2,12,14,85.7,213,52,4,4,100.0,6,7,85.7,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0
3,Keyliane Abdallah,Marseille,0.0,2,2,100.0,41,0,0,0,0.0,2,2,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
4,Yunis Abdelhamid,Saint-Étienne,8.4,307,362,84.8,5631,1796,98,108,90.7,187,206,90.8,17,38,44.7,0,0.0,0.0,0.0,1,24,0,0,19
5,Himad Abdelli,Angers,12.8,600,738,81.3,8977,2705,330,375,88.0,219,257,85.2,29,66,43.9,1,2.0,1.5,-1.0,21,67,19,0,91
6,Mohamed Abdelmoneim,Nice,5.8,240,275,87.3,4226,1375,98,106,92.5,124,138,89.9,13,23,56.5,0,0.0,0.1,0.0,0,14,1,0,23
7,Ali Abdi,Nice,6.5,202,280,72.1,3131,1127,103,128,80.5,80,105,76.2,11,26,42.3,2,1.2,1.0,+0.8,10,7,8,2,16
8,Saud Abdulhamid,Roma,0.1,8,10,80.0,157,34,2,3,66.7,6,6,100.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,2
9,Abel,Osasuna,9.4,275,400,68.8,4718,2172,142,160,88.8,101,144,70.1,25,70,35.7,0,0.3,0.5,-0.3,5,26,5,4,35
10,Nabil Aberdin,Getafe,2.9,36,61,59.0,680,267,12,20,60.0,12,19,63.2,8,13,61.5,0,0.0,0.1,0.0,1,7,2,0,6
11,Oliver Abildgaard,Como,0.1,1,1,100.0,21,7,0,0,0.0,1,1,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
12,Matthis Abline,Nantes,10.6,121,175,69.1,1900,345,56,78,71.8,50,65,76.9,8,13,61.5,0,0.8,1.2,-0.8,8,10,8,0,25
13,Abner,Lyon,7.2,321,393,81.7,4699,2056,186,205,90.7,103,126,81.7,19,32,59.4,0,0.4,1.5,-0.4,7,26,6,1,34
14,Zakaria Aboukhlal,Toulouse,11.1,124,199,62.3,1567,471,81,109,74.3,35,62,56.5,2,6,33.3,2,1.0,1.0,+1.0,3,7,6,1,15
15,Abdel Abqar,Alavés,12.5,298,413,72.2,6647,2578,88,99,88.9,157,180,87.2,51,120,42.5,1,0.2,0.3,+0.8,5,32,6,1,49
16,Tammy Abraham,Roma,0.0,1,3,33.3,44,32,0,1,0.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1
17,Tammy Abraham,Milan,4.3,43,61,70.5,585,115,26,35,74.3,15,19,78.9,1,2,50.0,1,0.8,0.6,+0.2,5,2,3,0,5
18,Federico Accornero,Genoa,0.1,4,6,66.7,55,19,2,3,66.7,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
19,Francesco Acerbi,Inter,7.4,555,586,94.7,10328,2924,183,195,93.8,330,339,97.3,35,40,87.5,1,0.2,0.4,+0.8,3,29,3,2,29
20,Akor Adams,Montpellier,9.2,79,130,60.8,1078,134,46,66,69.7,26,41,63.4,2,8,25.0,1,0.7,0.1,+0.3,10,6,0,0,5
21,Che Adams,Torino,9.5,133,186,71.5,1964,318,73,93,78.5,45,59,76.3,7,14,50.0,1,1.0,1.5,0.0,10,10,2,0,8
22,Tyler Adams,Bournemouth,2.8,98,116,84.5,1557,355,47,53,88.7,46,53,86.8,3,5,60.0,0,0.1,0.0,-0.1,2,7,0,0,8
23,Junior Adamu,Freiburg,8.9,112,176,63.6,1344,110,68,98,69.4,29,44,65.9,1,2,50.0,1,1.4,1.5,-0.4,13,3,2,0,5
24,Tosin Adarabioyo,Chelsea,1.9,138,151,91.4,2275,809,61,63,96.8,73,75,97.3,3,10,30.0,0,0.0,0.0,0.0,1,1,0,0,2
26,Martin Adeline,Reims,0.3,8,10,80.0,138,11,3,3,100.0,3,4,75.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,0
27,Karim Adeyemi,Dortmund,3.4,60,82,73.2,816,94,32,42,76.2,22,26,84.6,0,0,0.0,3,1.7,0.6,+1.3,9,0,3,0,3
28,Simon Adingra,Brighton,2.8,68,97,70.1,917,180,47,55,85.5,17,27,63.0,3,7,42.9,1,0.6,0.9,+0.4,3,1,2,0,5
29,Amine Adli,Leverkusen,2.3,92,120,76.7,1182,259,61,72,84.7,24,32,75.0,3,9,33.3,0,0.1,0.8,-0.1,2,2,7,2,9
30,Yacine Adli,Fiorentina,5.5,299,367,81.5,5965,1960,130,143,90.9,112,130,86.2,55,84,65.5,3,1.2,0.8,+1.8,13,40,4,0,40
31,Adryelson,Lyon,0.0,1,3,33.3,21,19,0,1,0.0,1,2,50.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,1
32,Vasilije Adzic,Juventus,0.2,9,10,90.0,167,18,4,4,100.0,4,4,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,1,0,1
33,Michel Aebischer,Bologna,4.2,170,196,86.7,3073,764,76,83,91.6,74,82,90.2,19,22,86.4,0,0.3,0.5,-0.3,6,17,3,1,19
34,Oladapo Afolayan,St. Pauli,8.7,144,207,69.6,2654,671,62,78,79.5,57,78,73.1,22,28,78.6,0,0.8,0.5,-0.8,11,13,7,6,18
35,Emmanuel Agbadou,Reims,12.0,704,793,88.8,14221,5920,255,271,94.1,352,367,95.9,90,143,62.9,0,0.3,0.3,-0.3,8,63,3,0,73
36,Asher Agbinone,Crystal Palace,0.1,2,3,66.7,32,0,1,1,100.0,1,2,50.0,0,0,0.0,0,0.0,0.0,0.0,1,0,0,0,0
37,Julen Agirrezabala,Athletic Club,11.4,236,345,68.4,6148,4619,44,44,100.0,139,139,100.0,53,158,33.5,0,0.0,0.0,0.0,0,1,0,0,0
38,Lucien Agoume,Sevilla,7.7,333,417,79.9,5134,1413,181,204,88.7,114,140,81.4,26,42,61.9,0,0.6,0.4,-0.6,7,29,3,0,32
39,Felix Agu,Werder Bremen,8.9,306,378,81.0,4868,1462,148,171,86.5,128,156,82.1,18,26,69.2,0,0.9,1.1,-0.9,11,9,14,8,16
40,Alvaro Aguado,Espanyol,3.5,125,164,76.2,2375,730,40,55,72.7,69,79,87.3,14,22,63.6,0,0.0,0.2,0.0,2,19,7,3,24
41,Nayef Aguerd,Real Sociedad,10.2,656,734,89.4,12488,4359,259,271,95.6,320,341,93.8,71,106,67.0,0,0.1,0.1,-0.1,3,44,1,0,32
42,Ruben Aguilar,Lens,3.0,165,205,80.5,2217,886,106,117,90.6,40,57,70.2,9,12,75.0,1,0.7,0.6,+0.3,2,8,3,0,14
43,Honest Ahanor,Genoa,0.9,12,17,70.6,275,122,3,5,60.0,7,7,100.0,2,4,50.0,0,0.0,0.0,0.0,0,0,0,0,2
44,Erik Ahlstrand,St. Pauli,0.3,7,8,87.5,93,12,4,4,100.0,2,2,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,1
45,Jean-Eudes Aholou,Angers,10.4,321,379,84.7,5147,1389,154,173,89.0,153,167,91.6,8,20,40.0,0,0.2,0.2,-0.2,5,19,3,0,38
46,Joseph Aidoo,Celta Vigo,0.0,6,7,85.7,126,81,1,1,100.0,5,5,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,1
47,Ayman Aiki,Saint-Étienne,1.0,10,17,58.8,143,71,7,10,70.0,2,4,50.0,1,2,50.0,0,0.0,0.0,0.0,0,1,1,0,4
48,Ola Aina,Nott'ham Forest,12.6,435,581,74.9,6682,2828,246,278,88.5,154,211,73.0,24,61,39.3,0,0.4,0.8,-0.4,5,38,8,5,51
49,Rayan Ait-Nouri,Wolves,12.2,504,601,83.9,7253,2011,301,326,92.3,178,203,87.7,12,36,33.3,2,1.0,0.6,+1.0,11,31,7,2,40
50,Kristoffer Ajer,Brentford,7.1,236,300,78.7,3792,1412,125,140,89.3,89,117,76.1,15,24,62.5,0,0.2,0.1,-0.2,2,20,2,2,25
52,Ludovic Ajorque,Brest,9.8,182,253,71.9,2634,342,110,140,78.6,52,74,70.3,12,15,80.0,1,0.9,0.5,+0.1,13,16,4,0,13
53,Manuel Akanji,Manchester City,10.7,826,876,94.3,13402,3424,403,421,95.7,378,393,96.2,37,49,75.5,0,0.3,0.9,-0.3,6,89,10,2,87
54,Umit Akdag,Toulouse,2.5,111,149,74.5,1858,771,53,70,75.7,53,62,85.5,5,12,41.7,0,0.0,0.0,0.0,1,11,1,0,19
55,Nathan Ake,Manchester City,2.3,169,184,91.8,2595,983,103,105,98.1,57,61,93.4,9,15,60.0,0,0.0,0.1,0.0,0,9,0,0,17
56,Ilias Akhomach,Villarreal,6.5,136,185,73.5,2161,534,76,88,86.4,46,63,73.0,8,14,57.1,0,1.0,1.7,-1.0,9,5,8,2,12
57,Sergio Akieme,Reims,9.9,295,382,77.2,4014,1011,180,195,92.3,100,129,77.5,6,33,18.2,1,0.6,0.4,+0.4,6,7,5,4,20
58,Maghnes Akliouche,Monaco,9.4,345,440,78.4,4680,1553,216,240,90.0,103,135,76.3,11,24,45.8,3,1.9,2.1,+1.1,14,31,17,0,64
59,Clement Akpa,Auxerre,10.0,375,473,79.3,7246,2788,141,161,87.6,186,210,88.6,42,86,48.8,0,0.4,0.5,-0.4,7,27,9,5,37
60,David Akpan Ankeye,Genoa,0.5,6,7,85.7,53,28,3,4,75.0,1,1,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,1,0,1
61,Kevin Akpoguma,Hoffenheim,10.1,467,529,88.3,8463,3142,188,199,94.5,232,254,91.3,39,58,67.2,0,0.1,0.2,-0.1,2,51,4,0,39
62,Andreas Albers,St. Pauli,0.5,8,21,38.1,129,18,5,12,41.7,2,4,50.0,1,2,50.0,0,0.1,0.0,-0.1,2,0,0,0,1
63,Raul Albiol,Villarreal,10.2,501,569,88.0,9956,3990,158,168,94.0,286,308,92.9,54,86,62.8,0,0.0,0.1,0.0,0,16,0,0,19
64,Carlos Alcaraz,Southampton,0.1,13,13,100.0,221,66,7,7,100.0,4,4,100.0,2,2,100.0,0,0.1,0.0,-0.1,1,4,1,1,6
65,Omar Alderete,Getafe,14.0,368,540,68.1,8681,4090,92,116,79.3,191,241,79.3,82,159,51.6,0,0.8,0.6,-0.8,8,72,8,0,61
66,Carles Alena,Getafe,3.5,65,82,79.3,1050,220,33,37,89.2,22,28,78.6,6,10,60.0,0,0.0,0.1,0.0,1,8,1,0,8
67,Trent Alexander-Arnold,Liverpool,10.4,466,667,69.9,8871,3565,214,249,85.9,177,242,73.1,68,152,44.7,1,2.7,3.1,-1.7,21,42,18,5,54
68,Alfon,Celta Vigo,2.9,50,72,69.4,660,137,33,37,89.2,14,22,63.6,1,4,25.0,0,0.8,0.5,-0.8,7,1,2,1,7
69,Mohamed Ali Cho,Nice,8.5,159,233,68.2,2198,574,101,124,81.5,47,69,68.1,6,18,33.3,1,2.2,1.8,-1.2,14,7,14,1,25
70,Faride Alidou,Hellas Verona,0.8,16,20,80.0,198,42,7,7,100.0,4,6,66.7,1,2,50.0,0,0.0,0.0,0.0,1,0,1,1,1
71,Alisson,Liverpool,5.9,180,216,83.3,3601,2019,62,62,100.0,97,99,98.0,20,53,37.7,0,0.0,0.0,0.0,0,2,0,0,0
72,Tadeo Allende,Celta Vigo,0.0,1,3,33.3,7,1,1,2,50.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
73,Jim Allevinah,Angers,7.6,139,187,74.3,2013,469,79,97,81.4,49,68,72.1,6,11,54.5,2,1.2,0.6,+0.8,7,10,6,1,28
74,Domingos Andre Ribeiro Almeida,Valencia,5.2,197,239,82.4,3392,844,94,100,94.0,76,87,87.4,20,32,62.5,0,0.3,1.2,-0.3,9,28,7,2,37
75,Iker Almena,Girona,0.5,23,32,71.9,328,34,13,14,92.9,10,14,71.4,0,1,0.0,1,0.7,0.4,+0.3,2,0,0,0,2
76,Miguel Almiron,Newcastle Utd,1.2,30,39,76.9,419,144,23,24,95.8,6,9,66.7,1,3,33.3,0,0.2,0.2,-0.2,1,3,1,0,5
78,Pontus Almqvist,Parma,3.9,97,130,74.6,1313,232,68,80,85.0,22,28,78.6,4,5,80.0,1,0.9,0.5,+0.1,3,3,3,0,5
79,Marcos Alonso,Celta Vigo,10.0,672,762,88.2,11635,4440,282,300,94.0,334,354,94.4,43,80,53.8,0,0.2,0.4,-0.2,4,72,6,1,67
80,Giorgio Altare,Venezia,4.0,163,208,78.4,3052,1087,52,59,88.1,100,120,83.3,9,23,39.1,0,0.1,0.1,-0.1,1,9,1,1,11
81,Adria Altimira,Leganés,6.6,168,209,80.4,2859,760,87,96,90.6,64,79,81.0,16,28,57.1,0,0.0,0.2,0.0,1,18,2,0,17
82,Sergi Altimira,Betis,9.1,489,553,88.4,8042,1832,243,265,91.7,193,207,93.2,40,50,80.0,1,0.9,0.7,+0.1,8,40,7,0,47
83,Edson Alvarez,West Ham,5.0,215,250,86.0,3546,932,111,123,90.2,83,93,89.2,19,26,73.1,0,0.1,0.3,-0.1,4,24,3,0,19
84,Hugo Alvarez,Celta Vigo,11.6,535,670,79.9,8161,2107,292,329,88.8,211,252,83.7,21,41,51.2,1,0.6,1.1,+0.4,10,17,10,2,35
85,Julian Alvarez,Atlético Madrid,9.5,234,299,78.3,3157,723,145,167,86.8,65,80,81.3,10,18,55.6,2,1.4,0.8,+0.6,12,10,11,1,25
86,Yeray Alvarez,Athletic Club,8.0,398,486,81.9,8263,2819,106,122,86.9,250,275,90.9,41,80,51.3,0,0.0,0.1,0.0,2,30,2,1,54
87,Skelly Alvero,Werder Bremen,1.1,22,31,71.0,383,34,10,14,71.4,11,13,84.6,1,2,50.0,0,0.0,0.0,0.0,0,0,1,0,1
88,Selim Amallah,Valladolid,7.5,140,186,75.3,2404,785,77,82,93.9,42,53,79.2,18,36,50.0,1,0.2,0.4,+0.8,5,18,3,0,26
89,Amath,Valladolid,3.3,50,68,73.5,789,235,28,32,87.5,14,17,82.4,5,10,50.0,1,0.2,0.1,+0.8,4,4,3,1,10
90,Jordan Amavi,Brest,8.3,368,503,73.2,5964,2134,174,206,84.5,165,224,73.7,21,48,43.8,0,0.2,0.2,-0.2,6,27,4,0,32
91,Aurele Amenda,Eint Frankfurt,0.8,41,47,87.2,824,286,12,13,92.3,22,23,95.7,6,8,75.0,0,0.3,0.3,-0.3,1,0,0,0,1
92,Kelvin Amian,Nantes,7.9,255,305,83.6,3894,1621,138,145,95.2,98,111,88.3,12,31,38.7,0,0.3,0.5,-0.3,6,20,7,2,30
93,Michael Amir Murillo,Marseille,10.8,555,643,86.3,8929,2891,261,277,94.2,266,306,86.9,22,36,61.1,0,0.4,0.7,-0.4,9,41,6,0,39
94,Nadiem Amiri,Mainz 05,10.1,499,663,75.3,9378,3828,208,238,87.4,207,243,85.2,72,146,49.3,2,3.3,4.5,-1.3,26,73,21,3,75
95,Samuel Amo-Ameyaw,Southampton,0.1,5,5,100.0,68,13,4,4,100.0,1,1,100.0,0,0,0.0,0,0.1,0.1,-0.1,1,0,1,1,0
96,Mathis Amougou,Saint-Étienne,7.5,151,195,77.4,2464,877,74,86,86.0,59,76,77.6,12,19,63.2,0,0.1,0.1,-0.1,3,13,3,0,29
97,Mohamed Amoura,Wolfsburg,9.0,143,210,68.1,2207,455,80,107,74.8,42,56,75.0,13,16,81.3,5,1.7,1.7,+3.3,14,11,9,2,16
98,Sofyan Amrabat,Fiorentina,2.0,112,133,84.2,2140,528,46,50,92.0,50,59,84.7,13,20,65.0,0,0.1,0.1,-0.1,2,10,0,0,14
99,Joachim Andersen,Crystal Palace,1.0,61,83,73.5,1227,526,19,21,90.5,31,37,83.8,9,21,42.9,0,0.0,0.0,0.0,0,9,1,0,4
100,Joachim Andersen,Fulham,7.7,458,549,83.4,9727,3848,137,149,91.9,246,261,94.3,72,129,55.8,0,0.2,0.1,-0.2,1,56,1,0,35
101,Elliot Anderson,Nott'ham Forest,7.8,286,358,79.9,4785,1586,147,161,91.3,113,138,81.9,22,41,53.7,3,1.8,1.3,+1.2,17,29,5,2,39
102,Andre,Wolves,5.9,234,249,94.0,3948,987,109,113,96.5,101,104,97.1,18,22,81.8,0,0.1,0.2,-0.1,3,17,1,0,16
104,Benjamin Andre,Lille,10.9,572,697,82.1,9721,2660,276,310,89.0,236,271,87.1,51,80,63.8,1,0.8,0.8,+0.2,8,67,9,0,74
105,Marcos Andre,Valladolid,3.3,34,49,69.4,638,112,19,22,86.4,8,15,53.3,6,6,100.0,0,0.0,0.1,0.0,0,3,0,0,4
106,Robert Andrich,Leverkusen,8.3,450,494,91.1,7028,1589,261,276,94.6,150,162,92.6,26,34,76.5,0,0.1,0.5,-0.1,2,39,4,0,36
107,Angelino,Roma,13.0,748,915,81.7,13593,4850,318,352,90.3,352,408,86.3,72,132,54.5,0,1.0,1.4,-1.0,17,80,17,7,87
108,Lorenzo Anghele,Juventus,0.1,4,4,100.0,82,12,2,2,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1
109,Faustino Anjorin,Empoli,5.8,172,215,80.0,3119,1027,73,84,86.9,79,90,87.8,17,33,51.5,1,0.8,0.7,+0.2,7,20,6,1,25
110,Waldemar Anton,Dortmund,8.7,815,889,91.7,15424,4340,286,300,95.3,460,486,94.7,66,91,72.5,0,0.0,0.3,0.0,1,48,2,1,49
111,Michail Antonio,West Ham,9.0,111,176,63.1,2155,419,49,66,74.2,37,58,63.8,22,31,71.0,1,1.6,0.9,-0.6,9,11,6,2,18
112,Antoniu,Espanyol,0.7,6,16,37.5,70,15,4,7,57.1,2,4,50.0,0,2,0.0,0,0.1,0.0,-0.1,1,1,0,0,0
113,Antony,Manchester Utd,0.3,5,9,55.6,56,0,5,7,71.4,0,1,0.0,0,0,0.0,0,0.1,0.1,-0.1,1,0,0,0,0
114,Anuar,Valladolid,4.7,57,85,67.1,897,127,21,31,67.7,26,35,74.3,4,8,50.0,0,0.2,0.2,-0.2,2,1,0,0,2
115,Dennis Appiah,Saint-Étienne,9.3,292,409,71.4,4951,2325,148,173,85.5,120,154,77.9,22,54,40.7,0,0.9,1.3,-0.9,6,25,11,4,34
116,Aritz Arambarri,Leganés,2.0,49,67,73.1,1025,258,11,13,84.6,34,41,82.9,4,12,33.3,0,0.0,0.0,0.0,0,1,0,0,2
117,Mauro Arambarri,Getafe,10.7,198,291,68.0,3565,843,84,118,71.2,83,110,75.5,23,42,54.8,0,0.1,0.1,-0.1,4,24,1,0,26
118,Jon Aramburu,Real Sociedad,10.3,460,592,77.7,6971,2654,235,262,89.7,184,238,77.3,22,49,44.9,0,0.8,1.0,-0.8,10,35,6,5,39
119,Julian Araujo,Bournemouth,3.9,131,166,78.9,2297,759,60,67,89.6,61,71,85.9,9,22,40.9,0,0.0,0.0,0.0,0,15,1,0,14
120,Cameron Archer,Southampton,7.8,81,100,81.0,1087,115,50,58,86.2,24,29,82.8,2,3,66.7,0,0.2,0.1,-0.2,1,2,2,0,4
121,Carlens Arcus,Angers,11.0,349,442,79.0,5857,2069,169,192,88.0,146,184,79.3,30,51,58.8,0,0.4,0.5,-0.4,8,23,10,6,25
122,Alphonse Areola,West Ham,7.5,211,289,73.0,5752,4223,46,46,100.0,97,102,95.1,67,136,49.3,0,0.0,0.0,0.0,0,4,0,0,0
123,Adu Ares,Athletic Club,0.2,5,9,55.6,64,15,3,5,60.0,2,3,66.7,0,0,0.0,0,0.0,0.0,0.0,0,0,1,0,3
124,Jesus Areso,Osasuna,13.8,412,600,68.7,6829,3381,201,228,88.2,165,231,71.4,36,90,40.0,1,1.1,1.2,-0.1,12,40,24,17,39
125,David Arguelles,Getafe,0.1,3,5,60.0,25,2,3,4,75.0,0,0,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
126,Joe Aribo,Southampton,7.5,282,324,87.0,3886,745,173,194,89.2,95,105,90.5,6,8,75.0,0,0.7,0.6,-0.7,4,12,2,0,29
127,Adam Armstrong,Southampton,6.9,127,162,78.4,1774,267,81,92,88.0,37,45,82.2,5,8,62.5,1,0.4,0.4,+0.6,5,7,6,1,13
128,Harrison Armstrong,Everton,0.0,1,4,25.0,23,0,0,0,0.0,1,2,50.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
130,Jose Arnaiz,Osasuna,0.4,10,17,58.8,136,51,5,5,100.0,3,6,50.0,1,3,33.3,0,0.1,0.1,-0.1,1,0,2,1,2
131,Hakon Arnar Haraldsson,Lille,2.2,145,174,83.3,2587,471,68,82,82.9,57,60,95.0,18,25,72.0,1,0.2,0.4,+0.8,3,21,5,0,19
132,Marko Arnautovic,Inter,0.8,18,27,66.7,250,51,11,17,64.7,5,7,71.4,1,1,100.0,0,0.1,0.1,-0.1,1,1,2,0,4
133,Maximilian Arnold,Wolfsburg,10.4,341,446,76.5,6976,2109,122,137,89.1,145,172,84.3,64,120,53.3,1,0.5,0.7,+0.5,12,40,3,0,39
134,Jann-Fiete Arp,Holstein Kiel,3.8,36,71,50.7,685,273,14,24,58.3,13,22,59.1,7,17,41.2,0,0.5,0.7,-0.5,5,0,4,1,5
135,Kepa Arrizabalaga,Bournemouth,8.0,203,260,78.1,5763,4046,24,26,92.3,111,113,98.2,67,117,57.3,0,0.0,0.0,0.0,1,2,0,0,0
136,Arthur,Leverkusen,1.2,54,69,78.3,812,224,29,31,93.5,21,27,77.8,2,5,40.0,1,0.3,0.7,+0.7,1,4,1,0,4
137,Takuma Asano,Mallorca,3.5,44,73,60.3,634,167,28,34,82.4,14,21,66.7,1,7,14.3,0,0.0,0.0,0.0,0,2,0,0,9
138,Raul Asencio,Real Madrid,2.7,158,173,91.3,2759,1045,65,68,95.6,83,91,91.2,9,12,75.0,1,0.4,0.3,+0.6,2,5,1,0,5
139,Marco Asensio,Paris S-G,6.6,279,322,86.6,3964,751,176,189,93.1,78,91,85.7,17,23,73.9,4,2.6,1.6,+1.4,14,29,4,1,34
140,Kristjan Asllani,Inter,2.6,262,286,91.6,4844,1440,101,104,97.1,134,140,95.7,24,33,72.7,1,0.7,0.7,+0.3,5,25,3,1,14
141,Iago Aspas,Celta Vigo,11.9,360,487,73.9,5919,1819,184,234,78.6,116,142,81.7,41,59,69.5,3,2.2,2.2,+0.8,19,42,20,3,73
142,Yaser Asprilla,Girona,4.4,175,236,74.2,3142,972,82,92,89.1,69,83,83.1,23,45,51.1,0,0.6,1.8,-0.6,7,15,16,2,34
143,Lorenz Assignon,Rennes,7.5,282,359,78.6,4482,1760,132,157,84.1,133,165,80.6,10,23,43.5,1,0.2,0.5,+0.8,5,17,7,3,35
144,Dehmaine Assoumani,Nantes,0.4,28,31,90.3,427,126,16,17,94.1,10,11,90.9,2,3,66.7,0,0.3,0.5,-0.3,3,1,2,2,1
145,Valentin Atangana Edoa,Reims,12.2,415,468,88.7,6338,1683,215,227,94.7,180,194,92.8,11,23,47.8,0,0.3,0.2,-0.3,5,26,2,0,41
146,Arthur Atta,Udinese,0.7,38,45,84.4,706,124,15,15,100.0,18,20,90.0,5,6,83.3,0,0.1,0.0,-0.1,1,2,0,0,4
147,Noah Atubolu,Freiburg,10.0,370,477,77.6,9698,6861,57,58,98.3,210,213,98.6,102,205,49.8,0,0.0,0.0,0.0,0,8,0,0,1
148,Emil Audero,Como,8.0,209,253,82.6,4830,3117,51,51,100.0,118,120,98.3,40,82,48.8,0,0.0,0.0,0.0,0,1,0,0,0
149,Tommaso Augello,Cagliari,10.9,410,572,71.7,7752,3069,166,185,89.7,190,257,73.9,54,103,52.4,1,1.4,1.7,-0.4,15,32,14,9,42
150,Carlos Augusto,Inter,2.9,147,161,91.3,2420,563,74,74,100.0,67,69,97.1,5,10,50.0,0,0.0,0.0,0.0,0,8,0,0,13
151,Yann Aurel Bisseck,Inter,5.3,390,419,93.1,6650,1633,159,166,95.8,207,217,95.4,18,23,78.3,0,0.1,0.2,-0.1,1,27,1,0,30
152,Ezequiel Avila,Betis,5.0,127,174,73.0,2087,491,72,89,80.9,40,52,76.9,12,19,63.2,0,0.8,0.7,-0.8,13,0,9,5,17
153,Taiwo Awoniyi,Nott'ham Forest,1.9,26,37,70.3,282,22,20,24,83.3,5,10,50.0,0,2,0.0,0,0.0,0.1,0.0,0,0,0,0,1
154,Yasin Ayari,Brighton,7.3,252,313,80.5,3747,1022,146,160,91.3,90,102,88.2,9,32,28.1,0,0.8,0.9,-0.8,11,17,9,1,28
156,Florian Aye,Auxerre,3.4,54,68,79.4,678,84,38,45,84.4,12,16,75.0,1,1,100.0,0,0.1,0.1,-0.1,1,4,2,0,3
157,Andre Ayew,Le Havre,5.1,71,91,78.0,767,56,49,58,84.5,14,16,87.5,0,1,0.0,0,0.0,0.0,0.0,1,1,0,0,6
158,Jordan Ayew,Crystal Palace,0.2,8,10,80.0,167,4,3,3,100.0,4,6,66.7,1,1,100.0,0,0.0,0.0,0.0,1,0,0,0,0
159,Jordan Ayew,Leicester City,6.6,130,164,79.3,1813,332,75,85,88.2,47,60,78.3,3,9,33.3,0,0.1,0.3,-0.1,3,7,4,2,13
160,Neil El Aynaoui,Lens,2.1,85,102,83.3,1185,280,50,56,89.3,28,33,84.8,3,4,75.0,0,0.0,0.1,0.0,1,7,1,1,9
161,Ayman Azhil,Dortmund,0.3,3,4,75.0,32,17,3,3,100.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,1
162,Adam Aznou,Bayern Munich,0.1,11,13,84.6,141,24,8,8,100.0,3,4,75.0,0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,0
163,Cesar Azpilicueta,Atlético Madrid,5.3,339,388,87.4,5504,2286,156,165,94.5,155,171,90.6,19,41,46.3,0,0.0,0.3,0.0,0,28,3,1,39
164,Paulo Azzi,Cagliari,4.7,126,180,70.0,2228,889,58,74,78.4,53,69,76.8,12,29,41.4,0,0.9,0.7,-0.9,5,7,6,4,13
165,Papa Ba,Girona,0.5,5,13,38.5,79,7,3,8,37.5,1,2,50.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,0
166,Shavy Babicka,Toulouse,4.8,81,117,69.2,998,207,53,70,75.7,23,32,71.9,0,2,0.0,0,0.8,0.8,-0.8,6,2,3,1,7
167,Aliou Badara Balde,Bochum,1.0,11,20,55.0,187,62,6,9,66.7,5,8,62.5,0,0,0.0,0,0.2,0.2,-0.2,2,1,2,1,1
168,Loic Bade,Sevilla,10.2,554,655,84.6,10678,4319,213,228,93.4,283,311,91.0,53,102,52.0,1,0.6,0.1,+0.4,2,28,2,0,12
169,Milan Badelj,Genoa,9.2,378,469,80.6,6492,2181,177,209,84.7,157,171,91.8,34,68,50.0,0,0.9,0.7,-0.9,9,46,5,0,48
170,Benoit Badiashile,Chelsea,1.8,151,163,92.6,2817,815,59,65,90.8,75,78,96.2,16,19,84.2,0,0.0,0.1,0.0,0,15,1,0,12
171,Alex Baena,Villarreal,11.2,336,500,67.2,6814,2586,122,157,77.7,149,201,74.1,58,109,53.2,5,4.1,5.3,+0.9,43,40,28,4,71
172,Leon Bailey,Aston Villa,6.8,141,202,69.8,2150,561,80,100,80.0,50,60,83.3,7,20,35.0,2,1.3,1.9,+0.7,10,7,13,2,19
