,Player,Squad,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,Expected - xA,Expected - A-xAG,KP,1/3,PPA,CrsPA,PrgP
1978,Oihan Sancet,Athletic Club,8.5,235,288,81.6,3575,824,137,159,86.2,74,88,84.1,17,26,65.4,0,0.9,0.7,-0.9,9,30,8,1,39
1979,Antonio Sanchez,Mallorca,6.2,175,244,71.7,2840,935,89,104,85.6,60,80,75.0,17,41,41.5,0,0.6,0.7,-0.6,4,15,5,3,18
1980,Ivan Sanchez,Valladolid,6.0,158,221,71.5,2977,913,71,79,89.9,62,86,72.1,24,45,53.3,1,1.3,1.0,-0.3,9,17,6,3,30
1981,Javi Sanchez,Valladolid,7.8,325,382,85.1,6625,2298,103,109,94.5,179,191,93.7,43,74,58.1,0,0.2,0.3,-0.2,1,10,0,0,8
1982,Juanlu Sanchez,Sevilla,5.4,133,167,79.6,1820,392,81,92,88.0,48,56,85.7,1,2,50.0,1,0.2,0.1,+0.8,7,11,2,1,14
1983,Manu Sanchez,Alavés,11.5,300,430,69.8,4936,2050,153,188,81.4,119,157,75.8,22,55,40.0,0,0.2,0.6,-0.2,5,24,8,4,37
1984,Robert Sanchez,Chelsea,13.0,397,526,75.5,8930,5927,104,105,99.0,221,229,96.5,70,187,37.4,0,0.0,0.0,0.0,0,7,1,0,1
1985,Jadon Sancho,Chelsea,4.2,140,166,84.3,1895,390,88,98,89.8,45,51,88.2,2,5,40.0,3,1.1,1.0,+1.9,8,3,11,0,21
1986,Philipp Sander,Gladbach,4.1,187,237,78.9,2963,825,90,102,88.2,84,99,84.8,9,28,32.1,0,0.1,0.3,-0.1,2,16,3,2,21
1987,Leroy Sane,Bayern Munich,3.3,157,192,81.8,2171,416,94,108,87.0,54,63,85.7,5,10,50.0,0,0.7,0.8,-0.7,6,6,8,1,15
1988,Arouna Sangante,Le Havre,5.8,232,278,83.5,4288,1609,77,84,91.7,138,151,91.4,12,35,34.3,0,0.1,0.1,-0.1,2,20,1,0,20
1989,Ibrahim Sangare,Nott'ham Forest,2.4,86,113,76.1,1305,411,48,56,85.7,32,41,78.0,5,9,55.6,0,0.0,0.1,0.0,1,5,1,0,8
1990,Nhoa Sangui,Reims,6.4,240,296,81.1,3557,844,131,142,92.3,88,106,83.0,10,23,43.5,1,0.3,0.4,+0.7,3,13,2,1,18
1991,Kaishu Sano,Mainz 05,11.8,375,464,80.8,6229,1887,187,215,87.0,158,184,85.9,28,45,62.2,0,0.1,0.4,-0.1,5,51,4,0,49
1992,Nicola Sansone,Lecce,0.6,16,19,84.2,274,95,10,11,90.9,3,4,75.0,3,4,75.0,0,0.0,0.1,0.0,1,1,0,0,1
1993,Baptiste Santamaria,Rennes,5.3,249,302,82.5,4297,1435,115,132,87.1,98,112,87.5,27,38,71.1,1,0.3,0.3,+0.7,4,32,4,0,28
1994,Jesus Santiago,Getafe,2.5,54,74,73.0,753,227,36,47,76.6,12,15,80.0,3,7,42.9,0,0.0,0.1,0.0,0,6,0,0,7
1995,Andrey Santos,Strasbourg,11.7,514,592,86.8,8492,2892,243,275,88.4,233,258,90.3,31,38,81.6,0,1.3,0.6,-1.3,13,44,6,0,55
1996,Kaua Santos,Eint Frankfurt,3.5,97,134,72.4,2132,1478,32,32,100.0,41,41,100.0,24,61,39.3,0,0.0,0.0,0.0,0,0,0,0,0
1997,Tiago Santos,Lille,4.5,175,223,78.5,2807,603,97,106,91.5,70,87,80.5,6,19,31.6,0,0.6,0.8,-0.6,5,15,8,4,17
1998,Pablo Sarabia,Wolves,2.0,60,94,63.8,1020,400,28,37,75.7,23,26,88.5,6,16,37.5,0,0.4,0.4,-0.4,3,10,4,0,12
1999,Jeremy Sarmiento,Brighton,0.1,6,6,100.0,74,1,4,4,100.0,2,2,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2000,Amin Sarr,Hellas Verona,2.7,52,77,67.5,688,84,31,40,77.5,14,20,70.0,2,2,100.0,0,0.0,0.0,0.0,2,0,1,0,3
2002,Ismaila Sarr,Crystal Palace,7.3,124,182,68.1,1807,458,64,79,81.0,53,73,72.6,3,11,27.3,1,2.2,2.2,-1.2,12,4,9,3,14
2003,Malang Sarr,Lens,2.3,110,127,86.6,2144,671,42,45,93.3,48,54,88.9,19,25,76.0,0,0.0,0.2,0.0,0,7,1,0,5
2004,Mamadou Sarr,Strasbourg,6.5,344,373,92.2,6448,1947,109,113,96.5,205,216,94.9,24,31,77.4,0,0.0,0.0,0.0,2,21,0,0,12
2005,Martin Satriano,Lens,0.5,10,18,55.6,103,26,8,11,72.7,1,3,33.3,0,1,0.0,0,0.1,0.1,-0.1,2,0,0,0,1
2006,Teji Savanier,Montpellier,10.3,457,642,71.2,10132,3106,165,199,82.9,165,217,76.0,110,185,59.5,3,3.3,2.6,-0.3,24,70,10,2,72
2007,Savio,Manchester City,7.0,284,367,77.4,4013,805,191,214,89.3,72,102,70.6,13,28,46.4,2,3.4,2.9,-1.4,20,5,30,6,33
2008,Nicolo Savona,Juventus,8.4,529,581,91.0,9114,2352,232,241,96.3,261,283,92.2,30,45,66.7,0,1.0,0.6,-1.0,11,28,6,4,32
2009,Saba Sazonov,Torino,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
2010,Joe Scally,Gladbach,11.0,554,654,84.7,8936,2560,293,314,93.3,218,254,85.8,32,58,55.2,0,0.7,0.5,-0.7,4,24,4,2,22
2011,Giorgio Scalvini,Atalanta,0.1,11,14,78.6,156,72,8,11,72.7,3,3,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,1
2012,Kevin Schade,Brentford,6.4,73,124,58.9,1067,220,40,60,66.7,27,45,60.0,2,6,33.3,1,0.9,0.4,+0.1,3,6,3,0,8
2013,Andras Schafer,Union Berlin,5.1,158,207,76.3,2234,554,92,108,85.2,56,69,81.2,3,12,25.0,0,0.0,0.1,0.0,1,13,4,0,19
