,Squad,Comp,# Pl,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
0,Angers,Ligue 1,3.0,38.0,38.0,3420.0,38.0,38.0,1.0,126.0,88.0,69.8,13.0,11.0,14.0,17.0,44.7,,,,,
1,Arsenal,Premier League,2.0,38.0,38.0,3420.0,38.0,36.0,0.95,148.0,112.0,75.7,20.0,11.0,7.0,18.0,47.4,,,,,
2,Aston Villa,Premier League,2.0,38.0,38.0,3420.0,38.0,76.0,2.0,186.0,110.0,59.1,3.0,8.0,27.0,6.0,15.8,,,,,
3,Atalanta,Serie A,3.0,38.0,38.0,3420.0,38.0,47.0,1.24,151.0,104.0,68.9,11.0,12.0,15.0,11.0,28.9,,,,,
4,Athletic Club,La Liga,2.0,38.0,38.0,3417.0,38.0,45.0,1.19,131.0,93.0,70.2,18.0,8.0,12.0,13.0,34.2,7.0,6.0,1.0,0.0,14.3
5,Atlético Madrid,La Liga,1.0,38.0,38.0,3420.0,38.0,18.0,0.47,99.0,82.0,82.8,28.0,4.0,6.0,24.0,63.2,1.0,1.0,0.0,0.0,0.0
6,Augsburg,Bundesliga,2.0,34.0,34.0,3060.0,34.0,52.0,1.53,181.0,129.0,71.3,9.0,11.0,14.0,11.0,32.4,,,,,
7,Barcelona,La Liga,2.0,38.0,38.0,3420.0,38.0,29.0,0.76,128.0,100.0,78.1,29.0,4.0,5.0,18.0,47.4,1.0,1.0,0.0,0.0,0.0
8,Bastia,Ligue 1,3.0,38.0,38.0,3419.0,38.0,42.0,1.11,145.0,103.0,71.0,14.0,8.0,16.0,15.0,39.5,,,,,
9,Bayern Munich,Bundesliga,2.0,34.0,34.0,3060.0,34.0,17.0,0.5,84.0,67.0,79.8,28.0,4.0,2.0,20.0,58.8,,,,,
10,Betis,La Liga,2.0,38.0,38.0,3420.0,38.0,52.0,1.37,186.0,134.0,72.0,11.0,12.0,15.0,12.0,31.6,1.0,0.0,0.0,1.0,
11,Bologna,Serie A,2.0,38.0,38.0,3420.0,38.0,45.0,1.18,153.0,108.0,70.6,11.0,9.0,18.0,13.0,34.2,,,,,
12,Bordeaux,Ligue 1,3.0,38.0,38.0,3420.0,38.0,57.0,1.5,161.0,104.0,64.6,12.0,14.0,12.0,11.0,28.9,,,,,
13,Bournemouth,Premier League,3.0,38.0,38.0,3420.0,38.0,67.0,1.76,152.0,85.0,55.9,11.0,9.0,18.0,7.0,18.4,,,,,
14,Caen,Ligue 1,1.0,38.0,38.0,3420.0,38.0,52.0,1.37,168.0,116.0,69.0,16.0,6.0,16.0,10.0,26.3,,,,,
15,Carpi,Serie A,4.0,38.0,38.0,3420.0,38.0,57.0,1.5,165.0,108.0,65.5,9.0,11.0,18.0,8.0,21.1,,,,,
16,Celta Vigo,La Liga,3.0,38.0,38.0,3418.0,38.0,59.0,1.55,155.0,100.0,63.9,17.0,9.0,12.0,10.0,26.3,5.0,3.0,1.0,1.0,25.0
17,Chelsea,Premier League,2.0,38.0,38.0,3419.0,38.0,53.0,1.4,172.0,119.0,69.2,12.0,14.0,12.0,9.0,23.7,,,,,
18,Chievo,Serie A,2.0,38.0,38.0,3420.0,38.0,45.0,1.18,175.0,130.0,74.3,13.0,11.0,14.0,12.0,31.6,,,,,
19,Crystal Palace,Premier League,3.0,38.0,38.0,3420.0,38.0,51.0,1.34,168.0,117.0,69.6,11.0,9.0,18.0,8.0,21.1,,,,,
20,Darmstadt 98,Bundesliga,2.0,34.0,34.0,3060.0,34.0,53.0,1.56,156.0,103.0,66.0,9.0,11.0,14.0,8.0,23.5,,,,,
21,Dortmund,Bundesliga,2.0,34.0,34.0,3060.0,34.0,34.0,1.0,106.0,72.0,67.9,24.0,6.0,4.0,13.0,38.2,,,,,
22,Eibar,La Liga,2.0,38.0,38.0,3510.0,38.0,62.0,1.59,154.0,96.0,61.7,11.0,10.0,17.0,7.0,18.4,4.0,3.0,1.0,0.0,25.0
23,Eint Frankfurt,Bundesliga,1.0,34.0,34.0,3060.0,34.0,52.0,1.53,180.0,128.0,71.1,9.0,9.0,16.0,8.0,23.5,,,,,
24,Empoli,Serie A,3.0,38.0,38.0,3420.0,38.0,49.0,1.29,164.0,115.0,70.1,12.0,10.0,16.0,12.0,31.6,,,,,
25,Espanyol,La Liga,2.0,38.0,38.0,3420.0,38.0,74.0,1.95,171.0,103.0,60.2,12.0,7.0,19.0,7.0,18.4,6.0,6.0,0.0,0.0,0.0
26,Everton,Premier League,2.0,38.0,38.0,3420.0,38.0,55.0,1.45,179.0,124.0,69.3,11.0,14.0,13.0,10.0,26.3,,,,,
27,Fiorentina,Serie A,2.0,38.0,38.0,3420.0,38.0,42.0,1.11,111.0,69.0,62.2,18.0,10.0,10.0,14.0,36.8,,,,,
28,Frosinone,Serie A,3.0,38.0,38.0,3420.0,38.0,76.0,2.0,223.0,147.0,65.9,8.0,7.0,23.0,7.0,18.4,,,,,
29,Gazélec Ajaccio,Ligue 1,3.0,38.0,38.0,3420.0,38.0,58.0,1.53,160.0,102.0,63.8,8.0,13.0,17.0,6.0,15.8,,,,,
30,Genoa,Serie A,2.0,38.0,38.0,3420.0,38.0,48.0,1.26,170.0,122.0,71.8,13.0,7.0,18.0,12.0,31.6,,,,,
31,Getafe,La Liga,1.0,38.0,38.0,3420.0,38.0,67.0,1.76,179.0,122.0,67.0,9.0,9.0,20.0,8.0,21.1,11.0,8.0,2.0,1.0,20.0
32,Granada,La Liga,2.0,38.0,38.0,3419.0,38.0,69.0,1.82,172.0,107.0,62.2,10.0,9.0,19.0,4.0,10.5,5.0,4.0,0.0,1.0,0.0
33,Guingamp,Ligue 1,2.0,38.0,38.0,3420.0,38.0,56.0,1.47,165.0,109.0,66.1,11.0,11.0,16.0,13.0,34.2,,,,,
34,Hamburger SV,Bundesliga,4.0,34.0,34.0,3059.0,34.0,46.0,1.35,169.0,123.0,72.8,11.0,8.0,15.0,9.0,26.5,,,,,
35,Hannover 96,Bundesliga,1.0,34.0,34.0,3060.0,34.0,62.0,1.82,205.0,143.0,69.8,7.0,4.0,23.0,5.0,14.7,,,,,
36,Hellas Verona,Serie A,3.0,38.0,38.0,3420.0,38.0,63.0,1.66,161.0,98.0,60.9,5.0,13.0,20.0,3.0,7.9,,,,,
37,Hertha BSC,Bundesliga,2.0,34.0,34.0,3060.0,34.0,43.0,1.26,146.0,103.0,70.5,14.0,8.0,12.0,13.0,38.2,,,,,
38,Hoffenheim,Bundesliga,2.0,34.0,34.0,3060.0,34.0,54.0,1.59,203.0,149.0,73.4,9.0,10.0,15.0,6.0,17.6,,,,,
39,Ingolstadt 04,Bundesliga,2.0,34.0,34.0,3060.0,34.0,42.0,1.24,121.0,79.0,65.3,10.0,10.0,14.0,10.0,29.4,,,,,
40,Inter,Serie A,3.0,38.0,38.0,3420.0,38.0,38.0,1.0,153.0,115.0,75.2,20.0,7.0,11.0,15.0,39.5,,,,,
41,Juventus,Serie A,2.0,38.0,38.0,3420.0,38.0,20.0,0.53,94.0,74.0,78.7,29.0,4.0,5.0,22.0,57.9,,,,,
42,Köln,Bundesliga,2.0,34.0,34.0,3060.0,34.0,42.0,1.24,160.0,118.0,73.8,10.0,13.0,11.0,8.0,23.5,,,,,
43,La Coruña,La Liga,3.0,38.0,38.0,3419.0,38.0,61.0,1.61,149.0,92.0,61.1,8.0,18.0,12.0,7.0,18.4,5.0,3.0,1.0,1.0,25.0
44,Las Palmas,La Liga,2.0,38.0,38.0,3417.0,38.0,53.0,1.4,181.0,131.0,72.4,12.0,8.0,18.0,11.0,28.9,4.0,3.0,0.0,1.0,0.0
45,Lazio,Serie A,2.0,38.0,38.0,3420.0,38.0,52.0,1.37,155.0,103.0,66.5,15.0,9.0,14.0,12.0,31.6,,,,,
46,Leicester City,Premier League,1.0,38.0,38.0,3420.0,38.0,36.0,0.95,136.0,100.0,73.5,23.0,12.0,3.0,15.0,39.5,,,,,
47,Levante,La Liga,2.0,38.0,38.0,3420.0,38.0,70.0,1.84,183.0,119.0,64.5,8.0,8.0,22.0,6.0,15.8,7.0,5.0,1.0,1.0,16.7
48,Leverkusen,Bundesliga,3.0,34.0,34.0,3060.0,34.0,40.0,1.18,139.0,99.0,71.2,18.0,6.0,10.0,13.0,38.2,,,,,
49,Lille,Ligue 1,2.0,38.0,38.0,3418.0,38.0,27.0,0.71,128.0,101.0,78.9,15.0,15.0,8.0,18.0,47.4,,,,,
50,Liverpool,Premier League,3.0,38.0,38.0,3420.0,38.0,50.0,1.32,130.0,80.0,61.5,16.0,12.0,10.0,11.0,28.9,,,,,
51,Lorient,Ligue 1,2.0,38.0,38.0,3419.0,38.0,58.0,1.53,183.0,125.0,68.3,11.0,13.0,14.0,8.0,21.1,,,,,
52,Lyon,Ligue 1,2.0,38.0,38.0,3420.0,38.0,43.0,1.13,139.0,96.0,69.1,19.0,8.0,11.0,14.0,36.8,,,,,
53,M'Gladbach,Bundesliga,2.0,34.0,34.0,3060.0,34.0,50.0,1.47,152.0,102.0,67.1,17.0,4.0,13.0,7.0,20.6,,,,,
54,Mainz 05,Bundesliga,1.0,34.0,34.0,3060.0,34.0,42.0,1.24,159.0,117.0,73.6,14.0,8.0,12.0,9.0,26.5,,,,,
55,Málaga,La Liga,2.0,38.0,38.0,3420.0,38.0,35.0,0.92,138.0,105.0,75.4,12.0,12.0,14.0,12.0,31.6,2.0,1.0,1.0,0.0,50.0
56,Manchester City,Premier League,2.0,38.0,38.0,3420.0,38.0,41.0,1.08,125.0,84.0,67.2,19.0,9.0,10.0,16.0,42.1,,,,,
57,Manchester Utd,Premier League,2.0,38.0,38.0,3420.0,38.0,35.0,0.92,120.0,85.0,70.8,19.0,9.0,10.0,18.0,47.4,,,,,
58,Marseille,Ligue 1,2.0,38.0,38.0,3420.0,38.0,42.0,1.11,141.0,99.0,70.2,10.0,18.0,10.0,9.0,23.7,,,,,
59,Milan,Serie A,3.0,38.0,38.0,3420.0,38.0,43.0,1.13,142.0,99.0,69.7,15.0,12.0,11.0,11.0,28.9,,,,,
60,Monaco,Ligue 1,2.0,38.0,38.0,3420.0,38.0,50.0,1.32,170.0,120.0,70.6,17.0,14.0,7.0,14.0,36.8,,,,,
61,Montpellier,Ligue 1,3.0,38.0,38.0,3420.0,38.0,47.0,1.24,144.0,97.0,67.4,14.0,7.0,17.0,9.0,23.7,,,,,
62,Nantes,Ligue 1,2.0,38.0,38.0,3420.0,38.0,44.0,1.16,142.0,98.0,69.0,12.0,12.0,14.0,15.0,39.5,,,,,
