,# Pl,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
62,1,38,38,3420,38.0,42,1.11,132,91,69.7,18,10,10,12,31.6,3,2,0,1,0.0
63,3,38,38,3420,38.0,45,1.18,147,103,72.8,24,8,6,14,36.8,5,5,0,0,0.0
64,1,38,38,3420,38.0,33,0.87,117,84,76.1,11,18,9,14,36.8,6,5,0,1,0.0
65,2,38,38,3420,38.0,41,1.08,138,98,72.5,14,10,14,12,31.6,4,3,0,1,0.0
66,2,38,38,3420,38.0,29,0.76,98,69,72.4,28,7,3,19,50.0,2,2,0,0,0.0
67,3,38,38,3420,38.0,47,1.24,148,102,70.9,12,8,18,9,23.7,6,4,2,0,33.3
68,2,38,38,3420,38.0,52,1.37,154,102,68.2,15,9,14,10,26.3,5,3,2,0,40.0
69,2,38,38,3420,38.0,29,0.76,119,90,78.2,29,6,3,18,47.4,5,3,1,1,25.0
70,2,34,34,3060,34.0,53,1.56,151,98,68.2,15,8,11,6,17.6,5,5,0,0,0.0
71,3,38,38,3420,38.0,44,1.16,144,100,70.8,22,10,6,10,26.3,4,2,2,0,50.0
72,3,38,38,3420,38.0,59,1.55,149,90,64.4,14,7,17,10,26.3,8,6,2,0,25.0
73,3,38,38,3420,38.0,44,1.16,148,104,73.6,16,10,12,10,26.3,8,5,2,1,28.6
74,2,38,38,3420,38.0,28,0.74,138,108,81.9,23,8,7,18,47.4,5,3,2,0,40.0
75,2,38,38,3416,38.0,50,1.32,179,129,75.4,15,10,13,13,34.2,7,6,1,0,14.3
76,3,38,38,3420,38.0,60,1.58,200,138,73.0,16,6,16,9,23.7,10,6,4,0,40.0
77,2,38,38,3420,38.0,59,1.55,178,120,68.0,11,10,17,10,26.3,3,2,1,0,33.3
78,2,34,34,3060,34.0,37,1.09,129,91,73.6,18,9,7,13,38.2,6,3,2,1,40.0
79,2,38,38,3420,38.0,58,1.53,150,92,64.7,17,7,14,14,36.8,8,5,1,2,16.7
80,2,38,38,3420,38.0,56,1.47,165,108,66.7,7,15,16,8,21.1,2,1,1,0,50.0
81,3,38,38,3420,38.0,59,1.55,200,142,75.0,8,14,16,7,18.4,12,9,3,0,25.0
82,2,38,38,3420,38.0,68,1.79,216,150,70.8,7,12,19,6,15.8,5,5,0,0,0.0
83,3,38,38,3420,38.0,67,1.76,174,106,64.9,9,11,18,4,10.5,7,6,1,0,14.3
84,1,34,34,3060,34.0,36,1.06,155,117,79.4,15,6,13,12,35.3,6,4,2,0,33.3
85,1,38,38,3420,38.0,56,1.47,190,133,72.1,8,9,21,9,23.7,6,3,3,0,50.0
86,2,38,38,3420,38.0,46,1.21,160,111,74.4,13,15,10,10,26.3,8,5,3,0,37.5
87,3,38,38,3420,38.0,36,0.95,124,89,72.6,23,8,7,16,42.1,3,2,0,1,0.0
88,1,38,38,3420,38.0,54,1.42,158,106,69.6,9,10,19,12,31.6,6,6,0,0,0.0
89,2,38,38,3420,38.0,59,1.55,193,134,71.5,9,6,23,8,21.1,5,4,1,0,20.0
90,2,38,38,3420,38.0,63,1.66,170,108,64.1,12,4,22,9,23.7,6,2,3,1,60.0
91,2,38,38,3420,38.0,38,1.0,164,124,78.7,22,7,9,12,31.6,5,3,2,0,40.0
92,3,38,38,3420,38.0,50,1.32,157,104,71.3,18,7,13,11,28.9,8,5,3,0,37.5
93,2,38,38,3420,38.0,64,1.68,156,93,62.8,11,8,19,9,23.7,6,6,0,0,0.0
94,1,34,34,3060,34.0,40,1.18,162,123,76.5,10,12,12,8,23.5,4,2,1,1,33.3
95,2,38,38,3420,38.0,56,1.47,154,100,64.3,6,13,19,10,26.3,1,1,0,0,0.0
96,2,38,38,3420,38.0,68,1.79,187,119,66.3,10,12,16,10,26.3,6,5,1,0,16.7
97,1,34,34,3060,34.0,48,1.41,153,104,72.5,6,15,13,8,23.5,9,6,3,0,33.3
