,Squad,Comp,# Pl,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Vs Dribbles - Tkl,Vs Dribbles - Att,Vs Dribbles - Tkl%,Vs Dribbles - Past,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
77,Sampdoria,Serie A,31.0,38.0,584.0,356.0,267.0,224.0,93.0,230.0,605.0,38.0,375.0,397.0,116.0,281.0,397.0,981.0,778.0,5.0
78,Sassuolo,Serie A,31.0,38.0,553.0,332.0,273.0,211.0,69.0,249.0,556.0,44.8,307.0,392.0,130.0,262.0,348.0,901.0,666.0,9.0
79,Schalke 04,Bundesliga,29.0,34.0,589.0,361.0,268.0,242.0,79.0,255.0,625.0,40.8,370.0,474.0,118.0,356.0,407.0,996.0,656.0,15.0
80,Sevilla,La Liga,26.0,38.0,587.0,344.0,274.0,246.0,67.0,261.0,661.0,39.5,400.0,331.0,94.0,237.0,346.0,933.0,704.0,10.0
81,Sheffield Utd,Premier League,26.0,38.0,611.0,377.0,304.0,229.0,78.0,261.0,646.0,40.4,385.0,336.0,106.0,230.0,420.0,1031.0,931.0,16.0
82,Southampton,Premier League,25.0,38.0,706.0,416.0,325.0,287.0,94.0,324.0,793.0,40.9,469.0,488.0,124.0,364.0,425.0,1131.0,867.0,21.0
83,SPAL,Serie A,34.0,38.0,554.0,327.0,299.0,197.0,58.0,222.0,571.0,38.9,349.0,390.0,170.0,220.0,394.0,948.0,748.0,15.0
84,Strasbourg,Ligue 1,25.0,27.0,472.0,293.0,234.0,193.0,45.0,189.0,403.0,46.9,214.0,198.0,51.0,147.0,301.0,773.0,436.0,11.0
85,Torino,Serie A,27.0,38.0,572.0,314.0,266.0,236.0,70.0,212.0,549.0,38.6,337.0,433.0,160.0,273.0,495.0,1067.0,875.0,14.0
86,Tottenham,Premier League,29.0,38.0,665.0,415.0,331.0,281.0,53.0,253.0,681.0,37.2,428.0,441.0,148.0,293.0,381.0,1046.0,894.0,24.0
87,Toulouse,Ligue 1,30.0,28.0,549.0,346.0,270.0,227.0,52.0,220.0,508.0,43.3,288.0,252.0,77.0,175.0,320.0,869.0,592.0,13.0
88,Udinese,Serie A,25.0,38.0,597.0,340.0,329.0,214.0,54.0,253.0,593.0,42.7,340.0,434.0,153.0,281.0,375.0,972.0,789.0,13.0
89,Union Berlin,Bundesliga,26.0,34.0,550.0,322.0,265.0,220.0,65.0,213.0,565.0,37.7,352.0,396.0,124.0,272.0,421.0,971.0,775.0,8.0
90,Valencia,La Liga,28.0,38.0,500.0,311.0,270.0,173.0,57.0,232.0,589.0,39.4,357.0,334.0,130.0,204.0,360.0,860.0,748.0,12.0
91,Valladolid,La Liga,30.0,38.0,568.0,327.0,316.0,204.0,48.0,239.0,672.0,35.6,433.0,391.0,112.0,279.0,390.0,958.0,749.0,13.0
92,Villarreal,La Liga,25.0,38.0,553.0,323.0,250.0,239.0,64.0,218.0,602.0,36.2,384.0,362.0,116.0,246.0,339.0,892.0,814.0,12.0
93,Watford,Premier League,26.0,38.0,657.0,369.0,347.0,249.0,61.0,267.0,713.0,37.4,446.0,396.0,135.0,261.0,424.0,1081.0,869.0,4.0
94,Werder Bremen,Bundesliga,30.0,34.0,550.0,345.0,285.0,199.0,66.0,216.0,573.0,37.7,357.0,369.0,123.0,246.0,423.0,973.0,775.0,11.0
95,West Ham,Premier League,29.0,38.0,696.0,417.0,374.0,263.0,59.0,300.0,745.0,40.3,445.0,383.0,117.0,266.0,421.0,1117.0,789.0,16.0
96,Wolfsburg,Bundesliga,26.0,34.0,598.0,363.0,277.0,247.0,74.0,241.0,589.0,40.9,348.0,378.0,87.0,291.0,377.0,975.0,649.0,9.0
97,Wolves,Premier League,21.0,38.0,646.0,367.0,358.0,227.0,61.0,281.0,685.0,41.0,404.0,378.0,109.0,269.0,437.0,1083.0,702.0,23.0
