Player,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
Brenden Aaronson,0,USA,"MF,FW",Leeds United,Premier League,22.0,2000.0,13.0,13.0,1099.0,12.2,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.08,0.08,0.16,0.08,0.16,1.8,1.8,2.5,4.3,0.15,0.2,0.35,0.15,0.35
Yunis Abdelhamid,1,MAR,DF,Reims,Ligue 1,35.0,1987.0,14.0,14.0,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,1.3,0.07,0.02,0.09,0.07,0.09
Himad Abdelli,2,FRA,"MF,FW",Angers,Ligue 1,22.0,1999.0,7.0,2.0,231.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.5,0.9,0.15,0.21,0.36,0.15,0.36
Salis Abdul Samed,3,GHA,MF,Lens,Ligue 1,22.0,2000.0,14.0,14.0,1259.0,14.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.07,0.0,0.07,0.07,0.07,0.3,0.3,0.1,0.5,0.02,0.01,0.03,0.02,0.03
Laurent Abergel,4,FRA,MF,Lorient,Ligue 1,29.0,1993.0,10.0,10.0,807.0,9.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.11,0.11,0.0,0.11,0.2,0.2,0.5,0.7,0.02,0.06,0.08,0.02,0.08
Matthis Abline,5,FRA,"FW,MF",Rennes,Ligue 1,19.0,2003.0,10.0,0.0,105.0,1.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.86,0.0,0.86,0.86,0.86,0.8,0.8,0.3,1.0,0.65,0.22,0.88,0.65,0.88
Zakaria Aboukhlal,6,MAR,"FW,MF",Toulouse,Ligue 1,22.0,2000.0,14.0,13.0,1125.0,12.5,3.0,3.0,3.0,0.0,0.0,2.0,0.0,0.24,0.24,0.48,0.24,0.48,3.3,3.3,1.4,4.7,0.26,0.11,0.37,0.26,0.37
Tammy Abraham,7,GBR,FW,Roma,Serie A,25.0,1997.0,14.0,11.0,972.0,10.8,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.28,0.09,0.37,0.28,0.37,6.3,6.3,1.5,7.8,0.58,0.14,0.72,0.58,0.72
Francesco Acerbi,8,ITA,DF,Inter,Serie A,34.0,1988.0,8.0,7.0,641.0,7.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14,0.14,0.0,0.14,0.1,0.1,0.1,0.2,0.01,0.01,0.03,0.01,0.03
Mohamed Achi,9,FRA,FW,Nantes,Ligue 1,20.0,2002.0,2.0,0.0,36.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.3,0.08,0.39,0.3,0.39
Marcos Acuña,10,ARG,DF,Sevilla,La Liga,31.0,1991.0,10.0,7.0,551.0,6.1,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.1,1.4,0.05,0.17,0.22,0.05,0.22
Che Adams,11,SYC,FW,Southampton,Premier League,26.0,1996.0,13.0,11.0,976.0,10.8,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.28,0.09,0.37,0.28,0.37,3.3,3.3,1.5,4.8,0.3,0.14,0.44,0.3,0.44
Tyler Adams,12,USA,MF,Leeds United,Premier League,23.0,1999.0,12.0,12.0,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.08,0.08,0.0,0.08
Sargis Adamyan,13,ARM,"FW,MF",Köln,Bundesliga,29.0,1993.0,13.0,2.0,379.0,4.2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.24,0.24,0.47,0.24,0.47,1.5,1.5,0.5,2.0,0.36,0.12,0.48,0.36,0.48
Tosin Adarabioyo,14,GBR,DF,Fulham,Premier League,25.0,1997.0,10.0,10.0,900.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.2,0.01,0.0,0.02,0.01,0.02
Martin Adeline,15,FRA,"MF,FW",Reims,Ligue 1,18.0,2003.0,4.0,0.0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.07,0.0,0.07,0.07,0.07
Karim Adeyemi,16,DEU,"FW,MF",Dortmund,Bundesliga,20.0,2002.0,10.0,7.0,469.0,5.2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,1.4,2.3,0.18,0.26,0.44,0.18,0.44
Amine Adli,17,FRA,FW,Leverkusen,Bundesliga,22.0,2000.0,7.0,2.0,297.0,3.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.2,0.2,0.6,0.8,0.06,0.17,0.23,0.06,0.23
Yacine Adli,18,FRA,"MF,FW",Milan,Serie A,22.0,2000.0,4.0,1.0,116.0,1.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.07,0.07,0.13,0.07,0.13
Michel Aebischer,19,CHE,"FW,MF",Bologna,Serie A,25.0,1997.0,12.0,6.0,558.0,6.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,0.8,0.1,0.03,0.13,0.1,0.13
Felix Afena-Gyan,20,GHA,"FW,MF",Cremonese,Serie A,19.0,2003.0,7.0,2.0,220.0,2.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.05,0.02,0.07,0.05,0.07
Emmanuel Agbadou,21,CIV,DF,Reims,Ligue 1,25.0,1997.0,11.0,10.0,879.0,9.8,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,1.1,0.07,0.04,0.12,0.07,0.12
Lucien Agoume,22,FRA,MF,Troyes,Ligue 1,20.0,2002.0,3.0,2.0,106.0,1.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.36,0.36,0.0,0.36
Felix Agu,23,DEU,"DF,FW",Werder Bremen,Bundesliga,23.0,1999.0,3.0,0.0,49.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.07,0.14,0.22,0.07,0.22
Álvaro Aguado,24,ESP,MF,Valladolid,La Liga,26.0,1996.0,13.0,8.0,747.0,8.3,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.24,0.24,0.0,0.24,0.2,0.2,0.9,1.1,0.03,0.1,0.13,0.03,0.13
Kevin Agudelo,26,COL,MF,Spezia,Serie A,23.0,1998.0,14.0,10.0,897.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,1.1,1.7,0.06,0.11,0.17,0.06,0.17
Ruben Aguilar,27,FRA,DF,Monaco,Ligue 1,29.0,1993.0,7.0,4.0,327.0,3.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Naouirou Ahamada,28,FRA,MF,Stuttgart,Bundesliga,20.0,2002.0,14.0,14.0,1141.0,12.7,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.16,0.0,0.16,0.16,0.16,0.7,0.7,0.6,1.3,0.06,0.05,0.1,0.06,0.1
Jean-Eudes Aholou,29,CIV,MF,Strasbourg,Ligue 1,28.0,1994.0,11.0,6.0,527.0,5.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,1.1,0.06,0.13,0.2,0.06,0.2
Joseph Aidoo,30,GHA,DF,Celta Vigo,La Liga,27.0,1995.0,13.0,13.0,1170.0,13.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.08,0.0,0.08,0.08,0.08,0.5,0.5,0.0,0.5,0.04,0.0,0.04,0.04,0.04
Ola Aina,31,NGA,DF,Torino,Serie A,26.0,1996.0,10.0,7.0,580.0,6.4,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.16,0.0,0.16,0.16,0.16,0.6,0.6,0.9,1.5,0.1,0.13,0.23,0.1,0.23
Rayan Aït Nouri,32,FRA,DF,Wolves,Premier League,21.0,2001.0,10.0,7.0,666.0,7.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,1.2,0.05,0.11,0.17,0.05,0.17
Emanuel Aiwum,33,AUT,DF,Cremonese,Serie A,21.0,2000.0,12.0,10.0,877.0,9.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6,0.02,0.04,0.06,0.02,0.06
Kristoffer Ajer,34,NOR,DF,Brentford,Premier League,24.0,1998.0,6.0,6.0,502.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
Ludovic Ajorque,35,REU,FW,Strasbourg,Ligue 1,28.0,1994.0,9.0,5.0,418.0,4.6,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.22,0.0,0.22,0.0,0.0,2.1,1.3,0.5,1.8,0.45,0.1,0.56,0.28,0.39
Manuel Akanji,36,CHE,DF,Manchester City,Premier League,27.0,1995.0,7.0,7.0,611.0,6.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.07,0.0,0.07,0.07,0.07
Nathan Aké,37,NLD,DF,Manchester City,Premier League,27.0,1995.0,8.0,7.0,571.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.02,0.02,0.03,0.02,0.03
Sergio Akieme,38,ESP,DF,Almería,La Liga,24.0,1997.0,14.0,14.0,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.7,1.6,0.07,0.05,0.11,0.07,0.11
