,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
1630,Róbert Mazáň,sk SVK,DF,Celta Vigo,La Liga,24.0,1994.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,66.7
1631,Luca Mazzitelli,it ITA,MF,Genoa,Serie A,22.0,1995.0,3.6,3.0,0.0,0.0,13.0,5.0,0.0,7.0,6.0,2.0,0.0,0.0,0.0,34.0,10.0,12.0,45.5
1632,Kylian Mbappé,fr FRA,FW,Paris S-G,Ligue 1,19.0,1998.0,26.0,5.0,1.0,0.0,19.0,44.0,30.0,25.0,5.0,4.0,4.0,0.0,0.0,44.0,1.0,7.0,12.5
1633,Ibrahima Mbaye,sn SEN,DF,Bologna,Serie A,23.0,1994.0,22.3,6.0,0.0,0.0,35.0,22.0,1.0,14.0,19.0,32.0,0.0,0.0,0.0,113.0,36.0,45.0,44.4
1634,Loïc Mbe Soh,fr FRA,DF,Paris S-G,Ligue 1,17.0,2001.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,7.0,5.0,58.3
1635,Nolan Mbemba,cg CGO,"MF,DF",Reims,Ligue 1,23.0,1995.0,4.0,0.0,0.0,0.0,3.0,5.0,0.0,4.0,10.0,8.0,0.0,0.0,0.0,22.0,8.0,5.0,61.5
1636,Adama Mbengue,sn SEN,DF,Caen,Ligue 1,24.0,1993.0,8.2,3.0,0.0,0.0,21.0,8.0,0.0,28.0,7.0,32.0,0.0,1.0,0.0,70.0,5.0,11.0,31.3
1638,Isaac Mbenza,be BEL,"FW,MF",Huddersfield,Premier League,22.0,1996.0,11.0,1.0,0.0,0.0,8.0,5.0,5.0,34.0,5.0,9.0,0.0,0.0,0.0,52.0,2.0,10.0,16.7
1639,Stéphane Mbia,cm CMR,"DF,MF",Toulouse,Ligue 1,32.0,1986.0,5.0,1.0,0.0,0.0,5.0,8.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,20.0,10.0,9.0,52.6
1640,Kara Mbodji,sn SEN,DF,Nantes,Ligue 1,28.0,1989.0,5.6,0.0,0.0,0.0,2.0,6.0,0.0,3.0,6.0,10.0,0.0,0.0,0.0,33.0,16.0,8.0,66.7
1641,Jordi Mboula,es ESP,"FW,MF",Monaco,Ligue 1,19.0,1999.0,3.1,1.0,0.0,0.0,6.0,4.0,0.0,28.0,1.0,0.0,0.0,0.0,0.0,12.0,2.0,4.0,33.3
1642,James McArthur,sct SCO,MF,Crystal Palace,Premier League,30.0,1987.0,34.0,7.0,0.0,0.0,61.0,39.0,2.0,15.0,39.0,51.0,0.0,1.0,0.0,216.0,47.0,56.0,45.6
1643,Alex McCarthy,eng ENG,GK,Southampton,Premier League,28.0,1989.0,25.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,16.0,0.0,100.0
1644,James McCarthy,ie IRL,MF,Everton,Premier League,27.0,1990.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
1645,Kevin McDonald,sct SCO,MF,Fulham,Premier League,29.0,1988.0,9.3,5.0,1.0,1.0,12.0,6.0,0.0,1.0,9.0,11.0,0.0,0.0,0.0,47.0,19.0,4.0,82.6
1646,Levan Mchedlidze,ge GEO,FW,Empoli,Serie A,28.0,1990.0,2.3,1.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,10.0,33.3
1647,Weston McKennie,us USA,"MF,FW",Schalke 04,Bundesliga,19.0,1998.0,19.4,6.0,0.0,0.0,33.0,17.0,3.0,11.0,36.0,14.0,1.0,0.0,0.0,85.0,85.0,52.0,62.0
1648,Dwight McNeil,eng ENG,MF,Burnley,Premier League,18.0,1999.0,17.7,2.0,0.0,0.0,15.0,10.0,1.0,117.0,13.0,22.0,0.0,0.0,0.0,102.0,21.0,23.0,47.7
1649,Scott McTominay,sct SCO,"MF,DF",Manchester Utd,Premier League,21.0,1996.0,9.6,1.0,0.0,0.0,11.0,16.0,1.0,2.0,15.0,9.0,0.0,0.0,0.0,52.0,34.0,26.0,56.7
1650,Iuri Medeiros,pt POR,"MF,FW",Genoa,Serie A,24.0,1994.0,1.2,0.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0
1651,Nicky Medja,ch SUI,"FW,MF",Fiorentina,Serie A,18.0,2000.0,0.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,25.0
1652,Álvaro Medrán,es ESP,MF,Rayo Vallecano,La Liga,24.0,1994.0,12.8,8.0,1.0,1.0,25.0,18.0,2.0,52.0,17.0,8.0,0.0,1.0,0.0,93.0,11.0,10.0,52.4
1653,Ben Mee,eng ENG,DF,Burnley,Premier League,28.0,1989.0,38.0,9.0,0.0,0.0,27.0,18.0,0.0,4.0,48.0,24.0,0.0,1.0,2.0,246.0,148.0,102.0,59.2
1654,Riccardo Meggiorini,it ITA,FW,Chievo,Serie A,32.0,1985.0,17.2,6.0,0.0,0.0,34.0,55.0,11.0,23.0,8.0,13.0,1.0,0.0,0.0,50.0,90.0,62.0,59.2
1655,Admir Mehmedi,ch SUI,"FW,MF",Wolfsburg,Bundesliga,27.0,1991.0,18.8,1.0,0.0,0.0,28.0,38.0,17.0,78.0,12.0,28.0,0.0,0.0,0.0,84.0,24.0,39.0,38.1
1656,Soualiho Meïté,fr FRA,MF,Torino,Serie A,24.0,1994.0,29.5,7.0,1.0,0.0,61.0,52.0,1.0,14.0,29.0,21.0,0.0,1.0,0.0,210.0,82.0,107.0,43.4
1657,Farid El Melali,dz ALG,"MF,FW",Angers,Ligue 1,21.0,1997.0,3.6,1.0,0.0,0.0,6.0,7.0,0.0,8.0,5.0,4.0,0.0,0.0,0.0,20.0,1.0,6.0,14.3
1658,Óscar Melendo,es ESP,"MF,FW",Espanyol,La Liga,20.0,1997.0,22.2,3.0,0.0,0.0,11.0,56.0,0.0,13.0,13.0,8.0,0.0,0.0,0.0,99.0,8.0,35.0,18.6
1659,Gonzalo Melero,es ESP,MF,Huesca,La Liga,24.0,1994.0,14.9,3.0,0.0,0.0,32.0,17.0,1.0,3.0,2.0,23.0,2.0,0.0,0.0,96.0,24.0,22.0,52.2
1660,Arthur Melo,br BRA,MF,Barcelona,La Liga,21.0,1996.0,15.9,2.0,0.0,0.0,11.0,40.0,0.0,4.0,9.0,10.0,0.0,0.0,0.0,109.0,3.0,7.0,30.0
1661,Memphis,nl NED,"FW,MF",Lyon,Ligue 1,24.0,1994.0,30.4,5.0,0.0,0.0,36.0,33.0,10.0,200.0,9.0,9.0,0.0,0.0,0.0,108.0,12.0,16.0,42.9
1662,Pedro Mendes,pt POR,DF,Montpellier,Ligue 1,27.0,1990.0,29.6,7.0,0.0,0.0,45.0,48.0,0.0,10.0,48.0,42.0,1.0,0.0,0.0,156.0,34.0,52.0,39.5
1664,Thiago Mendes,br BRA,MF,Lille,Ligue 1,26.0,1992.0,34.2,10.0,0.0,0.0,39.0,66.0,0.0,136.0,68.0,47.0,0.0,2.0,0.0,311.0,24.0,36.0,40.0
1665,Brais Méndez,es ESP,"MF,FW",Celta Vigo,La Liga,21.0,1997.0,26.1,5.0,0.0,0.0,38.0,64.0,11.0,108.0,24.0,31.0,1.0,0.0,0.0,133.0,29.0,58.0,33.3
1666,Nathaniel Mendez-Laing,eng ENG,"MF,FW",Cardiff City,Premier League,26.0,1992.0,10.9,0.0,0.0,0.0,7.0,3.0,3.0,27.0,13.0,25.0,1.0,0.0,0.0,58.0,23.0,43.0,34.8
1667,Stiven Mendoza,co COL,"FW,MF",Amiens,Ligue 1,26.0,1992.0,20.9,4.0,0.0,0.0,24.0,45.0,2.0,84.0,17.0,18.0,0.0,0.0,0.0,122.0,8.0,14.0,36.4
1668,Alexandre Mendy,gw GNB,FW,Guingamp,Ligue 1,24.0,1994.0,8.5,2.0,0.0,0.0,14.0,9.0,10.0,3.0,1.0,3.0,0.0,0.0,0.0,14.0,21.0,37.0,36.2
1669,Benjamin Mendy,fr FRA,DF,Manchester City,Premier League,24.0,1994.0,10.0,1.0,0.0,0.0,12.0,2.0,0.0,51.0,10.0,10.0,0.0,0.0,0.0,65.0,8.0,22.0,26.7
1670,Edouard Mendy,sn SEN,GK,Reims,Ligue 1,26.0,1992.0,38.0,3.0,0.0,0.0,2.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,42.0,15.0,0.0,100.0
1671,Ferland Mendy,fr FRA,DF,Lyon,Ligue 1,23.0,1995.0,28.1,2.0,0.0,0.0,28.0,44.0,0.0,80.0,34.0,28.0,0.0,1.0,0.0,195.0,46.0,36.0,56.1
1672,Nampalys Mendy,sn SEN,MF,Leicester City,Premier League,26.0,1992.0,23.2,5.0,0.0,0.0,22.0,36.0,0.0,3.0,26.0,18.0,0.0,1.0,0.0,145.0,8.0,15.0,34.8
1673,Hamza Mendyl,ma MAR,DF,Schalke 04,Bundesliga,20.0,1997.0,6.0,5.0,0.0,0.0,11.0,6.0,0.0,19.0,8.0,15.0,0.0,0.0,0.0,33.0,3.0,10.0,23.1
