,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Progression - PrgR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
0,Max Aarons,EN,DF,Bournemouth,Premier League,23,2000,12,11,950,10.6,0,1,1,0,0,0,1,0,0.0,0.0,0.8,0.8,16,31,19,0.00,0.09,0.09,0.00,0.09,0.00,0.08,0.08,0.00,0.08
1,Brenden Aaronson,US,MF,Union Berlin,Bundesliga,23,2000,8,4,288,3.2,0,0,0,0,0,0,2,1,0.1,0.1,0.3,0.4,2,9,17,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.13,0.04,0.13
2,Paxten Aaronson,US,MF,Eint Frankfurt,Bundesliga,20,2003,5,0,45,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,2,5,3,0.00,2.00,2.00,0.00,2.00,0.00,0.16,0.16,0.00,0.16
3,Yunis Abdelhamid,MA,DF,Reims,Ligue 1,36,1987,12,12,1080,12.0,2,0,2,2,0,0,2,0,1.4,1.4,0.2,1.6,14,57,2,0.17,0.00,0.17,0.17,0.17,0.11,0.02,0.13,0.11,0.13
4,Salis Abdul Samed,GH,MF,Lens,Ligue 1,23,2000,12,9,844,9.4,0,0,0,0,0,0,2,0,0.8,0.8,0.5,1.3,5,49,14,0.00,0.00,0.00,0.00,0.00,0.09,0.05,0.14,0.09,0.14
5,Laurent Abergel,FR,MF,Lorient,Ligue 1,30,1993,12,12,1080,12.0,1,1,2,1,0,0,1,0,0.5,0.5,0.6,1.1,10,57,9,0.08,0.08,0.17,0.08,0.17,0.04,0.05,0.09,0.04,0.09
6,Matthis Abline,FR,FW,Nantes,Ligue 1,20,2003,6,4,319,3.5,1,0,1,1,0,0,0,0,0.7,0.7,1.3,2.0,4,4,29,0.28,0.00,0.28,0.28,0.28,0.19,0.38,0.57,0.19,0.57
7,Abner,BR,DF,Betis,La Liga,23,2000,9,5,522,5.8,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.4,5,11,29,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.01,0.07
8,Zakaria Aboukhlal,MA,"MF,FW",Toulouse,Ligue 1,23,2000,5,4,376,4.2,3,0,3,2,1,1,0,0,2.2,1.4,0.2,1.6,12,12,35,0.72,0.00,0.72,0.48,0.48,0.52,0.04,0.56,0.33,0.37
9,Abdel Abqar,MA,DF,Alavés,La Liga,24,1999,10,10,899,10.0,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,1,22,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
10,Francesco Acerbi,IT,DF,Inter,Serie A,35,1988,9,9,810,9.0,1,1,2,1,0,0,1,0,0.7,0.7,1.6,2.4,7,26,11,0.11,0.11,0.22,0.11,0.22,0.08,0.18,0.26,0.08,0.26
11,Marcos Acuna,AR,DF,Sevilla,La Liga,32,1991,7,6,411,4.6,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,11,19,14,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.09,0.02,0.09
12,Benie Adama Traore,CI,"FW,MF",Sheffield Utd,Premier League,20,2002,6,3,325,3.6,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.7,7,9,13,0.00,0.00,0.00,0.00,0.00,0.07,0.13,0.20,0.07,0.20
13,Akor Adams,NG,FW,Montpellier,Ligue 1,23,2000,11,11,874,9.7,7,0,7,7,0,0,1,0,5.7,5.7,0.7,6.3,19,5,58,0.72,0.00,0.72,0.72,0.72,0.58,0.07,0.65,0.58,0.65
14,Junior Adamu,AT,"FW,MF",Freiburg,Bundesliga,22,2001,7,0,77,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,5,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
15,Sargis Adamyan,AM,"FW,MF",Köln,Bundesliga,30,1993,5,0,142,1.6,0,1,1,0,0,0,1,0,0.9,0.9,0.5,1.5,4,5,19,0.00,0.63,0.63,0.00,0.63,0.59,0.34,0.93,0.59,0.93
16,Tosin Adarabioyo,EN,DF,Fulham,Premier League,26,1997,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,Elijah Adebayo,EN,FW,Luton Town,Premier League,25,1998,12,4,388,4.3,2,0,2,2,0,0,0,0,1.4,1.4,0.3,1.7,4,7,27,0.46,0.00,0.46,0.46,0.46,0.32,0.06,0.39,0.32,0.39
18,Karim Adeyemi,DE,"FW,MF",Dortmund,Bundesliga,21,2002,9,3,323,3.6,0,1,1,0,0,0,2,0,0.8,0.8,0.8,1.6,14,11,30,0.00,0.28,0.28,0.00,0.28,0.22,0.23,0.45,0.22,0.45
19,Simon Adingra,CI,"FW,MF",Brighton,Premier League,21,2002,11,7,666,7.4,3,1,4,3,0,0,1,0,1.4,1.4,1.4,2.8,24,13,65,0.41,0.14,0.54,0.41,0.54,0.19,0.19,0.38,0.19,0.38
20,Amine Adli,MA,MF,Leverkusen,Bundesliga,23,2000,8,1,154,1.7,1,2,3,1,0,0,1,0,0.3,0.3,0.4,0.7,11,8,28,0.58,1.17,1.75,0.58,1.75,0.18,0.24,0.42,0.18,0.42
21,Yacine Adli,FR,MF,Milan,Serie A,23,2000,5,4,295,3.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,6,33,3,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.04,0.01,0.04
