,Squad,Comp,# Pl,Age,Poss,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
19,Cagliari,Serie A,33.0,27.4,45.7,38.0,418.0,3420.0,38.0,50.0,34.0,46.0,4.0,6.0,108.0,6.0,1.32,0.89,2.21,1.21,2.11,41.8,37.1,32.0,69.0,1.1,0.84,1.94,0.98,1.82
20,Celta Vigo,La Liga,30.0,25.8,51.7,38.0,418.0,3420.0,38.0,37.0,26.0,31.0,6.0,9.0,104.0,6.0,0.97,0.68,1.66,0.82,1.5,39.2,32.4,26.2,58.7,1.03,0.69,1.72,0.85,1.54
21,Chelsea,Premier League,27.0,25.5,60.4,38.0,418.0,3420.0,38.0,69.0,46.0,62.0,7.0,7.0,60.0,0.0,1.82,1.21,3.03,1.63,2.84,69.2,64.4,46.7,111.1,1.82,1.23,3.05,1.7,2.92
22,Crystal Palace,Premier League,25.0,29.4,44.8,38.0,418.0,3420.0,38.0,29.0,20.0,26.0,3.0,3.0,62.0,2.0,0.76,0.53,1.29,0.68,1.21,35.8,33.6,26.0,59.5,0.94,0.68,1.63,0.88,1.57
23,Dijon,Ligue 1,28.0,26.9,46.5,28.0,308.0,2520.0,28.0,26.0,17.0,25.0,1.0,1.0,43.0,2.0,0.93,0.61,1.54,0.89,1.5,30.5,29.9,22.9,52.8,1.09,0.82,1.91,1.07,1.88
24,Dortmund,Bundesliga,27.0,25.8,60.4,34.0,374.0,3060.0,34.0,84.0,74.0,82.0,2.0,2.0,49.0,1.0,2.47,2.18,4.65,2.41,4.59,61.0,59.5,50.6,110.1,1.8,1.49,3.28,1.75,3.24
25,Düsseldorf,Bundesliga,28.0,27.1,45.6,34.0,374.0,3060.0,34.0,36.0,26.0,32.0,4.0,4.0,78.0,0.0,1.06,0.76,1.82,0.94,1.71,35.9,32.7,24.2,56.9,1.06,0.71,1.77,0.96,1.67
26,Eibar,La Liga,26.0,29.3,46.3,38.0,418.0,3420.0,38.0,38.0,24.0,31.0,7.0,10.0,92.0,3.0,1.0,0.63,1.63,0.82,1.45,42.0,34.2,26.0,60.2,1.1,0.68,1.79,0.9,1.58
27,Eint Frankfurt,Bundesliga,27.0,27.0,50.9,34.0,374.0,3060.0,34.0,57.0,45.0,55.0,2.0,2.0,71.0,4.0,1.68,1.32,3.0,1.62,2.94,59.5,58.0,44.8,102.8,1.75,1.32,3.07,1.71,3.02
28,Espanyol,La Liga,31.0,27.7,47.4,38.0,418.0,3420.0,38.0,25.0,17.0,21.0,4.0,4.0,107.0,9.0,0.66,0.45,1.11,0.55,1.0,38.6,35.6,27.3,62.9,1.02,0.72,1.74,0.94,1.66
29,Everton,Premier League,24.0,25.5,49.0,38.0,418.0,3420.0,38.0,42.0,32.0,41.0,1.0,1.0,76.0,3.0,1.11,0.84,1.95,1.08,1.92,50.8,50.0,38.1,88.1,1.34,1.0,2.34,1.32,2.32
30,Fiorentina,Serie A,33.0,25.1,47.4,38.0,418.0,3420.0,38.0,48.0,30.0,39.0,9.0,11.0,105.0,5.0,1.26,0.79,2.05,1.03,1.82,53.6,45.4,34.5,79.8,1.41,0.91,2.32,1.19,2.1
31,Freiburg,Bundesliga,26.0,26.4,48.1,34.0,374.0,3060.0,34.0,46.0,27.0,41.0,5.0,6.0,43.0,2.0,1.35,0.79,2.15,1.21,2.0,46.7,42.0,33.0,75.0,1.37,0.97,2.34,1.24,2.21
32,Genoa,Serie A,34.0,26.8,49.5,38.0,418.0,3420.0,38.0,46.0,28.0,35.0,11.0,16.0,107.0,10.0,1.21,0.74,1.95,0.92,1.66,48.7,36.2,27.6,63.7,1.28,0.73,2.01,0.95,1.68
33,Getafe,La Liga,30.0,27.5,45.0,38.0,418.0,3420.0,38.0,42.0,31.0,36.0,6.0,7.0,135.0,5.0,1.11,0.82,1.92,0.95,1.76,41.6,36.1,27.9,64.0,1.09,0.73,1.83,0.95,1.69
34,Granada,La Liga,27.0,26.8,43.8,38.0,418.0,3420.0,38.0,50.0,34.0,45.0,5.0,5.0,109.0,1.0,1.32,0.89,2.21,1.18,2.08,44.9,40.9,30.5,71.4,1.18,0.8,1.98,1.08,1.88
35,Hellas Verona,Serie A,30.0,26.1,49.8,38.0,418.0,3420.0,38.0,45.0,27.0,37.0,8.0,9.0,87.0,7.0,1.18,0.71,1.89,0.97,1.68,50.5,43.6,34.5,78.1,1.33,0.91,2.24,1.15,2.06
36,Hertha BSC,Bundesliga,32.0,26.2,44.7,34.0,374.0,3060.0,34.0,45.0,35.0,42.0,3.0,3.0,77.0,4.0,1.32,1.03,2.35,1.24,2.26,43.1,40.7,32.7,73.4,1.27,0.96,2.23,1.2,2.16
37,Hoffenheim,Bundesliga,31.0,26.0,51.6,34.0,374.0,3060.0,34.0,52.0,36.0,49.0,3.0,4.0,66.0,2.0,1.53,1.06,2.59,1.44,2.5,56.1,53.0,40.2,93.2,1.65,1.18,2.83,1.56,2.74
38,Inter,Serie A,29.0,27.7,54.2,38.0,418.0,3420.0,38.0,80.0,57.0,70.0,10.0,11.0,104.0,6.0,2.11,1.5,3.61,1.84,3.34,69.4,60.8,44.0,104.7,1.83,1.16,2.98,1.6,2.76
39,Juventus,Serie A,30.0,28.6,58.1,38.0,418.0,3420.0,38.0,73.0,47.0,60.0,13.0,14.0,87.0,3.0,1.92,1.24,3.16,1.58,2.82,71.1,60.1,45.5,105.6,1.87,1.2,3.07,1.58,2.78
40,Köln,Bundesliga,29.0,25.6,46.7,34.0,374.0,3060.0,34.0,50.0,38.0,48.0,2.0,4.0,79.0,4.0,1.47,1.12,2.59,1.41,2.53,48.9,46.3,35.6,81.9,1.44,1.05,2.49,1.36,2.41
41,Lazio,Serie A,27.0,27.9,50.4,38.0,418.0,3420.0,38.0,77.0,45.0,62.0,15.0,18.0,99.0,2.0,2.03,1.18,3.21,1.63,2.82,68.0,53.9,42.5,96.4,1.79,1.12,2.91,1.42,2.54
42,Lecce,Serie A,30.0,28.7,44.8,38.0,418.0,3420.0,38.0,52.0,30.0,41.0,11.0,15.0,98.0,5.0,1.37,0.79,2.16,1.08,1.87,54.7,43.5,32.6,76.1,1.44,0.86,2.3,1.15,2.0
43,Leganés,La Liga,29.0,26.9,43.9,38.0,418.0,3420.0,38.0,30.0,19.0,27.0,3.0,5.0,127.0,4.0,0.79,0.5,1.29,0.71,1.21,39.9,35.9,27.7,63.7,1.05,0.73,1.78,0.95,1.68
44,Leicester City,Premier League,24.0,26.1,57.1,38.0,418.0,3420.0,38.0,65.0,48.0,60.0,5.0,7.0,43.0,3.0,1.71,1.26,2.97,1.58,2.84,62.2,56.7,44.9,101.6,1.64,1.18,2.82,1.49,2.67
45,Levante,La Liga,29.0,27.7,48.3,38.0,418.0,3420.0,38.0,45.0,28.0,40.0,5.0,5.0,79.0,5.0,1.18,0.74,1.92,1.05,1.79,48.1,44.2,36.3,80.5,1.27,0.95,2.22,1.16,2.12
46,Leverkusen,Bundesliga,24.0,26.1,63.2,34.0,374.0,3060.0,34.0,57.0,48.0,55.0,2.0,2.0,61.0,6.0,1.68,1.41,3.09,1.62,3.03,59.1,57.5,48.6,106.1,1.74,1.43,3.17,1.69,3.12
47,Lille,Ligue 1,25.0,24.3,52.9,28.0,308.0,2520.0,28.0,35.0,25.0,30.0,5.0,8.0,49.0,3.0,1.25,0.89,2.14,1.07,1.96,40.3,34.0,24.5,58.5,1.44,0.88,2.31,1.21,2.09
48,Liverpool,Premier League,24.0,26.6,62.9,38.0,418.0,3420.0,38.0,83.0,69.0,78.0,5.0,5.0,38.0,1.0,2.18,1.82,4.0,2.05,3.87,68.9,65.0,53.0,118.0,1.81,1.39,3.21,1.71,3.1
49,Lyon,Ligue 1,27.0,24.8,56.2,28.0,308.0,2520.0,28.0,42.0,29.0,37.0,5.0,6.0,49.0,4.0,1.5,1.04,2.54,1.32,2.36,37.6,33.0,25.2,58.2,1.34,0.9,2.24,1.18,2.08
50,M'Gladbach,Bundesliga,25.0,26.3,52.4,34.0,374.0,3060.0,34.0,64.0,53.0,60.0,4.0,6.0,77.0,3.0,1.88,1.56,3.44,1.76,3.32,72.0,67.2,53.6,120.8,2.12,1.58,3.69,1.98,3.55
51,Mainz 05,Bundesliga,25.0,24.6,43.2,34.0,374.0,3060.0,34.0,42.0,34.0,39.0,3.0,3.0,75.0,3.0,1.24,1.0,2.24,1.15,2.15,48.2,45.8,37.4,83.2,1.42,1.1,2.52,1.35,2.45
52,Mallorca,La Liga,32.0,26.8,45.0,38.0,418.0,3420.0,38.0,39.0,21.0,31.0,8.0,10.0,93.0,5.0,1.03,0.55,1.58,0.82,1.37,41.1,33.3,25.4,58.7,1.08,0.67,1.75,0.88,1.55
53,Manchester City,Premier League,24.0,26.9,66.2,38.0,418.0,3420.0,38.0,100.0,69.0,94.0,6.0,11.0,64.0,4.0,2.63,1.82,4.45,2.47,4.29,92.0,83.6,68.4,152.0,2.42,1.8,4.22,2.2,4.0
54,Manchester Utd,Premier League,29.0,24.8,55.8,38.0,418.0,3420.0,38.0,65.0,43.0,55.0,10.0,14.0,73.0,0.0,1.71,1.13,2.84,1.45,2.58,62.2,51.2,38.5,89.7,1.64,1.01,2.65,1.35,2.36
55,Marseille,Ligue 1,23.0,27.1,53.5,28.0,308.0,2520.0,28.0,38.0,28.0,34.0,4.0,6.0,67.0,3.0,1.36,1.0,2.36,1.21,2.21,36.2,31.6,25.8,57.5,1.29,0.92,2.22,1.13,2.05
56,Metz,Ligue 1,24.0,25.9,45.3,28.0,308.0,2520.0,28.0,27.0,20.0,25.0,2.0,4.0,45.0,4.0,0.96,0.71,1.68,0.89,1.61,27.1,24.0,18.0,41.9,0.97,0.64,1.61,0.86,1.5
57,Milan,Serie A,32.0,24.6,54.9,38.0,418.0,3420.0,38.0,60.0,38.0,52.0,8.0,9.0,97.0,6.0,1.58,1.0,2.58,1.37,2.37,62.8,56.0,46.0,101.9,1.65,1.21,2.86,1.47,2.68
58,Monaco,Ligue 1,28.0,26.0,50.9,28.0,308.0,2520.0,28.0,44.0,29.0,40.0,4.0,4.0,60.0,10.0,1.57,1.04,2.61,1.43,2.46,48.8,45.6,33.1,78.7,1.74,1.18,2.92,1.63,2.81
59,Montpellier,Ligue 1,27.0,28.5,47.6,28.0,308.0,2520.0,28.0,33.0,19.0,31.0,2.0,5.0,55.0,5.0,1.18,0.68,1.86,1.11,1.79,35.3,31.3,23.2,54.6,1.26,0.83,2.09,1.12,1.95
60,Nantes,Ligue 1,29.0,25.4,48.0,28.0,308.0,2520.0,28.0,23.0,16.0,21.0,2.0,2.0,51.0,2.0,0.82,0.57,1.39,0.75,1.32,30.2,28.7,23.6,52.4,1.08,0.84,1.92,1.03,1.87
61,Napoli,Serie A,25.0,26.9,59.2,38.0,418.0,3420.0,38.0,60.0,45.0,55.0,5.0,5.0,73.0,2.0,1.58,1.18,2.76,1.45,2.63,61.7,57.8,46.8,104.6,1.62,1.23,2.85,1.52,2.75
62,Newcastle Utd,Premier League,28.0,26.5,39.0,38.0,418.0,3420.0,38.0,38.0,29.0,38.0,0.0,1.0,66.0,3.0,1.0,0.76,1.76,1.0,1.76,35.5,34.8,26.9,61.7,0.94,0.71,1.64,0.91,1.62
63,Nice,Ligue 1,31.0,23.9,54.6,28.0,308.0,2520.0,28.0,41.0,30.0,36.0,5.0,5.0,54.0,7.0,1.46,1.07,2.54,1.29,2.36,35.7,31.9,24.9,56.8,1.28,0.89,2.17,1.14,2.03
64,Nîmes,Ligue 1,28.0,25.4,45.0,28.0,308.0,2520.0,28.0,29.0,20.0,27.0,2.0,2.0,41.0,6.0,1.04,0.71,1.75,0.96,1.68,30.2,28.7,22.2,50.8,1.08,0.79,1.87,1.02,1.82
65,Norwich City,Premier League,30.0,26.0,49.3,38.0,418.0,3420.0,38.0,25.0,18.0,23.0,2.0,2.0,68.0,3.0,0.66,0.47,1.13,0.61,1.08,37.0,35.4,27.4,62.8,0.97,0.72,1.69,0.93,1.65
66,Osasuna,La Liga,31.0,27.7,47.4,38.0,418.0,3420.0,38.0,46.0,26.0,38.0,8.0,8.0,110.0,6.0,1.21,0.68,1.89,1.0,1.68,49.4,43.2,34.4,77.6,1.3,0.91,2.21,1.14,2.04
67,Paderborn 07,Bundesliga,27.0,25.7,45.9,34.0,374.0,3060.0,34.0,37.0,26.0,35.0,2.0,4.0,84.0,3.0,1.09,0.76,1.85,1.03,1.79,39.2,36.1,26.8,62.9,1.15,0.79,1.94,1.06,1.85
