,Squad,Comp,# Pl,Age,Poss,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG
0,Alaves,La Liga,22,27.0,46.1,9,99,810,9.0,5,5,10,5,0,1,22,1,11.3,10.5,8.2,18.8,134,317,0.56,0.56,1.11,0.56,1.11,1.26,0.91,2.17,1.17,2.08
1,Almeria,La Liga,26,25.4,50.8,9,99,810,9.0,11,7,18,10,1,1,19,1,14.9,14.1,11.4,25.5,161,300,1.22,0.78,2.0,1.11,1.89,1.65,1.27,2.92,1.57,2.83
2,Arsenal,Premier League,22,25.0,60.5,8,88,720,8.0,15,9,24,10,5,5,14,1,14.9,11.2,8.1,19.3,173,393,1.87,1.13,3.0,1.25,2.37,1.86,1.01,2.87,1.4,2.41
3,Aston Villa,Premier League,23,27.0,49.1,8,88,720,8.0,18,12,30,16,2,2,22,0,15.1,13.6,10.2,23.8,148,300,2.25,1.5,3.75,2.0,3.5,1.88,1.28,3.16,1.7,2.98
4,Atalanta,Serie A,24,27.0,51.1,8,88,720,8.0,13,13,26,13,0,0,11,0,10.1,10.1,7.9,18.0,174,351,1.62,1.62,3.25,1.62,3.25,1.26,0.99,2.25,1.26,2.25
5,Athletic Club,La Liga,22,28.1,52.9,9,99,810,9.0,16,11,27,14,2,2,25,2,14.4,12.9,10.2,23.0,162,368,1.78,1.22,3.0,1.56,2.78,1.6,1.13,2.73,1.43,2.56
6,Atletico Madrid,La Liga,22,29.7,48.6,8,88,720,8.0,20,12,32,19,1,1,20,1,14.7,14.0,11.9,26.0,138,306,2.5,1.5,4.0,2.37,3.87,1.83,1.49,3.33,1.75,3.25
7,Augsburg,Bundesliga,22,25.7,45.0,7,77,630,7.0,10,6,16,9,1,1,13,1,9.0,8.2,6.0,14.2,74,190,1.43,0.86,2.29,1.29,2.14,1.28,0.86,2.14,1.17,2.03
8,Barcelona,La Liga,23,26.6,69.2,9,99,810,9.0,20,13,33,19,1,1,19,1,21.2,20.4,15.1,35.5,272,481,2.22,1.44,3.67,2.11,3.56,2.35,1.68,4.03,2.26,3.94
9,Bayern Munich,Bundesliga,20,27.7,63.6,7,77,630,7.0,22,17,39,19,3,3,10,0,19.7,17.4,15.0,32.4,230,423,3.14,2.43,5.57,2.71,5.14,2.81,2.14,4.95,2.48,4.63
10,Betis,La Liga,27,28.5,52.3,9,99,810,9.0,11,7,18,11,0,0,20,1,9.4,9.4,7.9,17.3,163,361,1.22,0.78,2.0,1.22,2.0,1.05,0.88,1.93,1.05,1.93
11,Bochum,Bundesliga,23,29.8,44.0,7,77,630,7.0,5,4,9,4,1,1,15,0,7.7,6.9,5.4,12.4,73,229,0.71,0.57,1.29,0.57,1.14,1.11,0.77,1.88,0.99,1.76
12,Bologna,Serie A,23,25.9,52.9,8,88,720,8.0,8,5,13,7,1,2,18,1,9.1,7.5,5.3,12.8,146,295,1.0,0.62,1.62,0.87,1.5,1.14,0.66,1.8,0.94,1.6
13,Bournemouth,Premier League,23,25.8,44.0,8,88,720,8.0,5,4,9,5,0,0,13,0,8.8,8.8,5.8,14.6,142,253,0.62,0.5,1.13,0.62,1.13,1.1,0.72,1.83,1.1,1.83
14,Brentford,Premier League,24,26.3,49.0,8,88,720,8.0,11,7,18,9,2,2,18,0,13.8,12.4,10.2,22.6,111,297,1.37,0.87,2.25,1.13,2.0,1.72,1.27,2.99,1.55,2.82
15,Brest,Ligue 1,22,27.3,50.3,8,88,720,8.0,9,4,13,7,2,2,20,0,12.1,10.5,8.0,18.5,148,284,1.13,0.5,1.62,0.87,1.37,1.51,1.0,2.51,1.31,2.32
16,Brighton,Premier League,25,27.2,60.1,8,88,720,8.0,20,16,36,19,1,1,23,0,16.5,15.7,13.2,28.9,187,369,2.5,2.0,4.5,2.37,4.37,2.06,1.65,3.72,1.96,3.62
17,Burnley,Premier League,24,24.7,48.8,8,88,720,8.0,7,7,14,7,0,0,17,2,6.5,6.5,5.6,12.1,135,219,0.87,0.87,1.75,0.87,1.75,0.81,0.7,1.52,0.81,1.52
