,Unnamed: 0,Squad,Comp,# Pl,Age,Poss,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG,Unnamed: 0,# Pl,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG,Unnamed: 0,# Pl,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Unnamed: 0,# Pl,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks,Unnamed: 0,# Pl,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def,Unnamed: 0,# Pl,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err,Unnamed: 0,# Pl,Poss,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR,Unnamed: 0,# Pl,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90,Unnamed: 0,# Pl,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%,Unnamed: 0,# Pl,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
0,0,Alaves,La Liga,30,28.7,42.8,38,418,3420,38.0,35,21,56,30,5,8,96,8,42.6,36.4,27.4,63.7,404,938,0.92,0.55,1.47,0.79,1.34,1.12,0.72,1.84,0.96,1.68,0,30,38.0,35,339,95,28.0,8.92,2.5,0.09,0.32,17.4,12,5,8,42.6,36.4,0.11,-7.6,-6.4,0,30,38.0,10216,14388,71.0,196775,86618,4463,5484,81.4,4016,5139,78.1,1482,2923,50.7,21,27.4,21.0,-6.4,256,789,189,82,938,0,30,38.0,14388,12378,1937,595,11,144,645,800,142,42,68,4,10216,73,265,0,30,38.0,595,15.66,375,98,24,35,50,13,59,1.55,28,10,3,5,9,4,0,30,38.0,499,292,263,181,55,197,565,34.9,368,341,90,251,427,926,766,8,0,30,42.8,38.0,18193,2104,6503,8084,3788,575,18185,467,254,54.4,214,45.8,8988,44447,20940,404,315,104,557,256,10112,925,0,30,38,3420,90,100,38.0,418,82,248,163,20,254,1.0,36,57,-21,-0.55,42.6,49.9,-7.3,-0.19,0,30,38.0,96,8,5,513,487,73,645,427,292,5,3,0,1737,831,602,58.0,0,2,38,38,3420,38.0,57,1.5,142,85,62.0,9,11,18,9,23.7,3,3,0,0,0.0
1,1,Angers,Ligue 1,31,27.9,46.4,38,418,3420,38.0,40,23,63,35,5,6,65,2,41.6,36.9,26.4,63.3,614,1435,1.05,0.61,1.66,0.92,1.53,1.1,0.7,1.79,0.97,1.67,1,31,38.0,40,401,135,33.7,10.55,3.55,0.09,0.26,18.9,18,5,6,41.6,36.9,0.09,-1.6,-1.9,1,31,38.0,14883,18822,79.1,260279,99308,6976,7852,88.8,5985,7038,85.0,1531,2897,52.8,23,26.4,25.0,-3.4,294,1059,221,62,1435,1,31,38.0,18822,16876,1907,551,30,135,662,824,168,68,78,1,14883,39,355,1,31,38.0,706,18.58,525,48,41,38,42,12,66,1.74,42,8,2,5,7,2,1,31,38.0,626,376,302,256,68,314,754,41.6,440,330,78,252,443,1069,654,1,1,31,46.4,38.0,22924,1893,6979,11326,4872,574,22918,744,386,51.9,358,48.1,13323,66694,31192,614,485,118,635,394,14792,1418,1,31,38,3420,90,100,38.0,418,81,247,170,21,168,1.16,40,58,-18,-0.47,41.6,52.3,-10.7,-0.28,1,31,38.0,65,2,1,461,483,39,662,443,376,6,8,1,2074,477,562,45.9,1,1,38,38,3420,38.0,58,1.53,139,82,63.3,12,8,18,9,23.7,8,7,1,0,12.5
2,2,Arminia,Bundesliga,26,26.0,42.3,34,374,3060,34.0,23,16,39,22,1,2,52,1,32.9,31.3,23.9,55.2,358,880,0.68,0.47,1.15,0.65,1.12,0.97,0.7,1.67,0.92,1.62,2,26,34.0,23,331,100,30.2,9.74,2.94,0.07,0.22,18.5,14,1,2,32.9,31.3,0.1,-9.9,-9.3,2,26,34.0,10582,14604,72.5,214163,88686,3914,4823,81.2,4806,5879,81.7,1610,3097,52.0,16,23.9,25.4,-7.9,229,795,172,50,880,2,26,34.0,14604,12895,1660,493,13,114,471,714,118,54,43,1,10582,49,274,2,26,34.0,558,16.41,371,60,40,27,48,12,38,1.12,27,2,4,2,2,1,2,26,34.0,552,328,268,229,55,214,536,39.9,322,393,122,271,418,970,739,9,2,26,42.3,34.0,18394,2538,7581,7559,3417,529,18392,435,233,53.6,202,46.4,9625,46369,23235,358,224,71,557,262,10498,874,2,26,34,3060,90,100,34.0,374,83,227,147,17,157,1.03,26,52,-26,-0.76,32.9,56.8,-23.9,-0.7,2,26,34.0,52,1,0,390,417,49,471,418,328,2,6,1,1725,740,711,51.0,2,1,34,34,3060,34.0,52,1.53,170,118,72.4,9,8,17,11,32.4,6,5,1,0,16.7
3,3,Arsenal,Premier League,29,25.9,53.5,38,418,3420,38.0,53,38,91,47,6,6,49,5,51.8,47.0,35.1,82.1,758,1760,1.39,1.0,2.39,1.24,2.24,1.36,0.92,2.29,1.24,2.16,3,29,38.0,53,453,140,30.9,11.92,3.68,0.1,0.34,17.7,23,6,6,51.8,47.0,0.11,1.2,0.0,3,29,38.0,18041,21807,82.7,306094,93540,8319,9236,90.1,7770,8814,88.2,1453,2621,55.4,38,35.1,35.3,2.9,332,1377,325,67,1760,3,29,38.0,21807,20122,1624,440,34,133,751,663,207,86,64,12,18041,61,311,3,29,38.0,813,21.39,623,44,49,45,46,6,95,2.5,69,2,8,6,8,2,3,29,38.0,456,252,206,184,66,212,547,38.8,335,368,113,255,351,807,643,16,3,29,53.5,38.0,25431,2426,7970,11384,6240,910,25425,535,296,55.3,239,44.7,15543,83237,45097,758,499,195,511,260,17924,1748,3,29,38,3420,90,100,38.0,418,84,301,114,19,201,1.61,55,39,16,0.42,51.8,43.0,8.8,0.23,3,29,38.0,49,5,1,346,400,61,751,351,252,5,3,4,1838,504,594,45.9,3,3,38,38,3417,38.0,39,1.03,129,93,71.3,18,7,13,12,31.6,3,2,1,0,33.3
4,4,Aston Villa,Premier League,24,25.2,48.5,38,418,3420,38.0,52,38,90,47,5,6,71,4,52.5,47.9,37.4,85.3,629,1420,1.37,1.0,2.37,1.24,2.24,1.38,0.98,2.37,1.26,2.25,4,24,38.0,52,514,178,34.6,13.53,4.68,0.09,0.26,17.3,16,5,6,52.5,47.9,0.1,-0.5,-0.9,4,24,38.0,12938,16996,76.1,235927,93009,5729,6654,86.1,5222,6209,84.1,1571,3074,51.1,38,37.4,31.4,0.6,403,1086,323,76,1420,4,24,38.0,16996,15003,1922,590,12,127,779,780,213,106,39,15,12938,71,275,4,24,38.0,940,24.74,670,91,63,47,58,11,94,2.47,66,8,4,6,9,1,4,24,38.0,530,282,262,202,66,250,571,43.8,321,438,159,279,387,917,783,17,4,24,48.5,38.0,21113,2577,6973,8614,5759,947,21107,595,369,62.0,223,37.5,11291,60378,30659,629,463,226,579,337,12832,1403,4,24,38,3420,90,100,38.0,418,86,324,91,17,229,1.45,55,46,9,0.24,52.5,51.1,1.4,0.04,4,24,38.0,71,4,4,439,553,71,779,387,282,6,6,1,1906,728,665,52.3,4,1,38,38,3420,38.0,46,1.21,186,133,78.0,16,7,15,15,39.5,6,5,1,0,16.7
5,5,Atalanta,Serie A,30,27.3,54.6,38,418,3420,38.0,90,65,155,84,6,7,67,3,74.7,69.3,55.5,124.7,874,2077,2.37,1.71,4.08,2.21,3.92,1.97,1.46,3.43,1.82,3.28,5,30,38.0,90,614,221,36.0,16.16,5.82,0.14,0.38,16.6,28,6,7,74.7,69.3,0.12,15.3,14.7,5,30,38.0,18066,22063,81.9,310229,109918,8542,9641,88.6,7388,8505,86.9,1686,2744,61.4,65,55.5,49.1,9.5,487,1635,490,85,2077,5,30,38.0,22063,20351,1656,508,28,181,657,689,201,104,82,0,18066,56,395,5,30,38.0,1115,29.34,866,68,60,61,43,17,162,4.26,127,8,10,9,5,3,5,30,38.0,606,343,252,256,98,265,591,44.8,326,421,92,329,516,1122,484,11,5,30,54.6,38.0,26392,1779,6640,12068,7924,1147,26385,707,396,56.0,309,43.7,15724,78882,39413,874,658,256,680,406,17945,2056,5,30,38,3420,90,100,38.0,418,80,240,176,23,253,2.05,90,47,43,1.13,74.7,41.0,33.7,0.89,5,30,38.0,67,3,1,580,473,56,657,516,343,5,8,1,2472,633,506,55.6,5,2,38,38,3417,38.0,47,1.24,112,63,62.5,23,9,6,11,28.9,8,5,3,0,37.5
6,6,Athletic Club,La Liga,27,26.6,49.9,38,418,3420,38.0,43,31,74,39,4,5,82,3,43.1,39.2,31.3,70.5,685,1496,1.13,0.82,1.95,1.03,1.84,1.13,0.82,1.96,1.03,1.86,6,27,38.0,43,399,128,32.1,10.5,3.37,0.1,0.3,17.4,15,4,5,43.1,39.2,0.1,-0.1,-0.2,6,27,38.0,13578,17842,76.1,251137,91456,5873,6901,85.1,5483,6607,83.0,1792,3120,57.4,31,31.3,27.9,-0.3,303,1054,284,79,1496,6,27,38.0,17842,15738,2027,561,13,200,812,920,197,65,73,3,13578,77,377,6,27,38.0,723,19.03,539,66,37,25,43,13,73,1.92,52,5,3,5,7,1,6,27,38.0,462,269,194,200,68,168,516,32.6,348,341,74,267,344,806,684,9,6,27,49.9,38.0,21410,1921,5863,10255,5481,675,21405,501,304,60.7,197,39.3,11152,64941,35151,685,510,147,496,335,13475,1477,6,27,38,3420,90,100,38.0,418,81,240,177,22,242,1.21,46,42,4,0.11,43.1,37.7,5.4,0.14,6,27,38.0,82,3,1,483,477,77,812,344,269,5,6,1,1836,656,601,52.2,6,2,38,38,3420,38.0,42,1.11,111,69,66.7,11,13,14,9,23.7,6,5,1,0,16.7
7,7,Atletico Madrid,La Liga,25,27.3,52.3,38,418,3420,38.0,65,54,119,60,5,7,100,0,52.8,47.2,40.6,87.8,694,1604,1.71,1.42,3.13,1.58,3.0,1.39,1.07,2.46,1.24,2.31,7,25,38.0,65,452,178,39.4,11.89,4.68,0.13,0.34,17.6,13,5,7,52.8,47.2,0.11,12.2,12.8,7,25,38.0,16757,20680,81.0,276506,95008,8278,9219,89.8,5931,6995,84.8,1653,2869,57.6,54,40.6,38.8,13.4,347,1144,370,53,1604,7,25,38.0,20680,18818,1766,480,46,171,597,734,196,54,98,0,16757,96,302,7,25,38.0,796,20.95,585,71,55,42,35,8,120,3.16,90,7,12,3,7,1,7,25,38.0,622,367,291,253,78,296,631,46.9,335,361,83,278,386,1008,671,7,7,25,52.3,38.0,24561,1967,6777,12025,5937,894,24555,588,374,63.6,214,36.4,13675,67513,36112,694,483,190,503,342,16649,1598,7,25,38,3420,90,100,38.0,418,82,272,148,23,231,2.26,67,25,42,1.11,52.8,37.1,15.7,0.41,7,25,38.0,100,0,0,489,443,96,597,386,367,6,4,3,1951,530,482,52.4,7,1,38,38,3420,38.0,25,0.66,122,98,80.3,26,8,4,18,47.4,4,1,2,1,66.7
8,8,Augsburg,Bundesliga,25,27.0,41.4,34,374,3060,34.0,35,23,58,33,2,5,70,4,37.3,33.4,25.9,59.3,431,987,1.03,0.68,1.71,0.97,1.65,1.1,0.76,1.86,0.98,1.74,8,25,34.0,35,332,108,32.5,9.76,3.18,0.1,0.31,18.1,10,2,5,37.3,33.4,0.1,-2.3,-0.4,8,25,34.0,10257,14168,72.4,193960,77974,4167,5063,82.3,4515,5469,82.6,1322,2716,48.7,23,25.9,22.9,-2.9,245,691,182,56,987,8,25,34.0,14168,12411,1690,497,17,114,500,690,121,69,38,0,10257,67,337,8,25,34.0,566,16.65,377,65,39,28,44,13,57,1.68,40,4,4,5,4,0,8,25,34.0,509,308,251,211,47,201,503,40.0,302,395,116,279,454,963,852,8,8,25,41.4,34.0,18181,2500,7266,7815,3296,496,18176,474,282,59.5,192,40.5,9465,52254,25936,431,344,79,557,321,10183,977,8,25,34,3060,90,100,34.0,374,82,231,141,21,159,1.06,36,54,-18,-0.53,37.3,57.3,-20.0,-0.59,8,25,34.0,70,4,3,395,403,67,500,454,308,3,9,3,1802,559,688,44.8,8,1,34,34,3060,34.0,54,1.59,178,126,73.0,10,6,18,7,20.6,9,6,1,2,14.3
9,9,Barcelona,La Liga,25,26.4,65.5,38,418,3420,38.0,80,51,131,76,4,8,72,2,73.5,67.1,53.2,120.2,972,2157,2.11,1.34,3.45,2.0,3.34,1.94,1.4,3.33,1.77,3.16,9,25,38.0,80,575,231,40.2,15.13,6.08,0.13,0.33,17.1,43,4,8,73.5,67.1,0.12,6.5,8.9,9,25,38.0,25192,28488,88.4,384110,119170,13304,14257,93.3,9056,9893,91.5,1599,2287,69.9,51,53.2,63.6,-2.2,452,1874,517,52,2157,9,25,38.0,28488,26712,1686,536,58,108,494,644,217,68,35,0,25192,90,340,9,25,38.0,1064,28.0,833,50,76,34,61,10,136,3.58,105,2,12,9,7,1,9,25,38.0,499,293,223,195,81,224,522,42.9,298,325,70,255,361,860,429,16,9,25,65.5,38.0,31975,2240,7299,14908,9965,1217,31967,770,513,66.6,257,33.4,21041,104783,56158,972,930,276,477,341,25052,2144,9,25,38,3420,90,100,38.0,418,82,260,158,22,260,2.08,85,38,47,1.24,73.5,40.8,32.7,0.86,9,25,38.0,72,2,2,357,523,90,494,361,293,6,5,2,1937,395,317,55.5,9,2,38,38,3420,38.0,38,1.0,130,94,74.6,24,7,7,14,36.8,5,5,0,0,0.0
