,Player,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
0,Patrick van Aanholt,24.3,1435,90,445,616,391,32,1435,31,26,83.9,5,16.1,717,3714,1966,46,33,7,37,18,711,86
1,Rolando Aarons,1.5,65,0,11,30,25,3,65,6,4,66.7,2,33.3,37,380,127,7,3,3,4,6,39,4
2,Rolando Aarons,5.7,166,3,18,71,80,7,166,15,8,53.3,7,46.7,105,712,352,9,11,2,9,13,125,31
3,Ignazio Abate,11.7,864,35,237,428,206,8,864,1,0,0.0,1,100.0,386,1802,1124,20,18,0,7,6,563,65
4,Aymen Abdennour,5.5,375,27,175,200,4,2,375,1,1,100.0,0,0.0,296,1522,829,2,1,0,0,1,278,0
5,Aly Abeid,0.9,49,4,20,20,10,0,49,1,1,100.0,0,0.0,17,95,67,2,2,0,0,0,23,3
6,Mehdi Abeid,13.1,752,30,183,496,84,10,752,20,14,70.0,6,30.0,503,2859,1321,20,13,0,24,21,494,14
7,David Abraham,25.6,1580,139,734,829,33,11,1580,10,8,80.0,2,20.0,824,4547,2817,17,5,0,8,5,906,7
8,Tammy Abraham,19.2,498,12,33,246,230,65,498,47,27,57.4,20,42.6,305,1600,555,19,16,8,50,51,393,104
9,Amir Abrashi,9.4,435,23,98,263,77,3,435,5,4,80.0,1,20.0,169,947,335,8,7,1,14,19,224,18
10,Francesco Acerbi,38.0,2124,299,1076,954,135,21,2124,23,17,73.9,6,26.1,918,5957,2979,35,38,0,26,9,1044,14
11,Afriyie Acquah,10.6,562,8,79,405,92,7,562,24,16,66.7,8,33.3,392,2545,1243,24,18,2,13,14,413,24
12,Charlie Adam,4.6,342,9,58,218,76,5,341,12,12,100.0,0,0.0,206,960,436,6,15,2,7,5,211,9
13,Antonio Adan,30.0,1327,1084,1324,4,0,0,1327,5,5,100.0,0,0.0,759,4220,3057,0,0,0,6,0,673,0
14,Aday,20.4,1259,49,261,504,505,39,1257,42,27,64.3,15,35.7,658,4681,2297,82,47,12,25,23,739,156
15,Khaled Adenon,32.5,1562,274,941,621,16,10,1562,7,4,57.1,3,42.9,697,3218,1795,6,3,0,12,7,739,1
16,Claud Adjapong,13.6,691,38,199,296,207,26,691,19,9,47.4,10,52.6,344,2339,1105,31,25,10,23,24,365,54
19,Ali Adnan Kadhim,18.6,1142,94,343,539,269,6,1142,33,25,75.8,8,24.2,472,2327,1139,25,21,2,19,15,538,56
21,Aritz Aduriz,23.9,702,20,41,314,350,108,697,24,19,79.2,5,20.8,411,1876,691,27,19,10,43,42,575,150
22,Ibrahim Afellay,1.8,89,0,18,63,12,0,89,1,1,100.0,0,0.0,61,214,50,0,0,0,1,3,64,1
23,Benik Afobe,6.8,219,8,18,100,105,28,219,9,7,77.8,2,22.2,138,820,317,12,4,9,28,5,171,37
24,Martin Agirregabiria,20.3,1114,81,401,496,234,6,1114,34,16,47.1,18,52.9,476,2344,1290,24,13,6,20,10,483,54
26,Imanol Agirretxe,2.6,78,2,3,42,33,11,78,3,3,100.0,0,0.0,46,154,29,1,0,0,8,4,65,8
27,Sergio Aguero,21.8,894,6,41,308,561,152,890,84,56,66.7,28,33.3,610,4166,1866,89,48,36,56,43,747,214
28,Ruben Aguilar,27.3,1894,63,458,920,548,33,1894,48,30,62.5,18,37.5,855,5307,3416,97,77,5,34,27,1073,160
29,Matias Aguirregaray,12.8,830,34,212,430,201,12,830,23,14,60.9,9,39.1,460,2379,1150,23,23,2,12,15,473,49
30,Jean-Eudes Aholou,33.4,1694,70,472,1062,191,26,1694,50,39,78.0,11,22.0,860,4336,2037,32,29,2,38,27,991,22
31,Ailton,1.2,86,3,23,55,11,3,86,6,3,50.0,3,50.0,36,234,128,2,3,0,2,0,46,3
32,Youssef Ait Bennasser,22.7,1357,52,297,925,163,4,1357,51,43,84.3,8,15.7,673,4676,2603,37,26,3,18,34,871,27
33,Arlind Ajeti,14.1,553,108,330,212,18,9,553,6,5,83.3,1,16.7,236,1060,448,2,2,0,6,4,203,0
34,Manuel Akanji,10.0,714,43,277,385,55,9,714,4,4,100.0,0,0.0,389,2666,1639,15,13,2,6,4,474,7
35,Nathan Ake,37.3,2048,283,1262,720,84,46,2048,11,10,90.9,1,9.1,946,5466,3075,14,9,1,12,6,1110,10
36,Ager Aketxe,0.4,49,0,6,17,26,1,49,1,0,0.0,1,100.0,31,134,36,1,2,1,0,3,34,3
37,Chadrac Akolo,12.2,460,3,27,219,224,38,459,44,16,36.4,28,63.6,267,1617,823,27,26,2,18,25,332,75
38,Kevin Akpoguma,18.8,1190,77,536,609,52,7,1190,14,10,71.4,4,28.6,647,3258,2078,23,8,1,11,5,802,8
39,David Alaba,17.2,1479,45,294,651,540,30,1479,34,12,35.3,22,64.7,886,4048,2328,53,45,6,7,5,1030,178
40,Lucas Alario,17.2,610,18,49,288,284,86,608,40,22,55.0,18,45.0,395,1751,546,16,24,6,40,36,498,111
42,Jordi Alba,30.5,2688,82,666,1197,845,98,2688,33,23,69.7,10,30.3,1525,5855,3128,58,53,13,30,14,1858,314
43,Raul Albentosa,19.4,955,122,622,302,35,28,955,3,2,66.7,1,33.3,395,1492,606,1,3,0,6,0,546,5
44,Luis Alberto,29.7,2136,7,128,1050,995,67,2134,86,59,68.6,27,31.4,1461,8283,4656,126,109,20,56,54,1567,179
45,Raul Albiol,30.5,2760,149,876,1839,55,28,2760,5,2,40.0,3,60.0,1838,9780,6268,27,10,0,6,3,2036,4
46,Miiko Albornoz,7.8,509,34,160,207,144,10,509,13,9,69.2,4,30.8,207,1129,614,10,7,0,3,4,271,19
