,Player,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
0,Ismael Aaneba,2.3,120,92,28,3,0,2,11,25,0,0,0,0,73,0,8
1,Patrick van Aanholt,35.5,1971,1603,364,46,5,7,42,316,2,0,1,1,1564,4,33
2,Ignazio Abate,14.5,925,817,107,14,0,4,26,93,0,0,0,0,763,1,19
3,Issah Abbas,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
4,Yunis Abdelhamid,38.0,1614,1543,63,62,0,31,0,1,0,0,0,0,1330,8,19
5,Mehdi Abeid,22.5,1068,1028,35,17,4,12,24,5,10,1,6,0,903,5,13
6,Charles Abi,0.4,17,17,0,0,0,0,0,0,0,0,0,0,6,0,3
7,David Abraham,15.8,671,646,22,20,0,13,8,2,0,0,0,0,514,3,12
8,Amir Abrashi,8.8,372,368,4,1,0,0,2,2,0,0,0,0,319,0,9
9,Francesco Acerbi,36.8,1800,1735,61,46,0,15,6,15,0,0,0,0,1560,4,11
10,Afriyie Acquah,16.8,738,723,11,3,2,4,34,8,0,0,0,0,580,4,28
11,Tyler Adams,8.0,530,511,18,15,4,3,2,3,0,0,0,0,424,1,12
12,Antonio Adan,1.0,24,13,11,0,0,0,0,0,0,0,0,0,13,0,0
13,Aday,7.2,320,247,71,13,0,6,50,49,9,3,1,0,227,2,6
14,Khaled Adenon,22.2,973,938,32,31,0,5,0,1,0,0,0,0,837,3,5
15,Claud Adjapong,3.0,101,75,24,1,0,1,5,23,0,0,0,0,74,2,5
16,Yacine Adli,2.4,151,145,5,1,1,2,9,2,2,2,0,0,111,1,3
17,Ali Adnan Kadhim,1.8,117,89,26,4,0,1,14,16,6,0,6,0,77,2,6
18,Aritz Aduriz,10.5,238,229,9,0,0,0,6,1,0,0,0,0,146,0,5
19,Luis Advincula,26.5,1197,977,217,16,1,34,54,201,0,0,0,0,957,3,34
20,Martin Agirregabiria,22.6,964,752,208,9,0,6,42,197,0,0,0,0,653,4,35
21,Nayef Aguerd,11.7,604,561,40,18,0,8,3,22,0,0,0,0,465,3,8
22,Sergio Aguero,27.3,796,740,52,1,6,1,13,8,1,0,0,0,661,4,27
23,Ruben Aguilar,28.1,1640,1334,297,15,0,7,115,281,1,0,0,0,1315,9,51
24,Juan Aguilera,3.8,189,180,6,6,0,4,2,0,0,0,0,0,166,3,0
26,Emmanuel Agyemang-Badu,1.8,35,32,2,2,0,1,2,0,0,0,0,0,27,1,3
27,Jean-Eudes Aholou,11.9,549,537,12,9,4,8,5,2,0,0,0,0,463,0,8
28,Antonis Aidonis,0.9,35,27,8,0,0,0,6,8,0,0,0,0,13,0,3
29,Ola Aina,24.0,1178,919,257,18,2,7,63,238,1,0,0,0,861,2,44
